,3prime,tAI,max_5_UTR_length,TCGA-BH-A0DD,TCGA-BH-A0DD.1
IFIT2,1901.0,0.420797646,175.0,1.603759,0.781714788
IFIT3,843.0,0.417440574,529.0,1.973105,1.73612739
IFIT5,2354.0,0.414819429,231.0,0.926326,0.607007528
IFITM1,159.0,0.431550176,180.0,2.767074,0.221737988
IFT27,109.0,0.4030938,426.0,0.03856,0.373952005
IGFBP3,1605.0,0.43060006,132.0,-0.948698,-0.884825606
IGFBP7,558.0,0.392734536,34.0,-1.105824,-0.687771079
IKBKE,745.0,0.435100597,714.0,-0.303964,0.336686032
IL16,3965.0,0.367979445,2395.0,-0.84336,0.158313073
IL17RA,5874.0,0.376798811,133.0,0.168285,0.407942782
IL1RN,1145.0,0.411881061,408.0,0.520684,0.435609424
IL4I1,16.0,0.4139018,621.0,0.275796,0.25867635
ILF2,656.0,0.426220446,239.0,-0.323665,0.321167171
IMPA2,2898.0,0.383680893,242.0,0.751365,-1.242934794
INO80,5209.0,0.374025479,351.0,0.400612,-1.324499621
INPP1,263.0,0.395712795,700.0,-0.727849,0.017909536
INPP5D,1195.0,0.436077769,512.0,-1.131675,-0.301581138
INSR,4801.0,0.380857973,411.0,0.230488,-0.362625274
IPO5,2508.0,0.381335948,180.0,-0.8126,-0.185522126
IRF7,92.0,0.423538356,367.0,1.119886,0.42023585
IRF8,1327.0,0.384714127,507.0,-0.682151,-0.260093909
IRF9,369.0,0.432057622,127.0,0.518366,0.54838784
IRGQ,7659.0,0.399674011,156.0,0.393791,0.297939174
ISCU,607.0,0.454630229,1331.0,-0.350883,0.506102815
ISG15,62.0,0.419522688,77.0,1.890724,0.369856367
ISG20,952.0,0.419932377,2368.0,-0.515526,0.703757849
ISOC1,1056.0,0.418535314,18.0,0.113297,0.437276874
ITGB2,415.0,0.457304004,395.0,-0.98547,-0.50276405
ITPKB,2981.0,0.440250717,340.0,-0.257773,0.404926592
ITPRIP,5382.0,0.396785481,453.0,-0.956909,0.141417627
JUNB,496.0,0.414023332,276.0,-1.159541,0.789150486
JUP,157.0,0.458302936,298.0,0.351043,0.218218495
KANK2,2291.0,0.394238955,361.0,0.241703,0.096865101
KARS,4202.0,0.383913431,144.0,-0.129706,0.137420468
KCNN4,560.0,0.425737469,396.0,-2.229846,-0.767955602
KDM1A,327.0,0.428444011,149.0,-0.104144,0.571593584
KDM2A,3716.0,0.372295488,864.0,1.151662,0.321759791
KDM2B,2488.0,0.393022165,407.0,0.50105,-1.038361729
KDM3B,1327.0,0.37791414,200.0,0.247314,0.164281094
KDM4A,1148.0,0.378142374,166.0,-0.086402,-0.010981471
KHSRP,1024.0,0.456900489,110.0,0.671721,0.36693853
KIAA2013,727.0,0.385456054,191.0,-0.799639,0.039170669
KIF20A,757.0,0.371463873,496.0,1.563322,-0.632845271
KIF22,75.0,0.392489541,388.0,0.401294,1.086218013
KIF2C,588.0,0.387865377,395.0,2.064825,1.103757053
KIF3B,3792.0,0.390782105,180.0,0.914012,-0.329277384
KIF5B,3198.0,0.418236129,470.0,0.492208,-0.225453138
KLHL7,3616.0,0.41595405,521.0,0.169741,-0.038783001
KTI12,594.0,0.370414154,39.0,-0.715723,0.499784276
LAMP1,1311.0,0.390985106,281.0,-1.508388,-0.153940102
LANCL2,2422.0,0.433733517,578.0,-0.837991,-0.730269613
LAP3,503.0,0.426841798,162.0,0.323547,0.623675945
LDHD,1826.0,0.398770776,52.0,-0.209379,0.185099981
LENG1,560.0,0.445950324,48.0,-0.07538,-0.385862786
LGALS3,159.0,0.420172221,88.0,-1.216035,-0.181654131
LGALS3BP,1225.0,0.419930622,179.0,-0.717943,-0.033263419
LGALS9,641.0,0.410654931,118.0,-0.577292,-0.032581898
LIN54,4893.0,0.441729058,383.0,1.227973,1.024268015
LPCAT1,2228.0,0.380803123,133.0,-0.153634,0.675494483
LPCAT4,239.0,0.432241557,94.0,-0.743546,-0.137544375
LPXN,1776.0,0.432350833,254.0,-0.641436,-0.068103136
LRPPRC,2376.0,0.377375074,58.0,0.295922,0.048938039
LRRC25,843.0,0.434491636,642.0,-1.08773,0.049817933
LRRC41,465.0,0.438391248,44.0,-0.478088,-0.192588825
LRRC59,1755.0,0.423067849,236.0,0.997416,-0.210475955
LSM1,486.0,0.409616526,410.0,-0.112389,-0.726973289
LSM6,1871.0,0.435100303,139.0,-0.684282,-0.018713204
LTA4H,391.0,0.355044638,145.0,0.056474,-0.148343451
LYN,4058.0,0.418972994,282.0,-1.147823,-0.189344861
LYPLAL1,1137.0,0.3973742,157.0,0.23335,0.66818368
LYRM4,6830.0,0.366844497,217.0,0.038379,-0.092592738
LYSMD2,596.0,0.394037378,501.0,-0.160102,-0.405132716
M6PR,1457.0,0.379162834,275.0,-0.203431,-0.300101639
MAD2L1,4528.0,0.407191351,124.0,1.494128,0.506124679
MAFB,2032.0,0.405989564,390.0,-0.559371,-0.892076298
MAGED2,327.0,0.466698843,233.0,0.224098,-0.110609325
MAGOH,153.0,0.416054235,162.0,-0.082653,-0.162074784
MAN2B1,128.0,0.381728903,76.0,-0.471256,-0.016027562
MANF,717.0,0.420319188,97.0,-0.350298,0.228561978
MAP4K1,170.0,0.374128007,140.0,-0.636363,-0.038877877
MARCKSL1,768.0,0.468216312,206.0,0.575497,-0.63328733
MAX,2676.0,0.337149475,479.0,-0.168443,-0.418824212
MBD2,3723.0,0.420256858,229.0,0.11165,0.707152042
MBP,4041.0,0.393290432,264.0,-2.412164,-0.830704556
MCM2,662.0,0.460999542,110.0,1.392076,0.857928105
MCM4,2618.0,0.371821308,942.0,0.794983,0.723367938
MCM5,3214.0,0.470488076,94.0,0.145262,0.635930347
MDC1,658.0,0.415783633,440.0,0.988354,0.056267044
MDH1,210.0,0.381672323,435.0,-0.235969,-0.542110318
ME1,1535.0,0.411214685,265.0,-4.025716,-1.201910291
ME3,171.0,0.395156177,377.0,0.159409,0.267583997
MECR,1365.0,0.445670958,612.0,-0.584972,-0.179742879
MED17,2631.0,0.366528813,275.0,-0.44715,0.360582657
MED19,934.0,0.439623042,93.0,-0.97983,0.87105199
MED28,10307.0,0.440157501,27.0,-0.21202,0.454581774
MED29,4550.0,0.464327351,57.0,0.25776,0.600398264
MEF2C,6848.0,0.41426337,654.0,-1.146107,-0.668881232
MEN1,824.0,0.454590692,504.0,-0.518939,-0.419222003
METTL13,961.0,0.396264071,347.0,-0.038817,0.493129989
MGST3,1295.0,0.374563048,428.0,-0.44611,-0.453800194
MIF4GD,787.0,0.397877071,137.0,-0.394929,0.270505775
MINK1,774.0,0.455972684,525.0,-0.318611,-0.562255988
MIS12,1334.0,0.420723459,745.0,0.10139,-0.109234056
MLEC,5319.0,0.43043384,173.0,0.359801,-0.525510802
MLLT10,2252.0,0.36295117,1568.0,0.371019,-1.462843001
MMADHC,5382.0,0.406207656,205.0,-0.19989,0.249170242
MMGT1,4451.0,0.406300672,388.0,0.190011,0.427268046
MMP1,502.0,0.392399458,189.0,0.21489,0.487910104
MMP14,1722.0,0.419367787,285.0,-0.497001,0.078090911
MMP9,193.0,0.404253633,19.0,-0.032128,-0.325794721
MORC3,2052.0,0.406702124,375.0,-0.18625,0.013234193
MORF4L1,1066.0,0.420719378,454.0,-0.4704,0.832040702
MOV10,619.0,0.412681236,1415.0,-0.354613,0.084968601
MPDU1,797.0,0.440676037,216.0,-1.367808,-0.723144809
MPHOSPH10,87.0,0.404440607,352.0,-0.360046,-0.132931884
MRI1,2018.0,0.459301832,75.0,0.482131,0.466240527
MRPL13,1075.0,0.395373051,313.0,0.316323,0.573449962
MRPL15,1888.0,0.407701507,63.0,0.102921,0.836736973
MRPL16,212.0,0.368940255,214.0,-0.900756,1.051166169
MRPL17,6554.0,0.424450505,105.0,0.181358,0.722562528
MRPL2,580.0,0.458698472,164.0,-0.739733,0.294393307
MRPL20,187.0,0.445765675,96.0,-0.783456,0.313048685
MRPL21,55.0,0.417448467,293.0,-0.289131,0.748387438
MRPL27,2133.0,0.436300758,31.0,0.822928,0.236560948
MRPL40,113.0,0.406843086,653.0,-0.148329,0.777632705
MRPL46,1889.0,0.422788385,25.0,-0.304198,0.30495159
MRPL48,1284.0,0.368940255,212.0,0.499486,0.42603657
MRPL51,2069.0,0.35376587,169.0,-0.282984,1.257390591
MRPL53,198.0,0.441261883,155.0,-0.058519,0.480540841
MRPL9,407.0,0.432679379,437.0,-0.509497,0.420727347
MRPS11,2793.0,0.477818717,1491.0,-0.495983,0.620475508
MRPS15,468.0,0.440649404,164.0,-0.254382,-0.555955036
MRPS17,1334.0,0.413812124,30.0,0.241791,0.678872488
MRPS18B,936.0,0.408462865,157.0,-0.394842,0.099291797
MRPS36,933.0,0.3748339,84.0,-0.245738,0.079902075
MRPS7,453.0,0.455992019,233.0,-0.930893,0.573778225
MSI2,5168.0,0.366385762,173.0,1.465226,0.478177759
MSTO1,694.0,0.421389639,1152.0,-0.073849,0.628236365
MT1E,291.0,0.588704726,179.0,0.376654,-2.952419419
MT2A,316.0,0.576670685,123.0,-0.027067,-0.444689066
MTA2,684.0,0.459443446,761.0,0.105893,-0.177906683
MTFMT,1550.0,0.414190941,26.0,-0.192591,0.462905594
MTHFS,1663.0,0.434592403,179.0,-0.203578,-0.027012402
MTMR1,2442.0,0.424163835,319.0,-0.000894,0.013713688
MTMR14,421.0,0.371137969,151.0,-0.385418,-0.010587171
MVP,50.0,0.435053297,193.0,-0.559236,-0.08422703
MX1,456.0,0.433488503,982.0,2.234264,1.433179726
MX2,1812.0,0.430094961,104.0,0.660451,0.41240853
MYADM,2833.0,0.384589896,681.0,-0.682908,-0.429433972
MYCBP,3972.0,0.381803634,73.0,-0.114459,0.228189474
MYL12A,812.0,0.453450746,478.0,-0.431902,-0.178022836
MYO18A,3647.0,0.395788337,484.0,0.484446,0.201186039
MYO9B,1401.0,0.398943925,152.0,0.11354,-0.236858002
N6AMT1,5137.0,0.427535625,28.0,1.31377,1.320886444
NAA40,3212.0,0.389371031,261.0,-0.475582,-0.244688986
NAB1,2433.0,0.361024962,572.0,0.830613,-0.200429617
NADK,1672.0,0.3959688,563.0,-0.490708,-0.02327198
NADSYN1,464.0,0.447848979,126.0,0.398203,0.973244588
NAGK,1297.0,0.42527382,474.0,-0.876625,-0.042692797
NANS,37.0,0.458552255,132.0,-0.869997,-0.319222758
NAPA,1862.0,0.477781443,318.0,-0.416178,0.136261882
NAT10,4915.0,0.387474071,245.0,-0.071653,0.12511736
NBAS,140.0,0.414580543,44.0,0.216552,0.101649013
NCALD,2767.0,0.374888213,460.0,1.153499,0.312210539
NCAPD3,2971.0,0.431957579,606.0,0.460143,0.863372195
NCAPG2,3501.0,0.41630572,200.0,1.64442,0.896092035
NCF1,2381.0,0.415579251,70.0,-0.556629,-0.144698546
NCK2,1267.0,0.457831152,276.0,-0.185929,-0.088889876
NCKIPSD,4981.0,0.449411541,126.0,-0.042193,0.417996275
NCOA5,1332.0,0.416761948,402.0,0.03023,-0.043628401
NCOA7,3259.0,0.404217869,470.0,-0.009877,0.024155894
NDC80,61.0,0.356199389,182.0,1.947557,0.900442363
NDRG2,841.0,0.376266446,941.0,-2.142709,-0.956585455
NDUFA4,1685.0,0.439642808,129.0,-0.142443,-0.697523407
NEU1,667.0,0.413226082,156.0,0.40504,-0.092829255
NFATC2IP,3242.0,0.412267479,15.0,-0.305838,0.165839868
NFKB1,708.0,0.4099683,467.0,-0.220742,-0.082001176
NFKB2,153.0,0.424806573,563.0,0.001804,-0.055070696
NFKBIE,1053.0,0.409138176,25.0,-0.573925,-0.238279299
NGDN,1255.0,0.423783924,27.0,-0.192127,0.48461555
NGRN,1679.0,0.414477409,50.0,-0.706879,0.587961666
NINJ1,5217.0,0.455972644,71.0,-0.136594,-0.58234453
NIP7,1593.0,0.443769116,318.0,0.322246,-0.049992625
NIT2,2351.0,0.432361565,74.0,-0.635912,0.056543861
NMNAT3,2689.0,0.397393877,1228.0,1.295405,0.875766971
NMT1,3377.0,0.454689408,31.0,-0.11629,-0.379800762
NONO,1092.0,0.432928506,710.0,0.548143,0.200418108
NOP14,912.0,0.38067473,187.0,0.312294,-1.028714599
NOP2,785.0,0.393538298,198.0,-0.185765,-0.289364541
NOTCH2,6062.0,0.409327653,297.0,0.555788,0.183839853
NPTN,1068.0,0.388989686,197.0,0.102335,-1.279657065
NR2C2,6271.0,0.390767743,362.0,0.324466,0.416493404
NRBF2,883.0,0.43605128,224.0,-0.393717,0.038391292
NRF1,1901.0,0.447602651,500.0,0.245226,0.900069607
NRGN,833.0,0.413631862,152.0,-1.007571,-1.584136286
NRP1,3846.0,0.416817106,523.0,-0.370812,-0.320568312
NSFL1C,1587.0,0.42738001,868.0,-0.24867,-0.38931658
NSMAF,602.0,0.358586884,214.0,-0.520694,-0.234372639
NTAN1,178.0,0.344459601,320.0,-0.573754,-0.095572566
NUBP1,246.0,0.455923678,142.0,-0.571395,0.407136393
NUCKS1,5461.0,0.359398328,271.0,1.000011,-0.399199729
NUDC,716.0,0.476401948,127.0,-0.563008,-0.84866294
NUDT16,5489.0,0.428387545,75.0,0.064728,0.729430604
NUMA1,663.0,0.474508115,436.0,0.131049,-0.086911258
NUP93,5678.0,0.382018893,495.0,0.695795,-0.147490424
NXF1,2943.0,0.375826754,136.0,0.310982,0.504485802
OCIAD2,4872.0,0.363821488,322.0,0.04187,-0.254235017
OGDH,1071.0,0.396078149,159.0,0.137374,-0.649104443
OPA3,7233.0,0.475004358,100.0,0.449208,-0.594872755
OSBPL2,2363.0,0.383456763,571.0,-0.137007,-0.019089078
OSBPL5,1099.0,0.381371042,158.0,-1.508196,-1.098612937
OVCA2,792.0,0.429983078,65.0,-0.472835,0.048006801
P2RX4,573.0,0.442596273,304.0,-0.19005,-1.226151312
PAAF1,509.0,0.376143366,341.0,0.900405,1.051356167
PACSIN2,1591.0,0.413490434,405.0,-0.106807,-0.009247596
PARK7,451.0,0.457171775,163.0,-0.748369,-0.696361105
PARP1,769.0,0.460215809,171.0,0.364762,0.027502222
PARP10,332.0,0.422654659,200.0,1.389471,0.873488246
PARP12,816.0,0.416480622,874.0,0.416377,0.129658337
PARP14,2243.0,0.414355918,59.0,1.341302,0.308965624
PARP9,451.0,0.418102187,327.0,0.885704,0.492165103
PARVG,2043.0,0.383803232,484.0,-0.764339,0.072303717
PBK,750.0,0.413339119,464.0,2.345906,1.221028946
PCNA,338.0,0.425000199,239.0,1.138797,0.636843109
PDAP1,2007.0,0.464659554,134.0,-0.061401,-0.245823337
PDCD2,155.0,0.440448783,111.0,-0.391588,-0.679727838
PDCD2L,48.0,0.433436103,33.0,0.375066,0.365145798
PDCD6IP,3211.0,0.388727459,158.0,0.037603,0.133372321
PDHA1,2054.0,0.402514578,145.0,-0.085134,0.176136165
PDHB,2974.0,0.442593378,43.0,-0.151695,0.447441651
PDLIM1,357.0,0.379179626,233.0,-0.431715,-0.460603555
PDXDC1,2055.0,0.375670185,335.0,-0.454141,-0.20451615
PDXK,6244.0,0.398158884,198.0,-0.580693,-0.16335581
PEBP1,796.0,0.360152166,326.0,-0.014721,-0.039329467
PEF1,769.0,0.441759403,424.0,-0.713489,-0.071344205
PELO,5222.0,0.385240523,985.0,-0.513453,-0.353624659
PEPD,395.0,0.450896903,133.0,0.659531,0.981962554
PEX16,585.0,0.43213601,312.0,-1.003155,-0.52362942
PEX6,946.0,0.370078344,93.0,-0.911634,0.416475558
PEX7,2294.0,0.407005497,102.0,0.014203,0.882158782
PFDN5,124.0,0.497062947,117.0,-0.639318,0.614400116
PFDN6,574.0,0.470152145,222.0,-0.668791,-0.680114992
PGM1,570.0,0.393980016,681.0,-1.28439,-0.373386496
PHB,988.0,0.45268542,190.0,1.064511,0.130017878
PHF10,104.0,0.365149381,79.0,-0.07047,0.182239611
PI4K2A,2692.0,0.385068362,57.0,-0.387461,0.164731326
PIAS1,3626.0,0.396022529,741.0,0.291665,0.540412549
PIK3AP1,3866.0,0.407313024,128.0,-0.351001,0.151510396
PIR,205.0,0.385796208,485.0,-0.396539,-0.339711462
PITPNC1,4686.0,0.369070722,874.0,0.062153,0.350986816
PLAUR,323.0,0.418467601,226.0,-0.457428,-0.397293316
PLCB2,818.0,0.468984469,301.0,-0.700084,-0.171704579
PLCG1,3987.0,0.454806205,121.0,0.622929,0.171916396
PLD4,273.0,0.377985619,192.0,-2.186161,0.288714393
PLEKHO1,5192.0,0.424698037,839.0,-0.50005,-0.371066569
PLEKHO2,2119.0,0.429714475,134.0,-0.470938,-0.047849937
PLSCR1,10376.0,0.415598704,388.0,0.834889,-0.167496663
PML,3324.0,0.431306474,140.0,-0.115043,0.166095016
POLR1C,1131.0,0.439933821,86.0,-0.36962,0.761800289
POLR1D,1469.0,0.427162265,456.0,-0.508171,-0.253446739
POLR2F,1600.0,0.47244007,250.0,0.207459,0.72594153
POLR2H,1065.0,0.427596015,1167.0,0.014147,0.21371497
POLR3H,3481.0,0.444306047,388.0,0.062971,0.552771794
POLR3K,1023.0,0.473025152,46.0,-1.018218,0.305307332
PPA2,660.0,0.432735716,20.0,0.234303,0.400996453
PPIE,4556.0,0.446406574,56.0,-0.079968,-0.31398346
PPIL1,1921.0,0.453832883,252.0,0.365992,-0.791417002
PPP1R14B,282.0,0.457456004,268.0,-0.804432,-0.532041121
PRC1,1136.0,0.367783806,234.0,1.38608,1.593721631
PRCC,357.0,0.381841119,290.0,-0.16544,-0.039954528
PRDX1,303.0,0.414090753,341.0,-0.536807,-0.107012678
PRDX6,944.0,0.433706552,51.0,-0.513115,0.194282949
PREB,658.0,0.378530018,403.0,0.051348,0.032455902
PREP,579.0,0.425974009,233.0,-0.083161,-0.304778855
PRG4,784.0,0.366727173,51.0,-0.687065,-0.14229063
PRIM2,1166.0,0.350864643,125.0,0.628036,1.04977453
PRKAB1,1305.0,0.365943644,289.0,0.190817,0.364916086
PRKAR2A,5019.0,0.427443141,254.0,0.609167,0.128239979
PRKCB,5795.0,0.38010529,197.0,-0.914858,-0.468034687
PRKCD,451.0,0.404392693,469.0,0.511535,0.293948189
PRKRA,683.0,0.420894136,659.0,-0.090739,0.160163652
PRKRIP1,3224.0,0.453589322,55.0,-0.054987,-0.85189978
PRMT5,393.0,0.386451423,508.0,-0.082833,-0.135535234
PRMT7,3655.0,0.450088803,850.0,0.002071,0.208141576
PROCR,549.0,0.357872186,218.0,-1.08713,-0.158125964
PRPS1,3908.0,0.466551451,409.0,0.077717,0.374048591
PRPSAP1,2056.0,0.390811115,688.0,-1.005818,0.235230525
PRRC1,3173.0,0.409170839,188.0,-0.072894,0.091016208
PSMA5,2997.0,0.446573967,225.0,-0.695275,-0.003427422
PSMA6,187.0,0.423632682,445.0,-0.321123,0.531932348
PSMB10,58.0,0.455018511,128.0,-0.288769,0.694373683
PSMB2,3775.0,0.389848815,412.0,-0.536713,0.322343701
PSMB8,242.0,0.411206622,522.0,0.293333,0.713728782
PSMB9,5497.0,0.431095699,69.0,0.708269,0.824006681
PSMC3,66.0,0.485654947,194.0,-0.827256,0.141561749
PSMD11,2567.0,0.390095635,61.0,0.422023,0.437119937
PSMD13,384.0,0.437236365,242.0,-0.582661,0.371878376
PSMD8,450.0,0.458928351,52.0,-0.134671,0.169114216
PSME2,53.0,0.443656162,65.0,0.081957,0.220099732
PSMG1,5308.0,0.427553471,578.0,-0.406571,-0.064359376
PSTPIP2,1923.0,0.429639796,96.0,-1.789571,-0.997976647
PTBP1,1504.0,0.473818895,106.0,0.508262,0.493788275
PTDSS1,3765.0,0.367954205,423.0,0.175359,-0.287113245
PTGS1,3346.0,0.37260918,633.0,-1.471568,-0.577590596
PTP4A1,3419.0,0.421202001,1153.0,-0.243394,0.463717792
PTPMT1,1899.0,0.450492628,193.0,-0.751045,0.240908605
PTPN18,2185.0,0.381656528,101.0,0.210293,-0.863191806
PTPN7,1593.0,0.440747449,781.0,-0.451553,-0.035480833
PTPRE,2994.0,0.426620112,1843.0,0.226979,-0.062142552
PTPRF,4571.0,0.452810321,356.0,0.375223,0.498367911
PTRH2,3186.0,0.370743372,1544.0,0.096665,-0.456126651
PWWP2B,819.0,0.424412275,29.0,-0.870186,-1.245481378
PYCR2,578.0,0.474148407,230.0,-0.22389,0.362603226
PYGL,175.0,0.392036998,127.0,0.357033,0.222968583
QARS,97.0,0.458996209,396.0,-0.185511,0.173176136
RAB11FIP1,4277.0,0.380614122,56.0,0.594306,0.160057074
RAB12,1120.0,0.38483812,283.0,0.195145,-0.248803314
RAB21,5246.0,0.435367738,267.0,0.086747,-0.143555983
RAB31,3231.0,0.437498832,175.0,1.845192,0.555673494
RAB35,2172.0,0.408841719,189.0,0.018109,-0.020185995
RAB7A,1376.0,0.419395127,232.0,-0.009391,0.141967543
RAB8B,4163.0,0.425956778,96.0,0.073474,-0.335468235
RAB9A,1716.0,0.417525007,283.0,-0.19286,-0.251091892
RABGGTA,77.0,0.387342734,512.0,-0.073644,-0.120113086
RABGGTB,440.0,0.409412379,78.0,0.200696,-0.116006995
RABIF,4760.0,0.447399225,159.0,0.334049,0.129446808
RACGAP1,1895.0,0.366370127,354.0,1.310756,0.618008345
RAD9A,924.0,0.444046557,185.0,1.30344,0.842119296
RAE1,1112.0,0.432613552,365.0,0.094116,0.478714416
RAI1,1472.0,0.455620822,469.0,-0.927701,-0.563284954
RAN,2043.0,0.442855294,361.0,0.332816,0.468476119
RANBP10,3359.0,0.379453562,1256.0,0.149744,0.005316644
RANGAP1,3145.0,0.481547647,765.0,0.022739,0.151149633
RAPGEF1,2727.0,0.425793135,159.0,0.038745,-0.635938795
RARS,114.0,0.423508657,41.0,-0.186657,0.336609576
RBBP4,6506.0,0.404056961,164.0,0.21914,-0.296521389
RBBP5,3098.0,0.421849625,474.0,0.831422,0.540496394
RBKS,251.0,0.392307233,1371.0,-0.820416,-0.266426376
RBM12,3599.0,0.375183789,304.0,0.489822,0.427585023
RBM14,3443.0,0.468008211,139.0,0.53494,0.138401638
RBM4B,5277.0,0.396841232,170.0,0.337889,0.754688674
RBMX,1201.0,0.353737079,210.0,0.627482,-0.16578628
RBPJ,4223.0,0.4178224,518.0,0.132789,0.35573122
RBX1,821.0,0.46562919,52.0,-0.537378,0.108431576
RC3H1,7637.0,0.410085914,87.0,-0.140047,0.506964937
RCCD1,1773.0,0.374130224,280.0,0.19024,0.452253595
RCOR1,4070.0,0.439565312,228.0,0.497515,0.487143786
REEP4,591.0,0.460338979,469.0,0.749031,-0.604686965
REEP5,2962.0,0.457536941,144.0,-0.544445,-1.800815016
RELB,408.0,0.418226182,131.0,0.346904,0.614566936
REPIN1,2683.0,0.45080531,489.0,0.31644,-0.843001549
RFC4,89.0,0.411167541,282.0,-0.015941,0.620283578
RFK,1882.0,0.429285662,357.0,0.605654,1.302375688
RFX5,1546.0,0.386685917,221.0,0.595671,-0.385649547
RFXAP,1850.0,0.421314391,156.0,-1.959654,-0.134061639
RHBDF2,740.0,0.423256567,294.0,-0.531821,-2.212964715
RHOT2,568.0,0.454546166,881.0,-0.321635,0.394729071
RINL,1279.0,0.357351373,413.0,0.431418,0.18288536
RNASEH1,4369.0,0.404567903,700.0,0.059801,-0.031458427
RNASEH2B,3930.0,0.37625722,399.0,-1.253187,-0.161203787
RNASET2,1070.0,0.374792559,407.0,-1.272306,-0.393341111
RNF114,1751.0,0.459950313,36.0,-0.533725,-0.644365252
RNF20,5226.0,0.396317502,92.0,0.157512,-0.19017565
RNF213,5288.0,0.417718743,150.0,1.866478,0.778828681
RNF216,2819.0,0.430061571,259.0,0.177206,-1.114691132
RNF25,102.0,0.375620157,88.0,-0.267017,0.212518883
RNF31,88.0,0.389352607,358.0,0.096681,0.529395132
RNLS,1252.0,0.416402283,135.0,1.376347,0.525202612
RNMT,4581.0,0.415128602,241.0,0.6426,0.761879486
RNPEP,463.0,0.447181346,896.0,0.28834,0.244547535
RP9,437.0,0.42869019,18.0,0.248282,0.545943451
RPA1,2907.0,0.381710028,170.0,-0.254466,-0.172856636
RPA2,639.0,0.400070522,793.0,-0.579375,0.446883277
RPAIN,471.0,0.394698889,570.0,-0.528688,-0.023250689
RPL11,461.0,0.442317923,45.0,-1.072394,-0.325996061
RPL14,5208.0,0.496792394,133.0,-0.229922,-0.472486018
RPL23,3146.0,0.464880603,90.0,2.281877,0.042016181
RPL26,53.0,0.427802183,389.0,-1.783293,-1.598062199
RPL31,1260.0,0.451994935,87.0,-0.624436,-1.134316356
RPL34,1350.0,0.436455219,198.0,-0.879198,-1.689678375
RPL5,1058.0,0.451564158,75.0,-0.770024,-0.280331139
RPL7,1077.0,0.460258279,707.0,0.107336,-0.448618417
RPS11,373.0,0.483080585,92.0,-0.054934,-0.437962282
RPS24,4247.0,0.430653047,142.0,-0.200608,0.380481821
RPS25,109.0,0.467193878,63.0,-0.775483,0.096302668
RPS27A,743.0,0.450449292,321.0,-0.540447,-0.025639879
RPS3A,306.0,0.426765211,80.0,-0.172783,-0.090650721
RPS4X,629.0,0.442998752,96.0,-0.463136,0.145254164
RPS6,2723.0,0.413925579,42.0,-0.441138,-0.848866251
RPS6KA1,828.0,0.389798854,163.0,-1.511615,-0.541805629
RPS6KA4,735.0,0.38455359,226.0,-1.032029,-0.485223411
RPS7,66.0,0.428822459,109.0,-0.396256,0.054245675
RPTOR,2341.0,0.385169267,805.0,-0.05432,-0.252884947
RREB1,3012.0,0.456825357,492.0,0.038058,-0.533710779
RRM1,2304.0,0.437568848,689.0,1.107118,0.671636509
RRP8,5071.0,0.446233376,148.0,-0.047175,0.30573173
RRS1,978.0,0.468289248,104.0,0.283962,-0.565266778
RTN3,1690.0,0.358048129,187.0,-0.532443,-2.693411313
RTN4IP1,1108.0,0.372133716,477.0,0.462802,0.409208726
RUNX1,4334.0,0.416076551,1578.0,0.272567,0.909858098
RWDD1,6365.0,0.401367905,746.0,-0.355751,0.283068733
S100A8,71.0,0.444112716,170.0,-2.04208,-1.777714006
S100A9,189.0,0.439508357,43.0,-2.247118,-2.595252498
SAMD9,1815.0,0.395660052,270.0,1.631766,0.90846641
SAMD9L,1162.0,0.396305952,1248.0,1.378699,0.69928553
SAMM50,150.0,0.345249646,197.0,-0.456889,0.317046111
SAMSN1,684.0,0.407246581,430.0,-0.883524,0.243526547
SAP18,1754.0,0.427429047,39.0,-0.626495,-0.614023235
SAP30BP,1541.0,0.449617255,257.0,-1.13752,0.261315757
SAR1A,5213.0,0.411769389,203.0,-0.385459,0.644093062
SAR1B,5806.0,0.392367964,253.0,-0.283614,-0.159259859
SARS,1054.0,0.40098191,100.0,-0.701561,-0.093079321
SASH3,1369.0,0.387406112,182.0,-0.689609,-0.333158354
SCAMP4,1741.0,0.472519575,351.0,0.337397,0.322597474
SCO1,8645.0,0.407339367,61.0,-1.228507,-0.437649131
SDCCAG8,307.0,0.360606297,1542.0,0.10209,0.008760746
SEC11C,205.0,0.423646802,92.0,0.261364,-0.455369204
SEC13,332.0,0.457264526,210.0,-0.749652,-0.195336908
SEC14L1,2986.0,0.420320088,665.0,-0.778235,-0.148014057
SEC24B,1221.0,0.400931805,155.0,0.27315,0.211218632
SEC24D,2115.0,0.386600041,297.0,0.125372,-0.026786049
SEC61B,270.0,0.404562259,76.0,-0.728635,-0.585963542
SEMA3F,960.0,0.38837398,318.0,0.224244,-1.758355491
SEMA4D,2318.0,0.393173667,572.0,0.355145,-0.416213514
SERPINA1,1707.0,0.420489385,573.0,-1.561117,-1.038513278
SERPINB8,2096.0,0.38524815,520.0,-0.662927,0.521116053
SETMAR,321.0,0.414235412,398.0,-0.38512,0.423363118
SEZ6L2,540.0,0.431800162,245.0,-1.848208,-0.934318813
SF1,2419.0,0.374481437,721.0,-0.161024,0.103416541
SF3B2,563.0,0.453902675,40.0,-0.268478,-0.084361084
SFXN4,500.0,0.402513841,45.0,0.067238,-1.20182974
