,3prime,tAI,max_5_UTR_length,TCGA-A8-A076,TCGA-A8-A076.1
IL4I1,16.0,0.4139018,621.0,0.73548,-0.026504423
ILF2,656.0,0.426220446,239.0,0.416491,-0.148581286
IMPA2,2898.0,0.383680893,242.0,-0.675419,-0.329489337
INO80,5209.0,0.374025479,351.0,-0.126902,-0.256098613
INPP1,263.0,0.395712795,700.0,-0.768511,-0.289420573
INPP5D,1195.0,0.436077769,512.0,0.245817,0.177202761
INSR,4801.0,0.380857973,411.0,-0.184533,0.038585301
IPO5,2508.0,0.381335948,180.0,-0.401835,-0.242366918
IRF7,92.0,0.423538356,367.0,1.325535,1.080589169
IRF8,1327.0,0.384714127,507.0,0.137967,-0.018271726
IRF9,369.0,0.432057622,127.0,1.188154,0.518818493
IRGQ,7659.0,0.399674011,156.0,0.60651,-0.067029271
ISCU,607.0,0.454630229,1331.0,-0.205946,-0.02157092
ISG15,62.0,0.419522688,77.0,1.810383,-0.141811769
ISG20,952.0,0.419932377,2368.0,0.161581,-0.145733777
ISOC1,1056.0,0.418535314,18.0,0.679683,-0.05766427
ITGB2,415.0,0.457304004,395.0,0.71854,0.513609782
ITPKB,2981.0,0.440250717,340.0,0.258056,0.098344917
JUNB,496.0,0.414023332,276.0,-1.172671,0.095800366
JUP,157.0,0.458302936,298.0,-0.500097,-0.386285206
KANK2,2291.0,0.394238955,361.0,-0.407442,0.232921642
KARS,4202.0,0.383913431,144.0,0.181529,0.098030041
KDM1A,327.0,0.428444011,149.0,-0.34506,0.13675031
KDM2A,3716.0,0.372295488,864.0,0.420536,-0.015677994
KDM2B,2488.0,0.393022165,407.0,-0.023967,-0.054481339
KDM3B,1327.0,0.37791414,200.0,-0.412524,-0.112959392
KDM4A,1148.0,0.378142374,166.0,0.425777,-0.003402629
KHSRP,1024.0,0.456900489,110.0,0.276564,0.077181818
KIAA2013,727.0,0.385456054,191.0,-0.368161,0.226430479
KIF20A,757.0,0.371463873,496.0,0.725242,-0.549608592
KIF22,75.0,0.392489541,388.0,-0.08965,-0.386556296
KIF2C,588.0,0.387865377,395.0,0.684576,-1.062654686
KIF3B,3792.0,0.390782105,180.0,0.346777,0.195611437
KIF3C,2392.0,0.403852971,657.0,-0.764916,-0.250305607
KIF5B,3198.0,0.418236129,470.0,-0.088806,0.001719356
KTI12,594.0,0.370414154,39.0,0.136265,-0.085675652
LAMP1,1311.0,0.390985106,281.0,-0.27337,0.127383525
LANCL2,2422.0,0.433733517,578.0,1.0298,-0.143141688
LAP3,503.0,0.426841798,162.0,0.43706,0.130134099
LDHD,1826.0,0.398770776,52.0,0.614954,0.415460902
LENG1,560.0,0.445950324,48.0,0.677839,0.469465745
LGALS3,159.0,0.420172221,88.0,0.312231,0.363106329
LGALS3BP,1225.0,0.419930622,179.0,0.826863,0.211088477
LGALS9,641.0,0.410654931,118.0,-0.056069,0.130006594
LIN54,4893.0,0.441729058,383.0,0.070441,-0.073903862
LPCAT1,2228.0,0.380803123,133.0,-0.412491,-0.163334185
LPXN,1776.0,0.432350833,254.0,0.014202,0.165089298
LRPPRC,2376.0,0.377375074,58.0,0.146687,-0.129720907
LRRC25,843.0,0.434491636,642.0,-0.022726,0.135454932
LRRC41,465.0,0.438391248,44.0,0.089095,-0.142043633
LRRC59,1755.0,0.423067849,236.0,2.820712,1.333163464
LSM1,486.0,0.409616526,410.0,0.639148,0.23449629
LSM6,1871.0,0.435100303,139.0,0.29473,0.052333604
LTA4H,391.0,0.355044638,145.0,-0.512577,-0.347829887
LYN,4058.0,0.418972994,282.0,0.055823,-0.043154598
LYPLAL1,1137.0,0.3973742,157.0,0.195717,-0.085998576
LYRM4,6830.0,0.366844497,217.0,-0.567857,-0.145865118
LYSMD2,596.0,0.394037378,501.0,-0.594393,-0.094500314
M6PR,1457.0,0.379162834,275.0,0.444574,0.225693722
MAD2L1,4528.0,0.407191351,124.0,1.157271,0.050273583
MAGED2,327.0,0.466698843,233.0,-0.17161,-0.407070082
MAGOH,153.0,0.416054235,162.0,0.23765,-0.098496849
MAN2B1,128.0,0.381728903,76.0,0.191262,-0.005046478
MANF,717.0,0.420319188,97.0,0.730138,0.391318612
MAP4K1,170.0,0.374128007,140.0,-0.582758,-0.102078537
MARCKSL1,768.0,0.468216312,206.0,0.581534,-0.107387922
MAX,2676.0,0.337149475,479.0,0.328662,0.281733404
MBD2,3723.0,0.420256858,229.0,0.045052,0.006834709
MBP,4041.0,0.393290432,264.0,-0.804111,-0.342815351
MCM2,662.0,0.460999542,110.0,0.758328,0.068483355
MCM4,2618.0,0.371821308,942.0,0.974691,0.048132848
MCM5,3214.0,0.470488076,94.0,0.132428,0.133451561
MDC1,658.0,0.415783633,440.0,0.202348,-0.147319727
MDH1,210.0,0.381672323,435.0,0.219627,-0.285868236
ME1,1535.0,0.411214685,265.0,0.529737,-0.070693537
ME3,171.0,0.395156177,377.0,-0.55808,-0.06882014
MECR,1365.0,0.445670958,612.0,-0.787424,-0.386037148
MED17,2631.0,0.366528813,275.0,0.251818,0.059919069
MED19,934.0,0.439623042,93.0,-0.196521,-0.160136371
MED28,10307.0,0.440157501,27.0,-0.00993,-0.1093652
MED29,4550.0,0.464327351,57.0,-0.100366,0.220108341
MEF2C,6848.0,0.41426337,654.0,-0.74033,0.382222444
MEN1,824.0,0.454590692,504.0,0.042095,0.329605128
METTL13,961.0,0.396264071,347.0,0.667892,0.145709219
MGST3,1295.0,0.374563048,428.0,-0.417612,0.037178296
MIF4GD,787.0,0.397877071,137.0,-0.353959,-0.169662867
MINK1,774.0,0.455972684,525.0,-0.383016,0.119838666
MIS12,1334.0,0.420723459,745.0,0.034089,0.085422606
MLEC,5319.0,0.43043384,173.0,0.85973,0.555081316
MLX,1636.0,0.386664187,65.0,-0.600588,0.125934015
MMACHC,1852.0,0.382684622,371.0,0.322923,-0.246072575
MMADHC,5382.0,0.406207656,205.0,0.073831,-0.070038552
MMGT1,4451.0,0.406300672,388.0,0.15826,0.604206797
MMP1,502.0,0.392399458,189.0,5.49522,0.649488892
MMP14,1722.0,0.419367787,285.0,0.998317,0.590097985
MMP9,193.0,0.404253633,19.0,-0.709268,-1.273414083
MORC3,2052.0,0.406702124,375.0,0.379879,-0.067099634
MORF4L1,1066.0,0.420719378,454.0,-0.035336,0.342468451
MOV10,619.0,0.412681236,1415.0,0.740691,0.236729141
MPDU1,797.0,0.440676037,216.0,-0.144843,0.458458764
MPHOSPH10,87.0,0.404440607,352.0,0.027502,0.103439832
MRI1,2018.0,0.459301832,75.0,-0.537077,-0.218548978
MRPL13,1075.0,0.395373051,313.0,0.872917,-0.241670138
MRPL15,1888.0,0.407701507,63.0,0.654546,-0.21709003
MRPL16,212.0,0.368940255,214.0,-0.149663,-0.254281541
MRPL17,6554.0,0.424450505,105.0,0.435573,0.07967656
MRPL2,580.0,0.458698472,164.0,0.290952,-0.016950687
MRPL20,187.0,0.445765675,96.0,-0.489778,-0.215139077
MRPL21,55.0,0.417448467,293.0,0.142547,-0.289001454
MRPL27,2133.0,0.436300758,31.0,2.542593,0.124955382
MRPL40,113.0,0.406843086,653.0,-0.004301,-0.239669112
MRPL46,1889.0,0.422788385,25.0,-0.324713,-0.212258015
MRPL48,1284.0,0.368940255,212.0,0.146376,0.052819272
MRPL51,2069.0,0.35376587,169.0,0.498478,-0.303135549
MRPL53,198.0,0.441261883,155.0,0.248177,-0.305084795
MRPL9,407.0,0.432679379,437.0,0.368828,-0.168818363
MRPS11,2793.0,0.477818717,1491.0,-0.167114,-0.151874743
MRPS15,468.0,0.440649404,164.0,0.188882,0.06778222
MRPS17,1334.0,0.413812124,30.0,1.074169,-0.204515426
MRPS18B,936.0,0.408462865,157.0,0.21037,-0.275437373
MRPS36,933.0,0.3748339,84.0,-0.573844,-0.399143555
MRPS7,453.0,0.455992019,233.0,0.231001,-0.257922831
MSI2,5168.0,0.366385762,173.0,-0.214403,-0.481551745
MSTO1,694.0,0.421389639,1152.0,0.378111,0.084766895
MT1E,291.0,0.588704726,179.0,-1.149511,-0.759168602
MT2A,316.0,0.576670685,123.0,-0.892628,-0.861137481
MTA2,684.0,0.459443446,761.0,-0.124905,-0.125804939
MTFMT,1550.0,0.414190941,26.0,-0.356175,-0.325266845
MTHFS,1663.0,0.434592403,179.0,-0.424136,-0.173936448
MTMR1,2442.0,0.424163835,319.0,0.528489,-0.028814867
MTMR14,421.0,0.371137969,151.0,-0.008947,-0.045071597
MVP,50.0,0.435053297,193.0,0.032173,0.03173404
MX1,456.0,0.433488503,982.0,1.252614,-0.523722607
MX2,1812.0,0.430094961,104.0,1.103629,0.584746294
MYADM,2833.0,0.384589896,681.0,-0.001353,0.208438704
MYCBP,3972.0,0.381803634,73.0,0.143819,-0.226176232
MYL12A,812.0,0.453450746,478.0,-0.332962,-0.078883408
MYO18A,3647.0,0.395788337,484.0,-0.433758,-0.153487348
MYO9B,1401.0,0.398943925,152.0,-0.047521,0.243056166
N6AMT1,5137.0,0.427535625,28.0,0.598852,0.55873161
NAA40,3212.0,0.389371031,261.0,-0.169023,0.247578327
NAB1,2433.0,0.361024962,572.0,-0.185034,-0.103143756
NADK,1672.0,0.3959688,563.0,-0.58747,-0.132623025
NADSYN1,464.0,0.447848979,126.0,-0.424895,-0.201471216
NAGK,1297.0,0.42527382,474.0,0.272206,0.100320737
NANS,37.0,0.458552255,132.0,1.009956,-0.017803072
NAPA,1862.0,0.477781443,318.0,-0.081698,0.002547831
NAT10,4915.0,0.387474071,245.0,0.18779,0.220228381
NBAS,140.0,0.414580543,44.0,0.388258,0.267479046
NCALD,2767.0,0.374888213,460.0,-1.00859,-0.482092636
NCAPD3,2971.0,0.431957579,606.0,0.09792,-0.030523702
NCAPG2,3501.0,0.41630572,200.0,0.208341,-0.399334068
NCF1,2381.0,0.415579251,70.0,0.429747,-0.090331979
NCK2,1267.0,0.457831152,276.0,-0.449561,-0.091771702
NCKIPSD,4981.0,0.449411541,126.0,0.063913,0.07119637
NCOA5,1332.0,0.416761948,402.0,0.62587,0.199826258
NCOA7,3259.0,0.404217869,470.0,-0.434282,-0.198636776
NDC80,61.0,0.356199389,182.0,0.046006,-0.336112976
NDRG2,841.0,0.376266446,941.0,-0.617196,-0.699036099
NDUFA4,1685.0,0.439642808,129.0,0.017154,-0.303732886
NEU1,667.0,0.413226082,156.0,0.235977,-0.000168717
NFATC2IP,3242.0,0.412267479,15.0,-0.447352,-0.425838195
NFKB1,708.0,0.4099683,467.0,-0.258543,-0.30361497
NFKB2,153.0,0.424806573,563.0,-0.384792,-0.314996735
NFKBIE,1053.0,0.409138176,25.0,-0.287146,0.084664698
NGDN,1255.0,0.423783924,27.0,0.570675,0.19449417
NGRN,1679.0,0.414477409,50.0,-0.333483,-0.062972236
NINJ1,5217.0,0.455972644,71.0,0.332787,0.032298906
NIP7,1593.0,0.443769116,318.0,0.388218,0.300355918
NIT2,2351.0,0.432361565,74.0,-0.244955,-0.48189217
NMNAT3,2689.0,0.397393877,1228.0,-1.855475,-0.331949782
NMT1,3377.0,0.454689408,31.0,-0.526408,-0.083287348
NONO,1092.0,0.432928506,710.0,0.432025,0.025255565
NOP14,912.0,0.38067473,187.0,0.0685,0.249145382
NOP2,785.0,0.393538298,198.0,0.525156,0.273767021
NOTCH2,6062.0,0.409327653,297.0,0.61204,0.378949267
NPTN,1068.0,0.388989686,197.0,0.185944,0.191070579
NR2C2,6271.0,0.390767743,362.0,-0.14618,-0.079701595
NRBF2,883.0,0.43605128,224.0,-0.062806,0.372155697
NRF1,1901.0,0.447602651,500.0,-0.167451,0.035011301
NRGN,833.0,0.413631862,152.0,0.995804,0.71340897
NRP1,3846.0,0.416817106,523.0,-0.297258,0.151939029
NSFL1C,1587.0,0.42738001,868.0,0.44252,0.11848076
NSMAF,602.0,0.358586884,214.0,-0.741129,0.141334104
NTAN1,178.0,0.344459601,320.0,0.460838,0.252360572
NUBP1,246.0,0.455923678,142.0,-0.098893,-0.403907839
NUCKS1,5461.0,0.359398328,271.0,0.156608,-0.165024037
NUDC,716.0,0.476401948,127.0,-0.439195,-0.160503811
NUDT16,5489.0,0.428387545,75.0,0.018673,-0.003832168
NUMA1,663.0,0.474508115,436.0,-0.119822,-0.175898388
NUP93,5678.0,0.382018893,495.0,0.468216,0.092474863
NXF1,2943.0,0.375826754,136.0,-0.246969,-0.062389989
OCIAD2,4872.0,0.363821488,322.0,-0.520956,-0.304096845
OGDH,1071.0,0.396078149,159.0,-0.224638,-0.230680179
OPA3,7233.0,0.475004358,100.0,-0.153597,0.066085544
OSBPL2,2363.0,0.383456763,571.0,1.014834,0.422146237
OSBPL5,1099.0,0.381371042,158.0,0.204449,0.347593374
OVCA2,792.0,0.429983078,65.0,-0.356203,-0.17204201
P2RX4,573.0,0.442596273,304.0,0.698896,0.770620286
PAAF1,509.0,0.376143366,341.0,-0.021358,0.013723497
PACSIN2,1591.0,0.413490434,405.0,0.142288,-0.145701798
PARK7,451.0,0.457171775,163.0,-0.681546,-0.440817312
PARP1,769.0,0.460215809,171.0,0.159285,-0.155977377
PARP10,332.0,0.422654659,200.0,0.77211,0.351797969
PARP12,816.0,0.416480622,874.0,0.092715,0.29902089
PARP14,2243.0,0.414355918,59.0,1.073028,0.564876338
PARP9,451.0,0.418102187,327.0,0.645112,0.122931257
PARVG,2043.0,0.383803232,484.0,-0.043871,0.208386485
PBK,750.0,0.413339119,464.0,0.244157,-0.515139988
PCNA,338.0,0.425000199,239.0,1.024827,0.21489912
PDAP1,2007.0,0.464659554,134.0,-0.452299,-0.357427833
PDCD2,155.0,0.440448783,111.0,-0.022856,0.05134723
PDCD2L,48.0,0.433436103,33.0,0.043299,-0.040227489
PDCD6IP,3211.0,0.388727459,158.0,0.153752,0.031421962
PDHA1,2054.0,0.402514578,145.0,0.483968,0.027631761
PDHB,2974.0,0.442593378,43.0,-0.015513,-0.09790361
PDLIM1,357.0,0.379179626,233.0,-0.154414,-0.146717902
PDXDC1,2055.0,0.375670185,335.0,0.724648,0.203309687
PDXK,6244.0,0.398158884,198.0,0.329498,0.055626116
PEBP1,796.0,0.360152166,326.0,-0.159033,-0.279706065
PEF1,769.0,0.441759403,424.0,0.097117,-0.05155791
PELO,5222.0,0.385240523,985.0,-0.296195,-0.119342562
PEPD,395.0,0.450896903,133.0,-0.277492,0.2287323
PEX16,585.0,0.43213601,312.0,-0.312294,0.235215452
PEX6,946.0,0.370078344,93.0,-0.867698,-0.284796029
PEX7,2294.0,0.407005497,102.0,0.161138,-0.055196543
PFDN5,124.0,0.497062947,117.0,-0.438187,0.122515478
PFDN6,574.0,0.470152145,222.0,1.0779,0.340523026
PGM1,570.0,0.393980016,681.0,-0.158504,-0.159595381
PHB,988.0,0.45268542,190.0,2.59162,-0.19578566
PHF10,104.0,0.365149381,79.0,-0.840924,-0.189816571
PI4K2A,2692.0,0.385068362,57.0,-0.388028,0.034798467
PIAS1,3626.0,0.396022529,741.0,-0.39598,-0.08031886
PIGH,1430.0,0.434471606,98.0,-0.010715,0.347682028
PIK3AP1,3866.0,0.407313024,128.0,0.648105,-0.069849111
PIR,205.0,0.385796208,485.0,-0.901767,-0.804367916
PITPNC1,4686.0,0.369070722,874.0,1.355037,0.464901623
PLA2G7,1187.0,0.402486321,269.0,1.945664,-0.096397009
PLAUR,323.0,0.418467601,226.0,0.745781,-0.002588651
PLCB2,818.0,0.468984469,301.0,0.214469,0.136123127
PLCG1,3987.0,0.454806205,121.0,0.650682,0.298156682
PLD4,273.0,0.377985619,192.0,-1.557474,-0.611827381
PLEKHO1,5192.0,0.424698037,839.0,-0.157878,-0.107675145
PLEKHO2,2119.0,0.429714475,134.0,0.321568,0.216456017
PLSCR1,10376.0,0.415598704,388.0,0.778037,0.014113448
PML,3324.0,0.431306474,140.0,-0.383718,0.134625983
POLR1C,1131.0,0.439933821,86.0,0.214691,-0.240724014
POLR1D,1469.0,0.427162265,456.0,-0.946005,-0.130977758
POLR2F,1600.0,0.47244007,250.0,-0.978806,-0.160652164
POLR2H,1065.0,0.427596015,1167.0,0.009995,-0.131408752
POLR3H,3481.0,0.444306047,388.0,-0.025312,-0.105952951
POLR3K,1023.0,0.473025152,46.0,-0.256274,-0.043070068
PPA2,660.0,0.432735716,20.0,0.52288,-0.117701137
PPIE,4556.0,0.446406574,56.0,0.214724,-0.179241891
PPIL1,1921.0,0.453832883,252.0,0.58956,0.305842194
PPP1R14B,282.0,0.457456004,268.0,0.158861,0.133585271
PRC1,1136.0,0.367783806,234.0,0.114431,-0.411887704
PRCC,357.0,0.381841119,290.0,0.080365,-0.028178117
PRDX1,303.0,0.414090753,341.0,-0.07311,-0.539114531
PRDX6,944.0,0.433706552,51.0,0.311492,-0.178396271
PREB,658.0,0.378530018,403.0,0.446167,0.485164541
PREP,579.0,0.425974009,233.0,0.060685,-0.391546346
PRG4,784.0,0.366727173,51.0,1.756343,-0.21965605
PRIM2,1166.0,0.350864643,125.0,0.627476,0.412465249
PRKAB1,1305.0,0.365943644,289.0,-0.047174,-0.138933879
PRKAR2A,5019.0,0.427443141,254.0,0.699037,0.029859905
PRKCB,5795.0,0.38010529,197.0,-0.027668,-0.209188406
PRKCD,451.0,0.404392693,469.0,0.977197,0.282679316
PRKRA,683.0,0.420894136,659.0,-0.216627,-0.040635391
PRKRIP1,3224.0,0.453589322,55.0,-0.03611,-0.134946277
PRMT5,393.0,0.386451423,508.0,0.151637,-0.169127293
PRMT7,3655.0,0.450088803,850.0,0.084667,0.11807014
PROCR,549.0,0.357872186,218.0,-0.371292,-0.037707077
PRPS1,3908.0,0.466551451,409.0,-0.784531,-0.340739982
PRPSAP1,2056.0,0.390811115,688.0,-0.458722,-0.224679636
PRRC1,3173.0,0.409170839,188.0,0.551634,-0.002151106
PSMA5,2997.0,0.446573967,225.0,0.5855,-0.371252943
PSMA6,187.0,0.423632682,445.0,0.584353,-0.298416376
PSMB10,58.0,0.455018511,128.0,0.275148,-0.210525198
PSMB2,3775.0,0.389848815,412.0,0.239492,-0.268308664
PSMB8,242.0,0.411206622,522.0,0.185833,-0.139444275
PSMB9,5497.0,0.431095699,69.0,-0.447612,-0.242735304
PSMC3,66.0,0.485654947,194.0,0.229539,-0.060903388
PSMD11,2567.0,0.390095635,61.0,-0.157681,-0.145879919
PSMD13,384.0,0.437236365,242.0,0.33589,-0.012986181
PSMD8,450.0,0.458928351,52.0,0.344842,0.159757016
PSME2,53.0,0.443656162,65.0,0.818442,0.032459298
PSMG1,5308.0,0.427553471,578.0,0.623493,-0.130863056
PSTPIP2,1923.0,0.429639796,96.0,-1.255077,-0.433288125
PTBP1,1504.0,0.473818895,106.0,0.028717,-0.113073175
PTDSS1,3765.0,0.367954205,423.0,-0.018105,-0.035571123
PTGS1,3346.0,0.37260918,633.0,0.072078,0.132317765
PTP4A1,3419.0,0.421202001,1153.0,0.048872,-0.400736621
PTPMT1,1899.0,0.450492628,193.0,-0.053663,-0.07447819
PTPN18,2185.0,0.381656528,101.0,0.022881,-0.262074563
PTPN7,1593.0,0.440747449,781.0,-0.108206,0.202017763
PTPRE,2994.0,0.426620112,1843.0,-0.656239,0.073808527
PTPRF,4571.0,0.452810321,356.0,0.054404,-0.457933679
PTRH2,3186.0,0.370743372,1544.0,2.297547,1.437048274
PWWP2B,819.0,0.424412275,29.0,-0.062196,0.103212535
PYCR2,578.0,0.474148407,230.0,-0.651525,-0.548502626
PYGL,175.0,0.392036998,127.0,1.765175,0.501433135
QARS,97.0,0.458996209,396.0,0.519819,0.097112969
RAB11FIP1,4277.0,0.380614122,56.0,1.116957,0.312141818
RAB12,1120.0,0.38483812,283.0,-1.139305,-0.002577628
RAB21,5246.0,0.435367738,267.0,0.240587,0.213483828
RAB31,3231.0,0.437498832,175.0,0.698805,0.196852355
RAB35,2172.0,0.408841719,189.0,0.351838,0.095134484
RAB7A,1376.0,0.419395127,232.0,-0.292126,0.116922094
RAB8B,4163.0,0.425956778,96.0,-0.332233,0.179019583
RAB9A,1716.0,0.417525007,283.0,0.941024,0.374980012
RABGGTA,77.0,0.387342734,512.0,0.382281,0.116649886
RABGGTB,440.0,0.409412379,78.0,-0.189784,0.055251718
RABIF,4760.0,0.447399225,159.0,0.325386,0.1720383
RACGAP1,1895.0,0.366370127,354.0,0.885605,0.156364678
RAD9A,924.0,0.444046557,185.0,-0.17851,0.052237802
RAE1,1112.0,0.432613552,365.0,0.865114,0.077166866
RAI1,1472.0,0.455620822,469.0,-0.497546,-0.12264305
RAN,2043.0,0.442855294,361.0,0.463218,-0.189449455
RANBP10,3359.0,0.379453562,1256.0,0.23543,0.164515027
RANGAP1,3145.0,0.481547647,765.0,-0.087985,-0.07625686
RAPGEF1,2727.0,0.425793135,159.0,-0.138909,0.054904754
RARS,114.0,0.423508657,41.0,0.415147,0.0047606
RBBP4,6506.0,0.404056961,164.0,0.248433,-0.342731991
RBBP5,3098.0,0.421849625,474.0,0.128368,0.141484688
RBKS,251.0,0.392307233,1371.0,-0.251528,-0.258842676
RBM12,3599.0,0.375183789,304.0,0.418535,0.021515348
RBM14,3443.0,0.468008211,139.0,0.008016,0.145831228
RBM4B,5277.0,0.396841232,170.0,-0.08991,-0.275724474
RBMX,1201.0,0.353737079,210.0,-0.019076,0.174891017
RBPJ,4223.0,0.4178224,518.0,0.149801,0.105542933
RBX1,821.0,0.46562919,52.0,-0.134191,0.066972669
RC3H1,7637.0,0.410085914,87.0,0.623847,0.137192714
RCCD1,1773.0,0.374130224,280.0,-0.583662,-0.079437407
RCOR1,4070.0,0.439565312,228.0,0.472677,0.051462154
REEP4,591.0,0.460338979,469.0,0.026439,0.441265763
REEP5,2962.0,0.457536941,144.0,-0.125622,0.299764535
RELB,408.0,0.418226182,131.0,-0.890705,-0.361858751
REPIN1,2683.0,0.45080531,489.0,0.272686,0.260576174
RET,2082.0,0.379562012,357.0,1.375528,0.292555316
RFC4,89.0,0.411167541,282.0,-0.122679,-0.12579524
RFK,1882.0,0.429285662,357.0,0.4939,0.134377846
RFX5,1546.0,0.386685917,221.0,-0.140609,-0.101061469
RFXAP,1850.0,0.421314391,156.0,-0.896719,-0.720872726
RHBDF2,740.0,0.423256567,294.0,-0.435423,0.456454009
RHOT2,568.0,0.454546166,881.0,-0.059126,-0.17334699
RNASEH1,4369.0,0.404567903,700.0,0.404474,0.03763955
RNASEH2B,3930.0,0.37625722,399.0,-0.551006,0.023482093
RNASET2,1070.0,0.374792559,407.0,0.469858,0.10320284
RNF114,1751.0,0.459950313,36.0,0.356902,0.2392322
RNF20,5226.0,0.396317502,92.0,0.39877,-0.088910203
RNF213,5288.0,0.417718743,150.0,0.762993,0.055810529
RNF216,2819.0,0.430061571,259.0,-0.118299,0.16375403
RNF25,102.0,0.375620157,88.0,-0.084721,-0.024925095
RNF31,88.0,0.389352607,358.0,0.653343,0.238187268
RNMT,4581.0,0.415128602,241.0,-0.368364,-0.311176188
RNPEP,463.0,0.447181346,896.0,-0.06632,-0.222482054
RPA1,2907.0,0.381710028,170.0,-0.530246,-0.392997942
RPA2,639.0,0.400070522,793.0,-0.519023,-0.422177309
RPAIN,471.0,0.394698889,570.0,-0.765356,-0.455063619
RPL11,461.0,0.442317923,45.0,-1.046,-0.220973837
RPL14,5208.0,0.496792394,133.0,-0.532019,-0.236876052
RPL23,3146.0,0.464880603,90.0,-1.054601,0.054418505
RPL26,53.0,0.427802183,389.0,-1.495973,0.396783238
RPL31,1260.0,0.451994935,87.0,-0.562065,0.155810856
RPL34,1350.0,0.436455219,198.0,-0.29357,0.489440797
RPL5,1058.0,0.451564158,75.0,-0.576979,0.145835036
RPL7,1077.0,0.460258279,707.0,-0.097724,0.062319545
RPS11,373.0,0.483080585,92.0,-0.946219,0.155160159
RPS24,4247.0,0.430653047,142.0,-0.964224,-0.056134107
RPS25,109.0,0.467193878,63.0,-0.576329,0.087451136
RPS27A,743.0,0.450449292,321.0,-0.318496,0.013195598
RPS3A,306.0,0.426765211,80.0,-0.504235,0.151051811
RPS4X,629.0,0.442998752,96.0,-0.6378,-0.044012866
RPS6,2723.0,0.413925579,42.0,-1.177641,0.160229437
RPS6KA1,828.0,0.389798854,163.0,-0.620584,-0.253193284
RPS6KA4,735.0,0.38455359,226.0,-0.286096,0.127694309
RPS7,66.0,0.428822459,109.0,-0.638327,-0.101356897
RPTOR,2341.0,0.385169267,805.0,0.146099,-0.217920336
RREB1,3012.0,0.456825357,492.0,0.656105,0.332334196
RRM1,2304.0,0.437568848,689.0,0.387909,0.476822145
RRP8,5071.0,0.446233376,148.0,0.168481,0.12189202
RRS1,978.0,0.468289248,104.0,0.340205,0.247083092
RTN3,1690.0,0.358048129,187.0,0.163405,0.560676194
RTN4IP1,1108.0,0.372133716,477.0,0.222688,-0.422346981
RUNX1,4334.0,0.416076551,1578.0,0.120253,0.344475969
RWDD1,6365.0,0.401367905,746.0,-0.838722,-0.129076476
S100A8,71.0,0.444112716,170.0,1.417661,-2.26197426
S100A9,189.0,0.439508357,43.0,0.950936,-2.418546731
SAMD9,1815.0,0.395660052,270.0,0.544422,-0.021498925
SAMD9L,1162.0,0.396305952,1248.0,0.197448,0.013560951
SAMM50,150.0,0.345249646,197.0,-0.009998,-0.073429255
SAMSN1,684.0,0.407246581,430.0,0.569862,-0.06081423
SAP18,1754.0,0.427429047,39.0,-0.602044,0.031352053
SAP30BP,1541.0,0.449617255,257.0,-0.156091,-0.129880876
SAR1A,5213.0,0.411769389,203.0,0.111327,0.070350396
SAR1B,5806.0,0.392367964,253.0,0.363188,-0.293510071
SARS,1054.0,0.40098191,100.0,-0.08917,0.018777747
SASH3,1369.0,0.387406112,182.0,0.53047,0.031380635
SCAMP4,1741.0,0.472519575,351.0,-0.058038,-0.010814412
SCO1,8645.0,0.407339367,61.0,-0.252041,-0.283522884
SDCCAG8,307.0,0.360606297,1542.0,-0.09838,-0.052442623
SEC11C,205.0,0.423646802,92.0,0.739138,0.73828083
SEC13,332.0,0.457264526,210.0,0.584248,0.043353367
SEC14L1,2986.0,0.420320088,665.0,-0.327538,0.183506839
SEC22A,2559.0,0.422343815,79.0,0.326046,0.420814758
SEC24B,1221.0,0.400931805,155.0,0.159951,0.175620317
SEC24D,2115.0,0.386600041,297.0,1.10328,0.510696899
SEC61B,270.0,0.404562259,76.0,0.386016,0.355119371
SEMA3F,960.0,0.38837398,318.0,-0.37707,-0.503863633
SEMA4D,2318.0,0.393173667,572.0,-0.230741,0.057262539
SERPINA1,1707.0,0.420489385,573.0,-1.682545,-0.528230364
SERPINB8,2096.0,0.38524815,520.0,-0.304197,0.13726407
SETMAR,321.0,0.414235412,398.0,-0.494991,-0.278844542
SEZ6L2,540.0,0.431800162,245.0,0.167313,-0.227681065
SF1,2419.0,0.374481437,721.0,-0.032369,-0.045488204
SF3B2,563.0,0.453902675,40.0,0.038265,-0.099605657
SFXN4,500.0,0.402513841,45.0,0.155986,-0.692985992
SH3BP1,433.0,0.395530944,313.0,-0.260331,-0.062060498
SH3PXD2B,4870.0,0.420952884,171.0,-0.016291,0.034271782
SHMT1,4335.0,0.394510245,509.0,-0.934693,-0.665883391
SIGLEC1,1590.0,0.42099348,0.0,1.90335,0.421160507
SIPA1,2933.0,0.437718847,296.0,-0.503625,0.127397879
SIRPA,3027.0,0.429235057,360.0,0.140557,0.351906481
SKP1,8791.0,0.433886974,179.0,-0.163893,-0.091859546
SLBP,3046.0,0.391438372,553.0,0.122984,-0.01249357
SLC25A10,1929.0,0.386184273,191.0,0.247178,-0.098072048
SLC25A19,477.0,0.386093473,224.0,-0.112895,0.183150734
SLC25A20,787.0,0.382641976,199.0,-0.304233,-0.212262048
SLC25A3,504.0,0.383836987,354.0,0.390476,0.219411833
SLC25A40,2688.0,0.363984785,375.0,-0.135522,-0.628486688
