,3prime,tAI,max_5_UTR_length,TCGA-C8-A12T,TCGA-C8-A12T.1
IL1RN,1145.0,0.411881061,408.0,0.564105,0.746698288
IL4I1,16.0,0.4139018,621.0,0.968004,-0.043197993
ILF2,656.0,0.426220446,239.0,0.193612,0.131813899
IMPA2,2898.0,0.383680893,242.0,0.884407,-0.407211503
INO80,5209.0,0.374025479,351.0,-0.632556,-0.080065783
INPP1,263.0,0.395712795,700.0,-0.80573,0.098287836
INPP5D,1195.0,0.436077769,512.0,-0.576067,0.042221729
INSR,4801.0,0.380857973,411.0,-0.856624,-0.487237254
IPO5,2508.0,0.381335948,180.0,0.264509,0.159897844
IRF7,92.0,0.423538356,367.0,0.394766,0.275207719
IRF8,1327.0,0.384714127,507.0,-0.403143,0.171851946
IRF9,369.0,0.432057622,127.0,0.235798,0.471397151
IRGQ,7659.0,0.399674011,156.0,0.01048,0.224665215
ISCU,607.0,0.454630229,1331.0,-0.375241,-0.217380077
ISG15,62.0,0.419522688,77.0,0.501727,-0.721773154
ISG20,952.0,0.419932377,2368.0,-0.337567,0.153789696
ISOC1,1056.0,0.418535314,18.0,0.007042,0.182485629
ITGB2,415.0,0.457304004,395.0,0.41199,-0.655306657
ITPKB,2981.0,0.440250717,340.0,0.308797,-0.270023875
JUNB,496.0,0.414023332,276.0,0.260967,0.417643791
JUP,157.0,0.458302936,298.0,-0.201524,0.135789376
KANK2,2291.0,0.394238955,361.0,0.545258,0.193224705
KARS,4202.0,0.383913431,144.0,0.664406,0.35882185
KDM1A,327.0,0.428444011,149.0,0.377489,0.168464363
KDM2A,3716.0,0.372295488,864.0,0.400964,-0.206169753
KDM2B,2488.0,0.393022165,407.0,0.320383,0.122154111
KDM3B,1327.0,0.37791414,200.0,-0.059302,0.160944805
KDM4A,1148.0,0.378142374,166.0,0.627981,0.421940136
KHSRP,1024.0,0.456900489,110.0,0.557429,0.100271563
KIAA2013,727.0,0.385456054,191.0,-0.020512,-0.292195187
KIF20A,757.0,0.371463873,496.0,2.013926,0.395676968
KIF22,75.0,0.392489541,388.0,0.713578,0.053577273
KIF2C,588.0,0.387865377,395.0,1.534301,-0.116223683
KIF3B,3792.0,0.390782105,180.0,-1.17533,-0.441869148
KIF5B,3198.0,0.418236129,470.0,-0.074188,-0.08982359
KTI12,594.0,0.370414154,39.0,0.273227,0.000293095
LAMP1,1311.0,0.390985106,281.0,0.413108,-0.447010882
LANCL2,2422.0,0.433733517,578.0,0.216883,-0.009455641
LAP3,503.0,0.426841798,162.0,0.283161,0.409475004
LDHD,1826.0,0.398770776,52.0,-2.723261,-0.115248733
LENG1,560.0,0.445950324,48.0,1.772854,-0.274836447
LGALS3,159.0,0.420172221,88.0,0.400294,0.126473734
LGALS3BP,1225.0,0.419930622,179.0,-0.127071,-0.395621296
LGALS9,641.0,0.410654931,118.0,0.190099,0.41265653
LIN54,4893.0,0.441729058,383.0,0.316201,0.153806127
LPCAT1,2228.0,0.380803123,133.0,-0.426814,-0.261028365
LPXN,1776.0,0.432350833,254.0,-0.375046,0.31907518
LRPPRC,2376.0,0.377375074,58.0,0.34226,-0.245646383
LRRC25,843.0,0.434491636,642.0,0.446595,-0.020927984
LRRC41,465.0,0.438391248,44.0,0.51598,0.173704609
LRRC59,1755.0,0.423067849,236.0,2.740172,0.023759403
LSM1,486.0,0.409616526,410.0,0.749563,0.39486722
LSM6,1871.0,0.435100303,139.0,0.293316,0.08690673
LTA4H,391.0,0.355044638,145.0,0.413056,-0.212464889
LYN,4058.0,0.418972994,282.0,-0.440471,-0.433350477
LYPLAL1,1137.0,0.3973742,157.0,-0.439317,0.0110404
LYRM4,6830.0,0.366844497,217.0,-0.009472,-0.049699415
LYSMD2,596.0,0.394037378,501.0,-0.910235,-0.427327048
M6PR,1457.0,0.379162834,275.0,-0.156792,-0.952379352
MAD2L1,4528.0,0.407191351,124.0,1.217754,0.24589421
MAFB,2032.0,0.405989564,390.0,0.616022,0.228127585
MAGED2,327.0,0.466698843,233.0,1.944969,0.594562204
MAGOH,153.0,0.416054235,162.0,0.094954,0.125477773
MAN2B1,128.0,0.381728903,76.0,0.398563,0.127951912
MANF,717.0,0.420319188,97.0,0.266669,0.353834506
MAP4K1,170.0,0.374128007,140.0,-0.868118,-0.09960435
MARCKSL1,768.0,0.468216312,206.0,1.073245,0.185611054
MAX,2676.0,0.337149475,479.0,0.05149,-0.124624575
MBD2,3723.0,0.420256858,229.0,1.319158,0.460297831
MBP,4041.0,0.393290432,264.0,-1.21188,-0.777183085
MCM2,662.0,0.460999542,110.0,1.071814,0.28877406
MCM4,2618.0,0.371821308,942.0,1.567685,0.396994899
MCM5,3214.0,0.470488076,94.0,0.915593,0.032213506
MDC1,658.0,0.415783633,440.0,-0.296986,-0.311497873
MDH1,210.0,0.381672323,435.0,0.197275,-0.270535017
ME1,1535.0,0.411214685,265.0,-1.213835,-0.628902192
ME3,171.0,0.395156177,377.0,-0.733881,-0.271338794
MECR,1365.0,0.445670958,612.0,0.263742,-0.349395191
MED17,2631.0,0.366528813,275.0,-0.675359,-0.178996285
MED19,934.0,0.439623042,93.0,-0.310888,0.035540632
MED28,10307.0,0.440157501,27.0,0.135176,0.075338742
MED29,4550.0,0.464327351,57.0,-0.309931,-0.059330757
MEF2C,6848.0,0.41426337,654.0,-0.806229,0.114006404
MEN1,824.0,0.454590692,504.0,0.465888,-0.167317724
METTL13,961.0,0.396264071,347.0,-0.256834,0.177172941
MGST3,1295.0,0.374563048,428.0,0.091093,-1.627248176
MIF4GD,787.0,0.397877071,137.0,-0.549938,0.071122528
MINK1,774.0,0.455972684,525.0,0.475574,-0.437356699
MIS12,1334.0,0.420723459,745.0,-0.18891,-0.680655085
MLEC,5319.0,0.43043384,173.0,0.199655,-0.789474253
MLLT10,2252.0,0.36295117,1568.0,-0.335026,-0.964114063
MLX,1636.0,0.386664187,65.0,-0.573346,-0.022530385
MMACHC,1852.0,0.382684622,371.0,-0.250119,-0.06143312
MMADHC,5382.0,0.406207656,205.0,-0.402786,0.23573257
MMP1,502.0,0.392399458,189.0,4.173067,0.317635847
MMP14,1722.0,0.419367787,285.0,2.039828,0.091567393
MMP9,193.0,0.404253633,19.0,-0.901094,-0.460797103
MORC3,2052.0,0.406702124,375.0,-0.593422,0.075913832
MORF4L1,1066.0,0.420719378,454.0,0.475938,0.01782952
MOV10,619.0,0.412681236,1415.0,0.272195,0.644803054
MPDU1,797.0,0.440676037,216.0,-0.112653,-1.046368752
MPHOSPH10,87.0,0.404440607,352.0,-0.190568,0.081181385
MRI1,2018.0,0.459301832,75.0,-0.701436,-0.086103782
MRPL13,1075.0,0.395373051,313.0,0.924564,-0.264366966
MRPL15,1888.0,0.407701507,63.0,0.402347,-0.173055817
MRPL16,212.0,0.368940255,214.0,0.117255,-0.223832798
MRPL17,6554.0,0.424450505,105.0,0.333692,-0.111852857
MRPL2,580.0,0.458698472,164.0,0.119338,-0.724579039
MRPL20,187.0,0.445765675,96.0,0.525492,-0.049721846
MRPL21,55.0,0.417448467,293.0,0.92967,-0.198223389
MRPL27,2133.0,0.436300758,31.0,2.651168,-0.30299015
MRPL40,113.0,0.406843086,653.0,0.01135,-0.073656797
MRPL46,1889.0,0.422788385,25.0,-0.105163,-0.085731533
MRPL48,1284.0,0.368940255,212.0,1.243398,-0.3348784
MRPL51,2069.0,0.35376587,169.0,0.401302,0.109133595
MRPL53,198.0,0.441261883,155.0,0.147045,-0.229192874
MRPL9,407.0,0.432679379,437.0,0.186356,-0.109979664
MRPS11,2793.0,0.477818717,1491.0,0.39244,0.031945804
MRPS15,468.0,0.440649404,164.0,0.676749,-0.486471062
MRPS17,1334.0,0.413812124,30.0,-0.051037,-0.279002321
MRPS18B,936.0,0.408462865,157.0,-0.227698,-0.083054151
MRPS36,933.0,0.3748339,84.0,0.244983,-0.002990646
MRPS7,453.0,0.455992019,233.0,0.166607,-0.372098345
MSI2,5168.0,0.366385762,173.0,-1.049346,-0.032654789
MSTO1,694.0,0.421389639,1152.0,-0.033559,-0.032495741
MT1E,291.0,0.588704726,179.0,0.453009,0.180210999
MT2A,316.0,0.576670685,123.0,1.04941,0.500886607
MTA2,684.0,0.459443446,761.0,0.561776,-0.054116661
MTFMT,1550.0,0.414190941,26.0,0.097544,-0.020247272
MTHFS,1663.0,0.434592403,179.0,0.456812,-0.083055594
MTMR1,2442.0,0.424163835,319.0,0.245953,0.189654697
MTMR14,421.0,0.371137969,151.0,0.278774,0.305084706
MVP,50.0,0.435053297,193.0,0.292323,0.06286233
MX1,456.0,0.433488503,982.0,0.016109,-0.369980837
MX2,1812.0,0.430094961,104.0,-0.018692,-0.235870552
MYADM,2833.0,0.384589896,681.0,1.621628,-0.198511619
MYCBP,3972.0,0.381803634,73.0,0.663372,0.421910841
MYL12A,812.0,0.453450746,478.0,0.221089,0.349100804
MYO18A,3647.0,0.395788337,484.0,1.431092,0.478425507
MYO9B,1401.0,0.398943925,152.0,0.360393,-0.008348511
N6AMT1,5137.0,0.427535625,28.0,0.063325,-0.00884937
NAA40,3212.0,0.389371031,261.0,-0.131479,-0.079533891
NAB1,2433.0,0.361024962,572.0,-0.5795,-0.447721014
NADK,1672.0,0.3959688,563.0,0.064512,0.291929384
NADSYN1,464.0,0.447848979,126.0,0.891608,0.521916755
NAGK,1297.0,0.42527382,474.0,0.144087,0.076177868
NANS,37.0,0.458552255,132.0,-0.261684,-0.449800928
NAPA,1862.0,0.477781443,318.0,0.915639,0.338747259
NAT10,4915.0,0.387474071,245.0,0.168969,-0.158990983
NBAS,140.0,0.414580543,44.0,-0.047663,-0.042150913
NCALD,2767.0,0.374888213,460.0,-0.718847,0.023603244
NCAPD3,2971.0,0.431957579,606.0,1.080632,0.221307432
NCAPG2,3501.0,0.41630572,200.0,-0.154204,-0.166563594
NCF1,2381.0,0.415579251,70.0,0.445782,-0.141852608
NCK2,1267.0,0.457831152,276.0,0.046483,0.258971494
NCKIPSD,4981.0,0.449411541,126.0,0.072729,0.258009344
NCOA5,1332.0,0.416761948,402.0,0.396056,-0.006833712
NCOA7,3259.0,0.404217869,470.0,-1.560758,0.036242587
NDC80,61.0,0.356199389,182.0,1.34499,0.068675442
NDRG2,841.0,0.376266446,941.0,-1.743744,-0.279324335
NDUFA4,1685.0,0.439642808,129.0,-0.081804,-0.009373972
NEU1,667.0,0.413226082,156.0,-0.289964,-0.145651276
NFATC2IP,3242.0,0.412267479,15.0,-0.365181,0.13728013
NFKB1,708.0,0.4099683,467.0,0.085093,0.223212011
NFKB2,153.0,0.424806573,563.0,0.704017,0.072872653
NFKBIE,1053.0,0.409138176,25.0,0.128676,-0.029566271
NGDN,1255.0,0.423783924,27.0,0.32002,0.178802027
NGRN,1679.0,0.414477409,50.0,-0.348977,-0.696104131
NINJ1,5217.0,0.455972644,71.0,-0.253434,-1.319950876
NIP7,1593.0,0.443769116,318.0,0.385384,0.208387782
NIT2,2351.0,0.432361565,74.0,0.525979,0.313416654
NMNAT3,2689.0,0.397393877,1228.0,-3.06996,-0.538915336
NMT1,3377.0,0.454689408,31.0,-0.288542,-0.085920586
NONO,1092.0,0.432928506,710.0,0.479601,0.079932747
NOP14,912.0,0.38067473,187.0,0.414567,0.119711971
NOP2,785.0,0.393538298,198.0,0.195207,-0.185239867
NOTCH2,6062.0,0.409327653,297.0,-0.444546,-0.026511522
NPTN,1068.0,0.388989686,197.0,-0.118906,-0.583988863
NR2C2,6271.0,0.390767743,362.0,-0.775401,-0.240671494
NRBF2,883.0,0.43605128,224.0,0.242695,0.460015338
NRF1,1901.0,0.447602651,500.0,-0.146225,-0.123716531
NRGN,833.0,0.413631862,152.0,-0.294234,-0.697340832
NRP1,3846.0,0.416817106,523.0,0.210174,0.062379868
NSFL1C,1587.0,0.42738001,868.0,0.299878,-0.167723438
NSMAF,602.0,0.358586884,214.0,0.140622,-0.016990346
NTAN1,178.0,0.344459601,320.0,0.162543,-0.008767785
NUBP1,246.0,0.455923678,142.0,0.487784,0.058927884
NUCKS1,5461.0,0.359398328,271.0,-0.299196,-0.942685195
NUDC,716.0,0.476401948,127.0,0.846403,0.320188973
NUDT16,5489.0,0.428387545,75.0,-0.658116,0.000362524
NUMA1,663.0,0.474508115,436.0,0.658297,0.307869611
NUP93,5678.0,0.382018893,495.0,0.854589,0.026567551
NXF1,2943.0,0.375826754,136.0,-0.007922,0.058833562
OCIAD2,4872.0,0.363821488,322.0,-0.345564,-0.57603253
OGDH,1071.0,0.396078149,159.0,-0.195958,-0.137553503
OPA3,7233.0,0.475004358,100.0,-0.181495,-1.813002673
OSBPL2,2363.0,0.383456763,571.0,1.339654,0.886687996
OSBPL5,1099.0,0.381371042,158.0,0.027321,-0.553107685
OVCA2,792.0,0.429983078,65.0,-0.221388,0.001495182
P2RX4,573.0,0.442596273,304.0,-0.343117,-1.348238813
PAAF1,509.0,0.376143366,341.0,1.16484,0.613020048
PACSIN2,1591.0,0.413490434,405.0,0.483753,0.099069691
PARK7,451.0,0.457171775,163.0,0.587679,0.034811082
PARP1,769.0,0.460215809,171.0,-0.140126,-0.014319487
PARP10,332.0,0.422654659,200.0,-0.236289,-0.082117363
PARP12,816.0,0.416480622,874.0,-0.046515,0.169720439
PARP14,2243.0,0.414355918,59.0,-0.411769,0.067312562
PARP9,451.0,0.418102187,327.0,-0.215164,-0.108431425
PARVG,2043.0,0.383803232,484.0,-0.237483,0.347921285
PBK,750.0,0.413339119,464.0,1.996508,0.340047841
PCNA,338.0,0.425000199,239.0,1.0626,0.145257197
PDAP1,2007.0,0.464659554,134.0,0.525169,-0.333346675
PDCD2,155.0,0.440448783,111.0,0.595076,0.320810838
PDCD2L,48.0,0.433436103,33.0,0.260107,0.468354951
PDCD6IP,3211.0,0.388727459,158.0,0.049813,0.180125553
PDHA1,2054.0,0.402514578,145.0,0.362641,0.060536462
PDHB,2974.0,0.442593378,43.0,0.017336,0.15121305
PDLIM1,357.0,0.379179626,233.0,0.620903,0.391173147
PDXDC1,2055.0,0.375670185,335.0,-0.019527,0.09361672
PDXK,6244.0,0.398158884,198.0,0.00038,0.039435294
PEBP1,796.0,0.360152166,326.0,0.340499,0.178752862
PEF1,769.0,0.441759403,424.0,0.257999,0.135399407
PELO,5222.0,0.385240523,985.0,0.517522,-0.009268414
PEPD,395.0,0.450896903,133.0,-0.299185,0.191721579
PEX6,946.0,0.370078344,93.0,-0.199302,-0.03650151
PEX7,2294.0,0.407005497,102.0,-0.142984,0.09159961
PFDN5,124.0,0.497062947,117.0,0.223255,0.407360413
PFDN6,574.0,0.470152145,222.0,0.429659,0.212627544
PGM1,570.0,0.393980016,681.0,-0.425318,-0.279683223
PHB,988.0,0.45268542,190.0,3.169041,0.161277129
PHF10,104.0,0.365149381,79.0,-0.210803,0.230957442
PI4K2A,2692.0,0.385068362,57.0,0.497479,-0.848908908
PIAS1,3626.0,0.396022529,741.0,-0.440318,0.394983642
PIK3AP1,3866.0,0.407313024,128.0,-0.161621,-0.137211736
PIR,205.0,0.385796208,485.0,0.377828,-0.306819228
PITPNC1,4686.0,0.369070722,874.0,-0.053176,0.319193644
PLA2G4C,585.0,0.406173977,398.0,-1.121095,-0.076841823
PLAUR,323.0,0.418467601,226.0,1.456014,-0.357353187
PLCB2,818.0,0.468984469,301.0,-0.59302,0.205841314
PLCG1,3987.0,0.454806205,121.0,-0.376672,-0.076497749
PLD4,273.0,0.377985619,192.0,-1.842053,0.180419304
PLEKHO1,5192.0,0.424698037,839.0,0.286701,0.194587428
PLEKHO2,2119.0,0.429714475,134.0,-0.026506,-0.043131793
PML,3324.0,0.431306474,140.0,0.093762,0.083115662
POLR1C,1131.0,0.439933821,86.0,0.379647,0.342653576
POLR1D,1469.0,0.427162265,456.0,0.481744,0.505533776
POLR2F,1600.0,0.47244007,250.0,0.816303,-0.01392892
POLR2H,1065.0,0.427596015,1167.0,0.008568,0.204334322
POLR3H,3481.0,0.444306047,388.0,0.7593,0.357581697
POLR3K,1023.0,0.473025152,46.0,-0.045961,0.12604389
PPA2,660.0,0.432735716,20.0,0.05981,-0.144080985
PPIE,4556.0,0.446406574,56.0,0.315171,0.355817228
PPIL1,1921.0,0.453832883,252.0,0.159876,-0.259824806
PPP1R14B,282.0,0.457456004,268.0,1.248391,0.558934719
PRC1,1136.0,0.367783806,234.0,1.291063,0.143180992
PRCC,357.0,0.381841119,290.0,-0.266113,-0.216365431
PRDX1,303.0,0.414090753,341.0,0.380267,-0.038457374
PRDX6,944.0,0.433706552,51.0,0.10634,0.166399877
PREB,658.0,0.378530018,403.0,0.366269,-0.441030533
PREP,579.0,0.425974009,233.0,0.424418,-0.20380216
PRG4,784.0,0.366727173,51.0,-5.222451,-0.069434285
PRIM2,1166.0,0.350864643,125.0,0.401616,0.474885955
PRKAB1,1305.0,0.365943644,289.0,-0.555383,-0.014268657
PRKAR2A,5019.0,0.427443141,254.0,0.232904,0.180310671
PRKCB,5795.0,0.38010529,197.0,-1.164938,0.269508116
PRKCD,451.0,0.404392693,469.0,0.666131,0.259874755
PRKRA,683.0,0.420894136,659.0,-0.48823,0.161246898
PRKRIP1,3224.0,0.453589322,55.0,-0.16373,0.136630506
PRMT5,393.0,0.386451423,508.0,0.502074,-0.01090575
PRMT7,3655.0,0.450088803,850.0,1.260507,-0.010946033
PROCR,549.0,0.357872186,218.0,-0.467183,-0.0922538
PRPS1,3908.0,0.466551451,409.0,-0.489742,-0.138822619
PRPSAP1,2056.0,0.390811115,688.0,0.106094,0.040650944
PRRC1,3173.0,0.409170839,188.0,-0.001067,0.026738542
PSMA5,2997.0,0.446573967,225.0,0.50918,0.375511745
PSMA6,187.0,0.423632682,445.0,0.385065,0.256041238
PSMB10,58.0,0.455018511,128.0,0.743834,0.509678557
PSMB2,3775.0,0.389848815,412.0,0.705582,0.219500324
PSMB8,242.0,0.411206622,522.0,0.32768,0.246624824
PSMB9,5497.0,0.431095699,69.0,0.264012,0.366958314
PSMC3,66.0,0.485654947,194.0,-0.019525,0.117809569
PSMD11,2567.0,0.390095635,61.0,-0.289407,0.034924413
PSMD13,384.0,0.437236365,242.0,0.638993,0.111910318
PSMD8,450.0,0.458928351,52.0,0.271515,0.097214218
PSME2,53.0,0.443656162,65.0,0.629799,0.255203593
PSMG1,5308.0,0.427553471,578.0,0.593773,0.222995235
PSTPIP2,1923.0,0.429639796,96.0,-1.031561,-0.268272955
PTBP1,1504.0,0.473818895,106.0,0.50063,0.193225837
PTDSS1,3765.0,0.367954205,423.0,1.375492,-0.647839945
PTGS1,3346.0,0.37260918,633.0,0.0837,-0.137987958
PTP4A1,3419.0,0.421202001,1153.0,0.048959,-0.042607102
PTPMT1,1899.0,0.450492628,193.0,-0.871664,-0.468299583
PTPN18,2185.0,0.381656528,101.0,-0.672207,-0.569114668
PTPN7,1593.0,0.440747449,781.0,0.007567,0.332582428
PTPRE,2994.0,0.426620112,1843.0,-0.266035,-0.078793041
PTPRF,4571.0,0.452810321,356.0,-0.004833,0.183182929
PTRH2,3186.0,0.370743372,1544.0,-0.275355,-1.267203483
PWWP2B,819.0,0.424412275,29.0,0.940899,-0.035605009
PYCR2,578.0,0.474148407,230.0,-0.442497,0.129726586
PYGL,175.0,0.392036998,127.0,-0.48248,-0.455111285
QARS,97.0,0.458996209,396.0,1.091587,0.148418614
RAB11FIP1,4277.0,0.380614122,56.0,0.728047,0.439684059
RAB12,1120.0,0.38483812,283.0,-0.220664,-0.44725379
RAB21,5246.0,0.435367738,267.0,0.088077,-0.39221035
RAB31,3231.0,0.437498832,175.0,1.385601,-0.333423846
RAB35,2172.0,0.408841719,189.0,0.151943,-0.296712497
RAB7A,1376.0,0.419395127,232.0,0.084617,-0.466699474
RAB8B,4163.0,0.425956778,96.0,-0.458622,-0.272179937
RAB9A,1716.0,0.417525007,283.0,-0.6611,-0.454910639
RABGGTA,77.0,0.387342734,512.0,0.185641,0.0336399
RABGGTB,440.0,0.409412379,78.0,-0.38135,0.211400281
RABIF,4760.0,0.447399225,159.0,-0.37044,0.391808189
RACGAP1,1895.0,0.366370127,354.0,1.233654,0.152286352
RAD9A,924.0,0.444046557,185.0,0.331974,-0.268230034
RAE1,1112.0,0.432613552,365.0,1.716954,0.345071875
RAI1,1472.0,0.455620822,469.0,0.96048,0.055674733
RAN,2043.0,0.442855294,361.0,0.909702,0.073403537
RANBP10,3359.0,0.379453562,1256.0,0.242622,0.139433077
RANGAP1,3145.0,0.481547647,765.0,0.721839,0.166811591
RAPGEF1,2727.0,0.425793135,159.0,-0.438288,0.092151199
RARS,114.0,0.423508657,41.0,0.353475,-0.097841885
RASGRP2,183.0,0.381671176,582.0,-0.782725,0.202698978
RASGRP4,985.0,0.374724859,214.0,0.643129,0.27392406
RBBP4,6506.0,0.404056961,164.0,0.265491,0.494383239
RBBP5,3098.0,0.421849625,474.0,-0.502144,0.117932361
RBKS,251.0,0.392307233,1371.0,0.854699,0.220498193
RBM12,3599.0,0.375183789,304.0,0.355403,0.290986168
RBM14,3443.0,0.468008211,139.0,0.694806,-0.138976322
RBM4B,5277.0,0.396841232,170.0,0.438746,0.442359216
RBMX,1201.0,0.353737079,210.0,0.373758,-0.360567142
RBPJ,4223.0,0.4178224,518.0,-0.197426,0.071212409
RBX1,821.0,0.46562919,52.0,0.467103,0.212845804
RC3H1,7637.0,0.410085914,87.0,-0.693708,0.258849984
RCCD1,1773.0,0.374130224,280.0,0.524201,0.149055905
RCOR1,4070.0,0.439565312,228.0,0.291302,0.364242215
REEP4,591.0,0.460338979,469.0,1.299449,-1.15209303
REEP5,2962.0,0.457536941,144.0,0.269435,-0.938050716
RELB,408.0,0.418226182,131.0,0.235042,0.06023777
REPIN1,2683.0,0.45080531,489.0,0.234033,-0.238205664
RFC4,89.0,0.411167541,282.0,0.24695,0.197060166
RFK,1882.0,0.429285662,357.0,-0.141419,-0.211944144
RFX5,1546.0,0.386685917,221.0,-0.071106,-0.11838424
RFXAP,1850.0,0.421314391,156.0,-0.626691,0.336244343
RHBDF2,740.0,0.423256567,294.0,-0.303562,-1.563619062
RHOT2,568.0,0.454546166,881.0,0.325073,-0.165470537
RNASE2,179.0,0.384567964,71.0,0.170402,0.010245015
RNASEH1,4369.0,0.404567903,700.0,-0.214666,-0.101487569
RNASEH2B,3930.0,0.37625722,399.0,-0.117141,-0.166481367
RNASET2,1070.0,0.374792559,407.0,0.724373,0.432644809
RNF114,1751.0,0.459950313,36.0,-0.722298,-0.36862507
RNF20,5226.0,0.396317502,92.0,0.00639,0.085304089
RNF213,5288.0,0.417718743,150.0,-0.011766,-0.19043564
RNF216,2819.0,0.430061571,259.0,-0.166582,0.206233517
RNF25,102.0,0.375620157,88.0,-0.36462,0.026823575
RNF31,88.0,0.389352607,358.0,0.266255,0.198587651
RNLS,1252.0,0.416402283,135.0,0.439244,0.111258885
RNMT,4581.0,0.415128602,241.0,-0.285559,-0.00266656
RNPEP,463.0,0.447181346,896.0,-0.384364,0.098298538
RP9,437.0,0.42869019,18.0,0.312058,-0.264278573
RPA1,2907.0,0.381710028,170.0,-0.190981,-0.096569026
RPA2,639.0,0.400070522,793.0,0.13423,0.216363736
RPAIN,471.0,0.394698889,570.0,0.125085,0.520825229
RPL11,461.0,0.442317923,45.0,1.064398,0.027845606
RPL14,5208.0,0.496792394,133.0,1.011382,0.333448516
RPL23,3146.0,0.464880603,90.0,0.282775,-0.021694505
RPL26,53.0,0.427802183,389.0,0.84559,-0.902562713
RPL31,1260.0,0.451994935,87.0,1.043573,-0.147601303
RPL34,1350.0,0.436455219,198.0,0.517484,-0.164064897
RPL5,1058.0,0.451564158,75.0,0.724525,-0.075492833
RPL7,1077.0,0.460258279,707.0,0.859216,0.329071111
RPS11,373.0,0.483080585,92.0,2.199306,0.183664682
RPS24,4247.0,0.430653047,142.0,1.203741,0.264471024
RPS25,109.0,0.467193878,63.0,1.430875,-0.089975645
RPS27A,743.0,0.450449292,321.0,0.555645,-0.323356678
RPS3A,306.0,0.426765211,80.0,0.858944,-0.175343188
RPS4X,629.0,0.442998752,96.0,0.911352,0.032007832
RPS6,2723.0,0.413925579,42.0,0.534271,-0.063025295
RPS6KA1,828.0,0.389798854,163.0,0.47081,0.052401254
RPS6KA4,735.0,0.38455359,226.0,0.614686,0.120721261
RPS7,66.0,0.428822459,109.0,0.811644,-0.15628565
RPTOR,2341.0,0.385169267,805.0,0.105563,-0.183008185
RREB1,3012.0,0.456825357,492.0,0.345501,-0.003641308
RRM1,2304.0,0.437568848,689.0,0.743527,0.055867749
RRP8,5071.0,0.446233376,148.0,0.48005,-0.202788321
RRS1,978.0,0.468289248,104.0,0.57112,-0.047643168
RTN3,1690.0,0.358048129,187.0,0.748782,-0.879337045
RTN4IP1,1108.0,0.372133716,477.0,0.216942,-0.202850722
RUNX1,4334.0,0.416076551,1578.0,-0.091711,0.535425985
RUNX3,2611.0,0.405217602,439.0,-0.302575,0.111837177
RWDD1,6365.0,0.401367905,746.0,0.198652,0.540196356
S100A8,71.0,0.444112716,170.0,-0.595618,-0.936844834
S100A9,189.0,0.439508357,43.0,-0.163328,-1.146074864
SAMD9,1815.0,0.395660052,270.0,-0.984238,-0.243414669
SAMD9L,1162.0,0.396305952,1248.0,-1.236297,-0.148987206
SAMM50,150.0,0.345249646,197.0,0.625183,-0.465987851
SAMSN1,684.0,0.407246581,430.0,0.525286,0.337430526
SAP18,1754.0,0.427429047,39.0,0.210077,-0.217352549
SAP30BP,1541.0,0.449617255,257.0,0.380038,0.175913731
SAR1A,5213.0,0.411769389,203.0,0.372002,0.334490846
SAR1B,5806.0,0.392367964,253.0,-0.076821,0.291155599
SARS,1054.0,0.40098191,100.0,0.380111,0.43401672
SASH3,1369.0,0.387406112,182.0,-0.283856,0.439726936
SCAMP4,1741.0,0.472519575,351.0,-0.075364,-0.60685496
SCO1,8645.0,0.407339367,61.0,0.534098,-0.301587633
SDCCAG8,307.0,0.360606297,1542.0,-0.630195,0.101772266
SEC11C,205.0,0.423646802,92.0,0.369422,-0.33082103
SEC13,332.0,0.457264526,210.0,0.444697,0.116945252
SEC14L1,2986.0,0.420320088,665.0,-0.238359,0.030864854
SEC24B,1221.0,0.400931805,155.0,-0.277722,0.018270727
SEC24D,2115.0,0.386600041,297.0,0.076862,0.082758246
SEC61B,270.0,0.404562259,76.0,0.13953,-0.685497664
SEMA3F,960.0,0.38837398,318.0,0.134426,0.193259998
SEMA4A,755.0,0.412797256,345.0,-1.044206,0.194441054
SEMA4D,2318.0,0.393173667,572.0,-0.712191,-0.363620469
SERPINA1,1707.0,0.420489385,573.0,-0.730518,0.090592322
SERPINB8,2096.0,0.38524815,520.0,0.129174,0.057952426
SETMAR,321.0,0.414235412,398.0,-0.309865,-0.127985218
SEZ6L2,540.0,0.431800162,245.0,-1.800347,-0.333185979
SF1,2419.0,0.374481437,721.0,0.386761,0.136327673
SF3B2,563.0,0.453902675,40.0,1.035756,0.014287299
SFXN4,500.0,0.402513841,45.0,0.61609,-0.430935506
SH3BP1,433.0,0.395530944,313.0,-0.064107,0.230213092
SH3PXD2B,4870.0,0.420952884,171.0,0.399654,-0.115637897
SHMT1,4335.0,0.394510245,509.0,0.838827,0.442351234
SIGLEC1,1590.0,0.42099348,0.0,-0.438095,0.493426649
SIPA1,2933.0,0.437718847,296.0,0.072923,0.079571371
SIRPA,3027.0,0.429235057,360.0,-0.24754,-0.651459733
SKP1,8791.0,0.433886974,179.0,0.412989,0.068238565
SLBP,3046.0,0.391438372,553.0,0.299478,-0.076970264
SLC25A10,1929.0,0.386184273,191.0,0.299355,-0.355597209
SLC25A19,477.0,0.386093473,224.0,0.190681,-1.376015384
SLC25A20,787.0,0.382641976,199.0,-1.04419,-0.302244898
SLC25A3,504.0,0.383836987,354.0,0.702291,-1.246563923
