,3prime,tAI,max_5_UTR_length,TCGA-AO-A12F,TCGA-AO-A12F.1
IER3IP1,3342.0,0.438740024,97.0,0.519913,0.689544633
IFI16,254.0,0.415211655,290.0,-0.397219,-0.286479348
IFI30,213.0,0.431523306,62.0,-0.470597,-0.278317163
IFI35,160.0,0.418462024,223.0,-2.048539,-1.00147384
IFI44,267.0,0.403888008,124.0,-1.896121,-1.194514086
IFI44L,5058.0,0.403608012,200.0,-3.289328,-1.405289634
IFIH1,121.0,0.412344512,377.0,-1.959071,-0.431061591
IFIT1,2775.0,0.411248073,495.0,-3.887204,-0.56933499
IFIT2,1901.0,0.420797646,175.0,-2.854683,-0.581276387
IFIT3,843.0,0.417440574,529.0,-2.483444,-0.74939171
IFIT5,2354.0,0.414819429,231.0,-1.586354,-0.738094704
IFITM1,159.0,0.431550176,180.0,-1.570344,0.492624371
IFT27,109.0,0.4030938,426.0,0.659031,-0.556843558
IGFBP3,1605.0,0.43060006,132.0,0.830247,-0.042207361
IGFBP7,558.0,0.392734536,34.0,0.332319,-0.051064218
IKBKE,745.0,0.435100597,714.0,-0.553528,-0.330611979
IL16,3965.0,0.367979445,2395.0,-1.359801,-0.870201224
IL17RA,5874.0,0.376798811,133.0,-0.552509,0.03326376
IL1RN,1145.0,0.411881061,408.0,-0.702796,-0.815867982
IL4I1,16.0,0.4139018,621.0,-2.156303,-0.997087206
ILF2,656.0,0.426220446,239.0,1.158879,0.206873378
IMPA2,2898.0,0.383680893,242.0,1.710159,1.108479092
INO80,5209.0,0.374025479,351.0,-0.545824,-0.047795268
INPP1,263.0,0.395712795,700.0,1.094791,0.240377667
INPP5D,1195.0,0.436077769,512.0,-1.103697,-0.545373225
INSR,4801.0,0.380857973,411.0,-0.080202,0.674011214
IPO5,2508.0,0.381335948,180.0,0.176224,0.732872408
IRF7,92.0,0.423538356,367.0,-3.529807,-0.708317783
IRF8,1327.0,0.384714127,507.0,-2.003466,-0.52515371
IRF9,369.0,0.432057622,127.0,-2.665415,-0.922243485
IRGQ,7659.0,0.399674011,156.0,0.388208,-0.057844946
ISCU,607.0,0.454630229,1331.0,-0.178398,-0.193775991
ISG15,62.0,0.419522688,77.0,-2.291751,-0.878596474
ISG20,952.0,0.419932377,2368.0,-2.020301,-0.519598919
ISOC1,1056.0,0.418535314,18.0,-0.744396,-0.531512171
ITGB2,415.0,0.457304004,395.0,-1.189911,-0.689969155
ITPKB,2981.0,0.440250717,340.0,1.042496,0.380339814
JUNB,496.0,0.414023332,276.0,-0.320963,-0.393105208
JUP,157.0,0.458302936,298.0,-0.095015,0.019278611
KANK2,2291.0,0.394238955,361.0,-0.384617,-0.269997613
KARS,4202.0,0.383913431,144.0,0.819033,0.461376498
KCNN4,560.0,0.425737469,396.0,5.064278,1.730504642
KDM1A,327.0,0.428444011,149.0,0.535172,0.304918404
KDM2A,3716.0,0.372295488,864.0,1.038606,0.721074072
KDM2B,2488.0,0.393022165,407.0,0.520877,0.566250157
KDM3B,1327.0,0.37791414,200.0,-1.240624,-0.077077624
KDM4A,1148.0,0.378142374,166.0,0.309017,0.651972392
KHSRP,1024.0,0.456900489,110.0,0.732554,0.540835436
KIAA2013,727.0,0.385456054,191.0,-0.015944,0.091371558
KIF20A,757.0,0.371463873,496.0,0.855668,0.083029882
KIF22,75.0,0.392489541,388.0,0.091078,0.71461598
KIF2C,588.0,0.387865377,395.0,2.119762,0.910653164
KIF3B,3792.0,0.390782105,180.0,0.068549,0.053912804
KIF3C,2392.0,0.403852971,657.0,1.171655,-0.157749657
KIF5B,3198.0,0.418236129,470.0,-0.00236,0.486312733
KLHL7,3616.0,0.41595405,521.0,0.303911,0.425782254
KTI12,594.0,0.370414154,39.0,0.492823,0.262724523
LAMP1,1311.0,0.390985106,281.0,-0.184783,0.114002819
LANCL2,2422.0,0.433733517,578.0,0.768713,-0.445284342
LAP3,503.0,0.426841798,162.0,-0.450735,-1.27537415
LDHD,1826.0,0.398770776,52.0,-2.64913,-0.641235133
LENG1,560.0,0.445950324,48.0,0.51389,0.071012821
LGALS3,159.0,0.420172221,88.0,-1.154978,-0.858945172
LGALS3BP,1225.0,0.419930622,179.0,-2.595474,-1.398138454
LGALS9,641.0,0.410654931,118.0,-1.123006,-0.448896786
LIN54,4893.0,0.441729058,383.0,-0.274461,0.197241025
LPCAT1,2228.0,0.380803123,133.0,0.377715,0.017040427
LPCAT4,239.0,0.432241557,94.0,0.842354,-0.446570806
LPXN,1776.0,0.432350833,254.0,-1.012419,-0.776084733
LRPPRC,2376.0,0.377375074,58.0,0.691467,0.585884717
LRRC25,843.0,0.434491636,642.0,-0.477741,0.038036435
LRRC41,465.0,0.438391248,44.0,0.030425,0.265834543
LRRC59,1755.0,0.423067849,236.0,0.195034,-0.231373725
LSM1,486.0,0.409616526,410.0,0.563953,-0.42169617
LSM6,1871.0,0.435100303,139.0,0.740466,0.311932081
LTA4H,391.0,0.355044638,145.0,-0.539764,-0.472730264
LYN,4058.0,0.418972994,282.0,-0.372113,-0.371852577
LYPLAL1,1137.0,0.3973742,157.0,-0.297015,-0.616633893
LYRM4,6830.0,0.366844497,217.0,0.744282,-0.223617425
LYSMD2,596.0,0.394037378,501.0,0.955417,0.505512186
M6PR,1457.0,0.379162834,275.0,0.487482,1.08837383
MAD2L1,4528.0,0.407191351,124.0,1.449629,0.799963789
MAFB,2032.0,0.405989564,390.0,-0.810867,-0.731075585
MAGED2,327.0,0.466698843,233.0,-1.185838,-0.464136807
MAGOH,153.0,0.416054235,162.0,1.516198,0.309496873
MAN2B1,128.0,0.381728903,76.0,0.681038,0.234796282
MANF,717.0,0.420319188,97.0,1.212684,0.216761102
MAP4K1,170.0,0.374128007,140.0,-1.811425,-0.912553909
MARCKSL1,768.0,0.468216312,206.0,0.235138,0.279022861
MAX,2676.0,0.337149475,479.0,-0.401581,-0.138407477
MBD2,3723.0,0.420256858,229.0,-0.413772,-0.223155132
MBP,4041.0,0.393290432,264.0,-2.397957,-0.618772612
MCM2,662.0,0.460999542,110.0,0.849116,0.554880723
MCM4,2618.0,0.371821308,942.0,0.797308,0.557615692
MCM5,3214.0,0.470488076,94.0,0.600916,0.580813953
MDC1,658.0,0.415783633,440.0,0.249926,0.546934325
MDH1,210.0,0.381672323,435.0,1.118893,0.369590525
ME1,1535.0,0.411214685,265.0,0.203446,-0.496805939
ME3,171.0,0.395156177,377.0,-0.053277,-0.574060679
MECR,1365.0,0.445670958,612.0,-0.185495,-0.370890098
MED17,2631.0,0.366528813,275.0,0.003163,0.232425673
MED19,934.0,0.439623042,93.0,0.034355,0.409822183
MED28,10307.0,0.440157501,27.0,-0.158377,0.089238843
MED29,4550.0,0.464327351,57.0,0.076572,0.10887142
MEN1,824.0,0.454590692,504.0,0.748162,0.549980498
METTL13,961.0,0.396264071,347.0,-0.305336,0.167980558
MGST3,1295.0,0.374563048,428.0,1.098589,0.592459214
MIF4GD,787.0,0.397877071,137.0,-1.497324,-0.368269495
MINK1,774.0,0.455972684,525.0,-0.285239,0.024494359
MIS12,1334.0,0.420723459,745.0,0.224698,-0.147012981
MLEC,5319.0,0.43043384,173.0,-0.49062,0.050049278
MLLT10,2252.0,0.36295117,1568.0,-0.159514,0.30080112
MLX,1636.0,0.386664187,65.0,0.562232,1.057391941
MMACHC,1852.0,0.382684622,371.0,1.516691,0.624935211
MMADHC,5382.0,0.406207656,205.0,-0.600898,-0.491974342
MMGT1,4451.0,0.406300672,388.0,-0.275922,0.603229865
MMP1,502.0,0.392399458,189.0,3.304448,-0.017641831
MMP14,1722.0,0.419367787,285.0,0.115125,-0.002414947
MMP9,193.0,0.404253633,19.0,-2.374505,-1.19699559
MORC3,2052.0,0.406702124,375.0,-0.790878,-0.38763896
MORF4L1,1066.0,0.420719378,454.0,-0.529513,-0.144762794
MOV10,619.0,0.412681236,1415.0,-0.546762,-0.227502501
MPDU1,797.0,0.440676037,216.0,-0.557674,-0.093390577
MPHOSPH10,87.0,0.404440607,352.0,1.146145,0.532068494
MRI1,2018.0,0.459301832,75.0,-0.187107,0.329522944
MRPL13,1075.0,0.395373051,313.0,0.442776,-0.006431409
MRPL15,1888.0,0.407701507,63.0,1.102035,0.233561005
MRPL16,212.0,0.368940255,214.0,1.36568,0.045639583
MRPL17,6554.0,0.424450505,105.0,0.335258,-0.185858552
MRPL2,580.0,0.458698472,164.0,1.396848,0.289499623
MRPL20,187.0,0.445765675,96.0,-0.966741,-0.131437168
MRPL21,55.0,0.417448467,293.0,2.40449,0.194966434
MRPL27,2133.0,0.436300758,31.0,-0.10318,0.176059442
MRPL40,113.0,0.406843086,653.0,0.792443,-0.041960352
MRPL46,1889.0,0.422788385,25.0,-0.060758,0.047783279
MRPL48,1284.0,0.368940255,212.0,0.058549,-0.012382238
MRPL51,2069.0,0.35376587,169.0,1.545956,0.428503165
MRPL53,198.0,0.441261883,155.0,0.439824,-0.079643612
MRPL9,407.0,0.432679379,437.0,1.231887,0.043886542
MRPS11,2793.0,0.477818717,1491.0,-0.109909,0.057877402
MRPS15,468.0,0.440649404,164.0,0.832524,0.191243037
MRPS17,1334.0,0.413812124,30.0,1.081975,0.054222642
MRPS18B,936.0,0.408462865,157.0,-0.142466,0.327146128
MRPS36,933.0,0.3748339,84.0,-0.74421,-0.434811456
MRPS7,453.0,0.455992019,233.0,0.361515,0.089713821
MSI2,5168.0,0.366385762,173.0,-0.909053,-0.476186734
MSTO1,694.0,0.421389639,1152.0,1.187597,0.114044698
MT1E,291.0,0.588704726,179.0,0.230341,-0.351172138
MT2A,316.0,0.576670685,123.0,0.457688,-0.747656821
MTA2,684.0,0.459443446,761.0,0.671608,0.297209632
MTFMT,1550.0,0.414190941,26.0,-0.391698,-0.144627316
MTHFS,1663.0,0.434592403,179.0,-1.489637,-1.15640175
MTMR1,2442.0,0.424163835,319.0,-0.18989,0.231147161
MTMR14,421.0,0.371137969,151.0,0.103569,-0.280265688
MVP,50.0,0.435053297,193.0,-1.562698,-1.010083422
MX1,456.0,0.433488503,982.0,-3.056043,-0.917497769
MX2,1812.0,0.430094961,104.0,-1.483796,-0.262299075
MYADM,2833.0,0.384589896,681.0,-0.618148,-0.718692538
MYCBP,3972.0,0.381803634,73.0,0.70196,0.473935435
MYL12A,812.0,0.453450746,478.0,0.198065,-0.106472247
MYO18A,3647.0,0.395788337,484.0,-0.224313,0.485735116
MYO9B,1401.0,0.398943925,152.0,0.03375,0.354835478
N6AMT1,5137.0,0.427535625,28.0,-0.554028,-0.008365382
NAA40,3212.0,0.389371031,261.0,0.688459,0.051748088
NAB1,2433.0,0.361024962,572.0,1.487594,0.652138436
NADK,1672.0,0.3959688,563.0,-1.607226,-0.825580263
NADSYN1,464.0,0.447848979,126.0,0.231922,-0.018917959
NAGK,1297.0,0.42527382,474.0,0.267092,-0.482332272
NANS,37.0,0.458552255,132.0,-1.162575,-0.821677589
NAPA,1862.0,0.477781443,318.0,-0.656287,-0.622116262
NAT10,4915.0,0.387474071,245.0,-0.340851,0.324243604
NBAS,140.0,0.414580543,44.0,-0.153433,0.059103423
NCALD,2767.0,0.374888213,460.0,0.483398,0.461778201
NCAPD3,2971.0,0.431957579,606.0,0.338411,0.82316892
NCAPG2,3501.0,0.41630572,200.0,1.128342,0.784266542
NCF1,2381.0,0.415579251,70.0,-2.097069,-0.861933899
NCK2,1267.0,0.457831152,276.0,0.860172,0.31467517
NCKIPSD,4981.0,0.449411541,126.0,-0.619839,-0.257515086
NCOA5,1332.0,0.416761948,402.0,-0.441305,0.088396033
NCOA7,3259.0,0.404217869,470.0,2.473287,0.415154817
NDC80,61.0,0.356199389,182.0,1.256256,0.813503155
NDRG2,841.0,0.376266446,941.0,2.479197,1.374242132
NDUFA4,1685.0,0.439642808,129.0,1.960277,0.134330933
NEU1,667.0,0.413226082,156.0,-0.234634,-0.073308217
NFATC2IP,3242.0,0.412267479,15.0,-0.151435,-0.303644656
NFKB1,708.0,0.4099683,467.0,-1.094666,-0.720479316
NFKB2,153.0,0.424806573,563.0,-0.044565,-0.534481732
NFKBIE,1053.0,0.409138176,25.0,-0.114405,-0.055318117
NGDN,1255.0,0.423783924,27.0,0.463371,0.792916163
NGRN,1679.0,0.414477409,50.0,-0.292357,0.262035476
NINJ1,5217.0,0.455972644,71.0,-2.463925,-0.230663983
NIP7,1593.0,0.443769116,318.0,1.22781,0.877326171
NIT2,2351.0,0.432361565,74.0,-0.279618,-0.531273036
NMNAT3,2689.0,0.397393877,1228.0,-1.047615,-0.824804804
NMT1,3377.0,0.454689408,31.0,-0.028213,-0.021611041
NONO,1092.0,0.432928506,710.0,0.369617,0.111832757
NOP14,912.0,0.38067473,187.0,-0.530001,0.713245937
NOP2,785.0,0.393538298,198.0,2.127212,1.315158128
NOTCH2,6062.0,0.409327653,297.0,-0.62956,0.382372706
NPTN,1068.0,0.388989686,197.0,-0.537805,0.074395711
NR2C2,6271.0,0.390767743,362.0,-0.029896,0.053120775
NRBF2,883.0,0.43605128,224.0,0.148495,0.016840149
NRF1,1901.0,0.447602651,500.0,-0.028826,0.395638181
NRGN,833.0,0.413631862,152.0,0.836579,0.419784474
NRP1,3846.0,0.416817106,523.0,0.761058,-0.117572165
NSFL1C,1587.0,0.42738001,868.0,-0.615616,-0.534054084
NSMAF,602.0,0.358586884,214.0,0.170145,0.225825626
NTAN1,178.0,0.344459601,320.0,1.078088,0.048678008
NUBP1,246.0,0.455923678,142.0,-0.759937,-0.537520001
NUCKS1,5461.0,0.359398328,271.0,1.329984,1.005471014
NUDC,716.0,0.476401948,127.0,-0.037054,-0.280135355
NUDT16,5489.0,0.428387545,75.0,-0.177691,-0.541235873
NUMA1,663.0,0.474508115,436.0,-1.33611,-0.431950347
NUP93,5678.0,0.382018893,495.0,1.618468,0.463434885
NXF1,2943.0,0.375826754,136.0,0.081501,0.2671687
OCIAD2,4872.0,0.363821488,322.0,0.604538,0.038178758
OGDH,1071.0,0.396078149,159.0,-0.661369,-0.426632189
OPA3,7233.0,0.475004358,100.0,-0.349037,-0.484544953
OSBPL2,2363.0,0.383456763,571.0,0.070186,-0.047727594
OSBPL5,1099.0,0.381371042,158.0,-0.280803,0.230094934
OVCA2,792.0,0.429983078,65.0,0.429241,-0.567131477
P2RX4,573.0,0.442596273,304.0,-2.048659,-0.695691252
PAAF1,509.0,0.376143366,341.0,-0.251078,-0.192028449
PACSIN2,1591.0,0.413490434,405.0,-0.46052,0.165507366
PARK7,451.0,0.457171775,163.0,-1.218604,-0.890323696
PARP1,769.0,0.460215809,171.0,0.346089,0.33375122
PARP10,332.0,0.422654659,200.0,-2.843017,-0.755326159
PARP12,816.0,0.416480622,874.0,0.259494,-0.1762555
PARP14,2243.0,0.414355918,59.0,-1.836205,-0.725708601
PARP9,451.0,0.418102187,327.0,-2.566079,-0.918630864
PARVG,2043.0,0.383803232,484.0,-0.800915,-0.735436029
PBK,750.0,0.413339119,464.0,1.39893,0.525799943
PCNA,338.0,0.425000199,239.0,0.392084,0.23014639
PDAP1,2007.0,0.464659554,134.0,1.211447,0.511923034
PDCD2,155.0,0.440448783,111.0,0.920451,0.449193177
PDCD2L,48.0,0.433436103,33.0,1.094866,0.558748061
PDCD6IP,3211.0,0.388727459,158.0,-0.622203,-0.095982472
PDHA1,2054.0,0.402514578,145.0,0.710811,0.059759894
PDHB,2974.0,0.442593378,43.0,0.557229,0.083075229
PDLIM1,357.0,0.379179626,233.0,-0.244674,-0.648980935
PDXDC1,2055.0,0.375670185,335.0,-0.373392,-0.17071464
PDXK,6244.0,0.398158884,198.0,-0.281531,-0.31433719
PEBP1,796.0,0.360152166,326.0,0.681311,0.056234442
PEF1,769.0,0.441759403,424.0,-0.563947,-0.143106078
PELO,5222.0,0.385240523,985.0,-0.968669,0.073921812
PEPD,395.0,0.450896903,133.0,-0.151062,0.144605241
PEX16,585.0,0.43213601,312.0,-0.006494,-0.241425204
PEX6,946.0,0.370078344,93.0,-0.703146,0.064546462
PEX7,2294.0,0.407005497,102.0,0.246373,-0.141436964
PFDN5,124.0,0.497062947,117.0,-0.074615,0.266636277
PFDN6,574.0,0.470152145,222.0,1.449998,0.024225931
PGM1,570.0,0.393980016,681.0,0.409387,-0.058334522
PHB,988.0,0.45268542,190.0,0.935399,0.489634397
PHF10,104.0,0.365149381,79.0,1.455803,0.303022163
PI4K2A,2692.0,0.385068362,57.0,-0.397309,0.013968032
PIAS1,3626.0,0.396022529,741.0,-0.829915,-0.082640407
PIK3AP1,3866.0,0.407313024,128.0,-0.615541,0.400977571
PIR,205.0,0.385796208,485.0,-0.227982,-0.350331498
PITPNC1,4686.0,0.369070722,874.0,-0.459244,-0.394256326
PLA2G4C,585.0,0.406173977,398.0,-1.246254,-0.322225136
PLA2G7,1187.0,0.402486321,269.0,1.073048,0.26354915
PLAUR,323.0,0.418467601,226.0,0.384393,-0.379073877
PLCB2,818.0,0.468984469,301.0,-0.256906,-0.527815744
PLCG1,3987.0,0.454806205,121.0,1.121675,0.760426209
PLD4,273.0,0.377985619,192.0,-4.625911,-0.161043275
PLEKHO1,5192.0,0.424698037,839.0,0.923726,-0.074175689
PLEKHO2,2119.0,0.429714475,134.0,0.084666,-0.596829362
PLSCR1,10376.0,0.415598704,388.0,-0.397519,-0.247108687
PML,3324.0,0.431306474,140.0,-0.724845,-0.432008478
POLR1C,1131.0,0.439933821,86.0,1.174136,0.351544566
POLR1D,1469.0,0.427162265,456.0,0.909305,0.122351056
POLR2F,1600.0,0.47244007,250.0,2.295775,0.340578257
POLR2H,1065.0,0.427596015,1167.0,0.453092,0.13358574
POLR3H,3481.0,0.444306047,388.0,-0.067511,0.107621879
POLR3K,1023.0,0.473025152,46.0,0.526233,0.160076778
PPA2,660.0,0.432735716,20.0,0.184756,-0.047735078
PPIE,4556.0,0.446406574,56.0,0.759354,0.00269058
PPIL1,1921.0,0.453832883,252.0,0.230929,0.205364735
PPP1R14B,282.0,0.457456004,268.0,2.312949,0.411715757
PRC1,1136.0,0.367783806,234.0,0.520441,0.511763965
PRCC,357.0,0.381841119,290.0,0.534727,0.0793096
PRDX1,303.0,0.414090753,341.0,0.799148,0.192625337
PRDX6,944.0,0.433706552,51.0,0.872246,0.137499496
PREB,658.0,0.378530018,403.0,0.613415,0.25711791
PREP,579.0,0.425974009,233.0,1.298438,0.45614186
PRG4,784.0,0.366727173,51.0,6.387771,0.037002052
PRIM2,1166.0,0.350864643,125.0,1.03144,0.422460299
PRKAB1,1305.0,0.365943644,289.0,-0.479129,0.244582589
PRKAR2A,5019.0,0.427443141,254.0,-0.902695,-0.095065332
PRKCB,5795.0,0.38010529,197.0,-1.875646,-0.485063661
PRKCD,451.0,0.404392693,469.0,-0.929164,-0.275852777
PRKRA,683.0,0.420894136,659.0,0.811901,0.040772983
PRKRIP1,3224.0,0.453589322,55.0,0.585544,0.435221311
PRMT5,393.0,0.386451423,508.0,-0.18643,-0.086939132
PRMT7,3655.0,0.450088803,850.0,0.354697,0.56363647
PROCR,549.0,0.357872186,218.0,0.18682,-0.483852944
PRPS1,3908.0,0.466551451,409.0,0.090563,0.208288715
PRPSAP1,2056.0,0.390811115,688.0,1.24027,0.494391841
PRRC1,3173.0,0.409170839,188.0,-0.559532,-0.322097948
PSMA5,2997.0,0.446573967,225.0,-0.628,-0.320060125
PSMA6,187.0,0.423632682,445.0,-0.603721,-0.092665012
PSMB10,58.0,0.455018511,128.0,-0.40941,-0.837236561
PSMB2,3775.0,0.389848815,412.0,0.032773,-0.128208439
PSMB8,242.0,0.411206622,522.0,-1.557915,-0.624582271
PSMB9,5497.0,0.431095699,69.0,-1.908279,-0.783709801
PSMC3,66.0,0.485654947,194.0,0.561575,0.095200677
PSMD11,2567.0,0.390095635,61.0,0.164074,0.235633334
PSMD13,384.0,0.437236365,242.0,-0.079957,0.206486299
PSMD8,450.0,0.458928351,52.0,0.104107,0.021999622
PSME2,53.0,0.443656162,65.0,0.042218,-1.043055887
PSMG1,5308.0,0.427553471,578.0,1.288678,0.056226386
PSTPIP2,1923.0,0.429639796,96.0,-1.262494,-0.325707979
PTBP1,1504.0,0.473818895,106.0,-0.04439,-0.288597259
PTDSS1,3765.0,0.367954205,423.0,0.607542,0.814279427
PTGS1,3346.0,0.37260918,633.0,0.234221,-0.453822395
PTP4A1,3419.0,0.421202001,1153.0,0.597132,0.050031805
PTPMT1,1899.0,0.450492628,193.0,0.593346,-0.078571975
PTPN18,2185.0,0.381656528,101.0,-0.392417,-0.862892796
PTPN7,1593.0,0.440747449,781.0,-1.70521,-0.995360151
PTPRE,2994.0,0.426620112,1843.0,0.13607,-0.374171406
PTPRF,4571.0,0.452810321,356.0,-0.135898,0.365310594
PTRH2,3186.0,0.370743372,1544.0,0.678404,-0.027570914
PWWP2B,819.0,0.424412275,29.0,-1.238394,-0.473606232
PYCR2,578.0,0.474148407,230.0,0.335305,0.07880835
PYGL,175.0,0.392036998,127.0,-1.137408,-0.445525441
QARS,97.0,0.458996209,396.0,0.089119,0.0810728
RAB11FIP1,4277.0,0.380614122,56.0,-1.626623,-0.518805521
RAB12,1120.0,0.38483812,283.0,1.187687,1.071128711
RAB21,5246.0,0.435367738,267.0,-0.325094,0.167413521
RAB31,3231.0,0.437498832,175.0,-0.622253,-0.974533603
RAB35,2172.0,0.408841719,189.0,-0.581523,0.089524001
RAB7A,1376.0,0.419395127,232.0,-0.135957,-0.144242985
RAB8B,4163.0,0.425956778,96.0,-0.031356,-0.117636679
RAB9A,1716.0,0.417525007,283.0,-0.018269,0.327514909
RABGGTA,77.0,0.387342734,512.0,-0.26607,-0.290429395
RABGGTB,440.0,0.409412379,78.0,0.961851,0.255122848
RABIF,4760.0,0.447399225,159.0,0.020557,-0.450634773
RACGAP1,1895.0,0.366370127,354.0,-0.087612,0.159990543
RAD9A,924.0,0.444046557,185.0,1.905304,0.422474771
RAE1,1112.0,0.432613552,365.0,0.472491,0.081754976
RAI1,1472.0,0.455620822,469.0,-0.151465,0.4404702
RAN,2043.0,0.442855294,361.0,0.500356,0.280825807
RANBP10,3359.0,0.379453562,1256.0,0.239973,0.55938014
RANGAP1,3145.0,0.481547647,765.0,0.714262,0.357304972
RAPGEF1,2727.0,0.425793135,159.0,-0.506293,-0.099721247
RARS,114.0,0.423508657,41.0,-0.386712,-0.016226815
RASGRP2,183.0,0.381671176,582.0,-1.194031,-0.391351408
RBBP4,6506.0,0.404056961,164.0,-0.573012,-0.167669976
RBBP5,3098.0,0.421849625,474.0,-0.038742,0.434598615
RBKS,251.0,0.392307233,1371.0,-1.241653,-1.377923493
RBM12,3599.0,0.375183789,304.0,-0.198195,0.286923693
RBM14,3443.0,0.468008211,139.0,0.007607,0.010189468
RBM4B,5277.0,0.396841232,170.0,0.218338,0.143091944
RBMX,1201.0,0.353737079,210.0,0.246349,0.130211695
RBPJ,4223.0,0.4178224,518.0,0.095752,0.146383379
RBX1,821.0,0.46562919,52.0,0.608311,0.496794094
RC3H1,7637.0,0.410085914,87.0,0.226736,0.272371876
RCCD1,1773.0,0.374130224,280.0,0.136345,-0.178910917
RCOR1,4070.0,0.439565312,228.0,0.182048,0.255714853
REEP4,591.0,0.460338979,469.0,1.213292,0.307224368
REEP5,2962.0,0.457536941,144.0,-1.266961,-0.752810535
RELB,408.0,0.418226182,131.0,-0.404493,-0.156267624
REPIN1,2683.0,0.45080531,489.0,0.097408,0.539279012
RFC4,89.0,0.411167541,282.0,1.242745,0.115943834
RFK,1882.0,0.429285662,357.0,-0.275189,-0.290218432
RFWD3,2538.0,0.42367162,98.0,1.074016,0.274952017
RFX5,1546.0,0.386685917,221.0,-0.035928,0.114150075
RFXAP,1850.0,0.421314391,156.0,0.219947,-0.501005034
RHBDF2,740.0,0.423256567,294.0,1.109157,0.8150522
RHOT2,568.0,0.454546166,881.0,1.091535,0.623117975
RINL,1279.0,0.357351373,413.0,-0.844389,0.365081839
RNASE2,179.0,0.384567964,71.0,1.390823,0.59970143
RNASEH1,4369.0,0.404567903,700.0,0.707305,0.50986657
RNASEH2B,3930.0,0.37625722,399.0,-0.478547,-0.510876117
RNASET2,1070.0,0.374792559,407.0,2.590445,0.741384894
RNF114,1751.0,0.459950313,36.0,0.194129,-0.307631585
RNF167,289.0,0.375291206,776.0,-0.203035,-0.065813261
RNF20,5226.0,0.396317502,92.0,-0.833005,0.243389186
RNF213,5288.0,0.417718743,150.0,-1.626404,-0.566438036
RNF216,2819.0,0.430061571,259.0,-0.283493,0.019718211
RNF25,102.0,0.375620157,88.0,0.440426,0.006288435
RNF31,88.0,0.389352607,358.0,-0.570321,-0.379336027
RNLS,1252.0,0.416402283,135.0,-1.130066,-0.497992465
RNMT,4581.0,0.415128602,241.0,0.077988,0.476395687
RNPEP,463.0,0.447181346,896.0,-0.644735,-0.308165281
RP9,437.0,0.42869019,18.0,1.277465,-0.046766294
RPA1,2907.0,0.381710028,170.0,-0.019703,0.063519921
RPA2,639.0,0.400070522,793.0,-0.421078,-0.075908103
RPAIN,471.0,0.394698889,570.0,1.121598,-0.131133784
RPL11,461.0,0.442317923,45.0,0.435366,0.443607412
RPL14,5208.0,0.496792394,133.0,0.861065,-0.058821987
RPL23,3146.0,0.464880603,90.0,1.109091,0.309465029
RPL26,53.0,0.427802183,389.0,0.797493,0.35996517
RPL31,1260.0,0.451994935,87.0,0.812552,0.388333599
RPL34,1350.0,0.436455219,198.0,0.83116,-0.334157622
RPL5,1058.0,0.451564158,75.0,0.593836,0.284564074
RPL7,1077.0,0.460258279,707.0,0.130091,-0.010781849
RPS11,373.0,0.483080585,92.0,0.841505,0.145807032
RPS24,4247.0,0.430653047,142.0,0.731423,0.343217211
RPS25,109.0,0.467193878,63.0,1.145854,0.516969055
RPS27A,743.0,0.450449292,321.0,1.34931,-0.092732859
RPS3A,306.0,0.426765211,80.0,0.106345,0.362581372
RPS4X,629.0,0.442998752,96.0,0.036199,0.172320377
RPS6,2723.0,0.413925579,42.0,1.109688,-0.306303007
RPS6KA1,828.0,0.389798854,163.0,-0.987722,0.143361813
RPS6KA4,735.0,0.38455359,226.0,0.286919,0.313020809
RPS7,66.0,0.428822459,109.0,2.015741,0.066368586
RPTOR,2341.0,0.385169267,805.0,-0.232323,0.096045807
RREB1,3012.0,0.456825357,492.0,-0.364111,0.152263367
RRM1,2304.0,0.437568848,689.0,-0.656592,-0.000321607
RRP8,5071.0,0.446233376,148.0,-0.902077,-0.182666213
RRS1,978.0,0.468289248,104.0,1.401966,0.340788012
RTN3,1690.0,0.358048129,187.0,-0.018592,0.273872299
RTN4IP1,1108.0,0.372133716,477.0,-0.17213,-0.232196129
RUNX1,4334.0,0.416076551,1578.0,-1.141896,-0.174628031
RUNX3,2611.0,0.405217602,439.0,-2.358819,-0.610756428
RWDD1,6365.0,0.401367905,746.0,0.492693,-0.270512101
S100A8,71.0,0.444112716,170.0,2.354767,-2.44025063
S100A9,189.0,0.439508357,43.0,1.247026,-2.529339568
SAMD9,1815.0,0.395660052,270.0,-1.796065,-0.761000944
SAMD9L,1162.0,0.396305952,1248.0,-2.211107,-0.550024986
SAMM50,150.0,0.345249646,197.0,0.002663,0.023995653
SAMSN1,684.0,0.407246581,430.0,-0.063557,-0.922664295
SAP18,1754.0,0.427429047,39.0,0.63241,0.085053745
SAP30BP,1541.0,0.449617255,257.0,0.414259,0.033666715
SAR1A,5213.0,0.411769389,203.0,-0.3901,-0.244217733
SAR1B,5806.0,0.392367964,253.0,-1.118176,-0.390365776
SARS,1054.0,0.40098191,100.0,-0.574786,-0.322078439
SASH3,1369.0,0.387406112,182.0,-1.355307,-0.857410563
SCAMP4,1741.0,0.472519575,351.0,-0.946543,0.34025935
SCO1,8645.0,0.407339367,61.0,0.595901,0.30387882
SDCCAG8,307.0,0.360606297,1542.0,0.206372,-0.068897052
