,3prime,tAI,max_5_UTR_length,TCGA-AN-A0AM,TCGA-AN-A0AM.1
IFITM1,159.0,0.431550176,180.0,0.045581,-0.421014054
IFT27,109.0,0.4030938,426.0,0.737702,0.370480576
IGFBP3,1605.0,0.43060006,132.0,-0.321466,-0.210738115
IGFBP7,558.0,0.392734536,34.0,-0.648128,0.02633923
IKBKE,745.0,0.435100597,714.0,-0.05179,-0.220442918
IL16,3965.0,0.367979445,2395.0,-0.437026,0.555383859
IL17RA,5874.0,0.376798811,133.0,0.513843,-0.097266286
IL1RN,1145.0,0.411881061,408.0,1.000334,1.561474479
IL4I1,16.0,0.4139018,621.0,0.974539,0.087233247
ILF2,656.0,0.426220446,239.0,2.204589,-0.109416788
IMPA2,2898.0,0.383680893,242.0,1.388624,0.07038816
INO80,5209.0,0.374025479,351.0,-0.582123,-0.031430198
INPP1,263.0,0.395712795,700.0,0.434653,0.138754099
INPP5D,1195.0,0.436077769,512.0,-0.690758,0.280504125
INSR,4801.0,0.380857973,411.0,-0.683592,-0.273714878
IPO5,2508.0,0.381335948,180.0,0.292379,-0.126846933
IRF7,92.0,0.423538356,367.0,0.037857,0.004491209
IRF8,1327.0,0.384714127,507.0,0.337348,0.29967052
IRF9,369.0,0.432057622,127.0,0.77909,0.190464489
IRGQ,7659.0,0.399674011,156.0,0.431008,-0.212950195
ISCU,607.0,0.454630229,1331.0,-0.417906,0.106786913
ISG15,62.0,0.419522688,77.0,1.958787,-0.767999682
ISG20,952.0,0.419932377,2368.0,1.418712,0.294079674
ISOC1,1056.0,0.418535314,18.0,0.219934,-0.075119408
ITGB2,415.0,0.457304004,395.0,0.305504,0.125384292
ITPKB,2981.0,0.440250717,340.0,-0.940944,-0.159424269
JUNB,496.0,0.414023332,276.0,-0.527886,0.239421428
JUP,157.0,0.458302936,298.0,-0.74647,-0.509307708
KANK2,2291.0,0.394238955,361.0,-0.426798,0.188044724
KARS,4202.0,0.383913431,144.0,0.791896,0.2629403
KCNN4,560.0,0.425737469,396.0,0.035826,-0.103983225
KDM1A,327.0,0.428444011,149.0,0.265731,0.005154201
KDM2A,3716.0,0.372295488,864.0,-0.234289,-0.005362951
KDM2B,2488.0,0.393022165,407.0,0.032368,0.159961305
KDM3B,1327.0,0.37791414,200.0,-0.363327,0.284686491
KDM4A,1148.0,0.378142374,166.0,0.276957,0.150044111
KHSRP,1024.0,0.456900489,110.0,0.164919,-0.171872546
KIAA2013,727.0,0.385456054,191.0,0.588557,0.228711516
KIF20A,757.0,0.371463873,496.0,1.45147,0.561699465
KIF22,75.0,0.392489541,388.0,0.361744,-0.20251688
KIF2C,588.0,0.387865377,395.0,1.004438,-0.148114841
KIF3B,3792.0,0.390782105,180.0,-1.064531,-0.325373531
KIF5B,3198.0,0.418236129,470.0,-0.227998,-0.028825941
KLHL7,3616.0,0.41595405,521.0,0.057689,-0.139634948
KTI12,594.0,0.370414154,39.0,1.024102,0.094628739
LAMP1,1311.0,0.390985106,281.0,0.29835,0.072823471
LANCL2,2422.0,0.433733517,578.0,0.381215,-0.489330252
LAP3,503.0,0.426841798,162.0,-0.061524,0.297805767
LDHD,1826.0,0.398770776,52.0,1.12382,0.286483112
LENG1,560.0,0.445950324,48.0,0.157722,0.094351322
LGALS3,159.0,0.420172221,88.0,0.174346,-0.175893555
LGALS3BP,1225.0,0.419930622,179.0,1.98064,0.502145626
LGALS9,641.0,0.410654931,118.0,0.886324,0.048558785
LIN54,4893.0,0.441729058,383.0,-0.339886,-0.125924415
LPCAT1,2228.0,0.380803123,133.0,2.136667,0.197449716
LPXN,1776.0,0.432350833,254.0,0.744223,0.59646916
LRPPRC,2376.0,0.377375074,58.0,-0.024575,-0.268249135
LRRC25,843.0,0.434491636,642.0,0.474967,0.24823413
LRRC41,465.0,0.438391248,44.0,0.240165,0.308990849
LRRC59,1755.0,0.423067849,236.0,1.351049,0.129602874
LSM1,486.0,0.409616526,410.0,-0.097364,-0.322850435
LSM6,1871.0,0.435100303,139.0,0.460202,0.276867932
LTA4H,391.0,0.355044638,145.0,-0.937353,-0.373362435
LYN,4058.0,0.418972994,282.0,0.025755,-0.205512804
LYPLAL1,1137.0,0.3973742,157.0,-0.386875,-0.355996142
LYRM4,6830.0,0.366844497,217.0,0.039596,0.320984358
LYSMD2,596.0,0.394037378,501.0,1.04851,0.198254528
M6PR,1457.0,0.379162834,275.0,0.585234,0.493218823
MAD2L1,4528.0,0.407191351,124.0,1.045756,-0.078242064
MAFB,2032.0,0.405989564,390.0,0.274735,0.11969519
MAGED2,327.0,0.466698843,233.0,0.006417,0.556859833
MAGOH,153.0,0.416054235,162.0,1.916605,-0.208002791
MAN2B1,128.0,0.381728903,76.0,1.294693,0.383826352
MANF,717.0,0.420319188,97.0,1.147676,0.200549616
MAP4K1,170.0,0.374128007,140.0,0.362159,0.489360259
MARCKSL1,768.0,0.468216312,206.0,-0.081363,-0.227832656
MAX,2676.0,0.337149475,479.0,0.419331,-0.00624436
MBD2,3723.0,0.420256858,229.0,0.073507,-0.007090382
MBP,4041.0,0.393290432,264.0,0.211682,-0.034300489
MCM2,662.0,0.460999542,110.0,1.005605,-0.195433884
MCM4,2618.0,0.371821308,942.0,0.134472,-0.18273004
MCM5,3214.0,0.470488076,94.0,0.779673,-0.121510421
MDC1,658.0,0.415783633,440.0,-0.441759,-0.387703152
MDH1,210.0,0.381672323,435.0,0.288379,-0.167189587
ME1,1535.0,0.411214685,265.0,5.023009,1.525027042
ME3,171.0,0.395156177,377.0,-1.206358,-0.358346002
MECR,1365.0,0.445670958,612.0,-0.381042,-0.231077821
MED17,2631.0,0.366528813,275.0,-0.190922,-0.171367492
MED19,934.0,0.439623042,93.0,0.74672,-0.045348901
MED28,10307.0,0.440157501,27.0,-1.32513,-0.146632979
MED29,4550.0,0.464327351,57.0,0.262296,-0.152383347
MEF2C,6848.0,0.41426337,654.0,-1.387602,0.015280364
MEN1,824.0,0.454590692,504.0,0.633567,0.083976736
METTL13,961.0,0.396264071,347.0,1.620847,0.145246608
MGST3,1295.0,0.374563048,428.0,0.093468,0.042458206
MIF4GD,787.0,0.397877071,137.0,1.387488,0.236897682
MINK1,774.0,0.455972684,525.0,0.425609,0.064063879
MIS12,1334.0,0.420723459,745.0,0.467377,-0.154110933
MLEC,5319.0,0.43043384,173.0,0.676703,-0.155093259
MLLT10,2252.0,0.36295117,1568.0,-0.256646,-1.355037215
MLX,1636.0,0.386664187,65.0,-0.150572,-0.023615147
MMACHC,1852.0,0.382684622,371.0,-0.069384,0.167894764
MMADHC,5382.0,0.406207656,205.0,0.287316,-0.347714288
MMGT1,4451.0,0.406300672,388.0,1.716026,0.46519058
MMP1,502.0,0.392399458,189.0,4.903493,0.240558473
MMP14,1722.0,0.419367787,285.0,0.65517,0.102380658
MMP9,193.0,0.404253633,19.0,-0.204792,-1.111957798
MORC3,2052.0,0.406702124,375.0,-1.020984,-0.092869463
MORF4L1,1066.0,0.420719378,454.0,0.33671,0.388318841
MOV10,619.0,0.412681236,1415.0,0.33316,0.354196024
MPDU1,797.0,0.440676037,216.0,0.11551,-0.384141733
MPHOSPH10,87.0,0.404440607,352.0,0.384197,0.133855252
MRI1,2018.0,0.459301832,75.0,0.944957,0.257174011
MRPL13,1075.0,0.395373051,313.0,0.148173,-0.008655358
MRPL15,1888.0,0.407701507,63.0,0.10588,-0.048197714
MRPL16,212.0,0.368940255,214.0,0.382715,-0.025307127
MRPL17,6554.0,0.424450505,105.0,0.52793,0.061861117
MRPL2,580.0,0.458698472,164.0,0.485045,0.024368448
MRPL20,187.0,0.445765675,96.0,0.657504,0.100384678
MRPL21,55.0,0.417448467,293.0,0.452066,0.000405419
MRPL27,2133.0,0.436300758,31.0,0.969387,0.15602134
MRPL40,113.0,0.406843086,653.0,0.819531,0.203187717
MRPL46,1889.0,0.422788385,25.0,0.592725,0.234115567
MRPL48,1284.0,0.368940255,212.0,0.410308,0.087449808
MRPL51,2069.0,0.35376587,169.0,0.660312,0.121596301
MRPL53,198.0,0.441261883,155.0,0.527682,-0.184712843
MRPL9,407.0,0.432679379,437.0,1.355714,-0.113390738
MRPS11,2793.0,0.477818717,1491.0,1.203455,0.062210604
MRPS15,468.0,0.440649404,164.0,0.225274,0.118234864
MRPS17,1334.0,0.413812124,30.0,0.453012,0.095171328
MRPS18B,936.0,0.408462865,157.0,0.393588,0.098023631
MRPS36,933.0,0.3748339,84.0,0.012127,0.110369682
MRPS7,453.0,0.455992019,233.0,1.493991,0.298510669
MSI2,5168.0,0.366385762,173.0,1.115003,-0.056219861
MSTO1,694.0,0.421389639,1152.0,0.66748,0.131703927
MT2A,316.0,0.576670685,123.0,-0.01854,-0.779716967
MTA2,684.0,0.459443446,761.0,0.242134,0.048559183
MTFMT,1550.0,0.414190941,26.0,0.083496,0.02429334
MTHFS,1663.0,0.434592403,179.0,0.874118,0.145878839
MTMR1,2442.0,0.424163835,319.0,-1.788592,-0.240298559
MTMR14,421.0,0.371137969,151.0,0.016885,-0.143077761
MVP,50.0,0.435053297,193.0,0.276581,0.021668636
MX1,456.0,0.433488503,982.0,0.896303,-0.756879978
MX2,1812.0,0.430094961,104.0,-0.15168,0.416697757
MYADM,2833.0,0.384589896,681.0,0.656642,-0.303571355
MYCBP,3972.0,0.381803634,73.0,0.076595,-0.177979444
MYL12A,812.0,0.453450746,478.0,-0.2102,0.055567382
MYO18A,3647.0,0.395788337,484.0,1.177621,0.380073326
MYO9B,1401.0,0.398943925,152.0,-0.219982,0.108304058
N6AMT1,5137.0,0.427535625,28.0,-1.258245,-0.021218031
NAA40,3212.0,0.389371031,261.0,0.439993,-0.140882479
NAB1,2433.0,0.361024962,572.0,-0.265958,-0.058196824
NADK,1672.0,0.3959688,563.0,0.416857,0.24106765
NADSYN1,464.0,0.447848979,126.0,0.165882,0.062133403
NAGK,1297.0,0.42527382,474.0,0.60777,0.202187949
NANS,37.0,0.458552255,132.0,0.511404,-0.36098929
NAPA,1862.0,0.477781443,318.0,0.640037,0.17802705
NAT10,4915.0,0.387474071,245.0,0.399526,0.020793789
NBAS,140.0,0.414580543,44.0,-0.376115,0.207334384
NCALD,2767.0,0.374888213,460.0,-1.429704,-0.345174083
NCAPD3,2971.0,0.431957579,606.0,0.299761,5.58e-05
NCAPG2,3501.0,0.41630572,200.0,-0.26456,-0.101646582
NCF1,2381.0,0.415579251,70.0,0.504447,0.372909551
NCK2,1267.0,0.457831152,276.0,-0.40472,-0.311828291
NCKIPSD,4981.0,0.449411541,126.0,-0.454584,0.051363351
NCOA5,1332.0,0.416761948,402.0,0.0976,0.100097855
NCOA7,3259.0,0.404217869,470.0,0.59668,0.453276197
NDC80,61.0,0.356199389,182.0,0.134467,-0.249087568
NDRG2,841.0,0.376266446,941.0,-1.203839,-0.616759464
NDUFA4,1685.0,0.439642808,129.0,0.168429,-0.320102932
NEU1,667.0,0.413226082,156.0,0.14546,0.072076426
NFATC2IP,3242.0,0.412267479,15.0,0.313484,-0.066820155
NFKB1,708.0,0.4099683,467.0,-0.111824,-0.084853828
NFKB2,153.0,0.424806573,563.0,-0.051958,-0.304491647
NFKBIE,1053.0,0.409138176,25.0,0.32779,-0.072196139
NGDN,1255.0,0.423783924,27.0,0.497845,0.025240902
NGRN,1679.0,0.414477409,50.0,1.682803,0.430250619
NINJ1,5217.0,0.455972644,71.0,-0.37407,0.227707811
NIP7,1593.0,0.443769116,318.0,1.185842,0.156132398
NIT2,2351.0,0.432361565,74.0,0.824455,-0.154060788
NMNAT3,2689.0,0.397393877,1228.0,-3.176833,-0.957229458
NMT1,3377.0,0.454689408,31.0,-0.7447,-0.320677713
NONO,1092.0,0.432928506,710.0,0.070203,-0.02552019
NOP14,912.0,0.38067473,187.0,0.164322,0.140155001
NOP2,785.0,0.393538298,198.0,1.389855,0.219425523
NOTCH2,6062.0,0.409327653,297.0,-0.790275,0.110201744
NPTN,1068.0,0.388989686,197.0,-0.352433,-0.029059747
NR2C2,6271.0,0.390767743,362.0,-0.65851,0.161458786
NRBF2,883.0,0.43605128,224.0,0.347973,0.28594227
NRF1,1901.0,0.447602651,500.0,-0.487572,-0.133259506
NRGN,833.0,0.413631862,152.0,1.156316,-0.01567068
NRP1,3846.0,0.416817106,523.0,-0.870103,-0.027036724
NSFL1C,1587.0,0.42738001,868.0,0.281215,-0.292484514
NSMAF,602.0,0.358586884,214.0,0.523048,0.038699282
NTAN1,178.0,0.344459601,320.0,1.395391,0.420011884
NUBP1,246.0,0.455923678,142.0,0.996718,-0.152413285
NUCKS1,5461.0,0.359398328,271.0,-0.485183,-0.478445683
NUDC,716.0,0.476401948,127.0,1.030811,0.278038676
NUDT16,5489.0,0.428387545,75.0,-0.381178,0.006359059
NUMA1,663.0,0.474508115,436.0,-0.730515,-0.030341644
NUP93,5678.0,0.382018893,495.0,0.367222,-0.039124074
NXF1,2943.0,0.375826754,136.0,-0.178103,0.096040918
OCIAD2,4872.0,0.363821488,322.0,-0.015376,-0.02283017
OGDH,1071.0,0.396078149,159.0,0.453003,0.072776009
OPA3,7233.0,0.475004358,100.0,0.319949,0.217889663
OSBPL2,2363.0,0.383456763,571.0,0.706527,0.06838162
OSBPL5,1099.0,0.381371042,158.0,0.535578,0.261892536
OVCA2,792.0,0.429983078,65.0,0.78334,-0.096089573
P2RX4,573.0,0.442596273,304.0,-0.542045,-0.406133609
PAAF1,509.0,0.376143366,341.0,-0.583911,-0.285533766
PACSIN2,1591.0,0.413490434,405.0,0.959484,0.203991408
PARK7,451.0,0.457171775,163.0,0.476193,-0.047821147
PARP1,769.0,0.460215809,171.0,0.844861,0.019296324
PARP10,332.0,0.422654659,200.0,0.60702,-0.042099832
PARP12,816.0,0.416480622,874.0,0.416079,-0.035752254
PARP14,2243.0,0.414355918,59.0,1.367328,0.321300324
PARP9,451.0,0.418102187,327.0,0.980782,0.059973525
PARVG,2043.0,0.383803232,484.0,0.40418,0.117073867
PBK,750.0,0.413339119,464.0,0.770084,-0.110423903
PCNA,338.0,0.425000199,239.0,0.107625,0.028560952
PDAP1,2007.0,0.464659554,134.0,0.147596,-0.043018254
PDCD2,155.0,0.440448783,111.0,0.299768,0.658965387
PDCD2L,48.0,0.433436103,33.0,0.764722,0.021540983
PDCD6IP,3211.0,0.388727459,158.0,-0.264416,0.092023877
PDHA1,2054.0,0.402514578,145.0,0.483542,-0.016458736
PDHB,2974.0,0.442593378,43.0,-0.245697,-0.157640503
PDLIM1,357.0,0.379179626,233.0,0.127603,-0.541867705
PDXDC1,2055.0,0.375670185,335.0,0.773729,0.362286171
PDXK,6244.0,0.398158884,198.0,0.767841,-0.047871229
PEBP1,796.0,0.360152166,326.0,-0.381994,-0.490878926
PEF1,769.0,0.441759403,424.0,0.079364,-0.047119778
PELO,5222.0,0.385240523,985.0,1.243539,0.320414733
PEPD,395.0,0.450896903,133.0,-0.026374,0.028048199
PEX16,585.0,0.43213601,312.0,0.976024,-0.117176306
PEX6,946.0,0.370078344,93.0,-1.129109,-0.203410652
PEX7,2294.0,0.407005497,102.0,0.398604,0.561468723
PFDN5,124.0,0.497062947,117.0,-0.17751,-0.005625208
PFDN6,574.0,0.470152145,222.0,0.896033,-0.032767469
PGM1,570.0,0.393980016,681.0,1.607126,0.322783052
PHB,988.0,0.45268542,190.0,-0.11145,-0.378675534
PHF10,104.0,0.365149381,79.0,-0.803063,0.027975569
PI4K2A,2692.0,0.385068362,57.0,-0.465949,-0.007818597
PIAS1,3626.0,0.396022529,741.0,-0.570514,0.109640544
PIGH,1430.0,0.434471606,98.0,0.367731,0.358169572
PIK3AP1,3866.0,0.407313024,128.0,-0.111984,-0.069358177
PIR,205.0,0.385796208,485.0,5.33463,2.157573863
PITPNC1,4686.0,0.369070722,874.0,0.983102,0.259311565
PLA2G4C,585.0,0.406173977,398.0,0.287168,0.653732634
PLA2G7,1187.0,0.402486321,269.0,0.110578,0.837017187
PLAUR,323.0,0.418467601,226.0,1.355285,0.141539504
PLCB2,818.0,0.468984469,301.0,0.101234,0.229135132
PLCG1,3987.0,0.454806205,121.0,0.601166,0.289140399
PLD4,273.0,0.377985619,192.0,-1.511016,-0.056651334
PLEKHO1,5192.0,0.424698037,839.0,0.80196,0.059758537
PLEKHO2,2119.0,0.429714475,134.0,0.054943,0.240424768
PML,3324.0,0.431306474,140.0,0.907575,0.357318188
POLR1C,1131.0,0.439933821,86.0,0.096518,-0.191931129
POLR1D,1469.0,0.427162265,456.0,0.650381,-0.069649463
POLR2F,1600.0,0.47244007,250.0,0.789796,0.65980761
POLR2H,1065.0,0.427596015,1167.0,0.586209,-0.198857894
POLR3H,3481.0,0.444306047,388.0,0.18602,-0.248907917
POLR3K,1023.0,0.473025152,46.0,1.070191,-0.172752401
PPA2,660.0,0.432735716,20.0,-0.248396,-0.149155846
PPIE,4556.0,0.446406574,56.0,0.145266,-0.145067114
PPIL1,1921.0,0.453832883,252.0,0.047024,-0.012442964
PPP1R14B,282.0,0.457456004,268.0,0.39824,-0.478219027
PRC1,1136.0,0.367783806,234.0,1.633458,0.339092216
PRCC,357.0,0.381841119,290.0,0.514928,-0.28786296
PRDX1,303.0,0.414090753,341.0,0.17095,-0.08581994
PRDX6,944.0,0.433706552,51.0,0.479465,-0.114092433
PREB,658.0,0.378530018,403.0,1.085756,0.173598409
PREP,579.0,0.425974009,233.0,1.97392,0.850937459
PRG4,784.0,0.366727173,51.0,-0.284142,-0.534809027
PRIM2,1166.0,0.350864643,125.0,-0.135024,-0.193735705
PRKAB1,1305.0,0.365943644,289.0,-0.915219,-0.426799658
PRKAR2A,5019.0,0.427443141,254.0,0.109991,0.120407148
PRKCB,5795.0,0.38010529,197.0,-0.893587,0.406031534
PRKCD,451.0,0.404392693,469.0,-0.424843,-0.127590873
PRKRA,683.0,0.420894136,659.0,-0.067199,0.095899482
PRKRIP1,3224.0,0.453589322,55.0,-0.333148,0.138735652
PRMT5,393.0,0.386451423,508.0,0.397749,0.029719448
PRMT7,3655.0,0.450088803,850.0,0.553701,0.280952139
PROCR,549.0,0.357872186,218.0,1.246028,0.697066051
PRPS1,3908.0,0.466551451,409.0,0.580438,0.180059765
PRPSAP1,2056.0,0.390811115,688.0,1.528073,-0.018414729
PRRC1,3173.0,0.409170839,188.0,0.327295,0.474142187
PSMA5,2997.0,0.446573967,225.0,0.865761,-0.041014066
PSMA6,187.0,0.423632682,445.0,1.120255,0.194795359
PSMB10,58.0,0.455018511,128.0,1.134879,0.296880238
PSMB2,3775.0,0.389848815,412.0,0.801651,-0.036574676
PSMB8,242.0,0.411206622,522.0,1.720112,0.315660596
PSMB9,5497.0,0.431095699,69.0,2.385955,0.27846421
PSMC3,66.0,0.485654947,194.0,0.483961,-0.009689804
PSMD11,2567.0,0.390095635,61.0,0.148844,-0.074868039
PSMD13,384.0,0.437236365,242.0,0.219806,-0.131654665
PSMD8,450.0,0.458928351,52.0,0.86566,-0.062507562
PSME2,53.0,0.443656162,65.0,1.560805,0.075424797
PSMG1,5308.0,0.427553471,578.0,0.993481,-0.034891276
PSTPIP2,1923.0,0.429639796,96.0,0.113392,0.027555997
PTBP1,1504.0,0.473818895,106.0,0.186883,-0.146103046
PTDSS1,3765.0,0.367954205,423.0,0.402938,-0.108221893
PTGS1,3346.0,0.37260918,633.0,-0.368162,-0.022965049
PTP4A1,3419.0,0.421202001,1153.0,0.105564,0.055426571
PTPMT1,1899.0,0.450492628,193.0,0.440456,0.389254082
PTPN18,2185.0,0.381656528,101.0,-0.468884,-0.293360805
PTPN7,1593.0,0.440747449,781.0,1.032533,0.257993939
PTPRE,2994.0,0.426620112,1843.0,-0.324336,0.227102034
PTPRF,4571.0,0.452810321,356.0,-0.106244,-0.296495149
PTRH2,3186.0,0.370743372,1544.0,1.608348,0.123942842
PWWP2B,819.0,0.424412275,29.0,2.850296,0.877762029
PYCR2,578.0,0.474148407,230.0,0.543898,0.16667577
PYGL,175.0,0.392036998,127.0,1.16717,-0.281075213
QARS,97.0,0.458996209,396.0,0.097242,0.144943677
RAB11FIP1,4277.0,0.380614122,56.0,-1.02535,-0.268747891
RAB12,1120.0,0.38483812,283.0,-0.858918,-0.314467415
RAB21,5246.0,0.435367738,267.0,1.655864,0.725105911
RAB31,3231.0,0.437498832,175.0,0.013784,-0.112181138
RAB35,2172.0,0.408841719,189.0,0.115823,-0.098425368
RAB7A,1376.0,0.419395127,232.0,0.357155,0.076067874
RAB8B,4163.0,0.425956778,96.0,-0.498894,-0.0247214
RAB9A,1716.0,0.417525007,283.0,2.184919,1.50580153
RABGGTA,77.0,0.387342734,512.0,0.263275,0.073379182
RABGGTB,440.0,0.409412379,78.0,0.8673,-0.048423902
RABIF,4760.0,0.447399225,159.0,-0.034079,0.109210755
RACGAP1,1895.0,0.366370127,354.0,0.401225,-0.090399656
RAD9A,924.0,0.444046557,185.0,-0.019959,-0.009294954
RAE1,1112.0,0.432613552,365.0,0.944333,-0.077213195
RAI1,1472.0,0.455620822,469.0,-0.246366,-0.057424385
RAN,2043.0,0.442855294,361.0,0.905725,-0.206115542
RANBP10,3359.0,0.379453562,1256.0,-0.234951,-0.018805345
RANGAP1,3145.0,0.481547647,765.0,0.844051,-0.04976002
RAPGEF1,2727.0,0.425793135,159.0,-0.54285,0.004717777
RARS,114.0,0.423508657,41.0,0.430569,0.057698015
RASGRP2,183.0,0.381671176,582.0,-1.033326,-0.215298295
RBBP4,6506.0,0.404056961,164.0,-0.164778,-0.348059464
RBBP5,3098.0,0.421849625,474.0,-0.489714,-0.077853962
RBKS,251.0,0.392307233,1371.0,0.645351,0.146468115
RBM12,3599.0,0.375183789,304.0,0.468585,0.164290255
RBM14,3443.0,0.468008211,139.0,0.279113,0.055793439
RBM4B,5277.0,0.396841232,170.0,0.07838,-0.070645774
RBMX,1201.0,0.353737079,210.0,0.258366,0.420499387
RBPJ,4223.0,0.4178224,518.0,-0.606506,-0.046488824
RBX1,821.0,0.46562919,52.0,0.70212,0.012165543
RC3H1,7637.0,0.410085914,87.0,-0.316663,-0.055446155
RCCD1,1773.0,0.374130224,280.0,1.52371,0.632001899
RCOR1,4070.0,0.439565312,228.0,-0.234283,0.112851433
REEP4,591.0,0.460338979,469.0,0.836147,-0.058784471
REEP5,2962.0,0.457536941,144.0,0.331556,0.916586469
RELB,408.0,0.418226182,131.0,0.161332,-0.081705661
REPIN1,2683.0,0.45080531,489.0,-0.434021,-0.059346725
RFC4,89.0,0.411167541,282.0,0.605875,-0.204894523
RFK,1882.0,0.429285662,357.0,-0.312199,0.176080986
RFX5,1546.0,0.386685917,221.0,0.421098,0.201839207
RFXAP,1850.0,0.421314391,156.0,0.130883,-0.188237426
RHBDF2,740.0,0.423256567,294.0,2.520801,0.061422153
RHOT2,568.0,0.454546166,881.0,0.857106,0.088317573
RINL,1279.0,0.357351373,413.0,-1.471289,-0.096455778
RNASE2,179.0,0.384567964,71.0,1.88167,-0.002274266
RNASEH1,4369.0,0.404567903,700.0,0.377211,-0.316787873
RNASEH2B,3930.0,0.37625722,399.0,0.237655,0.390724999
RNASET2,1070.0,0.374792559,407.0,-0.375487,-0.276178159
RNF114,1751.0,0.459950313,36.0,2.182615,0.985098121
RNF167,289.0,0.375291206,776.0,1.778166,0.649124799
RNF20,5226.0,0.396317502,92.0,-0.324401,-0.166378389
RNF213,5288.0,0.417718743,150.0,1.510394,0.131422355
RNF216,2819.0,0.430061571,259.0,0.136657,0.132294095
RNF25,102.0,0.375620157,88.0,0.332893,-0.13061893
RNF31,88.0,0.389352607,358.0,0.494536,0.04218753
RNLS,1252.0,0.416402283,135.0,-0.807318,0.136144033
RNMT,4581.0,0.415128602,241.0,-0.130223,-0.138542947
RNPEP,463.0,0.447181346,896.0,0.668609,0.285996829
RP9,437.0,0.42869019,18.0,0.421011,0.047748787
RPA1,2907.0,0.381710028,170.0,-0.039335,-0.111096512
RPA2,639.0,0.400070522,793.0,-0.38985,-0.064980549
RPAIN,471.0,0.394698889,570.0,-0.348666,0.58913338
RPL11,461.0,0.442317923,45.0,0.436087,0.030039481
RPL14,5208.0,0.496792394,133.0,-0.180963,-0.279923312
RPL23,3146.0,0.464880603,90.0,-0.596786,0.129498546
RPL26,53.0,0.427802183,389.0,-0.178844,-0.15128861
RPL31,1260.0,0.451994935,87.0,-0.040596,-0.001281519
RPL34,1350.0,0.436455219,198.0,-0.055151,0.014153169
RPL5,1058.0,0.451564158,75.0,-0.129357,-0.087781263
RPL7,1077.0,0.460258279,707.0,0.706918,-0.234913822
RPS11,373.0,0.483080585,92.0,0.47423,0.054395031
RPS24,4247.0,0.430653047,142.0,0.302176,-0.225278391
RPS25,109.0,0.467193878,63.0,-0.183372,-0.21159353
RPS27A,743.0,0.450449292,321.0,0.425675,0.053121819
RPS3A,306.0,0.426765211,80.0,-0.057143,0.110442549
RPS4X,629.0,0.442998752,96.0,0.347443,0.02036779
RPS6,2723.0,0.413925579,42.0,0.111233,-0.268275838
RPS6KA1,828.0,0.389798854,163.0,0.049668,-0.009629818
RPS6KA4,735.0,0.38455359,226.0,0.419555,0.020924143
RPS7,66.0,0.428822459,109.0,0.592223,0.076158394
RPTOR,2341.0,0.385169267,805.0,1.915813,0.417392573
RREB1,3012.0,0.456825357,492.0,-0.256904,0.03572829
RRM1,2304.0,0.437568848,689.0,-0.009559,0.027922892
RRP8,5071.0,0.446233376,148.0,0.189187,0.246115985
RRS1,978.0,0.468289248,104.0,1.187277,-0.350163234
RTN3,1690.0,0.358048129,187.0,0.571728,0.455096446
RTN4IP1,1108.0,0.372133716,477.0,1.713337,0.649464517
RUNX1,4334.0,0.416076551,1578.0,-0.620414,0.060498106
RUNX3,2611.0,0.405217602,439.0,1.222838,0.211809068
RWDD1,6365.0,0.401367905,746.0,-0.334873,-0.302056377
S100A8,71.0,0.444112716,170.0,6.350622,-1.013253511
S100A9,189.0,0.439508357,43.0,6.053855,-1.204868669
SAMD9,1815.0,0.395660052,270.0,-0.137577,-0.149814988
SAMD9L,1162.0,0.396305952,1248.0,0.017134,0.026010221
SAMM50,150.0,0.345249646,197.0,1.214922,0.199584444
SAMSN1,684.0,0.407246581,430.0,-0.533623,0.109653775
SAP18,1754.0,0.427429047,39.0,0.314255,0.062737578
SAP30BP,1541.0,0.449617255,257.0,0.888718,-0.240520522
SAR1A,5213.0,0.411769389,203.0,0.074926,-0.144607256
SAR1B,5806.0,0.392367964,253.0,0.858223,0.449117264
SARS,1054.0,0.40098191,100.0,0.150446,0.017832752
SASH3,1369.0,0.387406112,182.0,0.034706,0.19275209
SCAMP4,1741.0,0.472519575,351.0,0.094547,0.187570774
SCO1,8645.0,0.407339367,61.0,-0.047458,-0.210703805
SDCCAG8,307.0,0.360606297,1542.0,-0.326129,-0.096368041
SEC11C,205.0,0.423646802,92.0,1.297531,0.409183574
SEC13,332.0,0.457264526,210.0,1.261677,0.170970697
SEC14L1,2986.0,0.420320088,665.0,1.431688,0.297246238
SEC22A,2559.0,0.422343815,79.0,-0.038346,0.320437072
SEC24B,1221.0,0.400931805,155.0,-0.426988,0.021727617
SEC24D,2115.0,0.386600041,297.0,0.452783,0.347961758
SEC61B,270.0,0.404562259,76.0,0.548665,0.43025043
SEMA3F,960.0,0.38837398,318.0,-0.964023,-0.298751012
SEMA4A,755.0,0.412797256,345.0,0.090464,-0.035532183
SEMA4D,2318.0,0.393173667,572.0,0.025431,0.117643414
SERPINA1,1707.0,0.420489385,573.0,4.756257,-0.635589691
SERPINB8,2096.0,0.38524815,520.0,0.285885,-0.235325497
SETMAR,321.0,0.414235412,398.0,0.099348,0.461948829
SEZ6L2,540.0,0.431800162,245.0,-0.059035,-0.139109313
SF1,2419.0,0.374481437,721.0,-0.07164,-0.080587001
SF3B2,563.0,0.453902675,40.0,0.223562,0.076885923
