,3prime,tAI,max_5_UTR_length,TCGA-A2-A0SW,TCGA-A2-A0SW.1
IL1RN,1145.0,0.411881061,408.0,-0.311607,-0.514958385
IL4I1,16.0,0.4139018,621.0,1.429657,0.14324618
ILF2,656.0,0.426220446,239.0,0.508556,-0.452068106
IMPA2,2898.0,0.383680893,242.0,2.048907,0.867533989
INO80,5209.0,0.374025479,351.0,-0.326809,-0.603761095
INPP1,263.0,0.395712795,700.0,-0.93436,0.099214197
INPP5D,1195.0,0.436077769,512.0,0.811213,0.254965776
INSR,4801.0,0.380857973,411.0,-0.427348,-0.158335274
IPO5,2508.0,0.381335948,180.0,-1.017539,-0.647364673
IRF7,92.0,0.423538356,367.0,1.344045,1.440225743
IRF8,1327.0,0.384714127,507.0,0.637166,0.159235061
IRF9,369.0,0.432057622,127.0,1.302357,0.339725297
IRGQ,7659.0,0.399674011,156.0,-0.07193,-0.026829981
ISCU,607.0,0.454630229,1331.0,0.428409,0.437850773
ISG15,62.0,0.419522688,77.0,1.411701,-0.714985371
ISG20,952.0,0.419932377,2368.0,1.285227,0.448460074
ISOC1,1056.0,0.418535314,18.0,2.044734,1.449659184
ITGB2,415.0,0.457304004,395.0,1.384039,-0.076051959
ITPKB,2981.0,0.440250717,340.0,0.01297,0.089363058
ITPRIP,5382.0,0.396785481,453.0,-0.473469,0.082630448
JUNB,496.0,0.414023332,276.0,-0.661786,-0.288951309
JUP,157.0,0.458302936,298.0,-1.032291,-0.379199663
KANK2,2291.0,0.394238955,361.0,0.039882,0.14966532
KARS,4202.0,0.383913431,144.0,0.570767,0.14481833
KDM1A,327.0,0.428444011,149.0,0.415118,-0.305150315
KDM2A,3716.0,0.372295488,864.0,-0.3001,-0.269091111
KDM3B,1327.0,0.37791414,200.0,-0.339636,0.118358808
KDM4A,1148.0,0.378142374,166.0,-0.157258,0.124907706
KHSRP,1024.0,0.456900489,110.0,0.487899,-0.206577051
KIAA2013,727.0,0.385456054,191.0,0.60342,-0.025365754
KIF20A,757.0,0.371463873,496.0,1.436221,0.031080346
KIF22,75.0,0.392489541,388.0,1.114975,0.189950969
KIF2C,588.0,0.387865377,395.0,1.599882,0.245581761
KIF3B,3792.0,0.390782105,180.0,-0.187493,-0.059596335
KIF3C,2392.0,0.403852971,657.0,0.312115,-0.385031692
KIF5B,3198.0,0.418236129,470.0,-0.675182,-0.162915169
KLHL7,3616.0,0.41595405,521.0,-1.233276,-0.272038302
KTI12,594.0,0.370414154,39.0,0.506942,0.098799584
LAMP1,1311.0,0.390985106,281.0,-0.399673,-0.048587077
LANCL2,2422.0,0.433733517,578.0,0.225364,-0.433346557
LAP3,503.0,0.426841798,162.0,0.983405,0.652158501
LDHD,1826.0,0.398770776,52.0,-1.041529,0.434758775
LENG1,560.0,0.445950324,48.0,0.621032,-0.212820353
LGALS3,159.0,0.420172221,88.0,0.793231,-0.062146714
LGALS3BP,1225.0,0.419930622,179.0,1.555922,0.879814728
LGALS9,641.0,0.410654931,118.0,0.628165,0.203352573
LIN54,4893.0,0.441729058,383.0,0.421948,0.431343755
LPCAT1,2228.0,0.380803123,133.0,-0.637724,-0.79510897
LPXN,1776.0,0.432350833,254.0,1.969424,0.669952888
LRPPRC,2376.0,0.377375074,58.0,-0.177009,-0.049826181
LRRC25,843.0,0.434491636,642.0,0.193418,0.236855952
LRRC41,465.0,0.438391248,44.0,0.098015,-0.3415991
LRRC59,1755.0,0.423067849,236.0,1.091205,-0.463625039
LSM1,486.0,0.409616526,410.0,0.947458,0.05194743
LSM6,1871.0,0.435100303,139.0,0.219002,0.169029853
LTA4H,391.0,0.355044638,145.0,0.460857,0.31949598
LYN,4058.0,0.418972994,282.0,-0.000903,-0.289381535
LYPLAL1,1137.0,0.3973742,157.0,0.506818,0.480526312
LYRM4,6830.0,0.366844497,217.0,-0.02247,0.446340908
LYSMD2,596.0,0.394037378,501.0,-0.817916,0.016429296
M6PR,1457.0,0.379162834,275.0,-0.238898,-0.352050925
MAD2L1,4528.0,0.407191351,124.0,0.53706,-0.124325434
MAGED2,327.0,0.466698843,233.0,-0.371014,-0.527892477
MAGOH,153.0,0.416054235,162.0,0.555653,0.17406729
MAN2B1,128.0,0.381728903,76.0,0.92073,0.115645287
MANF,717.0,0.420319188,97.0,0.533383,0.782042083
MAP4K1,170.0,0.374128007,140.0,1.889074,0.468176223
MARCKSL1,768.0,0.468216312,206.0,0.698708,0.108864036
MAX,2676.0,0.337149475,479.0,0.745788,0.579910883
MBD2,3723.0,0.420256858,229.0,0.388907,-0.024631027
MBP,4041.0,0.393290432,264.0,-0.348071,-0.067202349
MCM2,662.0,0.460999542,110.0,0.520417,-0.02878288
MCM4,2618.0,0.371821308,942.0,0.816198,0.231178714
MCM5,3214.0,0.470488076,94.0,0.975732,-0.058188007
MDC1,658.0,0.415783633,440.0,-0.154663,-0.277256384
MDH1,210.0,0.381672323,435.0,0.478209,0.298505857
ME1,1535.0,0.411214685,265.0,1.89038,0.819563161
ME3,171.0,0.395156177,377.0,-0.289967,0.51407633
MECR,1365.0,0.445670958,612.0,0.851176,0.620063448
MED17,2631.0,0.366528813,275.0,0.549511,-0.06057313
MED19,934.0,0.439623042,93.0,-0.106376,0.254906843
MED28,10307.0,0.440157501,27.0,-0.48872,0.190161319
MED29,4550.0,0.464327351,57.0,0.097168,0.059408359
MEN1,824.0,0.454590692,504.0,-0.049762,-0.183298682
METTL13,961.0,0.396264071,347.0,0.701496,0.268360021
MGST3,1295.0,0.374563048,428.0,0.729433,-1.262839322
MIF4GD,787.0,0.397877071,137.0,0.584667,0.227185527
MINK1,774.0,0.455972684,525.0,-0.306509,0.087480971
MIS12,1334.0,0.420723459,745.0,-0.302696,-0.197453035
MLEC,5319.0,0.43043384,173.0,-0.803915,-0.752545903
MMACHC,1852.0,0.382684622,371.0,0.365249,0.384044048
MMADHC,5382.0,0.406207656,205.0,0.092,0.291523947
MMGT1,4451.0,0.406300672,388.0,0.441096,-0.082624731
MMP1,502.0,0.392399458,189.0,6.14137,1.124097596
MMP14,1722.0,0.419367787,285.0,0.009628,-0.373617152
MMP9,193.0,0.404253633,19.0,0.696283,-0.834374849
MORC3,2052.0,0.406702124,375.0,-0.440663,-0.213738645
MORF4L1,1066.0,0.420719378,454.0,-0.740435,0.006968172
MOV10,619.0,0.412681236,1415.0,0.054301,-0.368947019
MPDU1,797.0,0.440676037,216.0,0.075174,-0.631615858
MPHOSPH10,87.0,0.404440607,352.0,0.206143,-0.016928695
MRI1,2018.0,0.459301832,75.0,0.471919,0.251820446
MRPL13,1075.0,0.395373051,313.0,0.576588,0.433806124
MRPL15,1888.0,0.407701507,63.0,0.787431,0.30545899
MRPL16,212.0,0.368940255,214.0,0.396384,0.218671317
MRPL17,6554.0,0.424450505,105.0,0.443176,0.408840566
MRPL2,580.0,0.458698472,164.0,0.413144,0.23944063
MRPL20,187.0,0.445765675,96.0,0.721748,0.372079904
MRPL21,55.0,0.417448467,293.0,0.410512,0.153694205
MRPL27,2133.0,0.436300758,31.0,0.827519,0.26365383
MRPL40,113.0,0.406843086,653.0,-0.213639,-0.150278021
MRPL46,1889.0,0.422788385,25.0,-0.492855,-0.003298874
MRPL48,1284.0,0.368940255,212.0,0.271309,0.039696305
MRPL51,2069.0,0.35376587,169.0,0.410968,-0.499342385
MRPL53,198.0,0.441261883,155.0,0.573925,0.4146225
MRPL9,407.0,0.432679379,437.0,0.680394,0.126511143
MRPS11,2793.0,0.477818717,1491.0,-0.249202,0.157203774
MRPS15,468.0,0.440649404,164.0,0.879958,0.308687435
MRPS17,1334.0,0.413812124,30.0,0.361075,0.229746925
MRPS18B,936.0,0.408462865,157.0,0.163329,0.122202675
MRPS36,933.0,0.3748339,84.0,0.238748,0.103052381
MRPS7,453.0,0.455992019,233.0,0.768815,0.306734586
MSI2,5168.0,0.366385762,173.0,0.222668,0.115029567
MSTO1,694.0,0.421389639,1152.0,0.652461,0.106766844
MTA2,684.0,0.459443446,761.0,0.152685,0.337151518
MTFMT,1550.0,0.414190941,26.0,-0.441296,0.131866623
MTHFS,1663.0,0.434592403,179.0,-0.980238,-0.329046524
MTMR1,2442.0,0.424163835,319.0,-0.773404,-0.307071653
MTMR14,421.0,0.371137969,151.0,-0.046722,-0.221658285
MVP,50.0,0.435053297,193.0,0.628948,0.290656777
MX1,456.0,0.433488503,982.0,0.63927,-0.137764619
MX2,1812.0,0.430094961,104.0,-0.424878,-0.316124987
MYADM,2833.0,0.384589896,681.0,-0.877876,-0.968911438
MYCBP,3972.0,0.381803634,73.0,0.328458,-0.160879899
MYL12A,812.0,0.453450746,478.0,0.272601,-0.050580087
MYO18A,3647.0,0.395788337,484.0,-0.109661,-0.099914381
MYO9B,1401.0,0.398943925,152.0,0.350286,-0.048973598
N6AMT1,5137.0,0.427535625,28.0,-0.938993,0.026673643
NAA40,3212.0,0.389371031,261.0,-0.141892,-0.790859322
NAB1,2433.0,0.361024962,572.0,-1.461946,0.099323342
NADK,1672.0,0.3959688,563.0,0.156873,0.060622532
NADSYN1,464.0,0.447848979,126.0,0.345722,-0.214788619
NAGK,1297.0,0.42527382,474.0,0.746473,0.202028178
NANS,37.0,0.458552255,132.0,1.861985,0.714131335
NAPA,1862.0,0.477781443,318.0,0.389316,0.235040952
NAT10,4915.0,0.387474071,245.0,0.025747,-0.343156694
NBAS,140.0,0.414580543,44.0,-0.241773,-0.020397726
NCALD,2767.0,0.374888213,460.0,-1.507771,-0.932444989
NCAPD3,2971.0,0.431957579,606.0,0.310011,0.047165885
NCAPG2,3501.0,0.41630572,200.0,0.679565,0.076167435
NCF1,2381.0,0.415579251,70.0,2.054918,0.205921039
NCK2,1267.0,0.457831152,276.0,0.037711,-0.066704111
NCKIPSD,4981.0,0.449411541,126.0,-0.830506,-0.68259078
NCOA5,1332.0,0.416761948,402.0,0.411648,0.305484317
NCOA7,3259.0,0.404217869,470.0,-0.25853,0.285249896
NDC80,61.0,0.356199389,182.0,0.970506,0.177297563
NDRG2,841.0,0.376266446,941.0,-2.787799,-0.450804294
NDUFA4,1685.0,0.439642808,129.0,0.586304,0.783191386
NEU1,667.0,0.413226082,156.0,0.095142,-0.05225549
NFATC2IP,3242.0,0.412267479,15.0,0.241147,0.382960394
NFKB1,708.0,0.4099683,467.0,-0.196218,-0.175984734
NFKB2,153.0,0.424806573,563.0,0.449526,0.158130053
NFKBIE,1053.0,0.409138176,25.0,0.205799,-0.09370741
NGDN,1255.0,0.423783924,27.0,0.694342,0.264350723
NGRN,1679.0,0.414477409,50.0,-0.761392,0.55150033
NIP7,1593.0,0.443769116,318.0,0.258635,-0.151347114
NIT2,2351.0,0.432361565,74.0,0.00316,-0.176388862
NMNAT3,2689.0,0.397393877,1228.0,-1.052333,0.045683156
NMT1,3377.0,0.454689408,31.0,-0.405908,0.083934955
NONO,1092.0,0.432928506,710.0,-0.218704,-0.051986173
NOP14,912.0,0.38067473,187.0,0.115117,-0.13245257
NOP2,785.0,0.393538298,198.0,0.339304,-0.362908901
NOTCH2,6062.0,0.409327653,297.0,-0.375137,0.033970694
NPTN,1068.0,0.388989686,197.0,-0.518998,0.116604545
NR2C2,6271.0,0.390767743,362.0,-0.629753,-0.274414769
NRBF2,883.0,0.43605128,224.0,0.222723,0.222411687
NRF1,1901.0,0.447602651,500.0,-0.172009,0.094156288
NRP1,3846.0,0.416817106,523.0,-0.346769,0.209560788
NSFL1C,1587.0,0.42738001,868.0,0.595741,0.130455548
NSMAF,602.0,0.358586884,214.0,-1.247392,-0.219565365
NTAN1,178.0,0.344459601,320.0,0.784288,0.463380401
NUBP1,246.0,0.455923678,142.0,0.617753,0.177649523
NUCKS1,5461.0,0.359398328,271.0,-0.530464,-0.488219497
NUDC,716.0,0.476401948,127.0,0.50594,-0.072607011
NUDT16,5489.0,0.428387545,75.0,-0.328905,0.251815111
NUMA1,663.0,0.474508115,436.0,0.06955,0.000821691
NUP93,5678.0,0.382018893,495.0,0.931289,-0.197625002
NXF1,2943.0,0.375826754,136.0,0.014865,-0.138962707
OCIAD2,4872.0,0.363821488,322.0,0.311819,-0.622773715
OGDH,1071.0,0.396078149,159.0,0.437625,0.174374693
OSBPL2,2363.0,0.383456763,571.0,0.614242,0.141079684
OSBPL5,1099.0,0.381371042,158.0,-0.087606,-0.264910496
OVCA2,792.0,0.429983078,65.0,0.030495,0.114945171
P2RX4,573.0,0.442596273,304.0,-0.100869,-0.216023743
PAAF1,509.0,0.376143366,341.0,1.156416,0.74070371
PACSIN2,1591.0,0.413490434,405.0,-0.185635,-0.389124368
PARK7,451.0,0.457171775,163.0,0.731513,0.027164704
PARP1,769.0,0.460215809,171.0,0.726425,0.09551772
PARP10,332.0,0.422654659,200.0,1.036073,0.238346854
PARP12,816.0,0.416480622,874.0,0.782863,0.162217534
PARP14,2243.0,0.414355918,59.0,1.006998,0.280287819
PARP9,451.0,0.418102187,327.0,0.459254,0.121583611
PARVG,2043.0,0.383803232,484.0,1.023432,0.10373558
PBK,750.0,0.413339119,464.0,2.179934,0.981216955
PCNA,338.0,0.425000199,239.0,1.12102,0.145643143
PDAP1,2007.0,0.464659554,134.0,0.498864,0.202520619
PDCD2,155.0,0.440448783,111.0,0.0937,0.28093211
PDCD2L,48.0,0.433436103,33.0,0.347149,0.321263807
PDCD6IP,3211.0,0.388727459,158.0,-0.776529,-0.322324061
PDHA1,2054.0,0.402514578,145.0,0.500852,0.177896635
PDHB,2974.0,0.442593378,43.0,-0.364883,0.137700571
PDLIM1,357.0,0.379179626,233.0,-0.63318,-0.332572004
PDXDC1,2055.0,0.375670185,335.0,0.718133,0.510929205
PDXK,6244.0,0.398158884,198.0,-0.243628,0.258282862
PEBP1,796.0,0.360152166,326.0,-0.032348,-0.152454113
PEF1,769.0,0.441759403,424.0,0.41019,-0.102420748
PELO,5222.0,0.385240523,985.0,-0.038775,0.115838567
PEPD,395.0,0.450896903,133.0,0.140959,0.228983809
PEX16,585.0,0.43213601,312.0,0.727649,0.16332499
PEX6,946.0,0.370078344,93.0,-1.449759,-0.597708212
PEX7,2294.0,0.407005497,102.0,-0.173497,-0.203525663
PFDN5,124.0,0.497062947,117.0,0.152934,0.137611756
PFDN6,574.0,0.470152145,222.0,0.408065,0.17204322
PGM1,570.0,0.393980016,681.0,0.871509,0.418590728
PHB,988.0,0.45268542,190.0,0.799893,0.007884538
PHF10,104.0,0.365149381,79.0,-0.225699,-0.465156507
PI4K2A,2692.0,0.385068362,57.0,-0.556801,-0.472361083
PIAS1,3626.0,0.396022529,741.0,-0.542752,-0.085367178
PIK3AP1,3866.0,0.407313024,128.0,0.365721,0.000181833
PIR,205.0,0.385796208,485.0,1.576225,0.63553658
PITPNC1,4686.0,0.369070722,874.0,1.407084,0.326179902
PLA2G7,1187.0,0.402486321,269.0,1.132985,0.327094759
PLAUR,323.0,0.418467601,226.0,0.739277,-0.170484741
PLCB2,818.0,0.468984469,301.0,0.916302,0.429772421
PLCG1,3987.0,0.454806205,121.0,0.898374,0.055948221
PLD4,273.0,0.377985619,192.0,0.598664,0.285646718
PLEKHO1,5192.0,0.424698037,839.0,0.142128,0.103431418
PLEKHO2,2119.0,0.429714475,134.0,0.55934,0.426066255
PLSCR1,10376.0,0.415598704,388.0,0.542453,-0.436376272
PML,3324.0,0.431306474,140.0,-0.219233,-0.190898939
POLR1C,1131.0,0.439933821,86.0,-0.294903,-0.280139922
POLR1D,1469.0,0.427162265,456.0,-0.539757,-0.503453618
POLR2F,1600.0,0.47244007,250.0,-0.007634,0.295793198
POLR2H,1065.0,0.427596015,1167.0,-0.312194,-0.746632158
POLR3H,3481.0,0.444306047,388.0,-0.979425,0.023353344
POLR3K,1023.0,0.473025152,46.0,1.302991,0.222289098
PPA2,660.0,0.432735716,20.0,0.157666,-0.004899851
PPIE,4556.0,0.446406574,56.0,0.598479,0.170320925
PPIL1,1921.0,0.453832883,252.0,-0.197263,-0.034368463
PPP1R14B,282.0,0.457456004,268.0,0.486271,0.170373007
PRC1,1136.0,0.367783806,234.0,-0.040875,-0.522575648
PRCC,357.0,0.381841119,290.0,0.50017,0.143209048
PRDX1,303.0,0.414090753,341.0,1.27998,0.22701403
PRDX6,944.0,0.433706552,51.0,0.122307,-0.114270593
PREB,658.0,0.378530018,403.0,0.351555,-0.247424158
PREP,579.0,0.425974009,233.0,0.174576,-0.52023928
PRG4,784.0,0.366727173,51.0,2.835402,0.391365957
PRIM2,1166.0,0.350864643,125.0,0.131486,0.217665149
PRKAB1,1305.0,0.365943644,289.0,0.255376,0.240476815
PRKAR2A,5019.0,0.427443141,254.0,-0.97278,-0.084131777
PRKCB,5795.0,0.38010529,197.0,1.698995,0.390168235
PRKCD,451.0,0.404392693,469.0,-0.069109,-0.148363489
PRKRA,683.0,0.420894136,659.0,0.052486,0.007951076
PRKRIP1,3224.0,0.453589322,55.0,0.724588,0.356138912
PRMT5,393.0,0.386451423,508.0,0.419042,-0.175237124
PRMT7,3655.0,0.450088803,850.0,0.650006,0.152316134
PROCR,549.0,0.357872186,218.0,0.008612,0.167920525
PRPS1,3908.0,0.466551451,409.0,1.055185,0.447401099
PRPSAP1,2056.0,0.390811115,688.0,0.674178,0.454483674
PRRC1,3173.0,0.409170839,188.0,0.751194,0.192747976
PSMA5,2997.0,0.446573967,225.0,1.075064,-0.115893129
PSMA6,187.0,0.423632682,445.0,0.962801,0.011036255
PSMB10,58.0,0.455018511,128.0,1.589644,0.217216598
PSMB2,3775.0,0.389848815,412.0,0.953777,-0.076492883
PSMB8,242.0,0.411206622,522.0,1.206764,0.321753047
PSMB9,5497.0,0.431095699,69.0,1.355737,0.371625931
PSMC3,66.0,0.485654947,194.0,0.43859,0.310609595
PSMD11,2567.0,0.390095635,61.0,-0.220892,-0.028269551
PSMD13,384.0,0.437236365,242.0,0.298353,-0.034543433
PSMD8,450.0,0.458928351,52.0,0.232774,-0.185810461
PSME2,53.0,0.443656162,65.0,1.635011,0.577738799
PSMG1,5308.0,0.427553471,578.0,-0.089702,-0.117529176
PSTPIP2,1923.0,0.429639796,96.0,-0.929844,-0.284591512
PTBP1,1504.0,0.473818895,106.0,0.264618,-0.032421049
PTDSS1,3765.0,0.367954205,423.0,-0.24278,-1.109499762
PTGS1,3346.0,0.37260918,633.0,0.275833,0.003649521
PTPMT1,1899.0,0.450492628,193.0,-0.378719,-0.389193479
PTPN18,2185.0,0.381656528,101.0,-0.351631,-0.517206789
PTPN7,1593.0,0.440747449,781.0,2.425494,0.528646909
PTPRE,2994.0,0.426620112,1843.0,-0.46304,-0.186163239
PTPRF,4571.0,0.452810321,356.0,-0.387951,-0.655031155
PTRH2,3186.0,0.370743372,1544.0,0.446343,-0.817109711
PWWP2B,819.0,0.424412275,29.0,-0.387177,-0.563214679
PYCR2,578.0,0.474148407,230.0,0.256954,-0.112614693
PYGL,175.0,0.392036998,127.0,1.011822,0.699637714
QARS,97.0,0.458996209,396.0,-0.487091,-0.18567257
RAB11FIP1,4277.0,0.380614122,56.0,0.414561,0.674169772
RAB12,1120.0,0.38483812,283.0,-0.466434,-0.171716762
RAB21,5246.0,0.435367738,267.0,0.966827,0.344994999
RAB31,3231.0,0.437498832,175.0,0.260088,-0.521924755
RAB35,2172.0,0.408841719,189.0,0.249299,-0.339352887
RAB7A,1376.0,0.419395127,232.0,-0.116539,-0.222678192
RAB8B,4163.0,0.425956778,96.0,-0.162748,0.36200821
RAB9A,1716.0,0.417525007,283.0,0.908789,0.194164975
RABGGTA,77.0,0.387342734,512.0,0.496823,0.05329515
RABGGTB,440.0,0.409412379,78.0,0.066842,-0.209872254
RABIF,4760.0,0.447399225,159.0,0.740924,0.458272622
RACGAP1,1895.0,0.366370127,354.0,1.058403,0.29255928
RAD9A,924.0,0.444046557,185.0,0.41543,0.106867343
RAE1,1112.0,0.432613552,365.0,0.607522,0.075325553
RAI1,1472.0,0.455620822,469.0,-1.032862,-0.43511197
RAN,2043.0,0.442855294,361.0,0.33823,-0.222766055
RANBP10,3359.0,0.379453562,1256.0,0.189527,0.288192438
RANGAP1,3145.0,0.481547647,765.0,0.388982,0.132573108
RAPGEF1,2727.0,0.425793135,159.0,0.099824,0.066921031
RARS,114.0,0.423508657,41.0,0.22577,-0.080979946
RASGRP2,183.0,0.381671176,582.0,0.731061,-0.094821843
RBBP4,6506.0,0.404056961,164.0,0.461382,-0.327463248
RBBP5,3098.0,0.421849625,474.0,0.075227,-0.047144306
RBKS,251.0,0.392307233,1371.0,-0.371393,-0.46695097
RBM12,3599.0,0.375183789,304.0,0.16497,-0.178780698
RBM14,3443.0,0.468008211,139.0,-0.033419,0.016026919
RBM4B,5277.0,0.396841232,170.0,-0.254258,-0.244667188
RBMX,1201.0,0.353737079,210.0,0.040458,-0.066744711
RBPJ,4223.0,0.4178224,518.0,0.037797,0.200527163
RBX1,821.0,0.46562919,52.0,0.525525,0.285553135
RC3H1,7637.0,0.410085914,87.0,-0.108894,0.094433677
RCCD1,1773.0,0.374130224,280.0,-0.315287,-0.287895448
RCOR1,4070.0,0.439565312,228.0,0.155578,-0.331083124
REEP4,591.0,0.460338979,469.0,1.93968,-0.576195652
REEP5,2962.0,0.457536941,144.0,0.063277,-0.474755714
RELB,408.0,0.418226182,131.0,-0.074701,0.097959505
REPIN1,2683.0,0.45080531,489.0,0.658694,0.117793385
RFC4,89.0,0.411167541,282.0,-0.094493,0.108315353
RFK,1882.0,0.429285662,357.0,0.031312,0.248037781
RFX5,1546.0,0.386685917,221.0,-0.074609,-0.223299819
RFXAP,1850.0,0.421314391,156.0,-1.071667,-0.235211929
RHBDF2,740.0,0.423256567,294.0,0.871264,-0.162022124
RHOT2,568.0,0.454546166,881.0,0.727275,-0.236532549
RNASE2,179.0,0.384567964,71.0,-1.049927,-0.585587529
RNASEH1,4369.0,0.404567903,700.0,0.079779,-0.036457901
RNASEH2B,3930.0,0.37625722,399.0,0.057222,0.094203303
RNASET2,1070.0,0.374792559,407.0,0.765225,0.083385667
RNF114,1751.0,0.459950313,36.0,1.165392,0.087870459
RNF167,289.0,0.375291206,776.0,-0.166403,-0.046612214
RNF20,5226.0,0.396317502,92.0,0.148871,0.153454674
RNF213,5288.0,0.417718743,150.0,0.532362,-0.543800222
RNF216,2819.0,0.430061571,259.0,-0.125064,0.306942445
RNF25,102.0,0.375620157,88.0,0.027932,0.02387461
RNF31,88.0,0.389352607,358.0,0.455818,0.18212343
RNLS,1252.0,0.416402283,135.0,0.303887,0.390263286
RNMT,4581.0,0.415128602,241.0,-0.38509,-0.050601987
RNPEP,463.0,0.447181346,896.0,0.408475,-0.382101983
RP9,437.0,0.42869019,18.0,0.877065,0.108897577
RPA1,2907.0,0.381710028,170.0,-0.650514,-0.290852846
RPA2,639.0,0.400070522,793.0,0.501992,-0.061550064
RPAIN,471.0,0.394698889,570.0,-0.560161,-0.086533133
RPL11,461.0,0.442317923,45.0,-0.218706,-0.204636253
RPL14,5208.0,0.496792394,133.0,-0.944489,0.197544407
RPL23,3146.0,0.464880603,90.0,-1.45299,0.080255854
RPL26,53.0,0.427802183,389.0,-1.284263,-0.007241065
RPL31,1260.0,0.451994935,87.0,-0.904728,0.330872289
RPL34,1350.0,0.436455219,198.0,-0.682842,0.31900594
RPL5,1058.0,0.451564158,75.0,-0.402166,0.075260946
RPL7,1077.0,0.460258279,707.0,-0.472224,-0.076052457
RPS11,373.0,0.483080585,92.0,-0.298566,-0.17794771
RPS24,4247.0,0.430653047,142.0,-0.400747,0.187284102
RPS25,109.0,0.467193878,63.0,-0.210008,0.018557784
RPS27A,743.0,0.450449292,321.0,-0.22611,-0.090054778
RPS3A,306.0,0.426765211,80.0,-0.738739,0.109400518
RPS4X,629.0,0.442998752,96.0,-0.897043,0.100712951
RPS6,2723.0,0.413925579,42.0,-1.076715,0.095853614
RPS6KA1,828.0,0.389798854,163.0,0.703113,-0.2979326
RPS6KA4,735.0,0.38455359,226.0,0.642901,-0.124175709
RPS7,66.0,0.428822459,109.0,-0.385436,0.29342234
RPTOR,2341.0,0.385169267,805.0,0.369835,0.038806582
RREB1,3012.0,0.456825357,492.0,-0.404824,0.084955135
RRM1,2304.0,0.437568848,689.0,0.585264,0.610105533
RRP8,5071.0,0.446233376,148.0,0.17713,0.310872137
RRS1,978.0,0.468289248,104.0,0.267165,0.191477777
RTN3,1690.0,0.358048129,187.0,0.361242,-0.057493414
RTN4IP1,1108.0,0.372133716,477.0,0.06035,0.042779959
RUNX1,4334.0,0.416076551,1578.0,-0.368476,0.2662593
RUNX3,2611.0,0.405217602,439.0,0.690587,-0.376251629
RWDD1,6365.0,0.401367905,746.0,0.001333,0.266030789
S100A8,71.0,0.444112716,170.0,-0.518754,-1.923430659
S100A9,189.0,0.439508357,43.0,-0.984309,-1.962298217
SAMD9,1815.0,0.395660052,270.0,0.583357,0.216753518
SAMD9L,1162.0,0.396305952,1248.0,1.273273,0.001094602
SAMM50,150.0,0.345249646,197.0,0.004369,-0.509827003
SAMSN1,684.0,0.407246581,430.0,0.900096,0.496401468
SAP18,1754.0,0.427429047,39.0,-0.516954,0.263998451
SAP30BP,1541.0,0.449617255,257.0,0.533951,-0.081232675
SAR1A,5213.0,0.411769389,203.0,0.093277,-0.11631731
SAR1B,5806.0,0.392367964,253.0,0.908729,0.368603424
SARS,1054.0,0.40098191,100.0,0.526575,0.239434583
SASH3,1369.0,0.387406112,182.0,1.567452,0.25757404
SCAMP4,1741.0,0.472519575,351.0,0.166685,-0.357036141
SCO1,8645.0,0.407339367,61.0,-0.344283,-0.009473165
SDCCAG8,307.0,0.360606297,1542.0,-0.354655,-0.2759791
SEC11C,205.0,0.423646802,92.0,1.633211,1.401881955
SEC13,332.0,0.457264526,210.0,1.030539,0.256600745
SEC14L1,2986.0,0.420320088,665.0,0.632791,0.497841129
SEC24B,1221.0,0.400931805,155.0,-0.387948,-0.228805181
SEC24D,2115.0,0.386600041,297.0,0.145131,0.099555744
SEMA3F,960.0,0.38837398,318.0,-0.674165,-0.192656672
SEMA4A,755.0,0.412797256,345.0,-0.008663,0.992413117
SEMA4D,2318.0,0.393173667,572.0,0.979262,-0.042318997
SERPINA1,1707.0,0.420489385,573.0,-0.432502,0.585085344
SERPINB8,2096.0,0.38524815,520.0,0.142686,0.009093993
SETMAR,321.0,0.414235412,398.0,-0.051838,0.108699989
SEZ6L2,540.0,0.431800162,245.0,0.838649,-0.198883184
SF1,2419.0,0.374481437,721.0,-0.174486,-0.092669929
SF3B2,563.0,0.453902675,40.0,0.094287,-0.042277074
SFXN4,500.0,0.402513841,45.0,0.018729,0.295867434
SH3BP1,433.0,0.395530944,313.0,0.612017,0.508961429
SH3PXD2B,4870.0,0.420952884,171.0,-0.192401,-0.131400445
SHMT1,4335.0,0.394510245,509.0,-0.396817,0.042981894
SIGLEC1,1590.0,0.42099348,0.0,-0.206415,-0.060166878
SIPA1,2933.0,0.437718847,296.0,0.612701,0.08086853
SIRPA,3027.0,0.429235057,360.0,-0.060503,0.333724694
SKP1,8791.0,0.433886974,179.0,-0.022545,-0.069438302
SLBP,3046.0,0.391438372,553.0,0.369038,0.232549843
SLC25A10,1929.0,0.386184273,191.0,1.140133,0.272257073
SLC25A20,787.0,0.382641976,199.0,-0.492662,-0.254084612
SLC25A3,504.0,0.383836987,354.0,0.609341,-0.824147552
SLC25A6,450.0,0.487227384,137.0,0.457065,-0.124886491
SLC27A3,163.0,0.439664345,91.0,1.235606,0.45704494
SLC39A10,2661.0,0.346494338,214.0,-0.607545,-0.263514816
SLC44A1,8291.0,0.4365497,264.0,0.422586,-0.370132985
SLC9A3R1,709.0,0.400889529,235.0,0.57661,-0.345468165
SMAP2,1225.0,0.404145004,415.0,0.560469,-0.14207043
SMC1A,5954.0,0.490702048,340.0,-0.498437,-0.215623837
