,3prime,tAI,max_5_UTR_length,TCGA-A2-A0CM,TCGA-A2-A0CM.1
IL4I1,16.0,0.4139018,621.0,0.556471,0.156504851
ILF2,656.0,0.426220446,239.0,-0.271593,0.062051973
IMPA2,2898.0,0.383680893,242.0,3.282508,0.530455549
INO80,5209.0,0.374025479,351.0,-2.149667,0.458845486
INPP1,263.0,0.395712795,700.0,-1.272672,-0.173878761
INPP5D,1195.0,0.436077769,512.0,1.266311,0.282124623
INSR,4801.0,0.380857973,411.0,-4.499584,-0.317698584
IPO5,2508.0,0.381335948,180.0,0.10365,-0.31608205
IRF8,1327.0,0.384714127,507.0,-0.086226,-0.222416272
IRF9,369.0,0.432057622,127.0,0.245886,0.050731436
IRGQ,7659.0,0.399674011,156.0,-0.093256,-0.255538493
ISCU,607.0,0.454630229,1331.0,-0.306734,0.007424403
ISG15,62.0,0.419522688,77.0,0.355611,-0.0114427
ISG20,952.0,0.419932377,2368.0,0.558301,0.672132952
ISOC1,1056.0,0.418535314,18.0,-0.340649,-0.743197913
ITGB2,415.0,0.457304004,395.0,-1.255519,0.304514522
ITPKB,2981.0,0.440250717,340.0,-0.826658,0.138099519
JUNB,496.0,0.414023332,276.0,0.633857,0.660195932
JUP,157.0,0.458302936,298.0,0.703183,1.004144632
KANK2,2291.0,0.394238955,361.0,0.940793,-0.015285691
KARS,4202.0,0.383913431,144.0,0.130678,0.406173671
KDM1A,327.0,0.428444011,149.0,-0.873349,0.243007777
KDM2A,3716.0,0.372295488,864.0,-0.489896,0.1136232
KDM2B,2488.0,0.393022165,407.0,-1.629492,0.439435513
KDM3B,1327.0,0.37791414,200.0,1.487254,-0.021191351
KDM4A,1148.0,0.378142374,166.0,0.322306,-0.004596161
KHSRP,1024.0,0.456900489,110.0,8.79172,-0.160768656
KIAA2013,727.0,0.385456054,191.0,-1.010577,0.274778126
KIF20A,757.0,0.371463873,496.0,-0.683843,0.442391772
KIF22,75.0,0.392489541,388.0,-1.319976,0.318644671
KIF2C,588.0,0.387865377,395.0,2.911277,0.637749545
KIF3B,3792.0,0.390782105,180.0,0.119489,0.04248559
KIF5B,3198.0,0.418236129,470.0,-0.514901,0.117851097
KLHL7,3616.0,0.41595405,521.0,-0.335683,-0.061053321
KTI12,594.0,0.370414154,39.0,-2.206088,0.111143692
LAMP1,1311.0,0.390985106,281.0,0.533966,-0.389857601
LANCL2,2422.0,0.433733517,578.0,-0.771465,-0.143729757
LAP3,503.0,0.426841798,162.0,0.589843,0.301661154
LDHD,1826.0,0.398770776,52.0,-0.366052,-0.316014597
LENG1,560.0,0.445950324,48.0,-0.176091,0.25598345
LGALS3,159.0,0.420172221,88.0,-0.237182,0.26142669
LGALS3BP,1225.0,0.419930622,179.0,-1.243081,-0.625506367
LGALS9,641.0,0.410654931,118.0,-0.671343,0.247863534
LIN54,4893.0,0.441729058,383.0,1.454269,-0.121709774
LPCAT1,2228.0,0.380803123,133.0,1.165498,-0.287486755
LPCAT4,239.0,0.432241557,94.0,-0.236293,0.443337244
LPXN,1776.0,0.432350833,254.0,-2.991966,0.533734091
LRPPRC,2376.0,0.377375074,58.0,-0.697744,0.183912347
LRRC25,843.0,0.434491636,642.0,-3.871468,0.244129818
LRRC41,465.0,0.438391248,44.0,0.595538,-0.33806251
LRRC59,1755.0,0.423067849,236.0,0.339306,-0.210088117
LSM1,486.0,0.409616526,410.0,-0.633576,0.317632173
LSM6,1871.0,0.435100303,139.0,1.271619,0.264500639
LTA4H,391.0,0.355044638,145.0,-0.30741,-0.07757121
LYN,4058.0,0.418972994,282.0,-0.653179,0.094326045
LYPLAL1,1137.0,0.3973742,157.0,0.213642,-0.110535185
LYRM4,6830.0,0.366844497,217.0,0.680644,0.058348216
LYSMD2,596.0,0.394037378,501.0,0.166822,0.548259124
M6PR,1457.0,0.379162834,275.0,-0.733544,0.189492502
MAD2L1,4528.0,0.407191351,124.0,-0.27217,0.282762299
MAFB,2032.0,0.405989564,390.0,-3.376558,0.074674302
MAGED2,327.0,0.466698843,233.0,-0.216865,-0.554448613
MAGOH,153.0,0.416054235,162.0,0.540508,0.37163629
MAN2B1,128.0,0.381728903,76.0,-1.315411,-0.028134516
MANF,717.0,0.420319188,97.0,-0.262673,-0.048341699
MAP4K1,170.0,0.374128007,140.0,0.067859,0.216279564
MARCKSL1,768.0,0.468216312,206.0,0.002303,-0.186163417
MAX,2676.0,0.337149475,479.0,-0.187864,0.098811399
MBD2,3723.0,0.420256858,229.0,-1.503938,0.284997618
MBP,4041.0,0.393290432,264.0,0.188597,0.028895145
MCM2,662.0,0.460999542,110.0,-0.050023,0.209149619
MCM4,2618.0,0.371821308,942.0,0.198495,0.196957054
MCM5,3214.0,0.470488076,94.0,-1.857252,0.172383777
MDC1,658.0,0.415783633,440.0,0.211262,0.471455853
MDH1,210.0,0.381672323,435.0,2.308957,-0.275494531
ME1,1535.0,0.411214685,265.0,2.118003,-0.132999624
ME3,171.0,0.395156177,377.0,0.80782,-0.758681559
MECR,1365.0,0.445670958,612.0,-0.527435,0.205357622
MED17,2631.0,0.366528813,275.0,0.460183,0.346880029
MED19,934.0,0.439623042,93.0,0.145372,0.066672678
MED28,10307.0,0.440157501,27.0,0.04094,0.345407854
MED29,4550.0,0.464327351,57.0,-0.102484,0.116719062
MEN1,824.0,0.454590692,504.0,0.696347,0.315516645
METTL13,961.0,0.396264071,347.0,4.762327,0.2476905
MGST3,1295.0,0.374563048,428.0,0.289094,0.435325502
MIF4GD,787.0,0.397877071,137.0,-0.28847,0.048650561
MINK1,774.0,0.455972684,525.0,0.82,0.221211698
MIS12,1334.0,0.420723459,745.0,-0.370274,-0.135939384
MLEC,5319.0,0.43043384,173.0,0.622048,-0.204318743
MLLT10,2252.0,0.36295117,1568.0,-0.338711,-2.091165933
MLX,1636.0,0.386664187,65.0,0.365155,-0.064829919
MMACHC,1852.0,0.382684622,371.0,0.743076,0.095977163
MMADHC,5382.0,0.406207656,205.0,1.418391,0.303130674
MMGT1,4451.0,0.406300672,388.0,-0.088226,0.435023496
MMP1,502.0,0.392399458,189.0,1.084812,0.209944772
MMP14,1722.0,0.419367787,285.0,1.392935,0.338174778
MMP9,193.0,0.404253633,19.0,0.235047,-0.422937076
MORC3,2052.0,0.406702124,375.0,0.409959,0.228360771
MORF4L1,1066.0,0.420719378,454.0,0.391007,0.120586028
MOV10,619.0,0.412681236,1415.0,0.279802,-0.106025148
MPDU1,797.0,0.440676037,216.0,-0.551815,-0.158749699
MPHOSPH10,87.0,0.404440607,352.0,-0.05321,0.537485555
MRI1,2018.0,0.459301832,75.0,-0.476727,-0.43403075
MRPL13,1075.0,0.395373051,313.0,-1.533139,0.310843151
MRPL15,1888.0,0.407701507,63.0,-0.529264,0.184581395
MRPL16,212.0,0.368940255,214.0,-1.240466,0.171012102
MRPL17,6554.0,0.424450505,105.0,0.947562,0.277022506
MRPL2,580.0,0.458698472,164.0,-0.431218,0.042744723
MRPL20,187.0,0.445765675,96.0,-0.454022,0.15816937
MRPL21,55.0,0.417448467,293.0,0.36088,0.142466626
MRPL27,2133.0,0.436300758,31.0,1.104614,0.165110809
MRPL40,113.0,0.406843086,653.0,0.795433,-0.024585674
MRPL46,1889.0,0.422788385,25.0,0.316509,0.055775446
MRPL48,1284.0,0.368940255,212.0,-0.019121,0.158129868
MRPL51,2069.0,0.35376587,169.0,0.051015,0.183358228
MRPL53,198.0,0.441261883,155.0,-0.004282,0.116732044
MRPL9,407.0,0.432679379,437.0,0.49557,0.173082975
MRPS11,2793.0,0.477818717,1491.0,-0.178174,0.025624932
MRPS15,468.0,0.440649404,164.0,1.485266,0.411384146
MRPS17,1334.0,0.413812124,30.0,-0.095999,0.376399653
MRPS18B,936.0,0.408462865,157.0,1.047521,0.38917129
MRPS36,933.0,0.3748339,84.0,2.908965,-0.132256181
MRPS7,453.0,0.455992019,233.0,-0.542036,0.230664166
MSI2,5168.0,0.366385762,173.0,0.19925,-0.921790617
MSTO1,694.0,0.421389639,1152.0,-1.572425,0.424205456
MT2A,316.0,0.576670685,123.0,-0.43265,-0.373726737
MTA2,684.0,0.459443446,761.0,-0.236103,0.327565604
MTFMT,1550.0,0.414190941,26.0,0.877595,-0.130476163
MTHFS,1663.0,0.434592403,179.0,-3.347091,-0.17508729
MTMR1,2442.0,0.424163835,319.0,0.046641,-0.143719143
MTMR14,421.0,0.371137969,151.0,-1.769585,0.284669052
MVP,50.0,0.435053297,193.0,-0.237107,-0.134120887
MX1,456.0,0.433488503,982.0,1.165593,0.390807224
MX2,1812.0,0.430094961,104.0,0.144578,0.701969446
MYADM,2833.0,0.384589896,681.0,-1.773121,-0.216121116
MYCBP,3972.0,0.381803634,73.0,-0.568854,-0.091474614
MYL12A,812.0,0.453450746,478.0,-3.884148,-0.096439494
MYO18A,3647.0,0.395788337,484.0,0.392728,0.131835517
MYO9B,1401.0,0.398943925,152.0,0.165614,0.181159834
N6AMT1,5137.0,0.427535625,28.0,-1.377588,-0.549398239
NAA40,3212.0,0.389371031,261.0,1.173044,-0.447742176
NADK,1672.0,0.3959688,563.0,-1.605122,0.205228128
NADSYN1,464.0,0.447848979,126.0,-0.558445,-0.121690109
NAGK,1297.0,0.42527382,474.0,0.320359,0.073499516
NANS,37.0,0.458552255,132.0,0.01259,-0.311584368
NAPA,1862.0,0.477781443,318.0,0.952379,-0.181191604
NAT10,4915.0,0.387474071,245.0,0.401128,0.454972913
NBAS,140.0,0.414580543,44.0,-0.550905,-0.202713012
NCALD,2767.0,0.374888213,460.0,-0.761921,-0.110421232
NCAPD3,2971.0,0.431957579,606.0,-0.377013,0.425319672
NCAPG2,3501.0,0.41630572,200.0,-0.119564,0.266390217
NCF1,2381.0,0.415579251,70.0,-0.496997,0.099391594
NCK2,1267.0,0.457831152,276.0,-2.237607,0.21039461
NCKIPSD,4981.0,0.449411541,126.0,-1.404592,0.051625594
NCOA5,1332.0,0.416761948,402.0,0.858912,0.196769288
NCOA7,3259.0,0.404217869,470.0,0.844377,0.135412039
NDC80,61.0,0.356199389,182.0,-1.841257,0.634654061
NDRG2,841.0,0.376266446,941.0,2.032535,-0.849612318
NDUFA4,1685.0,0.439642808,129.0,0.132521,-0.081007984
NEU1,667.0,0.413226082,156.0,-1.206026,-0.038972158
NFATC2IP,3242.0,0.412267479,15.0,0.485189,0.271594739
NFKB1,708.0,0.4099683,467.0,0.182893,-0.063957537
NFKB2,153.0,0.424806573,563.0,0.664557,0.30406098
NFKBIE,1053.0,0.409138176,25.0,0.408946,0.145665547
NGDN,1255.0,0.423783924,27.0,0.756874,0.246972104
NGRN,1679.0,0.414477409,50.0,-2.225409,-0.348020963
NINJ1,5217.0,0.455972644,71.0,-3.259735,-0.664106219
NIP7,1593.0,0.443769116,318.0,0.020785,0.254513024
NIT2,2351.0,0.432361565,74.0,0.512416,0.14767482
NMNAT3,2689.0,0.397393877,1228.0,3.775048,-0.694961875
NMT1,3377.0,0.454689408,31.0,1.157214,-0.061801829
NONO,1092.0,0.432928506,710.0,0.813902,0.163061334
NOP14,912.0,0.38067473,187.0,0.594252,0.421686885
NOP2,785.0,0.393538298,198.0,-0.035275,0.56573406
NOTCH2,6062.0,0.409327653,297.0,-0.162878,-0.095155759
NPTN,1068.0,0.388989686,197.0,-0.617505,-0.096879377
NR2C2,6271.0,0.390767743,362.0,-0.402219,0.236085826
NRBF2,883.0,0.43605128,224.0,0.554439,0.290451018
NRF1,1901.0,0.447602651,500.0,0.699099,0.242059395
NRGN,833.0,0.413631862,152.0,-0.570818,0.009563969
NRP1,3846.0,0.416817106,523.0,1.422528,0.00828455
NSFL1C,1587.0,0.42738001,868.0,2.672307,-0.451403915
NSMAF,602.0,0.358586884,214.0,-0.110621,0.086809267
NTAN1,178.0,0.344459601,320.0,-0.304251,0.292979056
NUBP1,246.0,0.455923678,142.0,-0.900452,-0.156517602
NUCKS1,5461.0,0.359398328,271.0,0.839695,-0.031052674
NUDC,716.0,0.476401948,127.0,0.792164,0.210468402
NUDT16,5489.0,0.428387545,75.0,-0.176411,-0.128139625
NUMA1,663.0,0.474508115,436.0,-0.349917,-0.453683885
NUP93,5678.0,0.382018893,495.0,0.314638,0.258916482
NXF1,2943.0,0.375826754,136.0,-0.26762,0.249513461
OCIAD2,4872.0,0.363821488,322.0,1.790182,-0.20978071
OGDH,1071.0,0.396078149,159.0,0.203366,0.137890262
OPA3,7233.0,0.475004358,100.0,0.974709,0.26126315
OSBPL2,2363.0,0.383456763,571.0,-0.213395,0.027629255
OSBPL5,1099.0,0.381371042,158.0,0.080977,-0.424291405
OVCA2,792.0,0.429983078,65.0,0.337941,-0.052976235
P2RX4,573.0,0.442596273,304.0,-0.358311,-0.341297316
PAAF1,509.0,0.376143366,341.0,0.570654,-0.382367636
PACSIN2,1591.0,0.413490434,405.0,-1.081732,-0.099111067
PARK7,451.0,0.457171775,163.0,-0.176725,-0.349281666
PARP1,769.0,0.460215809,171.0,-0.182458,0.057262423
PARP10,332.0,0.422654659,200.0,0.877894,0.199280806
PARP12,816.0,0.416480622,874.0,0.902154,0.00614424
PARP14,2243.0,0.414355918,59.0,0.165114,0.216981798
PARP9,451.0,0.418102187,327.0,1.75793,0.209373616
PARVG,2043.0,0.383803232,484.0,0.064465,0.390571936
PBK,750.0,0.413339119,464.0,-0.72226,0.713244346
PCNA,338.0,0.425000199,239.0,-1.435489,-0.172750225
PDAP1,2007.0,0.464659554,134.0,0.607149,-0.123887512
PDCD2,155.0,0.440448783,111.0,0.030534,-0.130064889
PDCD2L,48.0,0.433436103,33.0,-1.20061,-0.210045572
PDCD6IP,3211.0,0.388727459,158.0,1.002416,0.113157693
PDHA1,2054.0,0.402514578,145.0,0.077804,0.044693864
PDHB,2974.0,0.442593378,43.0,0.236533,-0.036570985
PDLIM1,357.0,0.379179626,233.0,1.519805,-0.458059084
PDXDC1,2055.0,0.375670185,335.0,-0.513902,-0.572641735
PDXK,6244.0,0.398158884,198.0,3.012066,0.087777685
PEBP1,796.0,0.360152166,326.0,0.693318,-0.296177449
PEF1,769.0,0.441759403,424.0,-5.761083,-0.107644081
PELO,5222.0,0.385240523,985.0,0.306185,0.100729233
PEPD,395.0,0.450896903,133.0,1.261416,-0.108625439
PEX16,585.0,0.43213601,312.0,-0.520233,0.090490148
PEX6,946.0,0.370078344,93.0,-0.259644,-0.269068426
PEX7,2294.0,0.407005497,102.0,-0.122389,-0.234029126
PFDN5,124.0,0.497062947,117.0,0.051109,0.156625276
PFDN6,574.0,0.470152145,222.0,-0.390195,0.3408834
PGM1,570.0,0.393980016,681.0,0.287658,-0.257264814
PHB,988.0,0.45268542,190.0,0.232567,-0.038067751
PHF10,104.0,0.365149381,79.0,1.685989,0.04037287
PI4K2A,2692.0,0.385068362,57.0,0.440522,0.015847198
PIAS1,3626.0,0.396022529,741.0,0.225414,0.231213907
PIK3AP1,3866.0,0.407313024,128.0,0.813979,0.103818027
PIR,205.0,0.385796208,485.0,1.275597,0.034213519
PITPNC1,4686.0,0.369070722,874.0,-0.334436,-0.115971269
PLA2G4C,585.0,0.406173977,398.0,0.588615,0.301646351
PLA2G7,1187.0,0.402486321,269.0,-3.495763,0.439032221
PLAUR,323.0,0.418467601,226.0,0.806172,0.366016895
PLCB2,818.0,0.468984469,301.0,-0.235438,0.044394182
PLCG1,3987.0,0.454806205,121.0,0.250234,0.079516409
PLD4,273.0,0.377985619,192.0,0.890908,0.236625615
PLEKHO1,5192.0,0.424698037,839.0,0.598137,-0.148666957
PLEKHO2,2119.0,0.429714475,134.0,0.596192,0.327322859
PLSCR1,10376.0,0.415598704,388.0,1.610456,0.353346009
PML,3324.0,0.431306474,140.0,0.642958,0.846841766
POLR1C,1131.0,0.439933821,86.0,0.071049,0.141525692
POLR1D,1469.0,0.427162265,456.0,-0.6691,0.18042268
POLR2F,1600.0,0.47244007,250.0,0.584803,0.290288131
POLR2H,1065.0,0.427596015,1167.0,-0.657591,0.175825828
POLR3H,3481.0,0.444306047,388.0,0.419909,-0.074415702
POLR3K,1023.0,0.473025152,46.0,0.108411,0.035622367
PPA2,660.0,0.432735716,20.0,1.146311,-0.278602126
PPIE,4556.0,0.446406574,56.0,0.044942,0.299502965
PPIL1,1921.0,0.453832883,252.0,-0.874382,-0.058339876
PPP1R14B,282.0,0.457456004,268.0,0.278453,-0.127577967
PRC1,1136.0,0.367783806,234.0,-3.370343,0.210453211
PRCC,357.0,0.381841119,290.0,0.800819,0.738661079
PRDX1,303.0,0.414090753,341.0,-1.282564,-0.088101085
PRDX6,944.0,0.433706552,51.0,-2.438045,-0.271955537
PREB,658.0,0.378530018,403.0,-1.580467,-0.146675468
PREP,579.0,0.425974009,233.0,-0.282177,-0.22945905
PRG4,784.0,0.366727173,51.0,0.770392,0.11011179
PRIM2,1166.0,0.350864643,125.0,0.946454,0.156144653
PRKAB1,1305.0,0.365943644,289.0,1.415102,0.009359818
PRKAR2A,5019.0,0.427443141,254.0,0.187906,-0.036941988
PRKCB,5795.0,0.38010529,197.0,0.518607,0.362187861
PRKCD,451.0,0.404392693,469.0,0.718335,-0.26062118
PRKRA,683.0,0.420894136,659.0,0.791148,-0.143562709
PRKRIP1,3224.0,0.453589322,55.0,-0.450101,0.082264038
PRMT5,393.0,0.386451423,508.0,1.280817,-0.08026323
PRMT7,3655.0,0.450088803,850.0,1.644423,-0.062933399
PROCR,549.0,0.357872186,218.0,0.111594,-0.162532567
PRPS1,3908.0,0.466551451,409.0,1.254661,0.09741713
PRPSAP1,2056.0,0.390811115,688.0,0.425538,-0.13840401
PRRC1,3173.0,0.409170839,188.0,-0.45353,-0.34313155
PSMA5,2997.0,0.446573967,225.0,-0.204444,-0.068165476
PSMA6,187.0,0.423632682,445.0,-1.825085,0.000753163
PSMB10,58.0,0.455018511,128.0,-0.017613,0.489417589
PSMB2,3775.0,0.389848815,412.0,0.616118,-0.039348093
PSMB8,242.0,0.411206622,522.0,0.050275,0.240314814
PSMB9,5497.0,0.431095699,69.0,-0.284209,0.26094184
PSMC3,66.0,0.485654947,194.0,-0.608885,-0.003168297
PSMD11,2567.0,0.390095635,61.0,0.630933,0.059571264
PSMD13,384.0,0.437236365,242.0,-0.384708,0.000157473
PSMD8,450.0,0.458928351,52.0,0.014668,-0.00436011
PSME2,53.0,0.443656162,65.0,-1.084072,-0.11047861
PSMG1,5308.0,0.427553471,578.0,-0.604446,0.272287512
PSTPIP2,1923.0,0.429639796,96.0,-1.797122,-0.236730866
PTBP1,1504.0,0.473818895,106.0,-0.614326,-0.153322647
PTDSS1,3765.0,0.367954205,423.0,0.860378,0.05768583
PTGS1,3346.0,0.37260918,633.0,0.065462,-0.204628172
PTP4A1,3419.0,0.421202001,1153.0,-0.02152,0.207014565
PTPMT1,1899.0,0.450492628,193.0,-0.895636,-0.114520699
PTPN18,2185.0,0.381656528,101.0,-1.005148,0.127400074
PTPN7,1593.0,0.440747449,781.0,-0.975816,0.264176386
PTPRE,2994.0,0.426620112,1843.0,-0.951572,0.171263366
PTPRF,4571.0,0.452810321,356.0,-0.39412,-0.18961988
PTRH2,3186.0,0.370743372,1544.0,0.581605,-0.57436241
PWWP2B,819.0,0.424412275,29.0,2.107101,0.198430291
PYCR2,578.0,0.474148407,230.0,0.754133,-0.185150242
PYGL,175.0,0.392036998,127.0,0.031487,-0.246222476
QARS,97.0,0.458996209,396.0,1.410392,0.074117166
RAB11FIP1,4277.0,0.380614122,56.0,0.425814,0.058024827
RAB12,1120.0,0.38483812,283.0,-1.528982,0.471576138
RAB21,5246.0,0.435367738,267.0,-0.363038,0.198075864
RAB31,3231.0,0.437498832,175.0,3.076077,-0.177919615
RAB35,2172.0,0.408841719,189.0,-0.171926,0.380024165
RAB7A,1376.0,0.419395127,232.0,-0.029931,0.276402586
RAB8B,4163.0,0.425956778,96.0,-1.277562,0.066900155
RAB9A,1716.0,0.417525007,283.0,1.155034,0.072047976
RABGGTA,77.0,0.387342734,512.0,1.411979,0.021135108
RABGGTB,440.0,0.409412379,78.0,0.427092,-0.284715475
RABIF,4760.0,0.447399225,159.0,0.821143,-0.038202803
RACGAP1,1895.0,0.366370127,354.0,-0.127531,0.506254051
RAD9A,924.0,0.444046557,185.0,-0.205742,-0.314525937
RAE1,1112.0,0.432613552,365.0,0.948115,0.099637995
RAI1,1472.0,0.455620822,469.0,0.03447,-0.142227551
RAN,2043.0,0.442855294,361.0,0.980715,0.118371315
RANBP10,3359.0,0.379453562,1256.0,-0.064785,0.030531854
RANGAP1,3145.0,0.481547647,765.0,1.474193,0.29545481
RAPGEF1,2727.0,0.425793135,159.0,-2.153455,0.161074387
RARS,114.0,0.423508657,41.0,-0.230771,-0.110132865
RBBP4,6506.0,0.404056961,164.0,1.334326,0.150080156
RBBP5,3098.0,0.421849625,474.0,-0.882335,0.145862797
RBKS,251.0,0.392307233,1371.0,-0.15881,-0.658524663
RBM12,3599.0,0.375183789,304.0,-0.982939,0.155357085
RBM14,3443.0,0.468008211,139.0,1.431668,0.022284432
RBM4B,5277.0,0.396841232,170.0,-1.406533,-0.22969858
RBMX,1201.0,0.353737079,210.0,-3.358368,0.012310298
RBPJ,4223.0,0.4178224,518.0,0.728919,0.408948669
RBX1,821.0,0.46562919,52.0,-2.359133,-0.136199724
RC3H1,7637.0,0.410085914,87.0,0.039423,0.134685145
RCCD1,1773.0,0.374130224,280.0,0.025795,-0.179305748
RCOR1,4070.0,0.439565312,228.0,-2.635823,0.277189352
REEP4,591.0,0.460338979,469.0,-0.08128,0.191728325
REEP5,2962.0,0.457536941,144.0,-1.237777,-0.653038834
RELB,408.0,0.418226182,131.0,0.363809,0.277071649
REPIN1,2683.0,0.45080531,489.0,-3.767658,0.07033675
RFC4,89.0,0.411167541,282.0,-1.200925,0.1569544
RFK,1882.0,0.429285662,357.0,-0.974072,0.073510088
RFX5,1546.0,0.386685917,221.0,-1.493311,0.417200178
RFXAP,1850.0,0.421314391,156.0,-0.615044,-0.169326855
RHBDF2,740.0,0.423256567,294.0,-0.583153,-0.009611766
RHOT2,568.0,0.454546166,881.0,0.286091,-0.295178743
RNASE2,179.0,0.384567964,71.0,-0.134135,-0.481646593
RNASEH2B,3930.0,0.37625722,399.0,0.149122,-0.053385445
RNASET2,1070.0,0.374792559,407.0,-0.26569,-0.29120287
RNF114,1751.0,0.459950313,36.0,0.340627,0.300931486
RNF167,289.0,0.375291206,776.0,0.259809,-0.228536647
RNF20,5226.0,0.396317502,92.0,-0.216691,0.227839969
RNF213,5288.0,0.417718743,150.0,0.818614,0.323958177
RNF216,2819.0,0.430061571,259.0,-0.843666,-0.204068319
RNF25,102.0,0.375620157,88.0,-0.152928,-0.152360422
RNF31,88.0,0.389352607,358.0,0.800503,-0.093567659
RNLS,1252.0,0.416402283,135.0,0.13462,-0.153437243
RNMT,4581.0,0.415128602,241.0,-0.472182,0.297719298
RNPEP,463.0,0.447181346,896.0,0.347045,-0.503460889
RP9,437.0,0.42869019,18.0,-0.172102,0.284409141
RPA1,2907.0,0.381710028,170.0,0.468056,0.033496805
RPA2,639.0,0.400070522,793.0,1.095749,-0.048315925
RPAIN,471.0,0.394698889,570.0,0.811262,-0.245992456
RPL11,461.0,0.442317923,45.0,0.710606,-0.029569924
RPL14,5208.0,0.496792394,133.0,0.369234,-0.202422897
RPL23,3146.0,0.464880603,90.0,0.213639,0.142629099
RPL26,53.0,0.427802183,389.0,0.456477,0.196675793
RPL31,1260.0,0.451994935,87.0,0.508931,-0.077057239
RPL34,1350.0,0.436455219,198.0,-1.612958,-0.5263853
RPL5,1058.0,0.451564158,75.0,1.9472,0.125049693
RPL7,1077.0,0.460258279,707.0,-0.587611,-0.139943836
RPS11,373.0,0.483080585,92.0,0.085751,-0.048810883
RPS24,4247.0,0.430653047,142.0,-1.08157,-0.119705978
RPS25,109.0,0.467193878,63.0,0.806919,0.140534058
RPS27A,743.0,0.450449292,321.0,0.31111,-0.244646764
RPS3A,306.0,0.426765211,80.0,0.62179,-0.016135216
RPS4X,629.0,0.442998752,96.0,-0.068187,0.079331486
RPS6,2723.0,0.413925579,42.0,0.195877,-0.138806739
RPS6KA1,828.0,0.389798854,163.0,-4.177054,0.014425581
RPS6KA4,735.0,0.38455359,226.0,0.065297,0.300994604
RPS7,66.0,0.428822459,109.0,0.230843,-0.168645067
RPTOR,2341.0,0.385169267,805.0,1.276186,-0.045590024
RREB1,3012.0,0.456825357,492.0,0.454192,0.010321972
RRM1,2304.0,0.437568848,689.0,0.885097,-0.234589291
RRP8,5071.0,0.446233376,148.0,0.963133,0.386746993
RRS1,978.0,0.468289248,104.0,4.649076,0.295537298
RTN3,1690.0,0.358048129,187.0,-0.870228,-0.343182783
RTN4IP1,1108.0,0.372133716,477.0,-9.10403,0.056279921
RUNX1,4334.0,0.416076551,1578.0,-2.070287,0.555482719
RUNX3,2611.0,0.405217602,439.0,-1.52992,0.784577441
RWDD1,6365.0,0.401367905,746.0,-4.877272,0.114813393
S100A8,71.0,0.444112716,170.0,0.5484,-1.038379416
S100A9,189.0,0.439508357,43.0,-0.597889,-1.415848359
SAMD9,1815.0,0.395660052,270.0,-1.475116,0.341472587
SAMD9L,1162.0,0.396305952,1248.0,-1.261528,0.328643674
SAMM50,150.0,0.345249646,197.0,-0.323764,0.022201561
SAMSN1,684.0,0.407246581,430.0,-0.030542,0.247434702
SAP18,1754.0,0.427429047,39.0,-0.699684,0.187941936
SAP30BP,1541.0,0.449617255,257.0,-0.016423,0.307545854
SAR1A,5213.0,0.411769389,203.0,-0.311211,0.020245589
SAR1B,5806.0,0.392367964,253.0,-0.033794,-0.293198367
SARS,1054.0,0.40098191,100.0,-0.879087,-0.130597406
SASH3,1369.0,0.387406112,182.0,-0.569914,0.207786741
SCAMP4,1741.0,0.472519575,351.0,-2.227442,-0.515234287
SCO1,8645.0,0.407339367,61.0,-2.966754,-0.10056651
SDCCAG8,307.0,0.360606297,1542.0,-0.676616,0.061491212
SEC11C,205.0,0.423646802,92.0,0.049562,-0.260897867
SEC13,332.0,0.457264526,210.0,-0.197193,-0.009853057
SEC14L1,2986.0,0.420320088,665.0,1.106544,-0.431460202
SEC24B,1221.0,0.400931805,155.0,1.653896,-0.008154409
SEC24D,2115.0,0.386600041,297.0,0.337801,-0.108891158
SEC61B,270.0,0.404562259,76.0,-0.018219,0.06417702
SEMA4A,755.0,0.412797256,345.0,0.855764,0.162210139
SEMA4D,2318.0,0.393173667,572.0,0.294315,-0.22201116
SERPINA1,1707.0,0.420489385,573.0,-3.612907,-0.474557815
SERPINB8,2096.0,0.38524815,520.0,-0.384808,0.188525873
SETMAR,321.0,0.414235412,398.0,-0.520496,-0.075883495
SF1,2419.0,0.374481437,721.0,-0.200147,-0.061896393
SF3B2,563.0,0.453902675,40.0,2.011472,0.065144349
SFXN4,500.0,0.402513841,45.0,0.339327,0.14813106
SH3BP1,433.0,0.395530944,313.0,-1.857097,0.39758332
SH3PXD2B,4870.0,0.420952884,171.0,-1.293403,0.286061313
SHMT1,4335.0,0.394510245,509.0,-1.028207,-0.941642477
SIGLEC1,1590.0,0.42099348,0.0,0.542782,-0.046770739
SIPA1,2933.0,0.437718847,296.0,-0.713719,0.09427065
SIRPA,3027.0,0.429235057,360.0,-0.823603,0.075418708
SKP1,8791.0,0.433886974,179.0,0.144867,-0.17476129
SLBP,3046.0,0.391438372,553.0,-0.563799,0.259176878
SLC25A10,1929.0,0.386184273,191.0,-0.044827,-0.242096819
SLC25A19,477.0,0.386093473,224.0,0.698916,0.344860053
SLC25A20,787.0,0.382641976,199.0,-0.509812,-0.351757459
SLC25A3,504.0,0.383836987,354.0,-0.90932,-0.421712217
SLC25A40,2688.0,0.363984785,375.0,-4.429438,0.039404919
SLC25A6,450.0,0.487227384,137.0,-4.899139,-0.323082791
