,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JE,TCGA-AO-A0JE.1
IFI30,213.0,0.431523306,62.0,1.45241,-0.122697711
IFI35,160.0,0.418462024,223.0,1.681541,0.587278949
IFI44,267.0,0.403888008,124.0,2.579268,0.578386709
IFI44L,5058.0,0.403608012,200.0,2.922335,0.947124944
IFIH1,121.0,0.412344512,377.0,1.987786,0.595828994
IFIT1,2775.0,0.411248073,495.0,3.387231,0.644965665
IFIT2,1901.0,0.420797646,175.0,3.437664,0.78281728
IFIT3,843.0,0.417440574,529.0,3.140898,0.620318115
IFIT5,2354.0,0.414819429,231.0,1.085652,0.412435754
IFT27,109.0,0.4030938,426.0,0.106578,0.222597248
IGFBP3,1605.0,0.43060006,132.0,1.540095,0.041929108
IGFBP7,558.0,0.392734536,34.0,0.56884,0.136677074
IKBKE,745.0,0.435100597,714.0,0.152783,0.363111892
IL16,3965.0,0.367979445,2395.0,0.637577,0.781784811
IL17RA,5874.0,0.376798811,133.0,0.314083,0.091265935
IL1RN,1145.0,0.411881061,408.0,0.77262,0.233614372
IL4I1,16.0,0.4139018,621.0,2.149983,-0.344708183
ILF2,656.0,0.426220446,239.0,0.621748,-0.301636563
IMPA2,2898.0,0.383680893,242.0,0.812082,0.104468561
INO80,5209.0,0.374025479,351.0,0.231714,-0.276871857
INPP1,263.0,0.395712795,700.0,0.203114,0.332359492
INPP5D,1195.0,0.436077769,512.0,0.667383,0.75858916
INSR,4801.0,0.380857973,411.0,-0.240285,-0.08005002
IPO5,2508.0,0.381335948,180.0,-0.48879,-0.277257499
IRF7,92.0,0.423538356,367.0,2.145958,0.821610243
IRF8,1327.0,0.384714127,507.0,0.732155,0.744201952
IRF9,369.0,0.432057622,127.0,1.005074,0.05303408
IRGQ,7659.0,0.399674011,156.0,-1.101446,-0.276694097
ISCU,607.0,0.454630229,1331.0,0.013779,0.074082991
ISG15,62.0,0.419522688,77.0,2.325735,-0.738073577
ISG20,952.0,0.419932377,2368.0,2.104847,0.480753617
ISOC1,1056.0,0.418535314,18.0,0.123929,0.00318325
ITGB2,415.0,0.457304004,395.0,0.892137,0.876442057
ITPKB,2981.0,0.440250717,340.0,-0.683084,-0.03912844
ITPRIP,5382.0,0.396785481,453.0,0.710905,-0.237164403
JUNB,496.0,0.414023332,276.0,0.27339,0.477097464
JUP,157.0,0.458302936,298.0,0.825365,-0.087168992
KANK2,2291.0,0.394238955,361.0,0.116617,0.37847773
KARS,4202.0,0.383913431,144.0,0.662907,0.034965573
KDM1A,327.0,0.428444011,149.0,-0.149182,-0.404228093
KDM2A,3716.0,0.372295488,864.0,0.593563,0.143359043
KDM2B,2488.0,0.393022165,407.0,-0.124734,-0.212328659
KDM3B,1327.0,0.37791414,200.0,-0.302531,-0.211876395
KDM4A,1148.0,0.378142374,166.0,0.185293,0.019767137
KHSRP,1024.0,0.456900489,110.0,0.163002,-0.176299857
KIAA2013,727.0,0.385456054,191.0,-0.276504,-0.306410801
KIF20A,757.0,0.371463873,496.0,0.357727,-0.115156592
KIF22,75.0,0.392489541,388.0,-0.005197,-0.112550544
KIF2C,588.0,0.387865377,395.0,0.550437,-0.153168652
KIF3B,3792.0,0.390782105,180.0,0.11628,0.191358477
KIF3C,2392.0,0.403852971,657.0,-0.290867,-0.390864206
KIF5B,3198.0,0.418236129,470.0,-0.591359,-0.06096793
KLHL7,3616.0,0.41595405,521.0,-0.632752,-0.305080016
KTI12,594.0,0.370414154,39.0,0.521263,0.10422831
LAMP1,1311.0,0.390985106,281.0,0.198353,-0.106559565
LANCL2,2422.0,0.433733517,578.0,-0.069189,-0.499915248
LAP3,503.0,0.426841798,162.0,0.70683,0.384811244
LDHD,1826.0,0.398770776,52.0,1.181222,-0.178120928
LENG1,560.0,0.445950324,48.0,0.364366,0.054073462
LGALS3,159.0,0.420172221,88.0,-0.052772,-0.47028869
LGALS3BP,1225.0,0.419930622,179.0,0.085513,-0.950699077
LGALS9,641.0,0.410654931,118.0,1.436226,0.755020254
LIN54,4893.0,0.441729058,383.0,-0.328028,0.165736463
LPCAT1,2228.0,0.380803123,133.0,1.714618,0.739095326
LPXN,1776.0,0.432350833,254.0,1.6784,0.91071447
LRPPRC,2376.0,0.377375074,58.0,-0.079732,-0.143258889
LRRC25,843.0,0.434491636,642.0,0.842147,0.423602894
LRRC41,465.0,0.438391248,44.0,0.093623,-0.472488376
LRRC59,1755.0,0.423067849,236.0,0.644106,-0.046607857
LSM1,486.0,0.409616526,410.0,-0.290792,-0.060391623
LSM6,1871.0,0.435100303,139.0,0.40682,0.214943916
LTA4H,391.0,0.355044638,145.0,-0.143705,-0.194486976
LYN,4058.0,0.418972994,282.0,0.719065,0.56249482
LYPLAL1,1137.0,0.3973742,157.0,-0.086719,0.048406696
LYRM4,6830.0,0.366844497,217.0,-0.004704,0.136941983
LYSMD2,596.0,0.394037378,501.0,0.800043,0.64800479
M6PR,1457.0,0.379162834,275.0,0.46531,0.104849159
MAD2L1,4528.0,0.407191351,124.0,0.032843,-0.465207296
MAFB,2032.0,0.405989564,390.0,0.602954,-0.081178445
MAGED2,327.0,0.466698843,233.0,-0.165176,-0.815286302
MAGOH,153.0,0.416054235,162.0,0.6819,-0.196383915
MAN2B1,128.0,0.381728903,76.0,0.726897,0.221353087
MANF,717.0,0.420319188,97.0,0.378079,0.102627614
MAP4K1,170.0,0.374128007,140.0,1.484154,0.770443298
MARCKSL1,768.0,0.468216312,206.0,0.3267,-0.42060889
MAX,2676.0,0.337149475,479.0,0.460251,0.183493729
MBD2,3723.0,0.420256858,229.0,0.745576,0.327076809
MBP,4041.0,0.393290432,264.0,-1.037577,-0.273637172
MCM2,662.0,0.460999542,110.0,0.533927,-0.338215824
MCM4,2618.0,0.371821308,942.0,-0.57234,-0.276551015
MCM5,3214.0,0.470488076,94.0,0.241577,-0.155708702
MDC1,658.0,0.415783633,440.0,0.006543,-0.298898005
MDH1,210.0,0.381672323,435.0,0.074651,-0.086059506
ME1,1535.0,0.411214685,265.0,-0.688418,-0.390229415
ME3,171.0,0.395156177,377.0,-1.020188,0.066118721
MECR,1365.0,0.445670958,612.0,-0.987406,-0.333916801
MED17,2631.0,0.366528813,275.0,0.489928,-0.060791553
MED19,934.0,0.439623042,93.0,0.81511,0.341932336
MED28,10307.0,0.440157501,27.0,-0.688872,-0.159260788
MED29,4550.0,0.464327351,57.0,-0.449252,-0.2891377
MEF2C,6848.0,0.41426337,654.0,0.287789,0.729265172
MEN1,824.0,0.454590692,504.0,0.08901,-0.272623174
METTL13,961.0,0.396264071,347.0,0.203216,0.151886609
MGST3,1295.0,0.374563048,428.0,0.425854,-0.38635616
MIF4GD,787.0,0.397877071,137.0,0.245919,-0.110206369
MINK1,774.0,0.455972684,525.0,-0.022423,0.255266722
MIS12,1334.0,0.420723459,745.0,0.148165,-0.201809253
MLEC,5319.0,0.43043384,173.0,-0.243657,0.45274866
MLLT10,2252.0,0.36295117,1568.0,0.05602,0.070483332
MLX,1636.0,0.386664187,65.0,0.200913,0.298628503
MMGT1,4451.0,0.406300672,388.0,-0.096513,0.468914918
MMP1,502.0,0.392399458,189.0,6.66302,1.18439397
MMP14,1722.0,0.419367787,285.0,1.536724,0.284067348
MMP9,193.0,0.404253633,19.0,-0.605367,-1.002956419
MORC3,2052.0,0.406702124,375.0,-0.26864,0.052883279
MORF4L1,1066.0,0.420719378,454.0,0.10274,0.185416611
MOV10,619.0,0.412681236,1415.0,0.284726,-0.163330232
MPDU1,797.0,0.440676037,216.0,0.097913,0.21436349
MPHOSPH10,87.0,0.404440607,352.0,0.321317,-0.059147022
MRI1,2018.0,0.459301832,75.0,0.43662,0.250385004
MRPL13,1075.0,0.395373051,313.0,0.066049,0.097240808
MRPL15,1888.0,0.407701507,63.0,-0.591844,-0.027277569
MRPL16,212.0,0.368940255,214.0,0.220357,-0.032757835
MRPL17,6554.0,0.424450505,105.0,0.546164,0.005739548
MRPL2,580.0,0.458698472,164.0,0.290131,0.13882786
MRPL20,187.0,0.445765675,96.0,-0.476307,0.235520988
MRPL21,55.0,0.417448467,293.0,0.866895,-0.128452822
MRPL27,2133.0,0.436300758,31.0,0.181172,0.143635957
MRPL40,113.0,0.406843086,653.0,0.376024,0.000612382
MRPL46,1889.0,0.422788385,25.0,0.337895,-0.12560508
MRPL48,1284.0,0.368940255,212.0,0.495421,-0.276097097
MRPL51,2069.0,0.35376587,169.0,0.059611,0.16539036
MRPL53,198.0,0.441261883,155.0,-0.18625,-0.189496551
MRPL9,407.0,0.432679379,437.0,0.162904,-0.205235589
MRPS11,2793.0,0.477818717,1491.0,0.573652,-0.112036348
MRPS15,468.0,0.440649404,164.0,0.677143,-0.207246085
MRPS17,1334.0,0.413812124,30.0,0.312467,-0.055192346
MRPS18B,936.0,0.408462865,157.0,-0.091783,-0.030953188
MRPS36,933.0,0.3748339,84.0,0.294137,0.114800652
MRPS7,453.0,0.455992019,233.0,-0.133653,-0.304746487
MSI2,5168.0,0.366385762,173.0,0.033662,-0.912085397
MSTO1,694.0,0.421389639,1152.0,0.380053,-0.012415862
MT2A,316.0,0.576670685,123.0,0.943743,-0.705274207
MTA2,684.0,0.459443446,761.0,0.983163,0.22663784
MTFMT,1550.0,0.414190941,26.0,0.062795,-0.441174002
MTHFS,1663.0,0.434592403,179.0,0.181099,-0.14267923
MTMR1,2442.0,0.424163835,319.0,-0.457543,0.056144177
MTMR14,421.0,0.371137969,151.0,0.061623,0.208464199
MVP,50.0,0.435053297,193.0,0.589361,0.163478818
MX1,456.0,0.433488503,982.0,2.6888,0.227153235
MX2,1812.0,0.430094961,104.0,2.062348,0.751608308
MYADM,2833.0,0.384589896,681.0,-0.522336,-0.908588716
MYCBP,3972.0,0.381803634,73.0,-0.45935,-0.333685232
MYL12A,812.0,0.453450746,478.0,0.608697,-0.26413779
MYO18A,3647.0,0.395788337,484.0,2.583663,0.98158992
MYO9B,1401.0,0.398943925,152.0,0.322919,0.331000966
N6AMT1,5137.0,0.427535625,28.0,-1.011787,-0.360542045
NAA40,3212.0,0.389371031,261.0,-0.348904,-0.173675044
NAB1,2433.0,0.361024962,572.0,-0.638215,0.674682654
NADK,1672.0,0.3959688,563.0,-0.394924,0.092714065
NADSYN1,464.0,0.447848979,126.0,0.476533,-0.14992811
NAGK,1297.0,0.42527382,474.0,0.558287,0.101799949
NANS,37.0,0.458552255,132.0,0.450762,-0.311965845
NAPA,1862.0,0.477781443,318.0,-0.691992,-0.306207897
NAT10,4915.0,0.387474071,245.0,0.124076,-0.024190399
NBAS,140.0,0.414580543,44.0,0.133701,0.036874697
NCALD,2767.0,0.374888213,460.0,-0.760029,-0.795386258
NCAPD3,2971.0,0.431957579,606.0,-0.46506,-0.203655494
NCAPG2,3501.0,0.41630572,200.0,-0.935353,-0.755967572
NCF1,2381.0,0.415579251,70.0,1.815856,0.446485256
NCK2,1267.0,0.457831152,276.0,-0.032057,-0.114289102
NCKIPSD,4981.0,0.449411541,126.0,-0.844372,-0.22952839
NCOA5,1332.0,0.416761948,402.0,0.366623,-0.030350189
NCOA7,3259.0,0.404217869,470.0,0.601539,0.32078599
NDC80,61.0,0.356199389,182.0,0.427019,-0.320226711
NDRG2,841.0,0.376266446,941.0,-0.992187,-0.631552107
NDUFA4,1685.0,0.439642808,129.0,0.169661,-0.415733386
NEU1,667.0,0.413226082,156.0,0.42896,-0.134008509
NFATC2IP,3242.0,0.412267479,15.0,0.631615,0.319659524
NFKB1,708.0,0.4099683,467.0,0.049473,0.211713513
NFKB2,153.0,0.424806573,563.0,0.586987,0.043443275
NFKBIE,1053.0,0.409138176,25.0,0.016995,0.213557926
NGDN,1255.0,0.423783924,27.0,0.58136,0.141886714
NGRN,1679.0,0.414477409,50.0,0.092202,-0.359852518
NINJ1,5217.0,0.455972644,71.0,-0.866511,-0.37686735
NIP7,1593.0,0.443769116,318.0,0.414099,0.083096954
NIT2,2351.0,0.432361565,74.0,-0.479086,-0.459925784
NMNAT3,2689.0,0.397393877,1228.0,-0.324515,-0.088574082
NMT1,3377.0,0.454689408,31.0,0.434073,0.095952622
NONO,1092.0,0.432928506,710.0,0.118251,-0.03154782
NOP14,912.0,0.38067473,187.0,-0.335717,0.06379838
NOP2,785.0,0.393538298,198.0,0.818345,0.088478362
NOTCH2,6062.0,0.409327653,297.0,0.032969,0.162701268
NPTN,1068.0,0.388989686,197.0,-0.066743,0.361602555
NR2C2,6271.0,0.390767743,362.0,-0.627871,0.156385949
NRBF2,883.0,0.43605128,224.0,0.879127,0.398790623
NRF1,1901.0,0.447602651,500.0,-0.677752,0.237122445
NRGN,833.0,0.413631862,152.0,0.418616,0.632348606
NRP1,3846.0,0.416817106,523.0,1.011378,0.56556548
NSFL1C,1587.0,0.42738001,868.0,1.0254,0.228133895
NSMAF,602.0,0.358586884,214.0,-0.228669,0.137800736
NTAN1,178.0,0.344459601,320.0,1.527299,0.510525156
NUBP1,246.0,0.455923678,142.0,1.192449,0.104758198
NUCKS1,5461.0,0.359398328,271.0,-0.168773,-0.933867395
NUDC,716.0,0.476401948,127.0,-0.061937,-0.523193132
NUDT16,5489.0,0.428387545,75.0,-0.356469,0.08158659
NUMA1,663.0,0.474508115,436.0,-0.220711,-0.06677212
NUP93,5678.0,0.382018893,495.0,1.032044,-0.151483057
NXF1,2943.0,0.375826754,136.0,0.267178,-0.059445911
OCIAD2,4872.0,0.363821488,322.0,0.389802,0.215739308
OGDH,1071.0,0.396078149,159.0,0.291467,0.294600018
OPA3,7233.0,0.475004358,100.0,-0.456729,-0.504767129
OSBPL2,2363.0,0.383456763,571.0,0.247895,0.053271629
OSBPL5,1099.0,0.381371042,158.0,1.422856,0.349853406
OVCA2,792.0,0.429983078,65.0,0.178957,-0.100029019
P2RX4,573.0,0.442596273,304.0,0.472805,0.343053859
PAAF1,509.0,0.376143366,341.0,0.55143,0.317470809
PACSIN2,1591.0,0.413490434,405.0,0.678491,0.052018816
PARK7,451.0,0.457171775,163.0,-0.526809,-0.330983623
PARP1,769.0,0.460215809,171.0,1.038061,-0.013940345
PARP10,332.0,0.422654659,200.0,0.657233,0.127195753
PARP12,816.0,0.416480622,874.0,0.70439,0.445380993
PARP14,2243.0,0.414355918,59.0,1.161052,0.513981528
PARP9,451.0,0.418102187,327.0,1.295419,0.168939283
PARVG,2043.0,0.383803232,484.0,0.67905,0.313485885
PBK,750.0,0.413339119,464.0,-0.902464,-0.31273317
PCNA,338.0,0.425000199,239.0,0.83197,-0.228732193
PDAP1,2007.0,0.464659554,134.0,-0.454656,-0.87823906
PDCD2,155.0,0.440448783,111.0,0.031343,0.191544717
PDCD2L,48.0,0.433436103,33.0,-0.326454,-0.135838911
PDCD6IP,3211.0,0.388727459,158.0,-0.724074,-0.534484009
PDHA1,2054.0,0.402514578,145.0,0.041965,-0.040613133
PDHB,2974.0,0.442593378,43.0,-0.524696,-0.173016967
PDLIM1,357.0,0.379179626,233.0,1.583081,0.535267024
PDXDC1,2055.0,0.375670185,335.0,2.232428,1.271906275
PDXK,6244.0,0.398158884,198.0,-0.497283,-0.151823968
PEBP1,796.0,0.360152166,326.0,-0.502326,-0.660229167
PEF1,769.0,0.441759403,424.0,0.754833,0.008062066
PELO,5222.0,0.385240523,985.0,0.690547,0.195012548
PEPD,395.0,0.450896903,133.0,-0.262361,0.105636239
PEX16,585.0,0.43213601,312.0,-0.002521,0.343099003
PEX6,946.0,0.370078344,93.0,-0.172258,-0.119710673
PEX7,2294.0,0.407005497,102.0,0.180205,-0.070670899
PFDN5,124.0,0.497062947,117.0,0.075476,-0.153787077
PFDN6,574.0,0.470152145,222.0,0.529788,-0.370849554
PGM1,570.0,0.393980016,681.0,0.819312,0.40786765
PHB,988.0,0.45268542,190.0,0.395623,-0.384667672
PHF10,104.0,0.365149381,79.0,-0.560113,-0.103042217
PI4K2A,2692.0,0.385068362,57.0,0.49795,0.360429679
PIAS1,3626.0,0.396022529,741.0,1.017935,0.466401364
PIGH,1430.0,0.434471606,98.0,0.051225,0.033336225
PIK3AP1,3866.0,0.407313024,128.0,1.227422,0.298643908
PIR,205.0,0.385796208,485.0,1.50419,-0.37865111
PITPNC1,4686.0,0.369070722,874.0,1.024583,0.160981344
PLA2G4C,585.0,0.406173977,398.0,0.332172,-1.014474099
PLA2G7,1187.0,0.402486321,269.0,0.595197,-0.486850391
PLAUR,323.0,0.418467601,226.0,1.110694,-0.14076919
PLCB2,818.0,0.468984469,301.0,0.888591,0.694112125
PLCG1,3987.0,0.454806205,121.0,0.010606,0.075747623
PLD4,273.0,0.377985619,192.0,1.010619,0.8790876
PLEKHO1,5192.0,0.424698037,839.0,0.527866,0.494734205
PLEKHO2,2119.0,0.429714475,134.0,0.701259,0.432965557
PLSCR1,10376.0,0.415598704,388.0,1.169756,0.804203242
PML,3324.0,0.431306474,140.0,0.813416,0.337492322
POLR1C,1131.0,0.439933821,86.0,-0.194009,0.074893015
POLR1D,1469.0,0.427162265,456.0,-0.409062,-0.392072393
POLR2F,1600.0,0.47244007,250.0,0.170367,0.818532468
POLR2H,1065.0,0.427596015,1167.0,-0.214492,-0.547004058
POLR3H,3481.0,0.444306047,388.0,-0.296118,0.867103201
POLR3K,1023.0,0.473025152,46.0,0.090323,0.355323032
PPA2,660.0,0.432735716,20.0,-0.572023,0.019801259
PPIE,4556.0,0.446406574,56.0,-0.825146,-0.38252531
PPIL1,1921.0,0.453832883,252.0,0.828096,-0.193285347
PPP1R14B,282.0,0.457456004,268.0,0.409552,0.232613392
PRC1,1136.0,0.367783806,234.0,0.28288,-0.359179744
PRCC,357.0,0.381841119,290.0,0.072547,-0.217229392
PRDX1,303.0,0.414090753,341.0,0.943462,-0.088899512
PRDX6,944.0,0.433706552,51.0,0.277513,-0.180810361
PREB,658.0,0.378530018,403.0,-0.214341,0.316441526
PREP,579.0,0.425974009,233.0,0.217747,-0.428075001
PRG4,784.0,0.366727173,51.0,-1.407807,0.718259352
PRIM2,1166.0,0.350864643,125.0,0.754261,-0.056254345
PRKAB1,1305.0,0.365943644,289.0,-0.624929,-0.120295333
PRKAR2A,5019.0,0.427443141,254.0,-0.428814,-0.074703336
PRKCB,5795.0,0.38010529,197.0,0.870208,0.902563576
PRKCD,451.0,0.404392693,469.0,0.208244,0.060881964
PRKRA,683.0,0.420894136,659.0,0.039382,-0.243156
PRKRIP1,3224.0,0.453589322,55.0,-0.79437,-0.218205222
PRMT5,393.0,0.386451423,508.0,0.66568,-0.021930012
PRMT7,3655.0,0.450088803,850.0,0.332719,0.003806433
PROCR,549.0,0.357872186,218.0,0.232193,0.487044198
PRPS1,3908.0,0.466551451,409.0,0.669639,-0.147780545
PRPSAP1,2056.0,0.390811115,688.0,-0.258124,-0.00694739
PRRC1,3173.0,0.409170839,188.0,0.341685,0.003258318
PSMA5,2997.0,0.446573967,225.0,0.658077,-0.324671366
PSMA6,187.0,0.423632682,445.0,1.035266,-0.18613662
PSMB10,58.0,0.455018511,128.0,0.767849,0.292961744
PSMB2,3775.0,0.389848815,412.0,1.055469,-0.247191974
PSMB8,242.0,0.411206622,522.0,0.974116,0.15673466
PSMB9,5497.0,0.431095699,69.0,1.319662,0.241341294
PSMC3,66.0,0.485654947,194.0,0.188539,-0.062906868
PSMD11,2567.0,0.390095635,61.0,1.431034,-0.019955722
PSMD13,384.0,0.437236365,242.0,0.199348,-0.214893135
PSMD8,450.0,0.458928351,52.0,-0.523221,-0.163596289
PSME2,53.0,0.443656162,65.0,1.360739,0.136218077
PSMG1,5308.0,0.427553471,578.0,0.749525,-0.112626565
PSTPIP2,1923.0,0.429639796,96.0,0.123625,0.073066818
PTBP1,1504.0,0.473818895,106.0,0.245074,-0.193901652
PTDSS1,3765.0,0.367954205,423.0,0.31311,-0.953023838
PTGS1,3346.0,0.37260918,633.0,0.126218,0.362841524
PTP4A1,3419.0,0.421202001,1153.0,-0.616499,-0.597724912
PTPMT1,1899.0,0.450492628,193.0,0.255218,0.115704695
PTPN18,2185.0,0.381656528,101.0,0.083258,0.368954943
PTPN7,1593.0,0.440747449,781.0,1.859193,0.56872313
PTPRE,2994.0,0.426620112,1843.0,0.381731,0.52934862
PTPRF,4571.0,0.452810321,356.0,0.090679,-0.675000269
PTRH2,3186.0,0.370743372,1544.0,0.908349,0.227296259
PWWP2B,819.0,0.424412275,29.0,-0.220407,0.465255774
PYCR2,578.0,0.474148407,230.0,-0.448465,-0.214099287
PYGL,175.0,0.392036998,127.0,-0.035683,-0.519748543
QARS,97.0,0.458996209,396.0,-0.544574,0.032859621
RAB11FIP1,4277.0,0.380614122,56.0,-1.07925,-0.392528192
RAB12,1120.0,0.38483812,283.0,0.358938,0.470853652
RAB21,5246.0,0.435367738,267.0,-0.22355,-0.121971657
RAB31,3231.0,0.437498832,175.0,1.231004,0.567978112
RAB35,2172.0,0.408841719,189.0,0.344939,0.217512098
RAB7A,1376.0,0.419395127,232.0,0.023257,0.0018995
RAB8B,4163.0,0.425956778,96.0,-0.086181,0.427057488
RAB9A,1716.0,0.417525007,283.0,-0.003034,-0.097089281
RABGGTA,77.0,0.387342734,512.0,0.128135,0.211895561
RABGGTB,440.0,0.409412379,78.0,0.189216,0.019152287
RABIF,4760.0,0.447399225,159.0,0.500464,0.233209098
RACGAP1,1895.0,0.366370127,354.0,0.224257,-0.206769263
RAD9A,924.0,0.444046557,185.0,0.151607,0.204546634
RAE1,1112.0,0.432613552,365.0,0.072996,-0.08514523
RAI1,1472.0,0.455620822,469.0,-0.617585,-0.304888138
RAN,2043.0,0.442855294,361.0,0.342294,-0.226353861
RANBP10,3359.0,0.379453562,1256.0,0.349655,-0.01399452
RANGAP1,3145.0,0.481547647,765.0,-0.106335,0.009987118
RAPGEF1,2727.0,0.425793135,159.0,-0.203714,0.11674779
RARS,114.0,0.423508657,41.0,-0.014902,-0.159603696
RASGRP2,183.0,0.381671176,582.0,-0.262341,0.556428008
RASGRP4,985.0,0.374724859,214.0,0.050103,0.297615863
RBBP4,6506.0,0.404056961,164.0,0.749889,-0.042008393
RBBP5,3098.0,0.421849625,474.0,0.182322,0.004828492
RBKS,251.0,0.392307233,1371.0,-0.007938,0.074895282
RBM12,3599.0,0.375183789,304.0,-0.410839,-0.319454803
RBM14,3443.0,0.468008211,139.0,0.019254,-0.072346094
RBM4B,5277.0,0.396841232,170.0,0.475844,0.360619834
RBMX,1201.0,0.353737079,210.0,0.016667,0.375137342
RBPJ,4223.0,0.4178224,518.0,-0.180454,0.043556173
RBX1,821.0,0.46562919,52.0,-0.403738,-0.064676662
RC3H1,7637.0,0.410085914,87.0,-0.679504,-0.080889263
RCCD1,1773.0,0.374130224,280.0,0.090792,0.422740579
RCOR1,4070.0,0.439565312,228.0,-0.076169,-0.237326534
REEP4,591.0,0.460338979,469.0,0.157663,-0.080304521
REEP5,2962.0,0.457536941,144.0,-0.177053,0.333206861
RELB,408.0,0.418226182,131.0,-0.088645,0.124757716
REPIN1,2683.0,0.45080531,489.0,-1.224277,-0.340627874
RET,2082.0,0.379562012,357.0,2.738692,0.008472882
RFC4,89.0,0.411167541,282.0,0.52143,-0.122270642
RFK,1882.0,0.429285662,357.0,-0.980612,-0.09117047
RFWD3,2538.0,0.42367162,98.0,0.268789,0.114892747
RFX5,1546.0,0.386685917,221.0,0.989162,0.107737766
RFXAP,1850.0,0.421314391,156.0,-0.609741,-0.44589514
RHBDF2,740.0,0.423256567,294.0,0.245392,-0.117387775
RHOT2,568.0,0.454546166,881.0,0.509068,0.424056582
RINL,1279.0,0.357351373,413.0,-0.538115,0.106508194
RNASE2,179.0,0.384567964,71.0,0.872707,0.224507933
RNASEH1,4369.0,0.404567903,700.0,0.404527,0.037946543
RNASEH2B,3930.0,0.37625722,399.0,-0.126752,0.212336695
RNASET2,1070.0,0.374792559,407.0,0.462182,-0.29538044
RNF114,1751.0,0.459950313,36.0,0.427266,0.117864506
RNF167,289.0,0.375291206,776.0,-0.091419,0.206090472
RNF20,5226.0,0.396317502,92.0,0.728835,-0.027241795
RNF213,5288.0,0.417718743,150.0,0.761139,0.046194858
RNF216,2819.0,0.430061571,259.0,-0.240339,0.017184133
RNF25,102.0,0.375620157,88.0,0.262873,-0.134525289
RNF31,88.0,0.389352607,358.0,0.083213,0.313867456
RNLS,1252.0,0.416402283,135.0,1.635999,0.684075492
RNMT,4581.0,0.415128602,241.0,-0.400723,0.00212984
RNPEP,463.0,0.447181346,896.0,0.640013,-0.109331369
RP9,437.0,0.42869019,18.0,0.031257,-0.025903089
RPA1,2907.0,0.381710028,170.0,-0.173833,-0.216930415
RPA2,639.0,0.400070522,793.0,-0.486278,-0.157162036
RPL11,461.0,0.442317923,45.0,-0.642224,-0.397776385
RPL14,5208.0,0.496792394,133.0,-0.575096,-0.548862768
RPL23,3146.0,0.464880603,90.0,0.16818,0.017478639
RPL26,53.0,0.427802183,389.0,-0.189801,-0.368366121
RPL31,1260.0,0.451994935,87.0,-0.820057,-0.241940517
RPL34,1350.0,0.436455219,198.0,-1.280009,-0.345710665
RPL5,1058.0,0.451564158,75.0,-0.147779,0.152121989
RPL7,1077.0,0.460258279,707.0,-0.304573,-0.231216104
RPS11,373.0,0.483080585,92.0,-0.058425,0.072034135
RPS24,4247.0,0.430653047,142.0,0.056949,-0.217781311
RPS25,109.0,0.467193878,63.0,0.028088,0.149742452
RPS27A,743.0,0.450449292,321.0,-0.528225,-0.038401059
RPS3A,306.0,0.426765211,80.0,-0.248239,-0.021757818
RPS4X,629.0,0.442998752,96.0,-0.09467,0.043052034
RPS6,2723.0,0.413925579,42.0,-0.814191,-0.377602138
RPS6KA1,828.0,0.389798854,163.0,-0.598464,-0.465711927
RPS6KA4,735.0,0.38455359,226.0,0.075274,0.396257239
RPS7,66.0,0.428822459,109.0,-0.200904,0.016773036
RPTOR,2341.0,0.385169267,805.0,0.140624,-0.017845122
RREB1,3012.0,0.456825357,492.0,0.036229,-0.050326994
RRM1,2304.0,0.437568848,689.0,0.309467,0.058311441
RRP8,5071.0,0.446233376,148.0,-0.029997,0.015356802
RRS1,978.0,0.468289248,104.0,2.153662,0.764507474
RTN3,1690.0,0.358048129,187.0,1.228657,0.112117287
RTN4IP1,1108.0,0.372133716,477.0,0.392068,-0.044364111
RUNX1,4334.0,0.416076551,1578.0,0.000847,0.300615446
RUNX3,2611.0,0.405217602,439.0,0.826776,0.594466485
RWDD1,6365.0,0.401367905,746.0,0.133442,-0.163912055
S100A8,71.0,0.444112716,170.0,6.67099,0.029398073
S100A9,189.0,0.439508357,43.0,6.020114,0.015917383
SAMD9,1815.0,0.395660052,270.0,1.927544,0.517455142
SAMD9L,1162.0,0.396305952,1248.0,1.681447,0.687353978
SAMM50,150.0,0.345249646,197.0,0.36592,-0.043007137
SAMSN1,684.0,0.407246581,430.0,1.322252,0.502283585
SAP18,1754.0,0.427429047,39.0,-0.355495,-0.280998863
SAP30BP,1541.0,0.449617255,257.0,-0.099845,-0.157475615
SAR1A,5213.0,0.411769389,203.0,0.290184,-0.173854672
SAR1B,5806.0,0.392367964,253.0,0.536538,-0.043751181
SARS,1054.0,0.40098191,100.0,-0.029447,-0.133748429
SASH3,1369.0,0.387406112,182.0,1.350998,0.400747749
SCAMP4,1741.0,0.472519575,351.0,0.170291,0.266737913
SCO1,8645.0,0.407339367,61.0,-0.28525,-0.02228336
SDCCAG8,307.0,0.360606297,1542.0,0.891743,0.207755045
SEC11C,205.0,0.423646802,92.0,1.047685,0.509873172
SEC13,332.0,0.457264526,210.0,0.309788,-0.124123662
SEC14L1,2986.0,0.420320088,665.0,-0.005583,-0.046658675
SEC22A,2559.0,0.422343815,79.0,0.044197,-0.03535471
SEC24B,1221.0,0.400931805,155.0,-0.617212,-0.085677895
SEC24D,2115.0,0.386600041,297.0,0.811193,0.321847007
