,3prime,tAI,max_5_UTR_length,TCGA-BH-A0C1,TCGA-BH-A0C1.1
IFI44,267.0,0.403888008,124.0,-0.623077,1.105100554
IFI44L,5058.0,0.403608012,200.0,-0.67222,1.287993493
IFIH1,121.0,0.412344512,377.0,-0.582143,0.770493067
IFIT1,2775.0,0.411248073,495.0,-1.139078,0.630685741
IFIT2,1901.0,0.420797646,175.0,-0.660723,0.366650447
IFIT3,843.0,0.417440574,529.0,0.019347,0.531174608
IFIT5,2354.0,0.414819429,231.0,-0.652389,0.232851876
IFITM1,159.0,0.431550176,180.0,-0.204181,1.053647901
IFT27,109.0,0.4030938,426.0,-0.426699,0.087651674
IGFBP3,1605.0,0.43060006,132.0,-1.301624,-0.587354014
IGFBP7,558.0,0.392734536,34.0,-0.015993,-0.046722431
IKBKE,745.0,0.435100597,714.0,1.011225,0.468292255
IL16,3965.0,0.367979445,2395.0,0.372629,0.277135677
IL17RA,5874.0,0.376798811,133.0,0.492522,-0.210964478
IL1RN,1145.0,0.411881061,408.0,1.30155,-0.488449726
IL4I1,16.0,0.4139018,621.0,0.009909,0.495710775
ILF2,656.0,0.426220446,239.0,0.459782,-0.15989432
IMPA2,2898.0,0.383680893,242.0,0.516156,-0.099187907
INO80,5209.0,0.374025479,351.0,-0.126243,-0.163666764
INPP1,263.0,0.395712795,700.0,0.088803,0.479186558
INPP5D,1195.0,0.436077769,512.0,0.04473,0.682932444
INSR,4801.0,0.380857973,411.0,-0.087127,0.539801486
IPO5,2508.0,0.381335948,180.0,0.234547,-0.173754677
IRF7,92.0,0.423538356,367.0,-0.70747,0.415243523
IRF8,1327.0,0.384714127,507.0,-0.041547,0.800096932
IRF9,369.0,0.432057622,127.0,-0.267763,-0.159474096
IRGQ,7659.0,0.399674011,156.0,0.255545,-0.188190989
ISCU,607.0,0.454630229,1331.0,-0.721678,-0.143924637
ISG15,62.0,0.419522688,77.0,-1.369269,-0.413943919
ISG20,952.0,0.419932377,2368.0,-1.205128,0.464131066
ISOC1,1056.0,0.418535314,18.0,0.341294,-0.941298861
ITGB2,415.0,0.457304004,395.0,-0.575275,0.84386272
ITPKB,2981.0,0.440250717,340.0,1.085139,-0.47435906
ITPRIP,5382.0,0.396785481,453.0,1.207573,-0.197915131
JUNB,496.0,0.414023332,276.0,0.967037,-0.104587003
JUP,157.0,0.458302936,298.0,0.166107,0.116372892
KANK2,2291.0,0.394238955,361.0,0.472966,-0.618798467
KARS,4202.0,0.383913431,144.0,-0.18093,0.450130528
KDM1A,327.0,0.428444011,149.0,-0.337049,-0.194127004
KDM2A,3716.0,0.372295488,864.0,-0.138267,0.068380565
KDM2B,2488.0,0.393022165,407.0,-0.243518,0.173472773
KDM3B,1327.0,0.37791414,200.0,0.423106,0.520694519
KDM4A,1148.0,0.378142374,166.0,-0.432139,0.373818158
KHSRP,1024.0,0.456900489,110.0,0.390878,-0.082666611
KIAA2013,727.0,0.385456054,191.0,-0.678172,-0.091055134
KIF20A,757.0,0.371463873,496.0,0.700022,0.767857203
KIF22,75.0,0.392489541,388.0,-0.426264,0.088572249
KIF2C,588.0,0.387865377,395.0,-0.541664,0.671326269
KIF3B,3792.0,0.390782105,180.0,0.305977,-0.05807709
KIF5B,3198.0,0.418236129,470.0,-0.1328,0.115523943
KLHL7,3616.0,0.41595405,521.0,0.660511,0.428243765
KTI12,594.0,0.370414154,39.0,-0.857947,0.036781665
LAMP1,1311.0,0.390985106,281.0,0.236858,-0.353120537
LANCL2,2422.0,0.433733517,578.0,0.676886,-0.896771786
LAP3,503.0,0.426841798,162.0,0.083963,1.313161578
LDHD,1826.0,0.398770776,52.0,-2.796437,-0.738539345
LENG1,560.0,0.445950324,48.0,-0.967634,-1.005066954
LGALS3,159.0,0.420172221,88.0,-0.955666,-0.343322009
LGALS3BP,1225.0,0.419930622,179.0,-0.780818,0.113719088
LGALS9,641.0,0.410654931,118.0,0.371372,0.714351977
LIN54,4893.0,0.441729058,383.0,-0.27609,-0.253052919
LPCAT1,2228.0,0.380803123,133.0,0.528447,0.252788727
LPCAT4,239.0,0.432241557,94.0,-1.03824,0.391575954
LPXN,1776.0,0.432350833,254.0,0.041911,0.305550149
LRPPRC,2376.0,0.377375074,58.0,0.665785,0.648433418
LRRC25,843.0,0.434491636,642.0,-0.332834,0.784996552
LRRC41,465.0,0.438391248,44.0,-0.426819,0.157402124
LRRC59,1755.0,0.423067849,236.0,-0.593198,0.040015546
LSM1,486.0,0.409616526,410.0,-0.160012,0.501842121
LSM6,1871.0,0.435100303,139.0,-0.899139,0.528321612
LTA4H,391.0,0.355044638,145.0,-0.598459,0.015117654
LYN,4058.0,0.418972994,282.0,-0.204249,1.308105623
LYPLAL1,1137.0,0.3973742,157.0,0.193044,0.135768456
LYRM4,6830.0,0.366844497,217.0,0.621433,0.157414224
LYSMD2,596.0,0.394037378,501.0,-0.913363,0.541366853
M6PR,1457.0,0.379162834,275.0,-0.010655,0.375962434
MAD2L1,4528.0,0.407191351,124.0,-0.134267,0.693632969
MAGED2,327.0,0.466698843,233.0,-0.153671,-0.958033573
MAGOH,153.0,0.416054235,162.0,-0.958346,-0.140339296
MAN2B1,128.0,0.381728903,76.0,0.183117,0.217885713
MANF,717.0,0.420319188,97.0,-0.31084,0.018738532
MAP4K1,170.0,0.374128007,140.0,0.432659,0.443783783
MARCKSL1,768.0,0.468216312,206.0,0.177675,0.50031008
MAX,2676.0,0.337149475,479.0,-0.07208,-0.083011573
MBD2,3723.0,0.420256858,229.0,-0.198721,0.294672379
MBP,4041.0,0.393290432,264.0,-1.056851,-0.037129959
MCM2,662.0,0.460999542,110.0,-0.065064,0.16938113
MCM4,2618.0,0.371821308,942.0,0.113399,0.172920322
MCM5,3214.0,0.470488076,94.0,-0.206413,0.295202773
MDC1,658.0,0.415783633,440.0,-0.109836,0.483194772
MDH1,210.0,0.381672323,435.0,-0.426948,-0.30895701
ME1,1535.0,0.411214685,265.0,-1.517189,0.301210122
ME3,171.0,0.395156177,377.0,-0.155845,0.892901351
MECR,1365.0,0.445670958,612.0,0.104948,0.291810689
MED17,2631.0,0.366528813,275.0,0.117036,0.294070314
MED19,934.0,0.439623042,93.0,-0.741622,0.131324545
MED28,10307.0,0.440157501,27.0,0.388551,0.077349081
MED29,4550.0,0.464327351,57.0,-0.421687,-0.367361238
MEF2C,6848.0,0.41426337,654.0,-0.020323,-0.290955514
MEN1,824.0,0.454590692,504.0,-0.39011,0.002853946
METTL13,961.0,0.396264071,347.0,0.566715,-0.041959144
MGST3,1295.0,0.374563048,428.0,0.372856,0.011670772
MIF4GD,787.0,0.397877071,137.0,-0.99614,0.476272608
MINK1,774.0,0.455972684,525.0,-0.401423,0.548952153
MIS12,1334.0,0.420723459,745.0,-0.54261,-0.461952609
MLEC,5319.0,0.43043384,173.0,-0.072039,0.595260414
MLLT10,2252.0,0.36295117,1568.0,0.171799,0.083966201
MLX,1636.0,0.386664187,65.0,-0.787074,0.275736154
MMACHC,1852.0,0.382684622,371.0,-0.970359,0.812308557
MMADHC,5382.0,0.406207656,205.0,0.292744,-0.030708683
MMGT1,4451.0,0.406300672,388.0,-0.194131,0.658346853
MMP1,502.0,0.392399458,189.0,3.653625,-0.359588016
MMP14,1722.0,0.419367787,285.0,0.97969,0.100151962
MMP9,193.0,0.404253633,19.0,-2.111076,-1.099112771
MORC3,2052.0,0.406702124,375.0,0.414463,0.293762135
MORF4L1,1066.0,0.420719378,454.0,-0.66041,0.270739959
MOV10,619.0,0.412681236,1415.0,-0.541377,0.016816423
MPDU1,797.0,0.440676037,216.0,-0.522923,0.018595833
MPHOSPH10,87.0,0.404440607,352.0,-0.011142,0.328048642
MRI1,2018.0,0.459301832,75.0,0.062925,-0.474087803
MRPL13,1075.0,0.395373051,313.0,-0.215545,0.350164223
MRPL15,1888.0,0.407701507,63.0,0.036452,0.565779924
MRPL16,212.0,0.368940255,214.0,-0.688015,0.496680672
MRPL17,6554.0,0.424450505,105.0,-0.443056,0.749190267
MRPL2,580.0,0.458698472,164.0,-0.354799,0.443031535
MRPL20,187.0,0.445765675,96.0,-0.944041,0.52508093
MRPL21,55.0,0.417448467,293.0,-0.507245,0.505779893
MRPL27,2133.0,0.436300758,31.0,-1.067574,0.259455384
MRPL40,113.0,0.406843086,653.0,-0.926225,0.07112814
MRPL46,1889.0,0.422788385,25.0,-0.98873,0.223003163
MRPL48,1284.0,0.368940255,212.0,-0.176442,-0.168780012
MRPL51,2069.0,0.35376587,169.0,0.019427,0.847301737
MRPL53,198.0,0.441261883,155.0,-0.476803,0.348995534
MRPL9,407.0,0.432679379,437.0,0.442567,0.706895999
MRPS11,2793.0,0.477818717,1491.0,-0.85717,0.12894166
MRPS15,468.0,0.440649404,164.0,-0.83029,0.726322318
MRPS17,1334.0,0.413812124,30.0,0.270161,0.790696775
MRPS18B,936.0,0.408462865,157.0,-0.556853,0.297118304
MRPS36,933.0,0.3748339,84.0,-0.107995,-0.332531508
MRPS7,453.0,0.455992019,233.0,-1.020076,0.59734793
MSI2,5168.0,0.366385762,173.0,0.316692,-1.039554129
MSTO1,694.0,0.421389639,1152.0,0.469895,0.807104207
MT1E,291.0,0.588704726,179.0,-1.778557,-1.536759961
MT2A,316.0,0.576670685,123.0,-0.233416,-0.912438847
MTA2,684.0,0.459443446,761.0,-0.395086,0.53369496
MTFMT,1550.0,0.414190941,26.0,-0.591057,0.141501718
MTHFS,1663.0,0.434592403,179.0,-1.18833,-0.107745218
MTMR1,2442.0,0.424163835,319.0,0.514419,0.681256511
MTMR14,421.0,0.371137969,151.0,-0.098751,0.200251901
MVP,50.0,0.435053297,193.0,-0.344124,-0.121232042
MX1,456.0,0.433488503,982.0,-0.765067,0.878556534
MX2,1812.0,0.430094961,104.0,-0.568447,0.616201477
MYADM,2833.0,0.384589896,681.0,0.144966,-0.239264927
MYCBP,3972.0,0.381803634,73.0,-0.226717,0.529916839
MYL12A,812.0,0.453450746,478.0,0.066769,-0.519918812
MYO18A,3647.0,0.395788337,484.0,-0.384519,0.700932194
MYO9B,1401.0,0.398943925,152.0,0.301787,0.325672939
N6AMT1,5137.0,0.427535625,28.0,1.198188,0.252001066
NAA40,3212.0,0.389371031,261.0,-0.143712,0.377269689
NAB1,2433.0,0.361024962,572.0,0.829485,-0.161527904
NADK,1672.0,0.3959688,563.0,-0.704658,0.336448155
NADSYN1,464.0,0.447848979,126.0,-0.488485,0.061607659
NAGK,1297.0,0.42527382,474.0,-0.341339,-0.046637394
NANS,37.0,0.458552255,132.0,0.037363,-0.303494556
NAPA,1862.0,0.477781443,318.0,0.264773,-0.09170164
NAT10,4915.0,0.387474071,245.0,0.72969,0.602495178
NBAS,140.0,0.414580543,44.0,0.651743,0.146651506
NCALD,2767.0,0.374888213,460.0,-0.190371,-0.550276885
NCAPD3,2971.0,0.431957579,606.0,0.71614,0.577228493
NCAPG2,3501.0,0.41630572,200.0,0.12508,0.370411243
NCF1,2381.0,0.415579251,70.0,-0.228223,0.834540615
NCK2,1267.0,0.457831152,276.0,0.34414,-0.401466824
NCKIPSD,4981.0,0.449411541,126.0,-0.368249,-0.040035464
NCOA5,1332.0,0.416761948,402.0,0.186461,-0.287134103
NCOA7,3259.0,0.404217869,470.0,1.3902,0.184593991
NDC80,61.0,0.356199389,182.0,0.379599,0.523320155
NDRG2,841.0,0.376266446,941.0,-0.144291,0.002860566
NDUFA4,1685.0,0.439642808,129.0,-0.121419,-0.159309716
NEU1,667.0,0.413226082,156.0,-0.580551,-0.470031294
NFATC2IP,3242.0,0.412267479,15.0,-0.573786,0.335823048
NFKB1,708.0,0.4099683,467.0,0.322978,0.292005966
NFKB2,153.0,0.424806573,563.0,0.097765,0.157918247
NFKBIE,1053.0,0.409138176,25.0,-0.138679,0.786386964
NGDN,1255.0,0.423783924,27.0,-0.589729,0.232920937
NGRN,1679.0,0.414477409,50.0,-0.923867,-0.545083904
NINJ1,5217.0,0.455972644,71.0,0.183779,0.641094974
NIP7,1593.0,0.443769116,318.0,-0.354067,0.473259681
NIT2,2351.0,0.432361565,74.0,-0.27568,-0.061532835
NMNAT3,2689.0,0.397393877,1228.0,-0.123884,0.452602915
NMT1,3377.0,0.454689408,31.0,-0.436145,0.175617562
NONO,1092.0,0.432928506,710.0,0.367407,-0.163902372
NOP14,912.0,0.38067473,187.0,0.078686,0.354047994
NOP2,785.0,0.393538298,198.0,-0.021863,0.674991273
NOTCH2,6062.0,0.409327653,297.0,0.845153,0.219397336
NPTN,1068.0,0.388989686,197.0,-0.309199,-0.148718116
NR2C2,6271.0,0.390767743,362.0,-0.070153,0.283267896
NRBF2,883.0,0.43605128,224.0,-0.2186,0.330745857
NRF1,1901.0,0.447602651,500.0,0.212651,-0.2004105
NRGN,833.0,0.413631862,152.0,0.320835,0.436342
NRP1,3846.0,0.416817106,523.0,0.172201,0.028682868
NSFL1C,1587.0,0.42738001,868.0,-0.446439,-0.352035486
NSMAF,602.0,0.358586884,214.0,0.023953,0.139672549
NTAN1,178.0,0.344459601,320.0,-0.198835,-0.18927286
NUBP1,246.0,0.455923678,142.0,-0.407136,-0.054865029
NUCKS1,5461.0,0.359398328,271.0,1.284039,-1.098411065
NUDC,716.0,0.476401948,127.0,-1.021891,-0.313338301
NUDT16,5489.0,0.428387545,75.0,-0.307195,0.248546008
NUMA1,663.0,0.474508115,436.0,-0.36855,-0.338352241
NUP93,5678.0,0.382018893,495.0,0.085121,0.278997793
NXF1,2943.0,0.375826754,136.0,-0.332027,0.150790502
OCIAD2,4872.0,0.363821488,322.0,-0.407719,0.349162759
OGDH,1071.0,0.396078149,159.0,-0.159922,-0.193118378
OPA3,7233.0,0.475004358,100.0,-0.100597,-1.242005751
OSBPL2,2363.0,0.383456763,571.0,-0.242173,-0.211532943
OSBPL5,1099.0,0.381371042,158.0,0.033436,-0.560368695
OVCA2,792.0,0.429983078,65.0,-0.610383,0.131579659
P2RX4,573.0,0.442596273,304.0,-1.050973,0.220109306
PAAF1,509.0,0.376143366,341.0,-0.760158,0.195945713
PACSIN2,1591.0,0.413490434,405.0,0.150199,0.014834197
PARK7,451.0,0.457171775,163.0,-0.926182,-0.650737631
PARP1,769.0,0.460215809,171.0,0.978998,0.061113183
PARP10,332.0,0.422654659,200.0,-0.537355,0.469842649
PARP12,816.0,0.416480622,874.0,-0.406101,0.323230403
PARP14,2243.0,0.414355918,59.0,-0.243668,0.810481714
PARP9,451.0,0.418102187,327.0,0.231544,0.347602569
PARVG,2043.0,0.383803232,484.0,-0.289391,0.574637469
PBK,750.0,0.413339119,464.0,0.70802,0.27302865
PCNA,338.0,0.425000199,239.0,-0.186539,0.213393271
PDAP1,2007.0,0.464659554,134.0,-0.480539,-0.687238042
PDCD2,155.0,0.440448783,111.0,0.667114,-0.236677654
PDCD2L,48.0,0.433436103,33.0,-0.034971,0.057622668
PDCD6IP,3211.0,0.388727459,158.0,0.04275,-0.11659985
PDHA1,2054.0,0.402514578,145.0,-0.233189,0.563745216
PDHB,2974.0,0.442593378,43.0,-0.071432,0.471894067
PDLIM1,357.0,0.379179626,233.0,0.23941,-0.719702009
PDXDC1,2055.0,0.375670185,335.0,-0.070826,0.073085144
PDXK,6244.0,0.398158884,198.0,-0.069288,0.280496712
PEBP1,796.0,0.360152166,326.0,-0.778119,-0.53431885
PEF1,769.0,0.441759403,424.0,-0.849588,-0.165624208
PELO,5222.0,0.385240523,985.0,-0.284833,-0.080003933
PEPD,395.0,0.450896903,133.0,-0.3066,0.41389501
PEX16,585.0,0.43213601,312.0,-0.212529,-0.177504591
PEX6,946.0,0.370078344,93.0,-0.029725,-0.061433036
PEX7,2294.0,0.407005497,102.0,0.378487,-0.240393269
PFDN5,124.0,0.497062947,117.0,-0.280031,0.283291434
PFDN6,574.0,0.470152145,222.0,-0.574564,0.306613923
PGM1,570.0,0.393980016,681.0,-0.718044,0.431340343
PHB,988.0,0.45268542,190.0,-0.7395,-0.051894547
PHF10,104.0,0.365149381,79.0,0.513741,-0.542237721
PI4K2A,2692.0,0.385068362,57.0,-0.080933,0.666621498
PIAS1,3626.0,0.396022529,741.0,0.026964,0.085584136
PIGH,1430.0,0.434471606,98.0,-0.32288,-0.500465647
PIK3AP1,3866.0,0.407313024,128.0,-0.205331,0.899739779
PIR,205.0,0.385796208,485.0,-1.093223,0.518446993
PITPNC1,4686.0,0.369070722,874.0,-0.072096,-0.07803319
PLA2G4C,585.0,0.406173977,398.0,-0.096329,-0.775431485
PLAUR,323.0,0.418467601,226.0,-0.438083,0.329054645
PLCB2,818.0,0.468984469,301.0,-0.132984,0.483032777
PLCG1,3987.0,0.454806205,121.0,0.078492,-0.121143664
PLD4,273.0,0.377985619,192.0,0.714719,-0.145694143
PLEKHO1,5192.0,0.424698037,839.0,0.706141,0.131763838
PLEKHO2,2119.0,0.429714475,134.0,-0.428671,0.573497975
PLSCR1,10376.0,0.415598704,388.0,-0.717233,1.308515534
PML,3324.0,0.431306474,140.0,-0.189067,0.375082033
POLR1C,1131.0,0.439933821,86.0,-0.302734,0.220464258
POLR1D,1469.0,0.427162265,456.0,-0.217669,-0.688047164
POLR2F,1600.0,0.47244007,250.0,-0.575426,1.253637177
POLR2H,1065.0,0.427596015,1167.0,-0.131051,0.106224654
POLR3H,3481.0,0.444306047,388.0,0.090456,0.539721787
POLR3K,1023.0,0.473025152,46.0,-0.612578,0.132905723
PPA2,660.0,0.432735716,20.0,0.152022,0.917296552
PPIE,4556.0,0.446406574,56.0,-0.646396,0.607359332
PPIL1,1921.0,0.453832883,252.0,-0.395478,-0.200166479
PPP1R14B,282.0,0.457456004,268.0,0.387516,0.038738269
PRC1,1136.0,0.367783806,234.0,-0.600863,-0.234316104
PRCC,357.0,0.381841119,290.0,0.469642,0.441736823
PRDX1,303.0,0.414090753,341.0,-1.313526,-0.055411898
PRDX6,944.0,0.433706552,51.0,1.035858,0.007790131
PREB,658.0,0.378530018,403.0,-0.15302,0.28757151
PREP,579.0,0.425974009,233.0,0.633241,-0.533304789
PRG4,784.0,0.366727173,51.0,1.826205,-0.077435417
PRIM2,1166.0,0.350864643,125.0,0.619498,0.501744199
PRKAB1,1305.0,0.365943644,289.0,-0.1762,0.026485015
PRKAR2A,5019.0,0.427443141,254.0,0.707784,-0.308349292
PRKCB,5795.0,0.38010529,197.0,0.640528,0.294516765
PRKCD,451.0,0.404392693,469.0,0.111458,-0.211139622
PRKRA,683.0,0.420894136,659.0,0.276508,-0.379184886
PRKRIP1,3224.0,0.453589322,55.0,-0.2418,-1.399342913
PRMT5,393.0,0.386451423,508.0,-0.107842,-0.219564282
PRMT7,3655.0,0.450088803,850.0,0.06364,0.042510766
PROCR,549.0,0.357872186,218.0,-0.48787,0.551115619
PRPS1,3908.0,0.466551451,409.0,0.914465,0.197738844
PRPSAP1,2056.0,0.390811115,688.0,-0.793914,0.430610078
PRRC1,3173.0,0.409170839,188.0,0.644163,-0.368650504
PSMA5,2997.0,0.446573967,225.0,-0.806035,0.041558678
PSMA6,187.0,0.423632682,445.0,-0.367061,-0.065172334
PSMB10,58.0,0.455018511,128.0,-0.220271,0.379004041
PSMB2,3775.0,0.389848815,412.0,-0.712333,0.049697905
PSMB8,242.0,0.411206622,522.0,-0.614358,0.446039336
PSMB9,5497.0,0.431095699,69.0,-0.236342,0.584977747
PSMC3,66.0,0.485654947,194.0,-0.863701,0.020832797
PSMD11,2567.0,0.390095635,61.0,-0.706221,0.331935307
PSMD13,384.0,0.437236365,242.0,-0.474811,0.204940972
PSMD8,450.0,0.458928351,52.0,-0.229708,0.184838458
PSME2,53.0,0.443656162,65.0,-0.306307,0.410453455
PSMG1,5308.0,0.427553471,578.0,-0.107779,0.359428978
PSTPIP2,1923.0,0.429639796,96.0,-0.309443,0.444782968
PTBP1,1504.0,0.473818895,106.0,0.243626,-0.125573195
PTDSS1,3765.0,0.367954205,423.0,-0.00734,0.187205205
PTGS1,3346.0,0.37260918,633.0,-0.151574,0.086559011
PTP4A1,3419.0,0.421202001,1153.0,-0.154925,0.502310412
PTPMT1,1899.0,0.450492628,193.0,-0.952091,0.092343594
PTPN18,2185.0,0.381656528,101.0,0.457003,-0.110555173
PTPN7,1593.0,0.440747449,781.0,0.103516,0.431058229
PTPRE,2994.0,0.426620112,1843.0,-0.061908,0.723810108
PTPRF,4571.0,0.452810321,356.0,0.016572,-0.190668597
PTRH2,3186.0,0.370743372,1544.0,-0.844742,-0.135458167
PWWP2B,819.0,0.424412275,29.0,-0.221653,-2.117697486
PYCR2,578.0,0.474148407,230.0,0.170097,0.334565861
PYGL,175.0,0.392036998,127.0,-0.12658,-0.472260179
QARS,97.0,0.458996209,396.0,0.087761,0.08671899
RAB11FIP1,4277.0,0.380614122,56.0,0.19288,0.729810335
RAB12,1120.0,0.38483812,283.0,0.245241,0.679149598
RAB21,5246.0,0.435367738,267.0,-0.705655,-0.089232994
RAB31,3231.0,0.437498832,175.0,-0.118567,-0.022671027
RAB35,2172.0,0.408841719,189.0,-0.596628,0.442621864
RAB7A,1376.0,0.419395127,232.0,-0.320374,0.366895343
RAB8B,4163.0,0.425956778,96.0,-0.019555,0.532135672
RAB9A,1716.0,0.417525007,283.0,-0.023527,1.711464702
RABGGTA,77.0,0.387342734,512.0,-0.505633,-0.097005453
RABGGTB,440.0,0.409412379,78.0,-0.650074,-0.171114874
RABIF,4760.0,0.447399225,159.0,0.653205,-0.230340345
RACGAP1,1895.0,0.366370127,354.0,0.705483,0.272604404
RAD9A,924.0,0.444046557,185.0,-0.67714,0.130611737
RAE1,1112.0,0.432613552,365.0,0.108537,-0.05509351
RAI1,1472.0,0.455620822,469.0,-0.071671,0.279012852
RAN,2043.0,0.442855294,361.0,-0.619581,0.032984413
RANBP10,3359.0,0.379453562,1256.0,0.022283,0.181834013
RANGAP1,3145.0,0.481547647,765.0,0.026248,0.020156507
RAPGEF1,2727.0,0.425793135,159.0,-0.346062,0.279698585
RARS,114.0,0.423508657,41.0,0.388853,0.64214364
RASGRP2,183.0,0.381671176,582.0,-0.376954,0.434278303
RASGRP4,985.0,0.374724859,214.0,-0.86561,0.516822274
RBBP4,6506.0,0.404056961,164.0,-0.240031,-0.376583171
RBBP5,3098.0,0.421849625,474.0,0.743583,-0.021685564
RBKS,251.0,0.392307233,1371.0,-0.389439,-0.346411652
RBM12,3599.0,0.375183789,304.0,0.18431,-0.072340293
RBM14,3443.0,0.468008211,139.0,0.013476,-0.164845302
RBM4B,5277.0,0.396841232,170.0,-0.818024,-0.259631568
RBMX,1201.0,0.353737079,210.0,0.223496,0.312860361
RBPJ,4223.0,0.4178224,518.0,0.000916,0.874918594
RBX1,821.0,0.46562919,52.0,-0.139356,-0.051404896
RC3H1,7637.0,0.410085914,87.0,-0.649146,-0.809288277
RCCD1,1773.0,0.374130224,280.0,-0.960981,-0.245453264
RCOR1,4070.0,0.439565312,228.0,0.204611,-0.139977114
REEP4,591.0,0.460338979,469.0,0.24235,0.230376882
REEP5,2962.0,0.457536941,144.0,-0.249905,-0.113616468
RELB,408.0,0.418226182,131.0,0.619261,0.70464179
REPIN1,2683.0,0.45080531,489.0,0.466264,-0.342496304
RFC4,89.0,0.411167541,282.0,-0.237799,0.533123296
RFK,1882.0,0.429285662,357.0,-0.064327,0.056822626
RFWD3,2538.0,0.42367162,98.0,0.199648,0.157961886
RFX5,1546.0,0.386685917,221.0,-0.080128,0.647903888
RFXAP,1850.0,0.421314391,156.0,-0.079967,-0.090782071
RHBDF2,740.0,0.423256567,294.0,-0.334816,-0.085651848
RHOT2,568.0,0.454546166,881.0,-0.449308,-0.112794621
RNASEH1,4369.0,0.404567903,700.0,0.334053,0.533801157
RNASEH2B,3930.0,0.37625722,399.0,-0.107664,0.335439331
RNASET2,1070.0,0.374792559,407.0,-0.40584,-0.66662457
RNF114,1751.0,0.459950313,36.0,0.361358,0.269514638
RNF167,289.0,0.375291206,776.0,-0.665246,-0.284149491
RNF20,5226.0,0.396317502,92.0,0.031345,-0.075807688
RNF213,5288.0,0.417718743,150.0,-0.404161,0.483695406
RNF216,2819.0,0.430061571,259.0,0.302551,0.309353955
RNF25,102.0,0.375620157,88.0,-0.166562,-0.192687239
RNF31,88.0,0.389352607,358.0,0.245311,-0.143618001
RNLS,1252.0,0.416402283,135.0,-0.063281,-0.122125828
RNMT,4581.0,0.415128602,241.0,0.600032,0.331505693
RNPEP,463.0,0.447181346,896.0,-0.041214,-0.118632716
RP9,437.0,0.42869019,18.0,-0.271923,0.217586793
RPA1,2907.0,0.381710028,170.0,-0.155896,0.160749951
RPA2,639.0,0.400070522,793.0,-0.654749,0.042743545
RPAIN,471.0,0.394698889,570.0,-0.707915,0.23830648
RPL11,461.0,0.442317923,45.0,-0.488787,-0.318272671
RPL14,5208.0,0.496792394,133.0,-0.195636,-0.468594995
RPL23,3146.0,0.464880603,90.0,-0.677678,0.27221355
RPL26,53.0,0.427802183,389.0,-0.544672,-0.198013344
RPL31,1260.0,0.451994935,87.0,0.17754,-0.015898592
RPL34,1350.0,0.436455219,198.0,-0.186482,-0.466290133
RPL5,1058.0,0.451564158,75.0,-0.318625,0.314646899
RPL7,1077.0,0.460258279,707.0,-0.044974,-0.17331808
RPS11,373.0,0.483080585,92.0,-0.200191,0.201351416
RPS24,4247.0,0.430653047,142.0,-0.318287,0.116303682
RPS25,109.0,0.467193878,63.0,-0.340408,0.606417239
RPS27A,743.0,0.450449292,321.0,0.153311,-0.099405087
RPS3A,306.0,0.426765211,80.0,-0.038745,0.221292173
RPS4X,629.0,0.442998752,96.0,0.211409,0.323318004
RPS6,2723.0,0.413925579,42.0,-0.058147,-0.171794489
RPS6KA1,828.0,0.389798854,163.0,-0.220341,-0.039686961
RPS6KA4,735.0,0.38455359,226.0,-0.377717,0.09844502
RPS7,66.0,0.428822459,109.0,0.11254,-0.037696738
RPTOR,2341.0,0.385169267,805.0,-0.320074,0.028810058
RREB1,3012.0,0.456825357,492.0,0.6046,-0.27769805
RRM1,2304.0,0.437568848,689.0,0.198271,0.138290414
RRP8,5071.0,0.446233376,148.0,-0.31667,0.461349613
RRS1,978.0,0.468289248,104.0,-0.286947,0.635503984
RTN3,1690.0,0.358048129,187.0,-0.881379,-0.353493201
RTN4IP1,1108.0,0.372133716,477.0,0.20406,-0.246422192
RUNX1,4334.0,0.416076551,1578.0,1.340996,-0.104038548
RUNX3,2611.0,0.405217602,439.0,0.101045,0.083731441
RWDD1,6365.0,0.401367905,746.0,-0.056015,0.156058581
S100A8,71.0,0.444112716,170.0,-0.789914,-1.735148445
S100A9,189.0,0.439508357,43.0,2.576316,-1.766549536
SAMD9,1815.0,0.395660052,270.0,-0.449688,0.852575934
SAMD9L,1162.0,0.396305952,1248.0,-0.089943,0.73381153
SAMM50,150.0,0.345249646,197.0,0.11554,0.422413623
SAMSN1,684.0,0.407246581,430.0,-0.274814,0.202928626
SAP18,1754.0,0.427429047,39.0,-0.348773,-0.248695033
SAP30BP,1541.0,0.449617255,257.0,-0.760835,0.002898486
SAR1A,5213.0,0.411769389,203.0,-0.191914,0.045360937
SAR1B,5806.0,0.392367964,253.0,-0.154381,-0.170997918
SARS,1054.0,0.40098191,100.0,-0.991122,-0.034734619
SASH3,1369.0,0.387406112,182.0,-0.145037,0.466042564
SCAMP4,1741.0,0.472519575,351.0,0.058464,0.273798026
SCO1,8645.0,0.407339367,61.0,-0.279513,0.603060781
SDCCAG8,307.0,0.360606297,1542.0,0.439873,0.196034522
SEC11C,205.0,0.423646802,92.0,0.055941,-0.061161772
SEC13,332.0,0.457264526,210.0,-0.421866,-0.257751412
SEC14L1,2986.0,0.420320088,665.0,-0.175065,-0.263210143
SEC22A,2559.0,0.422343815,79.0,-0.193708,0.65926324
SEC24B,1221.0,0.400931805,155.0,0.239149,0.502450895
