,3prime,tAI,max_5_UTR_length,TCGA-AR-A0U4,TCGA-AR-A0U4.1
INO80,5209.0,0.374025479,351.0,-0.291831,0.060248627
INPP1,263.0,0.395712795,700.0,-0.631917,0.024568789
INPP5D,1195.0,0.436077769,512.0,1.118531,0.505966054
INSR,4801.0,0.380857973,411.0,0.007238,-0.019738707
IPO5,2508.0,0.381335948,180.0,-0.564703,-0.470090776
IRF7,92.0,0.423538356,367.0,-0.307463,0.274197978
IRF8,1327.0,0.384714127,507.0,1.104596,-0.853945805
IRF9,369.0,0.432057622,127.0,-0.246787,-0.617667568
IRGQ,7659.0,0.399674011,156.0,0.527342,0.53357181
ISCU,607.0,0.454630229,1331.0,-0.281847,0.331386698
ISG15,62.0,0.419522688,77.0,-1.164363,-1.398173023
ISG20,952.0,0.419932377,2368.0,-0.119087,-0.299978477
ISOC1,1056.0,0.418535314,18.0,-1.01799,-0.578450427
ITGB2,415.0,0.457304004,395.0,2.794364,1.135380468
ITPKB,2981.0,0.440250717,340.0,1.758171,0.886924938
JUNB,496.0,0.414023332,276.0,0.262159,0.488660564
JUP,157.0,0.458302936,298.0,-1.844651,-0.213572221
KANK2,2291.0,0.394238955,361.0,-2.181444,-0.561048436
KARS,4202.0,0.383913431,144.0,-0.07859,-0.285829962
KDM1A,327.0,0.428444011,149.0,0.703418,-0.172351621
KDM2A,3716.0,0.372295488,864.0,0.814381,0.046430073
KDM3B,1327.0,0.37791414,200.0,-0.526427,-0.188289084
KDM4A,1148.0,0.378142374,166.0,0.321866,0.000291947
KHSRP,1024.0,0.456900489,110.0,0.620352,0.083889415
KIAA2013,727.0,0.385456054,191.0,0.653115,-0.202109246
KIF22,75.0,0.392489541,388.0,-0.279011,0.263179172
KIF2C,588.0,0.387865377,395.0,1.142868,0.441216413
KIF3B,3792.0,0.390782105,180.0,-0.229176,-0.089865478
KIF3C,2392.0,0.403852971,657.0,0.932712,0.020892835
KIF5B,3198.0,0.418236129,470.0,0.966173,0.142512941
KLHL7,3616.0,0.41595405,521.0,-0.226491,0.35904383
KTI12,594.0,0.370414154,39.0,-0.027251,-0.033431847
LAMP1,1311.0,0.390985106,281.0,-0.001587,-0.369456369
LANCL2,2422.0,0.433733517,578.0,3.773546,1.500442807
LAP3,503.0,0.426841798,162.0,0.495438,-0.020594071
LDHD,1826.0,0.398770776,52.0,-3.846944,-0.483676658
LENG1,560.0,0.445950324,48.0,-2.218375,-0.71262465
LGALS3,159.0,0.420172221,88.0,-0.791194,-0.513748482
LGALS3BP,1225.0,0.419930622,179.0,1.097743,-0.292988992
LGALS9,641.0,0.410654931,118.0,1.324274,0.388452079
LIN54,4893.0,0.441729058,383.0,0.350302,0.375292268
LPCAT1,2228.0,0.380803123,133.0,0.229202,0.228709207
LPCAT4,239.0,0.432241557,94.0,-0.303327,0.21433034
LPXN,1776.0,0.432350833,254.0,1.711261,0.385798355
LRPPRC,2376.0,0.377375074,58.0,0.50169,0.014065988
LRRC25,843.0,0.434491636,642.0,2.571721,-0.123961759
LRRC41,465.0,0.438391248,44.0,0.28287,-0.345798719
LRRC59,1755.0,0.423067849,236.0,0.996001,0.32750017
LSM1,486.0,0.409616526,410.0,0.747826,0.715908269
LSM6,1871.0,0.435100303,139.0,0.805308,0.655738096
LTA4H,391.0,0.355044638,145.0,0.61999,0.405521579
LYN,4058.0,0.418972994,282.0,2.805841,1.035408618
LYPLAL1,1137.0,0.3973742,157.0,-0.103646,0.256865446
LYRM4,6830.0,0.366844497,217.0,0.640687,-0.219183463
LYSMD2,596.0,0.394037378,501.0,0.970619,0.299758159
M6PR,1457.0,0.379162834,275.0,1.059414,-0.228497152
MAD2L1,4528.0,0.407191351,124.0,1.862055,0.453341004
MAGED2,327.0,0.466698843,233.0,-2.375302,-1.201868223
MAGOH,153.0,0.416054235,162.0,0.6886,0.136377982
MAN2B1,128.0,0.381728903,76.0,1.125963,0.168748945
MANF,717.0,0.420319188,97.0,0.507776,0.042569293
MAP4K1,170.0,0.374128007,140.0,0.367728,-0.018527077
MARCKSL1,768.0,0.468216312,206.0,0.826783,0.854703159
MAX,2676.0,0.337149475,479.0,0.203706,-0.127440711
MBD2,3723.0,0.420256858,229.0,0.048182,-0.003002962
MBP,4041.0,0.393290432,264.0,1.516474,0.332116977
MCM2,662.0,0.460999542,110.0,1.034958,0.286367305
MCM4,2618.0,0.371821308,942.0,0.484484,0.233257279
MCM5,3214.0,0.470488076,94.0,1.010503,0.375588836
MDC1,658.0,0.415783633,440.0,0.073923,-0.054404216
MDH1,210.0,0.381672323,435.0,0.119929,0.042189168
ME1,1535.0,0.411214685,265.0,-0.371811,-0.571355182
ME3,171.0,0.395156177,377.0,-0.873093,-0.537700786
MECR,1365.0,0.445670958,612.0,-0.000327,-0.084896672
MED17,2631.0,0.366528813,275.0,0.097532,0.196437392
MED19,934.0,0.439623042,93.0,-0.150877,0.220540317
MED28,10307.0,0.440157501,27.0,0.040083,-0.364732413
MED29,4550.0,0.464327351,57.0,-0.744215,0.231867462
MEN1,824.0,0.454590692,504.0,0.010173,-0.066629037
METTL13,961.0,0.396264071,347.0,-0.370757,-0.249745168
MGST3,1295.0,0.374563048,428.0,0.129549,-0.621717809
MIF4GD,787.0,0.397877071,137.0,-0.642966,-0.027920379
MINK1,774.0,0.455972684,525.0,0.281319,0.10810501
MIS12,1334.0,0.420723459,745.0,-0.314155,-0.031115571
MLEC,5319.0,0.43043384,173.0,0.455895,0.445361692
MLLT10,2252.0,0.36295117,1568.0,0.477626,-1.69757185
MLX,1636.0,0.386664187,65.0,0.055933,-0.281617712
MMACHC,1852.0,0.382684622,371.0,0.984917,0.272557375
MMADHC,5382.0,0.406207656,205.0,-0.248637,-0.394381794
MMGT1,4451.0,0.406300672,388.0,0.54234,-1.252611526
MMP1,502.0,0.392399458,189.0,5.032049,0.711535524
MMP14,1722.0,0.419367787,285.0,1.314048,0.355054302
MMP9,193.0,0.404253633,19.0,4.11647,2.506478618
MORC3,2052.0,0.406702124,375.0,0.392622,0.365970855
MORF4L1,1066.0,0.420719378,454.0,0.286503,0.140732738
MOV10,619.0,0.412681236,1415.0,-0.594705,-0.228665136
MPDU1,797.0,0.440676037,216.0,-0.304485,-1.205069898
MPHOSPH10,87.0,0.404440607,352.0,-0.176526,0.510205481
MRI1,2018.0,0.459301832,75.0,-0.144025,-0.088877106
MRPL13,1075.0,0.395373051,313.0,0.254784,0.086204251
MRPL15,1888.0,0.407701507,63.0,0.216592,-0.295160781
MRPL16,212.0,0.368940255,214.0,0.239969,-0.254862271
MRPL17,6554.0,0.424450505,105.0,-0.226864,0.123293408
MRPL2,580.0,0.458698472,164.0,0.463563,0.348653187
MRPL20,187.0,0.445765675,96.0,0.227811,0.17721169
MRPL21,55.0,0.417448467,293.0,0.10903,-0.18675761
MRPL27,2133.0,0.436300758,31.0,-0.521808,-0.089346479
MRPL40,113.0,0.406843086,653.0,-0.767792,-0.180625772
MRPL46,1889.0,0.422788385,25.0,0.419895,0.14536743
MRPL48,1284.0,0.368940255,212.0,-0.239576,-0.016294946
MRPL51,2069.0,0.35376587,169.0,0.680592,-0.143104151
MRPL53,198.0,0.441261883,155.0,-0.426628,0.258108039
MRPL9,407.0,0.432679379,437.0,0.434213,0.023271909
MRPS11,2793.0,0.477818717,1491.0,0.724425,-0.022626453
MRPS15,468.0,0.440649404,164.0,1.075802,0.477145963
MRPS17,1334.0,0.413812124,30.0,2.599989,-0.160333148
MRPS18B,936.0,0.408462865,157.0,-0.554542,-0.429783121
MRPS36,933.0,0.3748339,84.0,-1.109511,-0.414774793
MRPS7,453.0,0.455992019,233.0,0.409534,-0.234387295
MSI2,5168.0,0.366385762,173.0,1.461106,0.023580012
MSTO1,694.0,0.421389639,1152.0,0.052739,0.093708344
MT2A,316.0,0.576670685,123.0,-0.008653,-1.103634545
MTA2,684.0,0.459443446,761.0,0.318993,0.261182789
MTFMT,1550.0,0.414190941,26.0,0.132037,-0.570685979
MTHFS,1663.0,0.434592403,179.0,0.550902,-0.525359743
MTMR1,2442.0,0.424163835,319.0,-0.141882,0.065783531
MTMR14,421.0,0.371137969,151.0,0.356573,0.13038745
MVP,50.0,0.435053297,193.0,-0.744778,0.067648508
MX1,456.0,0.433488503,982.0,0.202235,-0.99054472
MX2,1812.0,0.430094961,104.0,0.539919,-0.498137734
MYADM,2833.0,0.384589896,681.0,-0.913468,-1.734861418
MYCBP,3972.0,0.381803634,73.0,0.232819,0.338792439
MYL12A,812.0,0.453450746,478.0,-0.569171,0.188359855
MYO18A,3647.0,0.395788337,484.0,-0.214301,-0.028008194
MYO9B,1401.0,0.398943925,152.0,0.583678,0.234082706
N6AMT1,5137.0,0.427535625,28.0,-1.358629,-0.497103399
NAA40,3212.0,0.389371031,261.0,-0.145008,0.066186034
NAB1,2433.0,0.361024962,572.0,0.684728,-0.028956517
NADK,1672.0,0.3959688,563.0,0.532625,0.784953462
NADSYN1,464.0,0.447848979,126.0,-0.722334,0.175145763
NAGK,1297.0,0.42527382,474.0,-0.700816,-0.337808437
NANS,37.0,0.458552255,132.0,0.037552,-0.341522889
NAPA,1862.0,0.477781443,318.0,-1.113819,-0.297750586
NAT10,4915.0,0.387474071,245.0,0.324223,0.543867327
NBAS,140.0,0.414580543,44.0,0.070636,-0.029640266
NCALD,2767.0,0.374888213,460.0,-1.454522,-0.536807697
NCAPD3,2971.0,0.431957579,606.0,0.840215,0.101844897
NCAPG2,3501.0,0.41630572,200.0,-0.056408,0.105403687
NCF1,2381.0,0.415579251,70.0,2.997539,1.860752488
NCK2,1267.0,0.457831152,276.0,1.240699,0.342024062
NCKIPSD,4981.0,0.449411541,126.0,-0.524313,0.362197269
NCOA5,1332.0,0.416761948,402.0,-0.33939,-0.028985515
NCOA7,3259.0,0.404217869,470.0,3.033404,0.434464373
NDC80,61.0,0.356199389,182.0,0.366128,0.184990762
NDRG2,841.0,0.376266446,941.0,1.407884,0.917689923
NDUFA4,1685.0,0.439642808,129.0,-0.190593,-0.7773182
NEU1,667.0,0.413226082,156.0,1.330697,0.73609163
NFATC2IP,3242.0,0.412267479,15.0,-0.259182,-0.339125136
NFKB1,708.0,0.4099683,467.0,1.614745,0.501738388
NFKB2,153.0,0.424806573,563.0,2.024358,1.084898614
NFKBIE,1053.0,0.409138176,25.0,3.199128,0.703675081
NGDN,1255.0,0.423783924,27.0,0.678723,0.317756105
NGRN,1679.0,0.414477409,50.0,1.26884,0.306010906
NIP7,1593.0,0.443769116,318.0,1.939268,0.62856238
NIT2,2351.0,0.432361565,74.0,0.737459,0.362581981
NMNAT3,2689.0,0.397393877,1228.0,-0.766276,-0.335257451
NMT1,3377.0,0.454689408,31.0,-0.166772,-0.135986132
NONO,1092.0,0.432928506,710.0,-0.134311,0.137756995
NOP14,912.0,0.38067473,187.0,-0.02392,-0.007795302
NOP2,785.0,0.393538298,198.0,1.086682,0.896535864
NOTCH2,6062.0,0.409327653,297.0,0.316091,0.108897313
NPTN,1068.0,0.388989686,197.0,0.193315,0.041174057
NR2C2,6271.0,0.390767743,362.0,0.120493,0.134284569
NRBF2,883.0,0.43605128,224.0,0.419887,0.361707426
NRF1,1901.0,0.447602651,500.0,-0.163136,-0.192701379
NRGN,833.0,0.413631862,152.0,0.760768,0.280708596
NRP1,3846.0,0.416817106,523.0,0.310818,-0.006988834
NSFL1C,1587.0,0.42738001,868.0,0.074831,0.077420983
NSMAF,602.0,0.358586884,214.0,0.385692,0.266997041
NTAN1,178.0,0.344459601,320.0,0.135952,-0.014819492
NUBP1,246.0,0.455923678,142.0,-0.153066,0.11334142
NUCKS1,5461.0,0.359398328,271.0,1.140565,-0.498574113
NUDC,716.0,0.476401948,127.0,-0.50654,-0.148839719
NUDT16,5489.0,0.428387545,75.0,-0.408397,0.104906576
NUMA1,663.0,0.474508115,436.0,-1.7021,-0.671780755
NUP93,5678.0,0.382018893,495.0,1.115681,0.164192104
NXF1,2943.0,0.375826754,136.0,-0.524968,0.014844299
OCIAD2,4872.0,0.363821488,322.0,0.204529,-0.441187078
OGDH,1071.0,0.396078149,159.0,-0.279,-0.25592277
OPA3,7233.0,0.475004358,100.0,-0.703163,-0.326686396
OSBPL2,2363.0,0.383456763,571.0,0.029594,0.016710535
OSBPL5,1099.0,0.381371042,158.0,-1.610441,-0.059693039
OVCA2,792.0,0.429983078,65.0,-0.257803,-0.630646544
P2RX4,573.0,0.442596273,304.0,0.270488,-0.342901299
PAAF1,509.0,0.376143366,341.0,-0.70493,0.010302588
PACSIN2,1591.0,0.413490434,405.0,0.258878,0.189757272
PARK7,451.0,0.457171775,163.0,0.131951,0.043840873
PARP1,769.0,0.460215809,171.0,1.050099,0.437956473
PARP10,332.0,0.422654659,200.0,-0.238017,0.01589949
PARP12,816.0,0.416480622,874.0,-0.089685,-0.136642477
PARP14,2243.0,0.414355918,59.0,0.193506,-0.211412187
PARP9,451.0,0.418102187,327.0,-0.747804,-0.551345721
PARVG,2043.0,0.383803232,484.0,0.875738,0.798028649
PBK,750.0,0.413339119,464.0,0.773693,0.115293906
PCNA,338.0,0.425000199,239.0,1.301085,0.618267672
PDAP1,2007.0,0.464659554,134.0,0.475787,0.466826604
PDCD2,155.0,0.440448783,111.0,-0.242402,-0.116496252
PDCD2L,48.0,0.433436103,33.0,0.880334,0.4564955
PDCD6IP,3211.0,0.388727459,158.0,-0.306686,-0.182739414
PDHA1,2054.0,0.402514578,145.0,0.150713,-0.137321098
PDHB,2974.0,0.442593378,43.0,-0.944302,-0.219214156
PDLIM1,357.0,0.379179626,233.0,-0.9301,-0.723674911
PDXDC1,2055.0,0.375670185,335.0,0.052694,-0.396064375
PDXK,6244.0,0.398158884,198.0,1.716318,0.521135775
PEBP1,796.0,0.360152166,326.0,-0.130933,0.015266138
PEF1,769.0,0.441759403,424.0,0.773591,0.527714671
PELO,5222.0,0.385240523,985.0,-0.239508,0.137668291
PEPD,395.0,0.450896903,133.0,0.32444,-0.019980382
PEX6,946.0,0.370078344,93.0,-0.462287,0.115409147
PEX7,2294.0,0.407005497,102.0,-0.468343,-0.354530284
PFDN5,124.0,0.497062947,117.0,-0.844965,0.36817523
PFDN6,574.0,0.470152145,222.0,-0.561901,0.155220822
PGM1,570.0,0.393980016,681.0,0.393018,0.064746557
PHB,988.0,0.45268542,190.0,0.615034,0.715741473
PHF10,104.0,0.365149381,79.0,-0.384336,-0.441131792
PI4K2A,2692.0,0.385068362,57.0,0.422963,0.026897147
PIAS1,3626.0,0.396022529,741.0,1.088371,0.269125967
PIK3AP1,3866.0,0.407313024,128.0,2.467019,0.880956382
PIR,205.0,0.385796208,485.0,0.454233,0.067417705
PITPNC1,4686.0,0.369070722,874.0,0.250051,0.250787829
PLAUR,323.0,0.418467601,226.0,2.200056,0.587316775
PLCB2,818.0,0.468984469,301.0,0.802911,0.60937997
PLCG1,3987.0,0.454806205,121.0,-0.502572,-0.130034143
PLD4,273.0,0.377985619,192.0,-0.942377,-0.165319108
PLEKHO1,5192.0,0.424698037,839.0,0.341867,0.198476703
PLEKHO2,2119.0,0.429714475,134.0,1.069218,0.561660064
PLSCR1,10376.0,0.415598704,388.0,0.620696,-0.097757883
PML,3324.0,0.431306474,140.0,0.823026,0.225549794
POLR1C,1131.0,0.439933821,86.0,0.949108,0.304553795
POLR1D,1469.0,0.427162265,456.0,-0.216379,0.208674945
POLR2F,1600.0,0.47244007,250.0,-0.42464,2.323312692
POLR2H,1065.0,0.427596015,1167.0,0.417885,0.118570451
POLR3H,3481.0,0.444306047,388.0,0.14101,-0.073488392
POLR3K,1023.0,0.473025152,46.0,-0.069949,0.146339646
PPA2,660.0,0.432735716,20.0,0.557335,0.19509555
PPIE,4556.0,0.446406574,56.0,0.336753,-0.472689683
PPIL1,1921.0,0.453832883,252.0,0.401196,-0.02484455
PPP1R14B,282.0,0.457456004,268.0,0.6185,0.009305158
PRC1,1136.0,0.367783806,234.0,1.616846,0.518317294
PRCC,357.0,0.381841119,290.0,0.890255,0.072807565
PRDX1,303.0,0.414090753,341.0,0.994023,0.340616626
PRDX6,944.0,0.433706552,51.0,-0.316754,-0.050109718
PREB,658.0,0.378530018,403.0,0.298114,0.404820461
PREP,579.0,0.425974009,233.0,0.140557,-0.452438382
PRG4,784.0,0.366727173,51.0,4.402339,0.405014323
PRIM2,1166.0,0.350864643,125.0,0.884737,0.149168955
PRKAB1,1305.0,0.365943644,289.0,-0.43273,-0.202739539
PRKAR2A,5019.0,0.427443141,254.0,0.066947,-0.235594831
PRKCB,5795.0,0.38010529,197.0,1.84382,0.816302404
PRKCD,451.0,0.404392693,469.0,-0.308067,0.141932584
PRKRA,683.0,0.420894136,659.0,-0.145178,-0.381092532
PRKRIP1,3224.0,0.453589322,55.0,-1.693284,-0.098792833
PRMT5,393.0,0.386451423,508.0,1.279869,0.376525673
PRMT7,3655.0,0.450088803,850.0,-0.08199,0.114967961
PROCR,549.0,0.357872186,218.0,0.255674,0.246421633
PRPS1,3908.0,0.466551451,409.0,0.367856,0.389620998
PRPSAP1,2056.0,0.390811115,688.0,0.282249,0.326355754
PRRC1,3173.0,0.409170839,188.0,-0.484134,-0.386807121
PSMA5,2997.0,0.446573967,225.0,0.814359,-0.065125808
PSMA6,187.0,0.423632682,445.0,1.898305,0.074854666
PSMB10,58.0,0.455018511,128.0,1.084069,0.094571708
PSMB2,3775.0,0.389848815,412.0,1.220637,0.013486134
PSMB8,242.0,0.411206622,522.0,0.458906,0.17940802
PSMB9,5497.0,0.431095699,69.0,1.228356,0.278973593
PSMC3,66.0,0.485654947,194.0,-0.453784,0.134175803
PSMD11,2567.0,0.390095635,61.0,0.244707,0.042584049
PSMD13,384.0,0.437236365,242.0,0.960246,0.17900204
PSMD8,450.0,0.458928351,52.0,-0.109627,0.040788947
PSME2,53.0,0.443656162,65.0,1.611057,0.637886472
PSMG1,5308.0,0.427553471,578.0,1.187228,0.138681647
PSTPIP2,1923.0,0.429639796,96.0,1.315162,1.035717318
PTBP1,1504.0,0.473818895,106.0,0.493486,-0.013030475
PTDSS1,3765.0,0.367954205,423.0,1.345555,-0.533205371
PTGS1,3346.0,0.37260918,633.0,2.086496,0.469801704
PTP4A1,3419.0,0.421202001,1153.0,0.105091,0.071956542
PTPMT1,1899.0,0.450492628,193.0,-0.56839,0.023291534
PTPN18,2185.0,0.381656528,101.0,-0.428442,0.475470444
PTPN7,1593.0,0.440747449,781.0,1.738609,0.830537242
PTPRE,2994.0,0.426620112,1843.0,0.744273,0.589586552
PTPRF,4571.0,0.452810321,356.0,0.9446,0.349556148
PTRH2,3186.0,0.370743372,1544.0,0.366372,-0.207503678
PWWP2B,819.0,0.424412275,29.0,-1.3577,-0.121766945
PYCR2,578.0,0.474148407,230.0,-0.085835,0.419291496
PYGL,175.0,0.392036998,127.0,0.117834,0.854236169
QARS,97.0,0.458996209,396.0,-0.663943,-0.174779799
RAB11FIP1,4277.0,0.380614122,56.0,-0.074516,0.154512059
RAB12,1120.0,0.38483812,283.0,0.434449,0.73425625
RAB21,5246.0,0.435367738,267.0,-0.172735,-0.214661473
RAB31,3231.0,0.437498832,175.0,0.62322,0.276813982
RAB35,2172.0,0.408841719,189.0,0.476144,0.340935153
RAB7A,1376.0,0.419395127,232.0,0.001345,0.774463499
RAB8B,4163.0,0.425956778,96.0,0.781803,0.413909487
RAB9A,1716.0,0.417525007,283.0,1.153145,0.785325291
RABGGTA,77.0,0.387342734,512.0,0.533912,0.462622887
RABGGTB,440.0,0.409412379,78.0,0.51235,0.315386828
RABIF,4760.0,0.447399225,159.0,-0.37238,-0.148254335
RACGAP1,1895.0,0.366370127,354.0,0.072442,0.082999116
RAD9A,924.0,0.444046557,185.0,-0.281033,-0.117775885
RAE1,1112.0,0.432613552,365.0,0.516481,0.046819199
RAI1,1472.0,0.455620822,469.0,-0.508643,0.178119343
RAN,2043.0,0.442855294,361.0,1.064478,0.401827306
RANBP10,3359.0,0.379453562,1256.0,0.982854,0.436670338
RANGAP1,3145.0,0.481547647,765.0,0.228455,0.045460333
RAPGEF1,2727.0,0.425793135,159.0,0.952726,0.227629951
RARS,114.0,0.423508657,41.0,0.59247,0.082043967
RASGRP2,183.0,0.381671176,582.0,-1.10372,1.481512366
RASGRP4,985.0,0.374724859,214.0,0.778466,0.734880462
RBBP4,6506.0,0.404056961,164.0,1.402875,0.341665994
RBBP5,3098.0,0.421849625,474.0,0.326186,0.187822192
RBKS,251.0,0.392307233,1371.0,-0.942056,-0.86534063
RBM12,3599.0,0.375183789,304.0,-0.133321,-0.101347107
RBM14,3443.0,0.468008211,139.0,-0.060873,0.098733879
RBM4B,5277.0,0.396841232,170.0,-0.31197,0.160990391
RBMX,1201.0,0.353737079,210.0,0.002793,-0.225356461
RBPJ,4223.0,0.4178224,518.0,0.351622,0.143123442
RBX1,821.0,0.46562919,52.0,0.258973,0.303454714
RC3H1,7637.0,0.410085914,87.0,-0.581296,0.13499188
RCCD1,1773.0,0.374130224,280.0,0.5092,-0.013586991
RCOR1,4070.0,0.439565312,228.0,0.331202,-0.201756373
REEP4,591.0,0.460338979,469.0,0.423945,-0.106048755
REEP5,2962.0,0.457536941,144.0,-1.706856,-1.172857572
RELB,408.0,0.418226182,131.0,3.364486,1.335041611
REPIN1,2683.0,0.45080531,489.0,-0.25946,-0.115951292
RFC4,89.0,0.411167541,282.0,0.940506,0.214417721
RFK,1882.0,0.429285662,357.0,0.385951,0.331494757
RFX5,1546.0,0.386685917,221.0,1.219662,0.441779314
RFXAP,1850.0,0.421314391,156.0,-0.055344,-0.374637408
RHBDF2,740.0,0.423256567,294.0,2.001747,0.106745818
RHOT2,568.0,0.454546166,881.0,-0.773037,-0.013027115
RNASE2,179.0,0.384567964,71.0,4.286452,2.007922498
RNASEH2B,3930.0,0.37625722,399.0,0.484303,0.269725594
RNASET2,1070.0,0.374792559,407.0,0.199116,-0.288243852
RNF114,1751.0,0.459950313,36.0,0.399346,0.250877096
RNF20,5226.0,0.396317502,92.0,-0.774941,0.130545266
RNF213,5288.0,0.417718743,150.0,0.70945,-0.241078199
RNF25,102.0,0.375620157,88.0,-0.256981,0.190601745
RNF31,88.0,0.389352607,358.0,0.871813,-0.012936843
RNLS,1252.0,0.416402283,135.0,-0.396486,0.0364808
RNMT,4581.0,0.415128602,241.0,-0.375874,-0.266590225
RNPEP,463.0,0.447181346,896.0,-0.328912,-0.067751775
RP9,437.0,0.42869019,18.0,-0.074553,0.249061293
RPA1,2907.0,0.381710028,170.0,-0.21639,-0.112557056
RPA2,639.0,0.400070522,793.0,0.64353,0.048107589
RPL11,461.0,0.442317923,45.0,-0.122358,0.072635225
RPL14,5208.0,0.496792394,133.0,-0.229909,1.05958625
RPL23,3146.0,0.464880603,90.0,-0.657601,-0.120642211
RPL26,53.0,0.427802183,389.0,-0.665853,0.156306415
RPL31,1260.0,0.451994935,87.0,-0.590626,-0.141714047
RPL34,1350.0,0.436455219,198.0,0.10798,-0.10305387
RPL5,1058.0,0.451564158,75.0,-0.307685,0.286337743
RPL7,1077.0,0.460258279,707.0,-0.464367,0.72004596
RPS11,373.0,0.483080585,92.0,-0.686878,0.45004237
RPS24,4247.0,0.430653047,142.0,-0.524839,-0.055857402
RPS25,109.0,0.467193878,63.0,-0.028893,-0.432200321
RPS27A,743.0,0.450449292,321.0,0.722436,0.135621967
RPS3A,306.0,0.426765211,80.0,-0.332072,0.315036815
RPS4X,629.0,0.442998752,96.0,-0.843549,0.216490343
RPS6,2723.0,0.413925579,42.0,-0.868282,0.900901316
RPS6KA1,828.0,0.389798854,163.0,0.547013,0.145451688
RPS6KA4,735.0,0.38455359,226.0,1.638802,0.300170854
RPS7,66.0,0.428822459,109.0,-0.48528,0.104811679
RPTOR,2341.0,0.385169267,805.0,1.230022,0.45983424
RREB1,3012.0,0.456825357,492.0,0.131605,-0.101286618
RRM1,2304.0,0.437568848,689.0,-0.147646,0.16049228
RRP8,5071.0,0.446233376,148.0,-0.577948,-0.23627108
RRS1,978.0,0.468289248,104.0,0.198643,0.85579574
RTN3,1690.0,0.358048129,187.0,-0.289656,-0.327218335
RTN4IP1,1108.0,0.372133716,477.0,0.566418,-0.226423851
RUNX1,4334.0,0.416076551,1578.0,-0.289029,-0.008856034
RWDD1,6365.0,0.401367905,746.0,0.002564,0.43469028
S100A8,71.0,0.444112716,170.0,4.579758,2.740864636
S100A9,189.0,0.439508357,43.0,4.229865,2.727165467
SAMD9,1815.0,0.395660052,270.0,-0.147661,-0.340485576
SAMD9L,1162.0,0.396305952,1248.0,1.128594,0.293860051
SAMM50,150.0,0.345249646,197.0,-0.038052,-0.352190183
SAMSN1,684.0,0.407246581,430.0,1.821615,0.653310837
SAP18,1754.0,0.427429047,39.0,-0.838767,-0.10954587
SAP30BP,1541.0,0.449617255,257.0,0.60243,0.185146717
SAR1A,5213.0,0.411769389,203.0,-0.356466,-0.397003869
SAR1B,5806.0,0.392367964,253.0,-0.582535,-0.457104307
SARS,1054.0,0.40098191,100.0,-0.350754,0.101185562
SASH3,1369.0,0.387406112,182.0,1.499683,0.604134796
SCAMP4,1741.0,0.472519575,351.0,0.002534,0.311647554
SCO1,8645.0,0.407339367,61.0,0.069228,0.101067788
SDCCAG8,307.0,0.360606297,1542.0,1.156439,0.402562686
SEC11C,205.0,0.423646802,92.0,0.429904,-0.502272694
SEC13,332.0,0.457264526,210.0,1.234258,0.144152474
SEC14L1,2986.0,0.420320088,665.0,0.975932,-0.255170169
SEC24B,1221.0,0.400931805,155.0,0.341566,0.110100309
SEC24D,2115.0,0.386600041,297.0,0.835766,-0.056998382
SEC61B,270.0,0.404562259,76.0,0.558343,0.004811549
SEMA4A,755.0,0.412797256,345.0,2.149711,0.608578638
SEMA4D,2318.0,0.393173667,572.0,1.225204,0.299817944
SERPINA1,1707.0,0.420489385,573.0,1.835762,0.327148769
SERPINB8,2096.0,0.38524815,520.0,1.318618,0.951578136
SETMAR,321.0,0.414235412,398.0,-0.668832,-0.263781187
SEZ6L2,540.0,0.431800162,245.0,-0.719497,0.27264209
SF1,2419.0,0.374481437,721.0,0.262363,0.019229285
SF3B2,563.0,0.453902675,40.0,0.681596,0.019977518
SFXN4,500.0,0.402513841,45.0,0.136092,0.530480141
SH3BP1,433.0,0.395530944,313.0,1.708546,0.5212717
SH3PXD2B,4870.0,0.420952884,171.0,1.151488,0.445491976
SHMT1,4335.0,0.394510245,509.0,-1.444184,-0.520715046
SIGLEC1,1590.0,0.42099348,0.0,0.307762,0.154979438
SIPA1,2933.0,0.437718847,296.0,0.489234,0.474079957
SIRPA,3027.0,0.429235057,360.0,2.292262,1.221789821
SKP1,8791.0,0.433886974,179.0,-1.023951,-0.156041856
SLBP,3046.0,0.391438372,553.0,0.20703,0.217209359
SLC25A10,1929.0,0.386184273,191.0,0.931098,0.512912371
SLC25A19,477.0,0.386093473,224.0,1.011387,-0.232689035
SLC25A20,787.0,0.382641976,199.0,-0.752462,-0.488766249
SLC25A3,504.0,0.383836987,354.0,0.369045,-0.946104923
SLC25A40,2688.0,0.363984785,375.0,0.967185,0.182536201
SLC25A6,450.0,0.487227384,137.0,-0.843209,0.241463964
SLC27A3,163.0,0.439664345,91.0,-1.296028,0.038858876
SLC39A10,2661.0,0.346494338,214.0,-0.792727,-0.711751238
SLC44A1,8291.0,0.4365497,264.0,-0.625061,-0.923586368
SLC9A3R1,709.0,0.400889529,235.0,-2.662274,-1.212652471
SMAP2,1225.0,0.404145004,415.0,1.493352,0.382665233
SMC1A,5954.0,0.490702048,340.0,0.305393,0.040271549
SMG5,1363.0,0.383248033,540.0,0.14283,0.366125818
SMS,2660.0,0.417677888,252.0,-0.350645,-0.361824264
SMYD3,223.0,0.378821529,130.0,-0.114973,0.07510665
