,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JL,TCGA-AO-A0JL.1
IFT27,109.0,0.4030938,426.0,1.187825,0.148388904
IGFBP3,1605.0,0.43060006,132.0,2.353628,0.573633382
IGFBP7,558.0,0.392734536,34.0,1.602111,0.745721778
IKBKE,745.0,0.435100597,714.0,0.532693,0.093146382
IL16,3965.0,0.367979445,2395.0,-1.95855,0.438793584
IL1RN,1145.0,0.411881061,408.0,-3.660812,-0.479248126
IL4I1,16.0,0.4139018,621.0,-0.982989,-0.81998814
ILF2,656.0,0.426220446,239.0,0.556217,-0.240725625
IMPA2,2898.0,0.383680893,242.0,1.99796,1.269472413
INO80,5209.0,0.374025479,351.0,-1.164616,-0.484108544
INPP1,263.0,0.395712795,700.0,-0.212887,0.214600771
INPP5D,1195.0,0.436077769,512.0,-1.174147,0.121616007
INSR,4801.0,0.380857973,411.0,0.491963,0.048765362
IPO5,2508.0,0.381335948,180.0,-1.207058,-0.379879463
IRF7,92.0,0.423538356,367.0,-1.119396,-0.803118891
IRF8,1327.0,0.384714127,507.0,-1.593054,0.145188566
IRF9,369.0,0.432057622,127.0,-1.466476,-0.932470421
IRGQ,7659.0,0.399674011,156.0,0.222672,-0.272544897
ISCU,607.0,0.454630229,1331.0,-0.325417,0.398719601
ISG15,62.0,0.419522688,77.0,-0.416556,-1.825853991
ISG20,952.0,0.419932377,2368.0,0.176898,-0.204013807
ISOC1,1056.0,0.418535314,18.0,0.604024,-0.204943668
ITGB2,415.0,0.457304004,395.0,-1.717296,-0.220548529
ITPKB,2981.0,0.440250717,340.0,1.036709,0.499447737
ITPRIP,5382.0,0.396785481,453.0,0.964965,0.029150559
JUNB,496.0,0.414023332,276.0,-0.045583,-0.043748713
JUP,157.0,0.458302936,298.0,-1.191784,-0.341394358
KANK2,2291.0,0.394238955,361.0,-0.516585,0.218702986
KARS,4202.0,0.383913431,144.0,0.55265,0.185609495
KDM1A,327.0,0.428444011,149.0,-0.055206,-0.032456647
KDM2A,3716.0,0.372295488,864.0,-0.67618,-0.314425283
KDM3B,1327.0,0.37791414,200.0,-0.627686,0.091664972
KDM4A,1148.0,0.378142374,166.0,-1.368913,0.004247257
KHSRP,1024.0,0.456900489,110.0,0.690176,-0.111209223
KIAA2013,727.0,0.385456054,191.0,0.246298,0.079969166
KIF20A,757.0,0.371463873,496.0,2.480634,-0.117610718
KIF22,75.0,0.392489541,388.0,1.285829,0.115144186
KIF2C,588.0,0.387865377,395.0,0.687817,-0.087028705
KIF3B,3792.0,0.390782105,180.0,-0.403483,0.154540385
KIF3C,2392.0,0.403852971,657.0,-0.630407,-0.24488876
KIF5B,3198.0,0.418236129,470.0,0.065162,0.162333795
KLHL7,3616.0,0.41595405,521.0,0.675807,-0.076902034
KTI12,594.0,0.370414154,39.0,-0.257389,-0.062185874
LAMP1,1311.0,0.390985106,281.0,-0.643261,0.269083721
LANCL2,2422.0,0.433733517,578.0,1.198358,-0.082677556
LAP3,503.0,0.426841798,162.0,-2.593971,-0.325583195
LDHD,1826.0,0.398770776,52.0,-0.309158,-0.146709146
LENG1,560.0,0.445950324,48.0,-0.320763,-0.377684342
LGALS3,159.0,0.420172221,88.0,-0.884225,-1.041897417
LGALS3BP,1225.0,0.419930622,179.0,-2.061709,-0.95650143
LGALS9,641.0,0.410654931,118.0,-0.458294,-0.135072801
LIN54,4893.0,0.441729058,383.0,0.012711,0.127818686
LPCAT1,2228.0,0.380803123,133.0,0.379223,0.042608145
LPXN,1776.0,0.432350833,254.0,-0.072049,-0.083622351
LRPPRC,2376.0,0.377375074,58.0,-0.949437,0.098124419
LRRC25,843.0,0.434491636,642.0,-0.560379,0.260573415
LRRC41,465.0,0.438391248,44.0,-0.608848,0.021585551
LRRC59,1755.0,0.423067849,236.0,-0.661183,-0.686016913
LSM1,486.0,0.409616526,410.0,0.644569,0.242129143
LSM6,1871.0,0.435100303,139.0,1.302285,0.498959022
LTA4H,391.0,0.355044638,145.0,-0.353851,-0.069398102
LYN,4058.0,0.418972994,282.0,1.628967,0.964721405
LYPLAL1,1137.0,0.3973742,157.0,2.053449,0.399542481
LYRM4,6830.0,0.366844497,217.0,1.12898,0.470698484
LYSMD2,596.0,0.394037378,501.0,0.55327,0.210495721
M6PR,1457.0,0.379162834,275.0,-1.146944,0.009758231
MAD2L1,4528.0,0.407191351,124.0,0.88017,0.277212324
MAGED2,327.0,0.466698843,233.0,-1.095784,-0.932961023
MAGOH,153.0,0.416054235,162.0,1.138885,-0.05294131
MAN2B1,128.0,0.381728903,76.0,0.883838,0.289335105
MANF,717.0,0.420319188,97.0,0.379237,0.797658123
MAP4K1,170.0,0.374128007,140.0,-1.278156,0.320953149
MARCKSL1,768.0,0.468216312,206.0,1.165892,0.550899514
MAX,2676.0,0.337149475,479.0,-0.247808,0.301129877
MBD2,3723.0,0.420256858,229.0,0.677008,0.052861648
MBP,4041.0,0.393290432,264.0,-3.573806,0.121466298
MCM2,662.0,0.460999542,110.0,-0.756016,-0.147059432
MCM4,2618.0,0.371821308,942.0,-0.752766,0.048844309
MCM5,3214.0,0.470488076,94.0,-0.192258,-0.248857339
MDC1,658.0,0.415783633,440.0,0.066862,0.407082203
MDH1,210.0,0.381672323,435.0,-0.105493,-0.073808858
ME1,1535.0,0.411214685,265.0,0.789754,0.080877816
ME3,171.0,0.395156177,377.0,-1.16121,0.405882704
MECR,1365.0,0.445670958,612.0,0.074755,0.33681788
MED17,2631.0,0.366528813,275.0,0.145778,0.027494987
MED19,934.0,0.439623042,93.0,-0.620306,0.108566541
MED28,10307.0,0.440157501,27.0,-0.482123,0.429196401
MED29,4550.0,0.464327351,57.0,-0.626346,-0.025865967
MEN1,824.0,0.454590692,504.0,0.385744,-0.143219463
METTL13,961.0,0.396264071,347.0,-0.478543,0.156044907
MGST3,1295.0,0.374563048,428.0,1.685152,-0.674276451
MIF4GD,787.0,0.397877071,137.0,-1.774173,-0.108509215
MINK1,774.0,0.455972684,525.0,-0.52584,0.091933846
MIS12,1334.0,0.420723459,745.0,0.504906,-0.205252216
MLEC,5319.0,0.43043384,173.0,-0.541111,-0.519974906
MMACHC,1852.0,0.382684622,371.0,0.152451,0.45734485
MMADHC,5382.0,0.406207656,205.0,-0.875102,-0.051161851
MMGT1,4451.0,0.406300672,388.0,-1.878522,0.58105484
MMP1,502.0,0.392399458,189.0,-1.742493,-0.953202591
MMP14,1722.0,0.419367787,285.0,-0.840374,0.085054275
MMP9,193.0,0.404253633,19.0,3.349209,0.000968415
MORC3,2052.0,0.406702124,375.0,-0.681274,-0.207728936
MORF4L1,1066.0,0.420719378,454.0,-0.329658,0.230553758
MOV10,619.0,0.412681236,1415.0,-0.157835,-0.352959157
MPDU1,797.0,0.440676037,216.0,0.186362,0.26850728
MPHOSPH10,87.0,0.404440607,352.0,0.293018,-0.007895707
MRI1,2018.0,0.459301832,75.0,0.477781,-0.020304541
MRPL13,1075.0,0.395373051,313.0,0.380644,0.027845553
MRPL15,1888.0,0.407701507,63.0,2.012653,0.28824853
MRPL16,212.0,0.368940255,214.0,1.090878,-0.314825755
MRPL17,6554.0,0.424450505,105.0,1.023827,0.080401557
MRPL2,580.0,0.458698472,164.0,1.519399,0.130378795
MRPL20,187.0,0.445765675,96.0,0.204898,-0.110431367
MRPL21,55.0,0.417448467,293.0,0.428119,-0.018779477
MRPL27,2133.0,0.436300758,31.0,0.431238,-0.031179406
MRPL40,113.0,0.406843086,653.0,1.214536,-0.104237541
MRPL46,1889.0,0.422788385,25.0,-0.905449,-0.061375989
MRPL48,1284.0,0.368940255,212.0,0.218312,-0.303628807
MRPL51,2069.0,0.35376587,169.0,0.698389,-0.839041158
MRPL53,198.0,0.441261883,155.0,1.118132,-0.400893946
MRPL9,407.0,0.432679379,437.0,1.160783,0.261476846
MRPS11,2793.0,0.477818717,1491.0,-0.365684,0.364331533
MRPS15,468.0,0.440649404,164.0,1.419236,0.831846248
MRPS17,1334.0,0.413812124,30.0,1.460425,0.534220588
MRPS18B,936.0,0.408462865,157.0,-0.545705,0.266372805
MRPS36,933.0,0.3748339,84.0,-0.150649,-0.120760817
MRPS7,453.0,0.455992019,233.0,-0.591762,0.142223088
MSI2,5168.0,0.366385762,173.0,-1.556276,-0.522208993
MSTO1,694.0,0.421389639,1152.0,1.238675,0.092179079
MTA2,684.0,0.459443446,761.0,-0.395699,0.502434288
MTFMT,1550.0,0.414190941,26.0,-0.249099,0.644792612
MTHFS,1663.0,0.434592403,179.0,1.334576,-0.010496202
MTMR1,2442.0,0.424163835,319.0,-1.012102,-0.345731587
MTMR14,421.0,0.371137969,151.0,0.180236,-0.171413245
MVP,50.0,0.435053297,193.0,-1.169974,-0.193371184
MX1,456.0,0.433488503,982.0,-2.461252,-1.689763015
MX2,1812.0,0.430094961,104.0,-2.322861,-0.571675403
MYADM,2833.0,0.384589896,681.0,-0.56947,-1.407474253
MYCBP,3972.0,0.381803634,73.0,-0.46967,-0.668122761
MYL12A,812.0,0.453450746,478.0,0.98485,0.047532535
MYO18A,3647.0,0.395788337,484.0,-0.867942,0.111737374
MYO9B,1401.0,0.398943925,152.0,0.599521,0.154436335
N6AMT1,5137.0,0.427535625,28.0,-0.927983,-0.361221658
NAA40,3212.0,0.389371031,261.0,-0.356322,-0.560646
NAB1,2433.0,0.361024962,572.0,0.89395,0.758669588
NADK,1672.0,0.3959688,563.0,-1.039757,-0.343960642
NADSYN1,464.0,0.447848979,126.0,-0.419807,-0.227359348
NAGK,1297.0,0.42527382,474.0,-0.224622,-0.401848772
NANS,37.0,0.458552255,132.0,-0.348772,-0.464373158
NAPA,1862.0,0.477781443,318.0,-0.089604,-0.304497313
NAT10,4915.0,0.387474071,245.0,-0.581307,-0.337320985
NBAS,140.0,0.414580543,44.0,-1.336119,-0.032258896
NCALD,2767.0,0.374888213,460.0,2.88127,1.445600536
NCAPD3,2971.0,0.431957579,606.0,-0.355803,-0.059313771
NCAPG2,3501.0,0.41630572,200.0,0.025417,-0.148866516
NCF1,2381.0,0.415579251,70.0,-1.251855,-0.153607523
NCK2,1267.0,0.457831152,276.0,1.37599,0.627243183
NCKIPSD,4981.0,0.449411541,126.0,0.009283,-0.164396402
NCOA5,1332.0,0.416761948,402.0,0.272092,0.529157629
NCOA7,3259.0,0.404217869,470.0,0.083273,0.123073824
NDC80,61.0,0.356199389,182.0,2.614241,0.75894074
NDRG2,841.0,0.376266446,941.0,3.463584,1.901792529
NDUFA4,1685.0,0.439642808,129.0,0.674236,0.800252295
NEU1,667.0,0.413226082,156.0,0.235078,-0.315317678
NFATC2IP,3242.0,0.412267479,15.0,0.708338,0.49559581
NFKB1,708.0,0.4099683,467.0,-1.091417,-0.144953329
NFKB2,153.0,0.424806573,563.0,0.252276,-0.055644591
NFKBIE,1053.0,0.409138176,25.0,-0.318732,0.058616093
NGDN,1255.0,0.423783924,27.0,-0.085039,0.618233864
NGRN,1679.0,0.414477409,50.0,-0.517711,0.718885686
NIP7,1593.0,0.443769116,318.0,1.026043,0.109824153
NIT2,2351.0,0.432361565,74.0,0.691578,-0.19781401
NMNAT3,2689.0,0.397393877,1228.0,-0.580913,-0.333908724
NMT1,3377.0,0.454689408,31.0,-0.386082,0.15690657
NONO,1092.0,0.432928506,710.0,-0.224043,0.035090724
NOP14,912.0,0.38067473,187.0,-0.294332,-0.245635345
NOP2,785.0,0.393538298,198.0,1.008489,-0.484239763
NOTCH2,6062.0,0.409327653,297.0,-1.090843,0.211865076
NPTN,1068.0,0.388989686,197.0,-0.581657,0.148653102
NR2C2,6271.0,0.390767743,362.0,-0.710099,-0.188624888
NRBF2,883.0,0.43605128,224.0,-0.053392,0.096787066
NRF1,1901.0,0.447602651,500.0,0.36394,0.407415095
NRP1,3846.0,0.416817106,523.0,0.811805,0.185784402
NSFL1C,1587.0,0.42738001,868.0,0.066098,-0.119671078
NSMAF,602.0,0.358586884,214.0,2.127609,1.040862526
NTAN1,178.0,0.344459601,320.0,1.261003,0.282078685
NUBP1,246.0,0.455923678,142.0,3.64018,0.902783871
NUCKS1,5461.0,0.359398328,271.0,1.004636,-0.133655499
NUDC,716.0,0.476401948,127.0,-0.159391,-0.195819468
NUDT16,5489.0,0.428387545,75.0,-0.403757,-0.05572472
NUMA1,663.0,0.474508115,436.0,-1.246802,-0.544536967
NUP93,5678.0,0.382018893,495.0,0.409904,-0.093001822
NXF1,2943.0,0.375826754,136.0,-0.168089,0.128708525
OCIAD2,4872.0,0.363821488,322.0,1.948852,0.259066444
OGDH,1071.0,0.396078149,159.0,-0.59621,0.003280284
OSBPL2,2363.0,0.383456763,571.0,-0.035745,0.00949661
OSBPL5,1099.0,0.381371042,158.0,0.049603,-0.05491365
OVCA2,792.0,0.429983078,65.0,0.737398,0.255135496
P2RX4,573.0,0.442596273,304.0,-0.876446,-0.237502549
PAAF1,509.0,0.376143366,341.0,-1.051128,-0.195946243
PACSIN2,1591.0,0.413490434,405.0,-2.261513,-0.074396082
PARK7,451.0,0.457171775,163.0,0.222141,-0.171439889
PARP1,769.0,0.460215809,171.0,-0.163862,0.094918385
PARP10,332.0,0.422654659,200.0,0.094623,-0.339919041
PARP12,816.0,0.416480622,874.0,-0.765788,-0.12657833
PARP14,2243.0,0.414355918,59.0,-1.821251,-0.27214325
PARP9,451.0,0.418102187,327.0,-2.450482,-0.602095048
PARVG,2043.0,0.383803232,484.0,-0.773499,0.137640824
PBK,750.0,0.413339119,464.0,0.95258,0.324704689
PCNA,338.0,0.425000199,239.0,0.564633,-0.47716605
PDAP1,2007.0,0.464659554,134.0,0.796907,0.212715589
PDCD2,155.0,0.440448783,111.0,-0.062612,0.320763992
PDCD2L,48.0,0.433436103,33.0,0.640652,0.037494399
PDCD6IP,3211.0,0.388727459,158.0,-0.906106,-0.365129904
PDHA1,2054.0,0.402514578,145.0,0.720713,0.190697306
PDHB,2974.0,0.442593378,43.0,-0.154373,0.05367332
PDLIM1,357.0,0.379179626,233.0,-0.327462,-0.168245712
PDXDC1,2055.0,0.375670185,335.0,0.765847,-0.079257216
PDXK,6244.0,0.398158884,198.0,-0.471197,-0.284437694
PEBP1,796.0,0.360152166,326.0,0.852055,-0.191984629
PEF1,769.0,0.441759403,424.0,-0.622593,-0.255056088
PELO,5222.0,0.385240523,985.0,-0.760896,-0.022532504
PEPD,395.0,0.450896903,133.0,-0.692032,0.129035818
PEX16,585.0,0.43213601,312.0,-0.158791,-0.23456646
PEX6,946.0,0.370078344,93.0,0.410675,-0.178553102
PEX7,2294.0,0.407005497,102.0,-1.130807,-0.528663216
PFDN5,124.0,0.497062947,117.0,0.104621,0.268505901
PFDN6,574.0,0.470152145,222.0,2.764555,0.495174481
PGM1,570.0,0.393980016,681.0,-1.023385,0.292052376
PHB,988.0,0.45268542,190.0,0.36914,0.036599302
PHF10,104.0,0.365149381,79.0,-0.166745,-0.416427558
PI4K2A,2692.0,0.385068362,57.0,-0.807566,-0.097654211
PIAS1,3626.0,0.396022529,741.0,-0.925809,-0.020675007
PIK3AP1,3866.0,0.407313024,128.0,-0.300355,0.042597771
PIR,205.0,0.385796208,485.0,2.440569,1.061585602
PITPNC1,4686.0,0.369070722,874.0,-0.572808,-0.218574621
PLA2G7,1187.0,0.402486321,269.0,2.029555,0.915274508
PLAUR,323.0,0.418467601,226.0,-0.311316,0.699474665
PLCB2,818.0,0.468984469,301.0,-0.553892,0.289079974
PLCG1,3987.0,0.454806205,121.0,1.341941,0.160805037
PLD4,273.0,0.377985619,192.0,-4.240133,-0.052457203
PLEKHO1,5192.0,0.424698037,839.0,2.522396,0.44947854
PLEKHO2,2119.0,0.429714475,134.0,-0.294963,0.243779464
PLSCR1,10376.0,0.415598704,388.0,-0.796015,-0.672694782
PML,3324.0,0.431306474,140.0,-0.391372,-0.138700444
POLR1C,1131.0,0.439933821,86.0,0.764466,-0.18265522
POLR1D,1469.0,0.427162265,456.0,-0.482395,-0.423977446
POLR2F,1600.0,0.47244007,250.0,2.224779,0.277076854
POLR2H,1065.0,0.427596015,1167.0,0.602892,-0.511685855
POLR3H,3481.0,0.444306047,388.0,0.765264,-0.016433283
POLR3K,1023.0,0.473025152,46.0,-0.484363,0.273021528
PPA2,660.0,0.432735716,20.0,-0.322961,0.264606611
PPIE,4556.0,0.446406574,56.0,-0.233548,0.044194396
PPIL1,1921.0,0.453832883,252.0,-0.427466,0.235205686
PPP1R14B,282.0,0.457456004,268.0,2.450313,0.674430851
PRC1,1136.0,0.367783806,234.0,0.275752,-0.082367221
PRCC,357.0,0.381841119,290.0,0.666892,0.145273405
PRDX1,303.0,0.414090753,341.0,0.420275,-0.304179176
PRDX6,944.0,0.433706552,51.0,1.6023,0.35760319
PREB,658.0,0.378530018,403.0,-0.281079,-0.30532896
PREP,579.0,0.425974009,233.0,-0.622964,-0.519984691
PRG4,784.0,0.366727173,51.0,1.008382,0.613163029
PRIM2,1166.0,0.350864643,125.0,-0.713336,-0.176204591
PRKAB1,1305.0,0.365943644,289.0,-1.669439,-0.348229464
PRKAR2A,5019.0,0.427443141,254.0,-2.750505,0.049838794
PRKCB,5795.0,0.38010529,197.0,-2.083543,0.332220391
PRKCD,451.0,0.404392693,469.0,-0.391448,-0.238152343
PRKRA,683.0,0.420894136,659.0,0.080533,-0.245953082
PRKRIP1,3224.0,0.453589322,55.0,0.986577,0.148855003
PRMT5,393.0,0.386451423,508.0,-1.750064,-0.236717794
PRMT7,3655.0,0.450088803,850.0,0.595276,0.138965732
PROCR,549.0,0.357872186,218.0,0.444159,0.008571288
PRPS1,3908.0,0.466551451,409.0,-0.587216,0.173101627
PRPSAP1,2056.0,0.390811115,688.0,1.003741,0.792040529
PRRC1,3173.0,0.409170839,188.0,-0.448162,-0.471527818
PSMA5,2997.0,0.446573967,225.0,-0.167323,-0.217896854
PSMA6,187.0,0.423632682,445.0,-0.83782,-0.085581371
PSMB10,58.0,0.455018511,128.0,1.084783,-0.342295736
PSMB2,3775.0,0.389848815,412.0,0.219852,-0.111817084
PSMB8,242.0,0.411206622,522.0,-0.147387,-0.263801211
PSMB9,5497.0,0.431095699,69.0,-0.311132,0.036348205
PSMC3,66.0,0.485654947,194.0,0.024382,-0.012826746
PSMD11,2567.0,0.390095635,61.0,0.796606,0.268746304
PSMD13,384.0,0.437236365,242.0,0.311543,0.064582933
PSMD8,450.0,0.458928351,52.0,-0.564021,0.203621818
PSME2,53.0,0.443656162,65.0,0.163044,-0.366321385
PSMG1,5308.0,0.427553471,578.0,1.035229,0.347666902
PSTPIP2,1923.0,0.429639796,96.0,0.62035,0.065559566
PTBP1,1504.0,0.473818895,106.0,0.409502,0.129225748
PTDSS1,3765.0,0.367954205,423.0,1.126421,-0.491865663
PTGS1,3346.0,0.37260918,633.0,-1.083843,-0.085008748
PTPMT1,1899.0,0.450492628,193.0,0.209517,-0.38493655
PTPN18,2185.0,0.381656528,101.0,1.130383,-0.150558515
PTPN7,1593.0,0.440747449,781.0,-0.690071,0.279723493
PTPRE,2994.0,0.426620112,1843.0,-0.427489,0.240691173
PTPRF,4571.0,0.452810321,356.0,-1.798344,-0.873669465
PTRH2,3186.0,0.370743372,1544.0,0.7727,-0.732683558
PWWP2B,819.0,0.424412275,29.0,0.332447,-0.624693384
PYCR2,578.0,0.474148407,230.0,0.614826,0.094845197
PYGL,175.0,0.392036998,127.0,-0.757859,-0.561035032
QARS,97.0,0.458996209,396.0,0.113583,-0.006648255
RAB11FIP1,4277.0,0.380614122,56.0,-1.199226,-0.32767074
RAB12,1120.0,0.38483812,283.0,1.384868,0.936371734
RAB21,5246.0,0.435367738,267.0,-0.84149,-0.383539409
RAB31,3231.0,0.437498832,175.0,-1.631563,-0.309421816
RAB35,2172.0,0.408841719,189.0,-1.330429,-0.352562984
RAB7A,1376.0,0.419395127,232.0,-0.183191,-0.355585646
RAB8B,4163.0,0.425956778,96.0,-0.942699,0.274558887
RAB9A,1716.0,0.417525007,283.0,-0.141254,-0.101596808
RABGGTA,77.0,0.387342734,512.0,-0.241669,-0.059905253
RABGGTB,440.0,0.409412379,78.0,1.036259,-0.069879348
RABIF,4760.0,0.447399225,159.0,0.775964,-0.006177478
RACGAP1,1895.0,0.366370127,354.0,-0.5371,0.325456257
RAD9A,924.0,0.444046557,185.0,0.01568,-0.010056898
RAE1,1112.0,0.432613552,365.0,-0.922377,-0.202874615
RAI1,1472.0,0.455620822,469.0,0.250435,0.161062998
RAN,2043.0,0.442855294,361.0,-0.213763,-0.240090437
RANBP10,3359.0,0.379453562,1256.0,0.261704,0.256991176
RANGAP1,3145.0,0.481547647,765.0,-0.456325,-0.069228466
RAPGEF1,2727.0,0.425793135,159.0,-0.763853,0.140335928
RARS,114.0,0.423508657,41.0,-1.067994,-0.13145652
RASGRP2,183.0,0.381671176,582.0,0.191755,0.444281158
RBBP4,6506.0,0.404056961,164.0,-0.963678,-0.15164023
RBBP5,3098.0,0.421849625,474.0,-1.42669,0.120030068
RBKS,251.0,0.392307233,1371.0,-2.586264,-0.998230959
RBM12,3599.0,0.375183789,304.0,-0.784553,-0.231827386
RBM14,3443.0,0.468008211,139.0,-0.352701,0.100048809
RBM4B,5277.0,0.396841232,170.0,0.737071,0.038723506
RBMX,1201.0,0.353737079,210.0,0.213719,0.106363683
RBPJ,4223.0,0.4178224,518.0,0.517344,-0.126272737
RBX1,821.0,0.46562919,52.0,1.563575,-0.207830417
RC3H1,7637.0,0.410085914,87.0,0.483038,0.131024583
RCCD1,1773.0,0.374130224,280.0,0.929656,-0.123905608
RCOR1,4070.0,0.439565312,228.0,-0.583129,-0.428847108
REEP4,591.0,0.460338979,469.0,1.238597,-0.383820517
REEP5,2962.0,0.457536941,144.0,-0.317238,-0.818346275
RELB,408.0,0.418226182,131.0,-0.614846,-0.116900697
REPIN1,2683.0,0.45080531,489.0,0.153629,0.019473037
RFC4,89.0,0.411167541,282.0,0.429611,0.166799475
RFK,1882.0,0.429285662,357.0,-0.043497,0.261447453
RFX5,1546.0,0.386685917,221.0,0.606345,0.068270065
RFXAP,1850.0,0.421314391,156.0,0.465841,-0.505861466
RHBDF2,740.0,0.423256567,294.0,0.120995,-0.004869049
RHOT2,568.0,0.454546166,881.0,0.358961,-0.081728342
RNASE2,179.0,0.384567964,71.0,0.566177,-0.701373956
RNASEH1,4369.0,0.404567903,700.0,0.242319,0.007785978
RNASEH2B,3930.0,0.37625722,399.0,-0.280581,-0.215935143
RNASET2,1070.0,0.374792559,407.0,1.079188,0.333861281
RNF114,1751.0,0.459950313,36.0,-0.27344,-0.354994407
RNF167,289.0,0.375291206,776.0,0.63663,0.282146448
RNF20,5226.0,0.396317502,92.0,-1.681724,0.143595072
RNF213,5288.0,0.417718743,150.0,-1.812722,-0.901423618
RNF216,2819.0,0.430061571,259.0,-0.576577,0.445744282
RNF25,102.0,0.375620157,88.0,0.288467,0.012243653
RNF31,88.0,0.389352607,358.0,-0.79289,-0.26939384
RNLS,1252.0,0.416402283,135.0,-1.98,-0.1623272
RNMT,4581.0,0.415128602,241.0,0.207957,0.585210575
RNPEP,463.0,0.447181346,896.0,0.133851,-0.567246986
RP9,437.0,0.42869019,18.0,2.142998,0.237235151
RPA1,2907.0,0.381710028,170.0,-0.909178,-0.058548566
RPA2,639.0,0.400070522,793.0,-0.761125,0.033986569
RPAIN,471.0,0.394698889,570.0,1.367592,0.177359448
RPL11,461.0,0.442317923,45.0,0.61628,0.000136508
RPL14,5208.0,0.496792394,133.0,1.892679,0.417473277
RPL23,3146.0,0.464880603,90.0,2.858987,0.135752601
RPL26,53.0,0.427802183,389.0,0.783997,-0.014594245
RPL31,1260.0,0.451994935,87.0,1.606912,0.313705495
RPL34,1350.0,0.436455219,198.0,1.775202,0.311213505
RPL5,1058.0,0.451564158,75.0,0.659219,0.130681247
RPL7,1077.0,0.460258279,707.0,0.095826,-0.041733024
RPS11,373.0,0.483080585,92.0,0.986154,0.135857855
RPS24,4247.0,0.430653047,142.0,1.630799,0.298218686
RPS25,109.0,0.467193878,63.0,0.958609,0.208355507
RPS27A,743.0,0.450449292,321.0,0.238168,-0.204157753
RPS3A,306.0,0.426765211,80.0,-0.133925,0.265259982
RPS4X,629.0,0.442998752,96.0,0.787035,0.071217634
RPS6,2723.0,0.413925579,42.0,2.021538,0.256982177
RPS6KA1,828.0,0.389798854,163.0,0.301568,-0.055839109
RPS6KA4,735.0,0.38455359,226.0,-0.135139,-0.447107352
RPS7,66.0,0.428822459,109.0,1.835597,0.504895075
RPTOR,2341.0,0.385169267,805.0,-0.756535,-0.304660843
RREB1,3012.0,0.456825357,492.0,-0.48369,-0.015048278
RRM1,2304.0,0.437568848,689.0,-1.538318,0.15427692
RRP8,5071.0,0.446233376,148.0,-0.970524,-0.06648396
RRS1,978.0,0.468289248,104.0,2.314694,0.402099528
RTN3,1690.0,0.358048129,187.0,-0.632141,-0.499621949
RTN4IP1,1108.0,0.372133716,477.0,-0.056368,-0.03125879
RUNX1,4334.0,0.416076551,1578.0,-1.272386,0.086747904
RUNX3,2611.0,0.405217602,439.0,-2.285801,-0.498014299
RWDD1,6365.0,0.401367905,746.0,0.020857,-0.07182729
S100A8,71.0,0.444112716,170.0,4.1267,-0.846766846
S100A9,189.0,0.439508357,43.0,1.271913,-1.144158761
SAMD9,1815.0,0.395660052,270.0,-2.231347,-0.559703352
SAMD9L,1162.0,0.396305952,1248.0,-1.801993,-0.44907973
SAMM50,150.0,0.345249646,197.0,-1.026079,-0.249774215
SAMSN1,684.0,0.407246581,430.0,-1.262738,0.1148404
SAP18,1754.0,0.427429047,39.0,0.138595,0.342688094
SAP30BP,1541.0,0.449617255,257.0,-0.379212,-0.205592688
SAR1A,5213.0,0.411769389,203.0,0.209441,-0.247690397
SAR1B,5806.0,0.392367964,253.0,-0.057795,-0.390432612
SARS,1054.0,0.40098191,100.0,-1.125686,-0.048571088
SASH3,1369.0,0.387406112,182.0,-1.625572,-0.100369641
SCAMP4,1741.0,0.472519575,351.0,0.336607,-0.043810573
SCO1,8645.0,0.407339367,61.0,-0.118194,0.215304432
SDCCAG8,307.0,0.360606297,1542.0,0.98756,0.164605763
SEC11C,205.0,0.423646802,92.0,-0.03284,0.811208484
SEC13,332.0,0.457264526,210.0,-0.410463,-0.097285382
SEC14L1,2986.0,0.420320088,665.0,-0.107654,-0.408796628
SEC24B,1221.0,0.400931805,155.0,-0.863184,-0.151062377
SEC24D,2115.0,0.386600041,297.0,-1.05673,0.024061787
SEMA3F,960.0,0.38837398,318.0,0.067119,0.185820691
SEMA4A,755.0,0.412797256,345.0,1.431164,0.463033266
SEMA4D,2318.0,0.393173667,572.0,-0.286517,-0.336720874
SERPINA1,1707.0,0.420489385,573.0,-2.864767,0.374643542
SERPINB8,2096.0,0.38524815,520.0,-0.738789,0.171145477
SETMAR,321.0,0.414235412,398.0,0.196934,-0.114285787
SEZ6L2,540.0,0.431800162,245.0,-2.278159,-0.069201449
SF1,2419.0,0.374481437,721.0,-0.132783,-0.035248506
SF3B2,563.0,0.453902675,40.0,-0.991532,-0.278009193
SFXN4,500.0,0.402513841,45.0,-0.058771,0.375797152
SH3BP1,433.0,0.395530944,313.0,0.700109,0.48766084
SH3PXD2B,4870.0,0.420952884,171.0,1.24312,1.117689739
SHMT1,4335.0,0.394510245,509.0,1.090351,0.048263357
SIGLEC1,1590.0,0.42099348,0.0,-1.743206,-0.543154225
SIPA1,2933.0,0.437718847,296.0,1.082715,0.186747886
SIRPA,3027.0,0.429235057,360.0,2.140762,0.42058713
SKP1,8791.0,0.433886974,179.0,-0.767792,-0.162143736
SLBP,3046.0,0.391438372,553.0,0.35664,0.472810255
SLC25A10,1929.0,0.386184273,191.0,0.236644,-0.006504508
SLC25A20,787.0,0.382641976,199.0,-0.996886,-0.026942666
