,3prime,tAI,max_5_UTR_length,TCGA-AO-A12B,TCGA-AO-A12B.1
IER3IP1,3342.0,0.438740024,97.0,0.606031,-0.404294153
IFI16,254.0,0.415211655,290.0,-0.515759,-0.236636876
IFI30,213.0,0.431523306,62.0,-0.037749,0.466636373
IFI35,160.0,0.418462024,223.0,1.065953,0.190729536
IFI44,267.0,0.403888008,124.0,0.965904,-0.183052916
IFI44L,5058.0,0.403608012,200.0,0.548108,-1.098432598
IFIH1,121.0,0.412344512,377.0,0.528215,0.051030465
IFIT1,2775.0,0.411248073,495.0,2.364911,0.271278894
IFIT2,1901.0,0.420797646,175.0,0.450009,0.104033585
IFIT3,843.0,0.417440574,529.0,1.288617,0.266201471
IFIT5,2354.0,0.414819429,231.0,0.600932,0.48980148
IFITM1,159.0,0.431550176,180.0,1.436807,0.37109159
IFT27,109.0,0.4030938,426.0,0.081667,0.186698589
IGFBP3,1605.0,0.43060006,132.0,-0.834438,-0.522613053
IGFBP7,558.0,0.392734536,34.0,0.150531,-0.021170501
IKBKE,745.0,0.435100597,714.0,-1.001024,-0.147511607
IL16,3965.0,0.367979445,2395.0,-2.287563,-0.599417404
IL17RA,5874.0,0.376798811,133.0,-0.992215,-0.800211207
IL1RN,1145.0,0.411881061,408.0,-0.546346,0.521521058
IL4I1,16.0,0.4139018,621.0,-1.430358,-0.873153381
ILF2,656.0,0.426220446,239.0,0.129965,0.110621728
IMPA2,2898.0,0.383680893,242.0,-1.418101,-0.78754516
INO80,5209.0,0.374025479,351.0,-0.588254,-0.239388746
INPP1,263.0,0.395712795,700.0,1.965202,0.913985993
INPP5D,1195.0,0.436077769,512.0,-1.317217,-0.557021856
INSR,4801.0,0.380857973,411.0,0.976461,-0.184647368
IPO5,2508.0,0.381335948,180.0,0.228449,0.104001743
IRF7,92.0,0.423538356,367.0,1.04858,-0.106938809
IRF8,1327.0,0.384714127,507.0,-1.804814,-0.299385337
IRF9,369.0,0.432057622,127.0,0.943499,0.373440492
IRGQ,7659.0,0.399674011,156.0,-0.037284,0.434686017
ISCU,607.0,0.454630229,1331.0,-0.119805,0.728335027
ISG15,62.0,0.419522688,77.0,2.846328,1.328823001
ISG20,952.0,0.419932377,2368.0,0.709201,0.223781886
ISOC1,1056.0,0.418535314,18.0,1.804761,1.505821789
ITGB2,415.0,0.457304004,395.0,-1.423188,-0.980433785
ITPKB,2981.0,0.440250717,340.0,-2.974572,-0.576986864
ITPRIP,5382.0,0.396785481,453.0,-0.90345,-0.200405654
JUNB,496.0,0.414023332,276.0,-1.021445,-0.367368393
JUP,157.0,0.458302936,298.0,0.168452,0.074324497
KANK2,2291.0,0.394238955,361.0,-1.086062,-0.290853282
KARS,4202.0,0.383913431,144.0,-0.507949,-0.19867601
KCNN4,560.0,0.425737469,396.0,0.677177,-0.254525817
KDM1A,327.0,0.428444011,149.0,-0.31271,0.256187288
KDM2A,3716.0,0.372295488,864.0,-0.351218,-0.051734847
KDM2B,2488.0,0.393022165,407.0,-0.979156,-0.385482839
KDM3B,1327.0,0.37791414,200.0,0.320388,0.418515307
KDM4A,1148.0,0.378142374,166.0,-0.277597,0.02592243
KHSRP,1024.0,0.456900489,110.0,-0.228483,0.093148462
KIAA2013,727.0,0.385456054,191.0,-0.090219,-0.108239321
KIF20A,757.0,0.371463873,496.0,-0.294087,-0.055598806
KIF22,75.0,0.392489541,388.0,-0.17059,-0.281015161
KIF2C,588.0,0.387865377,395.0,-0.503748,-0.521206143
KIF3B,3792.0,0.390782105,180.0,0.54435,0.311151923
KIF5B,3198.0,0.418236129,470.0,-0.284694,0.248923212
KLHL7,3616.0,0.41595405,521.0,-0.934747,0.13885649
KTI12,594.0,0.370414154,39.0,-0.347519,-0.011883543
LAMP1,1311.0,0.390985106,281.0,0.729438,0.457862754
LANCL2,2422.0,0.433733517,578.0,-0.09555,0.138901062
LAP3,503.0,0.426841798,162.0,0.387552,-0.084754644
LDHD,1826.0,0.398770776,52.0,2.775753,1.355163222
LENG1,560.0,0.445950324,48.0,0.820668,-0.039834827
LGALS3,159.0,0.420172221,88.0,-0.511992,-0.775288305
LGALS3BP,1225.0,0.419930622,179.0,1.922984,1.180728661
LGALS9,641.0,0.410654931,118.0,-0.010085,-0.245273795
LIN54,4893.0,0.441729058,383.0,-0.536061,-0.183878648
LPCAT1,2228.0,0.380803123,133.0,0.539989,0.104423236
LPCAT4,239.0,0.432241557,94.0,-0.812275,0.166433492
LPXN,1776.0,0.432350833,254.0,-0.811379,-0.763837031
LRPPRC,2376.0,0.377375074,58.0,-0.420041,0.278434614
LRRC25,843.0,0.434491636,642.0,-0.854681,-0.725550096
LRRC41,465.0,0.438391248,44.0,-0.251841,0.140721142
LRRC59,1755.0,0.423067849,236.0,-0.257203,-1.211829969
LSM1,486.0,0.409616526,410.0,-0.092354,-0.553851531
LSM6,1871.0,0.435100303,139.0,-0.675855,-0.095589354
LTA4H,391.0,0.355044638,145.0,0.227787,0.487819724
LYN,4058.0,0.418972994,282.0,-1.099603,-0.715258854
LYPLAL1,1137.0,0.3973742,157.0,0.436348,0.655297945
LYRM4,6830.0,0.366844497,217.0,0.794243,0.423713328
LYSMD2,596.0,0.394037378,501.0,1.143951,0.468339071
M6PR,1457.0,0.379162834,275.0,-0.433071,-0.726602931
MAD2L1,4528.0,0.407191351,124.0,-0.685614,-0.183687577
MAFB,2032.0,0.405989564,390.0,-1.741944,-0.403874849
MAGED2,327.0,0.466698843,233.0,-1.185287,-1.024252559
MAGOH,153.0,0.416054235,162.0,-0.267594,0.020385781
MAN2B1,128.0,0.381728903,76.0,-0.854242,0.038440879
MANF,717.0,0.420319188,97.0,0.795159,0.446190714
MAP4K1,170.0,0.374128007,140.0,-1.623442,-0.689207136
MARCKSL1,768.0,0.468216312,206.0,-1.293131,-1.184140178
MAX,2676.0,0.337149475,479.0,-0.35567,-0.099600614
MBD2,3723.0,0.420256858,229.0,-0.351949,0.103360382
MBP,4041.0,0.393290432,264.0,-0.750024,-0.416977277
MCM2,662.0,0.460999542,110.0,-1.077129,-0.602230889
MCM4,2618.0,0.371821308,942.0,-0.415517,-0.559814431
MCM5,3214.0,0.470488076,94.0,-0.085943,-0.726069789
MDC1,658.0,0.415783633,440.0,0.342401,0.432187974
MDH1,210.0,0.381672323,435.0,0.404839,0.766706123
ME1,1535.0,0.411214685,265.0,-0.768839,-0.600639689
ME3,171.0,0.395156177,377.0,0.918921,0.768870663
MECR,1365.0,0.445670958,612.0,-0.052449,0.419584437
MED17,2631.0,0.366528813,275.0,-0.092893,-0.096246722
MED19,934.0,0.439623042,93.0,0.541172,0.138516642
MED28,10307.0,0.440157501,27.0,-0.741402,-0.00291325
MED29,4550.0,0.464327351,57.0,0.646517,0.080212347
MEN1,824.0,0.454590692,504.0,0.235174,0.06497171
METTL13,961.0,0.396264071,347.0,-0.765128,-0.179179538
MGST3,1295.0,0.374563048,428.0,-0.353107,-0.445677437
MIF4GD,787.0,0.397877071,137.0,0.799173,-0.006815337
MINK1,774.0,0.455972684,525.0,-0.118432,0.058231327
MIS12,1334.0,0.420723459,745.0,0.606385,-0.291241739
MLEC,5319.0,0.43043384,173.0,0.190836,-0.757421652
MLLT10,2252.0,0.36295117,1568.0,-0.317654,0.079922485
MLX,1636.0,0.386664187,65.0,0.496136,0.022886209
MMACHC,1852.0,0.382684622,371.0,0.303084,0.29573438
MMADHC,5382.0,0.406207656,205.0,0.041995,-0.066083816
MMGT1,4451.0,0.406300672,388.0,-0.917236,-1.208279824
MMP1,502.0,0.392399458,189.0,-5.309807,-0.54932553
MMP14,1722.0,0.419367787,285.0,-1.971648,-0.669624071
MMP9,193.0,0.404253633,19.0,-1.687912,-0.973527236
MORC3,2052.0,0.406702124,375.0,0.038431,0.495804628
MORF4L1,1066.0,0.420719378,454.0,-0.496574,-0.032051224
MOV10,619.0,0.412681236,1415.0,-0.656262,-0.360126423
MPDU1,797.0,0.440676037,216.0,1.403614,0.090769753
MPHOSPH10,87.0,0.404440607,352.0,-0.332598,-0.223390366
MRI1,2018.0,0.459301832,75.0,0.005145,0.129997184
MRPL13,1075.0,0.395373051,313.0,0.169513,0.921092817
MRPL15,1888.0,0.407701507,63.0,-0.913526,0.846856482
MRPL16,212.0,0.368940255,214.0,0.603634,1.022378694
MRPL17,6554.0,0.424450505,105.0,0.181141,0.268130492
MRPL2,580.0,0.458698472,164.0,0.598076,0.643988563
MRPL20,187.0,0.445765675,96.0,0.277343,0.601003482
MRPL21,55.0,0.417448467,293.0,0.358399,0.722332421
MRPL27,2133.0,0.436300758,31.0,0.758979,0.824953912
MRPL40,113.0,0.406843086,653.0,1.569779,0.931597337
MRPL46,1889.0,0.422788385,25.0,-0.216147,0.994636261
MRPL48,1284.0,0.368940255,212.0,0.515668,0.494675338
MRPL51,2069.0,0.35376587,169.0,-0.169643,0.289288043
MRPL53,198.0,0.441261883,155.0,0.43915,0.729931161
MRPL9,407.0,0.432679379,437.0,-0.114607,0.947483921
MRPS11,2793.0,0.477818717,1491.0,-0.356677,0.607414517
MRPS15,468.0,0.440649404,164.0,0.375871,0.275762776
MRPS17,1334.0,0.413812124,30.0,-0.17229,0.819296312
MRPS18B,936.0,0.408462865,157.0,1.166271,0.767677388
MRPS36,933.0,0.3748339,84.0,0.820987,1.169636817
MRPS7,453.0,0.455992019,233.0,0.314098,0.916631252
MSI2,5168.0,0.366385762,173.0,0.133481,0.835598539
MSTO1,694.0,0.421389639,1152.0,0.017348,0.437144168
MT2A,316.0,0.576670685,123.0,-1.25473,-1.801916512
MTA2,684.0,0.459443446,761.0,-0.196576,-0.051567126
MTFMT,1550.0,0.414190941,26.0,-0.382833,0.502003539
MTHFS,1663.0,0.434592403,179.0,0.387841,0.464075208
MTMR1,2442.0,0.424163835,319.0,-1.47341,-0.124639065
MTMR14,421.0,0.371137969,151.0,-0.802419,-0.101995412
MVP,50.0,0.435053297,193.0,0.166336,0.37174326
MX1,456.0,0.433488503,982.0,0.568096,0.026370296
MX2,1812.0,0.430094961,104.0,0.313154,-0.362452538
MYADM,2833.0,0.384589896,681.0,-0.697445,-0.611295389
MYCBP,3972.0,0.381803634,73.0,0.307511,0.510691285
MYL12A,812.0,0.453450746,478.0,-0.684381,0.101347577
MYO18A,3647.0,0.395788337,484.0,-0.293455,-0.085964106
MYO9B,1401.0,0.398943925,152.0,-0.927157,-0.731153199
N6AMT1,5137.0,0.427535625,28.0,0.063881,0.733833172
NAA40,3212.0,0.389371031,261.0,0.295959,0.257230001
NAB1,2433.0,0.361024962,572.0,1.267044,0.873141463
NADK,1672.0,0.3959688,563.0,0.093799,0.069905678
NADSYN1,464.0,0.447848979,126.0,-0.000172,-0.242082318
NAGK,1297.0,0.42527382,474.0,-0.455515,-0.049025847
NANS,37.0,0.458552255,132.0,0.522394,0.509355315
NAPA,1862.0,0.477781443,318.0,1.126225,0.770643156
NAT10,4915.0,0.387474071,245.0,-0.104518,-0.838173332
NBAS,140.0,0.414580543,44.0,-0.495887,0.153714801
NCALD,2767.0,0.374888213,460.0,0.285174,0.213767662
NCAPD3,2971.0,0.431957579,606.0,0.526706,-0.157576132
NCAPG2,3501.0,0.41630572,200.0,0.029259,-0.449495601
NCF1,2381.0,0.415579251,70.0,-0.344441,-0.60727367
NCK2,1267.0,0.457831152,276.0,-1.340133,-0.382739399
NCKIPSD,4981.0,0.449411541,126.0,-0.411082,-0.017878889
NCOA5,1332.0,0.416761948,402.0,-0.247606,0.118783526
NCOA7,3259.0,0.404217869,470.0,-1.677719,-0.281508042
NDC80,61.0,0.356199389,182.0,0.139178,-0.411825926
NDRG2,841.0,0.376266446,941.0,0.596805,0.088800856
NDUFA4,1685.0,0.439642808,129.0,0.03131,0.072797251
NEU1,667.0,0.413226082,156.0,1.353495,0.970115201
NFATC2IP,3242.0,0.412267479,15.0,-0.156651,0.364499949
NFKB1,708.0,0.4099683,467.0,-0.558219,0.078925557
NFKB2,153.0,0.424806573,563.0,-1.658774,-0.618964796
NFKBIE,1053.0,0.409138176,25.0,-0.276006,0.099587878
NGDN,1255.0,0.423783924,27.0,-0.303981,-0.040296662
NGRN,1679.0,0.414477409,50.0,0.030838,0.043933006
NINJ1,5217.0,0.455972644,71.0,0.092519,-0.335064243
NIP7,1593.0,0.443769116,318.0,-0.484686,-0.367831772
NIT2,2351.0,0.432361565,74.0,-0.0116,0.787555258
NMNAT3,2689.0,0.397393877,1228.0,-2.50854,-0.994507658
NMT1,3377.0,0.454689408,31.0,0.162479,0.182597143
NONO,1092.0,0.432928506,710.0,-0.956867,0.026235933
NOP14,912.0,0.38067473,187.0,-0.258369,-0.710485184
NOP2,785.0,0.393538298,198.0,-0.317107,-0.767191221
NOTCH2,6062.0,0.409327653,297.0,-2.107628,-0.454538616
NPTN,1068.0,0.388989686,197.0,-0.123612,-0.254117318
NR2C2,6271.0,0.390767743,362.0,-0.756835,0.088380303
NRBF2,883.0,0.43605128,224.0,-1.275986,-0.436971387
NRF1,1901.0,0.447602651,500.0,-0.106074,0.182160068
NRGN,833.0,0.413631862,152.0,-0.3506,-0.074307676
NRP1,3846.0,0.416817106,523.0,-0.930013,-0.874958156
NSFL1C,1587.0,0.42738001,868.0,-0.191477,-0.01441959
NSMAF,602.0,0.358586884,214.0,-0.51814,-0.109108916
NTAN1,178.0,0.344459601,320.0,0.174142,0.124107133
NUBP1,246.0,0.455923678,142.0,0.624092,0.479973653
NUCKS1,5461.0,0.359398328,271.0,-0.550279,-0.072561795
NUDC,716.0,0.476401948,127.0,0.572353,0.370416243
NUDT16,5489.0,0.428387545,75.0,-0.133694,0.477501479
NUMA1,663.0,0.474508115,436.0,0.681444,0.418623566
NUP93,5678.0,0.382018893,495.0,-1.021798,-0.168505318
NXF1,2943.0,0.375826754,136.0,0.256098,0.22353114
OCIAD2,4872.0,0.363821488,322.0,-0.447012,-1.031424145
OGDH,1071.0,0.396078149,159.0,0.872364,1.049431839
OPA3,7233.0,0.475004358,100.0,-0.08827,-0.225546622
OSBPL2,2363.0,0.383456763,571.0,-0.101805,0.104885069
OSBPL5,1099.0,0.381371042,158.0,0.505597,-0.356030837
OVCA2,792.0,0.429983078,65.0,0.85308,0.595474675
P2RX4,573.0,0.442596273,304.0,0.620823,0.317884033
PAAF1,509.0,0.376143366,341.0,0.936139,0.689554113
PACSIN2,1591.0,0.413490434,405.0,-0.182105,0.229476562
PARK7,451.0,0.457171775,163.0,0.633934,0.562660419
PARP1,769.0,0.460215809,171.0,-0.573927,-0.094436829
PARP10,332.0,0.422654659,200.0,0.982512,0.762854813
PARP12,816.0,0.416480622,874.0,0.490211,-0.035121078
PARP14,2243.0,0.414355918,59.0,-0.975681,-0.249265479
PARP9,451.0,0.418102187,327.0,0.191062,0.143379555
PARVG,2043.0,0.383803232,484.0,-1.233644,-0.542657288
PBK,750.0,0.413339119,464.0,0.546927,-0.174920046
PCNA,338.0,0.425000199,239.0,0.254457,-0.167297802
PDAP1,2007.0,0.464659554,134.0,0.465573,-0.100406762
PDCD2,155.0,0.440448783,111.0,0.507058,0.006399401
PDCD2L,48.0,0.433436103,33.0,0.809394,0.276342573
PDCD6IP,3211.0,0.388727459,158.0,-0.233626,0.449444124
PDHA1,2054.0,0.402514578,145.0,-0.407523,0.701993813
PDHB,2974.0,0.442593378,43.0,0.799969,0.84115449
PDLIM1,357.0,0.379179626,233.0,3.097746,1.91207691
PDXDC1,2055.0,0.375670185,335.0,-0.646576,0.028407728
PDXK,6244.0,0.398158884,198.0,-0.529638,0.107658205
PEBP1,796.0,0.360152166,326.0,0.333814,0.452929213
PEF1,769.0,0.441759403,424.0,-0.296044,0.159737915
PELO,5222.0,0.385240523,985.0,0.034709,0.213104111
PEPD,395.0,0.450896903,133.0,0.859188,0.256777624
PEX16,585.0,0.43213601,312.0,0.571508,-0.93686135
PEX6,946.0,0.370078344,93.0,1.059293,0.398152823
PEX7,2294.0,0.407005497,102.0,2.635991,1.424237898
PFDN5,124.0,0.497062947,117.0,0.778327,0.351067775
PFDN6,574.0,0.470152145,222.0,0.817558,0.074705772
PGM1,570.0,0.393980016,681.0,0.299312,0.397165693
PHB,988.0,0.45268542,190.0,-0.245905,0.734496137
PHF10,104.0,0.365149381,79.0,0.559336,0.345195498
PI4K2A,2692.0,0.385068362,57.0,-0.570466,-0.198433648
PIAS1,3626.0,0.396022529,741.0,-0.548968,0.257144453
PIK3AP1,3866.0,0.407313024,128.0,-1.611927,-0.531194316
PIR,205.0,0.385796208,485.0,-0.894748,-0.231541561
PITPNC1,4686.0,0.369070722,874.0,0.548263,0.184332119
PLA2G4C,585.0,0.406173977,398.0,1.749835,0.039154312
PLA2G7,1187.0,0.402486321,269.0,-3.224615,-0.397273293
PLAUR,323.0,0.418467601,226.0,-1.230037,-0.213203152
PLCB2,818.0,0.468984469,301.0,-0.943391,-0.435177398
PLCG1,3987.0,0.454806205,121.0,-1.106067,-0.495364114
PLD4,273.0,0.377985619,192.0,0.388039,0.03641685
PLEKHO1,5192.0,0.424698037,839.0,-0.557834,-0.536523652
PLEKHO2,2119.0,0.429714475,134.0,-2.056016,-0.513604055
PLSCR1,10376.0,0.415598704,388.0,0.417235,-0.556829291
PML,3324.0,0.431306474,140.0,0.089497,0.138484142
POLR1C,1131.0,0.439933821,86.0,0.172519,0.445258342
POLR1D,1469.0,0.427162265,456.0,0.508349,0.22874665
POLR2F,1600.0,0.47244007,250.0,0.211321,0.496731709
POLR2H,1065.0,0.427596015,1167.0,-0.031251,0.158211643
POLR3H,3481.0,0.444306047,388.0,0.861916,0.488476326
POLR3K,1023.0,0.473025152,46.0,0.623256,0.342096206
PPA2,660.0,0.432735716,20.0,-1.254179,-0.050071244
PPIE,4556.0,0.446406574,56.0,-0.076047,0.068394936
PPIL1,1921.0,0.453832883,252.0,-0.322407,-0.204435094
PPP1R14B,282.0,0.457456004,268.0,0.468664,0.346467378
PPP1R3G,2923.0,0.390061911,0.0,-4.800712,-0.000881867
PRC1,1136.0,0.367783806,234.0,-0.089766,-0.705881254
PRCC,357.0,0.381841119,290.0,-0.175195,0.313392943
PRDX1,303.0,0.414090753,341.0,-0.196822,0.033563024
PRDX6,944.0,0.433706552,51.0,-0.50847,0.26304143
PREB,658.0,0.378530018,403.0,0.056408,-0.416871982
PREP,579.0,0.425974009,233.0,-1.265885,-0.658688344
PRG4,784.0,0.366727173,51.0,-0.176989,0.273520182
PRIM2,1166.0,0.350864643,125.0,-0.034561,-0.370756677
PRKAB1,1305.0,0.365943644,289.0,0.273534,0.494919354
PRKAR2A,5019.0,0.427443141,254.0,-0.840365,0.40191643
PRKCB,5795.0,0.38010529,197.0,-2.129813,-0.640235628
PRKCD,451.0,0.404392693,469.0,-0.467043,-0.414759221
PRKRA,683.0,0.420894136,659.0,0.173542,0.457681195
PRKRIP1,3224.0,0.453589322,55.0,0.360366,-0.069083575
PRMT5,393.0,0.386451423,508.0,-0.236221,0.220786926
PRMT7,3655.0,0.450088803,850.0,0.042027,0.196986907
PROCR,549.0,0.357872186,218.0,0.253498,-0.873964444
PRPS1,3908.0,0.466551451,409.0,-0.750526,0.009508527
PRPSAP1,2056.0,0.390811115,688.0,0.258853,-0.044599214
PRRC1,3173.0,0.409170839,188.0,-0.049537,0.791548087
PSMA5,2997.0,0.446573967,225.0,-0.207999,0.615120627
PSMA6,187.0,0.423632682,445.0,0.099995,0.688054595
PSMB10,58.0,0.455018511,128.0,-0.05847,0.179552277
PSMB2,3775.0,0.389848815,412.0,-0.224935,0.451940225
PSMB8,242.0,0.411206622,522.0,0.760818,0.519515044
PSMB9,5497.0,0.431095699,69.0,0.119903,0.359696994
PSMC3,66.0,0.485654947,194.0,0.496088,0.195784554
PSMD11,2567.0,0.390095635,61.0,-0.345304,0.217626149
PSMD13,384.0,0.437236365,242.0,0.180014,0.18076382
PSMD8,450.0,0.458928351,52.0,0.404382,0.196783306
PSME2,53.0,0.443656162,65.0,0.588706,0.271506475
PSMG1,5308.0,0.427553471,578.0,0.427287,0.072503962
PSTPIP2,1923.0,0.429639796,96.0,0.06317,0.018899827
PTBP1,1504.0,0.473818895,106.0,0.090156,0.370873367
PTDSS1,3765.0,0.367954205,423.0,-0.168296,-0.522890982
PTGS1,3346.0,0.37260918,633.0,-1.169741,-0.9388952
PTP4A1,3419.0,0.421202001,1153.0,-0.280361,0.541347224
PTPMT1,1899.0,0.450492628,193.0,0.936737,1.022682382
PTPN18,2185.0,0.381656528,101.0,0.145151,0.142385817
PTPN7,1593.0,0.440747449,781.0,-2.047742,-0.487570756
PTPRE,2994.0,0.426620112,1843.0,-1.771817,-0.22452277
PTPRF,4571.0,0.452810321,356.0,-0.939183,0.32939156
PTRH2,3186.0,0.370743372,1544.0,0.346642,-0.799807101
PWWP2B,819.0,0.424412275,29.0,0.002754,-0.306640799
PYCR2,578.0,0.474148407,230.0,1.319627,0.659729548
PYGL,175.0,0.392036998,127.0,0.672083,0.28646191
QARS,97.0,0.458996209,396.0,-0.48321,-0.098850887
RAB11FIP1,4277.0,0.380614122,56.0,-0.658054,0.123792844
RAB12,1120.0,0.38483812,283.0,-0.431987,-0.545580374
RAB21,5246.0,0.435367738,267.0,-0.753036,-0.392335077
RAB31,3231.0,0.437498832,175.0,-0.469908,-0.855039128
RAB35,2172.0,0.408841719,189.0,-0.645933,-0.56354967
RAB7A,1376.0,0.419395127,232.0,-0.50708,-0.778269614
RAB8B,4163.0,0.425956778,96.0,-1.686495,-1.189124384
RAB9A,1716.0,0.417525007,283.0,-0.478997,-0.54658182
RABGGTA,77.0,0.387342734,512.0,1.252938,0.973581517
RABGGTB,440.0,0.409412379,78.0,1.187867,0.77714737
RABIF,4760.0,0.447399225,159.0,-0.670999,0.114431047
RACGAP1,1895.0,0.366370127,354.0,-0.39367,-0.350453192
RAD9A,924.0,0.444046557,185.0,-0.084095,0.030234565
RAE1,1112.0,0.432613552,365.0,-0.265076,0.158920107
RAI1,1472.0,0.455620822,469.0,0.74182,0.360364676
RAN,2043.0,0.442855294,361.0,-0.515238,0.184292617
RANBP10,3359.0,0.379453562,1256.0,-0.217738,0.11245933
RANGAP1,3145.0,0.481547647,765.0,0.353,0.200609979
RAPGEF1,2727.0,0.425793135,159.0,-0.876541,-0.300471833
RARS,114.0,0.423508657,41.0,0.030396,-0.024723492
RASGRP2,183.0,0.381671176,582.0,-0.553346,-0.241215113
RASGRP4,985.0,0.374724859,214.0,-1.044327,-0.969984635
RBBP4,6506.0,0.404056961,164.0,0.319004,0.299841046
RBBP5,3098.0,0.421849625,474.0,-0.773964,-0.065388868
RBKS,251.0,0.392307233,1371.0,1.129964,0.687212427
RBM12,3599.0,0.375183789,304.0,-0.436286,0.184799328
RBM14,3443.0,0.468008211,139.0,-0.209462,0.217660819
RBM4B,5277.0,0.396841232,170.0,0.477605,0.778450797
RBMX,1201.0,0.353737079,210.0,-0.474162,-0.157085514
RBPJ,4223.0,0.4178224,518.0,-1.320085,-0.189472792
RBX1,821.0,0.46562919,52.0,0.014531,-0.280016465
RC3H1,7637.0,0.410085914,87.0,-0.488121,0.318199023
RCCD1,1773.0,0.374130224,280.0,-0.596766,-0.073516505
RCOR1,4070.0,0.439565312,228.0,-0.88495,-0.029344929
REEP4,591.0,0.460338979,469.0,1.454349,-0.131087789
REEP5,2962.0,0.457536941,144.0,1.356862,-0.057409622
RELB,408.0,0.418226182,131.0,-1.244193,-0.375887296
REPIN1,2683.0,0.45080531,489.0,0.256292,0.056455827
RET,2082.0,0.379562012,357.0,4.653968,0.86135381
RFC4,89.0,0.411167541,282.0,-0.457996,0.129231957
RFK,1882.0,0.429285662,357.0,0.361638,0.404696791
RFX5,1546.0,0.386685917,221.0,-0.083526,0.320219281
RFXAP,1850.0,0.421314391,156.0,0.533461,-0.131695396
RHBDF2,740.0,0.423256567,294.0,-0.252208,-0.976998936
RHOT2,568.0,0.454546166,881.0,0.348489,-0.27007619
RINL,1279.0,0.357351373,413.0,1.800676,0.833604349
RNASE2,179.0,0.384567964,71.0,-0.424957,-0.287060296
RNASEH1,4369.0,0.404567903,700.0,-1.193352,0.089805604
RNASEH2B,3930.0,0.37625722,399.0,0.978309,0.140082479
RNASET2,1070.0,0.374792559,407.0,1.750365,1.268419961
RNF114,1751.0,0.459950313,36.0,0.02058,-0.116629877
RNF167,289.0,0.375291206,776.0,0.985585,0.398207925
RNF20,5226.0,0.396317502,92.0,-0.361274,-0.009155318
RNF213,5288.0,0.417718743,150.0,-0.112003,-0.308202908
RNF216,2819.0,0.430061571,259.0,-0.030215,0.396032452
RNF25,102.0,0.375620157,88.0,0.019489,0.261797854
RNF31,88.0,0.389352607,358.0,-0.108149,0.499816785
RNLS,1252.0,0.416402283,135.0,-3.511702,-0.472880084
RNMT,4581.0,0.415128602,241.0,-1.260189,-0.264528647
RNPEP,463.0,0.447181346,896.0,0.580067,-0.200362164
RP9,437.0,0.42869019,18.0,-1.289838,-0.267048885
RPA1,2907.0,0.381710028,170.0,0.543935,0.67079626
RPA2,639.0,0.400070522,793.0,0.566238,0.65189097
RPAIN,471.0,0.394698889,570.0,0.962002,0.584815986
RPL11,461.0,0.442317923,45.0,0.470838,0.258074074
RPL14,5208.0,0.496792394,133.0,-0.182822,-0.789661525
RPL23,3146.0,0.464880603,90.0,0.878962,-0.164445865
RPL26,53.0,0.427802183,389.0,1.169714,-0.822873043
RPL31,1260.0,0.451994935,87.0,0.423651,-0.252682935
RPL34,1350.0,0.436455219,198.0,0.345973,-1.222444046
RPL5,1058.0,0.451564158,75.0,-0.25417,-0.204615189
RPL7,1077.0,0.460258279,707.0,-0.014934,-0.555789009
RPS11,373.0,0.483080585,92.0,0.566084,-0.3372562
RPS24,4247.0,0.430653047,142.0,0.39807,0.050410356
RPS25,109.0,0.467193878,63.0,1.36154,0.096429781
RPS27A,743.0,0.450449292,321.0,0.264467,0.024258959
RPS3A,306.0,0.426765211,80.0,-0.052706,-0.167501249
RPS4X,629.0,0.442998752,96.0,-0.857532,0.131913295
RPS6,2723.0,0.413925579,42.0,0.05514,-0.487733305
RPS6KA1,828.0,0.389798854,163.0,0.093365,0.27442444
RPS6KA4,735.0,0.38455359,226.0,-1.176569,-0.565356732
RPS7,66.0,0.428822459,109.0,-0.51314,0.113390928
RPTOR,2341.0,0.385169267,805.0,-0.165676,0.244632175
RREB1,3012.0,0.456825357,492.0,0.360174,-0.03971413
RRM1,2304.0,0.437568848,689.0,0.166193,0.009511235
RRP8,5071.0,0.446233376,148.0,-0.012099,-0.297016589
RRS1,978.0,0.468289248,104.0,-0.180969,-0.020108879
RTN3,1690.0,0.358048129,187.0,0.924185,-0.538187335
RTN4IP1,1108.0,0.372133716,477.0,0.156374,0.049225263
RUNX1,4334.0,0.416076551,1578.0,-0.313277,-0.235530505
RUNX3,2611.0,0.405217602,439.0,-2.143486,-0.740936091
RWDD1,6365.0,0.401367905,746.0,0.856095,0.479184897
S100A8,71.0,0.444112716,170.0,-3.272286,-1.468312238
S100A9,189.0,0.439508357,43.0,-3.795841,-1.70634359
SAMD9,1815.0,0.395660052,270.0,0.759657,0.40781822
SAMD9L,1162.0,0.396305952,1248.0,0.458296,0.283095337
SAMM50,150.0,0.345249646,197.0,0.474934,-0.044293019
SAMSN1,684.0,0.407246581,430.0,-0.903666,-0.600509168
SAP18,1754.0,0.427429047,39.0,0.632693,-0.110151579
SAP30BP,1541.0,0.449617255,257.0,0.015924,0.086454282
SAR1A,5213.0,0.411769389,203.0,-0.070055,0.465848938
SAR1B,5806.0,0.392367964,253.0,1.231455,0.991309149
SARS,1054.0,0.40098191,100.0,0.566975,0.204168874
SASH3,1369.0,0.387406112,182.0,-1.396457,-0.342340539
SCAMP4,1741.0,0.472519575,351.0,1.255069,0.42671896
SCO1,8645.0,0.407339367,61.0,0.128651,0.587869928
