,3prime,tAI,max_5_UTR_length,TCGA-A2-A0D2,TCGA-A2-A0D2.1
IER3IP1,3342.0,0.438740024,97.0,1.469625,-0.146092896
IFI16,254.0,0.415211655,290.0,-0.334736,0.06733084
IFI30,213.0,0.431523306,62.0,0.353268,-0.590095368
IFI35,160.0,0.418462024,223.0,-0.402544,-0.12187132
IFI44,267.0,0.403888008,124.0,0.214521,0.19860253
IFI44L,5058.0,0.403608012,200.0,0.190144,0.3408354
IFIH1,121.0,0.412344512,377.0,-0.126459,-0.015711877
IFIT1,2775.0,0.411248073,495.0,-0.43899,0.077613723
IFIT2,1901.0,0.420797646,175.0,-0.740662,0.097908553
IFIT3,843.0,0.417440574,529.0,0.211046,-0.007822149
IFIT5,2354.0,0.414819429,231.0,-1.375377,-0.202057956
IFT27,109.0,0.4030938,426.0,-1.67852,-0.543226197
IGFBP3,1605.0,0.43060006,132.0,0.627516,0.500894824
IGFBP7,558.0,0.392734536,34.0,-0.231159,0.291004185
IKBKE,745.0,0.435100597,714.0,1.927687,0.612329582
IL16,3965.0,0.367979445,2395.0,-0.476528,0.044453922
IL17RA,5874.0,0.376798811,133.0,0.09152,-0.41127621
IL1RN,1145.0,0.411881061,408.0,-0.295863,-0.362372451
IL4I1,16.0,0.4139018,621.0,1.580059,0.715952318
ILF2,656.0,0.426220446,239.0,1.395602,-0.032212447
IMPA2,2898.0,0.383680893,242.0,0.328056,-0.142769579
INO80,5209.0,0.374025479,351.0,-0.471196,0.263553398
INPP1,263.0,0.395712795,700.0,0.222072,0.191616582
INPP5D,1195.0,0.436077769,512.0,-0.138271,0.123176204
INSR,4801.0,0.380857973,411.0,-0.419381,0.076157507
IPO5,2508.0,0.381335948,180.0,1.94062,1.026460744
IRF7,92.0,0.423538356,367.0,-1.573999,0.031413466
IRF8,1327.0,0.384714127,507.0,0.245966,0.204737023
IRF9,369.0,0.432057622,127.0,-0.929153,-0.396330759
IRGQ,7659.0,0.399674011,156.0,1.644834,0.348140952
ISCU,607.0,0.454630229,1331.0,-0.670033,-0.164400426
ISG15,62.0,0.419522688,77.0,0.123279,-0.996205128
ISG20,952.0,0.419932377,2368.0,0.886703,0.117901448
ISOC1,1056.0,0.418535314,18.0,0.209488,-0.266625004
ITGB2,415.0,0.457304004,395.0,0.627492,0.161635992
ITPKB,2981.0,0.440250717,340.0,0.536422,0.048795275
ITPRIP,5382.0,0.396785481,453.0,0.490478,0.508586585
JUNB,496.0,0.414023332,276.0,-0.988756,0.380620581
JUP,157.0,0.458302936,298.0,-0.585351,-0.019463946
KANK2,2291.0,0.394238955,361.0,-0.787829,-0.00971296
KARS,4202.0,0.383913431,144.0,1.782971,0.48905202
KCNN4,560.0,0.425737469,396.0,3.629269,1.060433215
KDM1A,327.0,0.428444011,149.0,0.36865,0.09608527
KDM2A,3716.0,0.372295488,864.0,-0.330624,0.242616646
KDM2B,2488.0,0.393022165,407.0,0.637833,-0.430651484
KDM3B,1327.0,0.37791414,200.0,-0.352791,0.101035775
KDM4A,1148.0,0.378142374,166.0,0.543758,0.208665363
KHSRP,1024.0,0.456900489,110.0,0.599731,-0.216390907
KIAA2013,727.0,0.385456054,191.0,0.58377,0.148844663
KIF20A,757.0,0.371463873,496.0,1.681442,0.590413818
KIF22,75.0,0.392489541,388.0,0.694671,0.82661622
KIF2C,588.0,0.387865377,395.0,3.091685,1.314099876
KIF3B,3792.0,0.390782105,180.0,-0.048752,-0.096995463
KIF3C,2392.0,0.403852971,657.0,0.574024,-0.316510912
KIF5B,3198.0,0.418236129,470.0,0.034106,0.120212366
KLHL7,3616.0,0.41595405,521.0,1.291266,0.815132502
KTI12,594.0,0.370414154,39.0,0.693202,0.426957293
LAMP1,1311.0,0.390985106,281.0,0.628898,0.476401425
LANCL2,2422.0,0.433733517,578.0,0.497726,-0.475585389
LAP3,503.0,0.426841798,162.0,-0.193291,-0.017857259
LDHD,1826.0,0.398770776,52.0,-3.819337,-0.439263958
LENG1,560.0,0.445950324,48.0,0.194064,-0.616375488
LGALS3,159.0,0.420172221,88.0,-1.157465,-0.33402604
LGALS3BP,1225.0,0.419930622,179.0,-0.007104,-0.607468568
LGALS9,641.0,0.410654931,118.0,0.152886,0.098627386
LIN54,4893.0,0.441729058,383.0,-0.011077,0.018931422
LPCAT1,2228.0,0.380803123,133.0,0.818127,0.348174646
LPXN,1776.0,0.432350833,254.0,0.073722,0.313078947
LRPPRC,2376.0,0.377375074,58.0,-0.075607,0.083078663
LRRC25,843.0,0.434491636,642.0,0.411447,0.478145252
LRRC41,465.0,0.438391248,44.0,0.638129,0.252462631
LRRC59,1755.0,0.423067849,236.0,0.673062,-0.438671676
LSM1,486.0,0.409616526,410.0,0.374467,0.054168507
LSM6,1871.0,0.435100303,139.0,0.689274,0.232533749
LTA4H,391.0,0.355044638,145.0,-1.136492,-0.573530568
LYN,4058.0,0.418972994,282.0,1.732099,0.650212935
LYPLAL1,1137.0,0.3973742,157.0,-0.535173,-0.31267557
LYRM4,6830.0,0.366844497,217.0,0.85577,-0.093098036
LYSMD2,596.0,0.394037378,501.0,1.026964,0.579014198
M6PR,1457.0,0.379162834,275.0,-0.672488,0.049297546
MAD2L1,4528.0,0.407191351,124.0,1.583694,0.159707254
MAFB,2032.0,0.405989564,390.0,-0.410707,-0.67373156
MAGED2,327.0,0.466698843,233.0,-1.474816,-0.673262853
MAGOH,153.0,0.416054235,162.0,1.989508,0.063244788
MAN2B1,128.0,0.381728903,76.0,0.701961,0.058687637
MANF,717.0,0.420319188,97.0,0.707845,-0.056728122
MAP4K1,170.0,0.374128007,140.0,0.637804,0.300913374
MARCKSL1,768.0,0.468216312,206.0,-0.482397,0.066935679
MAX,2676.0,0.337149475,479.0,-0.762104,-0.363574486
MBD2,3723.0,0.420256858,229.0,1.228483,0.242574375
MBP,4041.0,0.393290432,264.0,1.820815,0.029667548
MCM2,662.0,0.460999542,110.0,1.500461,0.475216015
MCM4,2618.0,0.371821308,942.0,1.775063,0.472408152
MCM5,3214.0,0.470488076,94.0,1.989582,0.653569489
MDC1,658.0,0.415783633,440.0,1.432552,0.661876971
MDH1,210.0,0.381672323,435.0,-0.133395,-0.294837201
ME1,1535.0,0.411214685,265.0,2.085104,0.528514526
ME3,171.0,0.395156177,377.0,-0.589252,-0.176910349
MECR,1365.0,0.445670958,612.0,-0.389284,-0.192649798
MED17,2631.0,0.366528813,275.0,-0.2262,0.130915229
MED19,934.0,0.439623042,93.0,0.292281,0.170464357
MED28,10307.0,0.440157501,27.0,-0.316281,0.216832464
MED29,4550.0,0.464327351,57.0,-0.01671,-0.017675847
MEF2C,6848.0,0.41426337,654.0,-0.366918,0.195910773
MEN1,824.0,0.454590692,504.0,0.498311,0.433104102
METTL13,961.0,0.396264071,347.0,-0.467483,0.014829319
MGST3,1295.0,0.374563048,428.0,-0.377339,-0.061299903
MIF4GD,787.0,0.397877071,137.0,-0.759797,-0.016134778
MINK1,774.0,0.455972684,525.0,-0.314833,-0.051440184
MIS12,1334.0,0.420723459,745.0,-0.809879,-0.054774223
MLEC,5319.0,0.43043384,173.0,-0.607123,-0.58865744
MLLT10,2252.0,0.36295117,1568.0,0.404631,0.073112847
MMACHC,1852.0,0.382684622,371.0,0.670363,0.616421067
MMADHC,5382.0,0.406207656,205.0,0.046016,-0.201257363
MMGT1,4451.0,0.406300672,388.0,0.803565,0.100821003
MMP1,502.0,0.392399458,189.0,2.419602,1.248262705
MMP14,1722.0,0.419367787,285.0,1.140584,1.093360009
MMP9,193.0,0.404253633,19.0,1.673405,-0.299556603
MORC3,2052.0,0.406702124,375.0,-1.12757,0.124093526
MORF4L1,1066.0,0.420719378,454.0,0.692941,0.697094059
MOV10,619.0,0.412681236,1415.0,0.418774,0.378282343
MPDU1,797.0,0.440676037,216.0,-0.033251,-0.006061624
MPHOSPH10,87.0,0.404440607,352.0,-0.231649,0.027904963
MRI1,2018.0,0.459301832,75.0,1.262518,0.644645785
MRPL13,1075.0,0.395373051,313.0,0.606738,0.222114102
MRPL15,1888.0,0.407701507,63.0,1.207288,0.249348962
MRPL16,212.0,0.368940255,214.0,0.791252,0.005595945
MRPL17,6554.0,0.424450505,105.0,-0.230793,-0.089111148
MRPL2,580.0,0.458698472,164.0,1.152465,-0.133950112
MRPL20,187.0,0.445765675,96.0,-0.148716,0.052960047
MRPL21,55.0,0.417448467,293.0,0.706212,0.100564123
MRPL27,2133.0,0.436300758,31.0,-0.098151,-0.001326371
MRPL40,113.0,0.406843086,653.0,0.209295,-0.220508387
MRPL46,1889.0,0.422788385,25.0,0.566461,0.048782556
MRPL48,1284.0,0.368940255,212.0,0.972284,-0.452447238
MRPL51,2069.0,0.35376587,169.0,0.657111,0.055350982
MRPL53,198.0,0.441261883,155.0,-1.421789,-0.239595363
MRPL9,407.0,0.432679379,437.0,0.929133,0.299680719
MRPS11,2793.0,0.477818717,1491.0,0.298443,-0.052156601
MRPS15,468.0,0.440649404,164.0,1.093868,-0.072720021
MRPS17,1334.0,0.413812124,30.0,1.010317,-0.071223794
MRPS18B,936.0,0.408462865,157.0,0.284347,-0.04025292
MRPS36,933.0,0.3748339,84.0,-0.60129,-0.596431559
MRPS7,453.0,0.455992019,233.0,0.396249,-0.086728765
MSI2,5168.0,0.366385762,173.0,-0.65203,-0.562065629
MSTO1,694.0,0.421389639,1152.0,-0.046241,-0.309138008
MT1E,291.0,0.588704726,179.0,1.106914,-1.021800518
MT2A,316.0,0.576670685,123.0,1.009287,-0.770611683
MTA2,684.0,0.459443446,761.0,1.207008,0.513965155
MTFMT,1550.0,0.414190941,26.0,0.463184,0.30349232
MTHFS,1663.0,0.434592403,179.0,0.515843,0.221763997
MTMR1,2442.0,0.424163835,319.0,-0.507154,0.160297065
MTMR14,421.0,0.371137969,151.0,-0.069848,0.001848243
MVP,50.0,0.435053297,193.0,-1.159032,-0.340220525
MX1,456.0,0.433488503,982.0,0.121313,-0.482022226
MX2,1812.0,0.430094961,104.0,1.045704,0.531869866
MYADM,2833.0,0.384589896,681.0,0.413012,0.028530909
MYCBP,3972.0,0.381803634,73.0,-0.208125,-0.038165598
MYL12A,812.0,0.453450746,478.0,1.062792,0.330755966
MYO18A,3647.0,0.395788337,484.0,0.91701,0.181756356
MYO9B,1401.0,0.398943925,152.0,0.993149,0.493818017
N6AMT1,5137.0,0.427535625,28.0,-1.053976,-0.040950246
NAA40,3212.0,0.389371031,261.0,1.183777,0.592371673
NAB1,2433.0,0.361024962,572.0,0.323415,0.557489323
NADK,1672.0,0.3959688,563.0,-0.478973,0.087113258
NADSYN1,464.0,0.447848979,126.0,-0.961007,-0.157479049
NAGK,1297.0,0.42527382,474.0,-0.483162,0.001504707
NANS,37.0,0.458552255,132.0,0.829751,-0.455154472
NAPA,1862.0,0.477781443,318.0,-0.446493,0.020288142
NAT10,4915.0,0.387474071,245.0,2.067675,0.798705725
NBAS,140.0,0.414580543,44.0,-0.519804,0.065160875
NCALD,2767.0,0.374888213,460.0,-0.844047,1.424322906
NCAPD3,2971.0,0.431957579,606.0,0.819971,1.099966382
NCAPG2,3501.0,0.41630572,200.0,2.097914,0.7990953
NCF1,2381.0,0.415579251,70.0,0.6072,0.353822823
NCK2,1267.0,0.457831152,276.0,0.52682,0.181793305
NCKIPSD,4981.0,0.449411541,126.0,-0.144213,-0.10013591
NCOA5,1332.0,0.416761948,402.0,-0.261785,-0.048687359
NCOA7,3259.0,0.404217869,470.0,1.738511,0.405192807
NDC80,61.0,0.356199389,182.0,3.057301,0.986025534
NDRG2,841.0,0.376266446,941.0,0.738747,0.712818667
NDUFA4,1685.0,0.439642808,129.0,0.603952,-0.18282921
NEU1,667.0,0.413226082,156.0,0.241778,-0.149251267
NFATC2IP,3242.0,0.412267479,15.0,-0.189833,0.017605593
NFKB1,708.0,0.4099683,467.0,0.076231,-0.078133568
NFKB2,153.0,0.424806573,563.0,1.080477,0.21469925
NFKBIE,1053.0,0.409138176,25.0,1.95142,0.559133237
NGDN,1255.0,0.423783924,27.0,0.858645,0.249994614
NGRN,1679.0,0.414477409,50.0,0.366402,0.055657384
NINJ1,5217.0,0.455972644,71.0,0.460172,0.252691893
NIP7,1593.0,0.443769116,318.0,1.701566,0.37222353
NIT2,2351.0,0.432361565,74.0,-0.865508,-0.457777829
NMNAT3,2689.0,0.397393877,1228.0,-1.335966,-0.233820088
NMT1,3377.0,0.454689408,31.0,-0.039148,-0.030038691
NONO,1092.0,0.432928506,710.0,1.089672,0.043552024
NOP14,912.0,0.38067473,187.0,0.471283,0.084260776
NOP2,785.0,0.393538298,198.0,1.150854,0.34288304
NOTCH2,6062.0,0.409327653,297.0,-1.139483,-0.250533157
NPTN,1068.0,0.388989686,197.0,0.031477,-0.182950589
NR2C2,6271.0,0.390767743,362.0,-0.640376,-0.061570474
NRBF2,883.0,0.43605128,224.0,0.221766,0.009514468
NRF1,1901.0,0.447602651,500.0,0.256112,0.506044839
NRGN,833.0,0.413631862,152.0,1.055422,-0.162965495
NRP1,3846.0,0.416817106,523.0,-0.562212,0.299087624
NSFL1C,1587.0,0.42738001,868.0,0.318117,-0.173758665
NSMAF,602.0,0.358586884,214.0,0.626333,0.496256392
NTAN1,178.0,0.344459601,320.0,0.312811,0.003056749
NUBP1,246.0,0.455923678,142.0,-0.631947,-0.512221135
NUCKS1,5461.0,0.359398328,271.0,1.01566,-0.707608725
NUDC,716.0,0.476401948,127.0,0.128598,-0.404968997
NUDT16,5489.0,0.428387545,75.0,-1.092754,-0.062607613
NUMA1,663.0,0.474508115,436.0,-0.361194,-0.233903127
NUP93,5678.0,0.382018893,495.0,1.077959,0.336594566
NXF1,2943.0,0.375826754,136.0,-0.014771,0.333118634
OCIAD2,4872.0,0.363821488,322.0,1.648078,0.170063198
OGDH,1071.0,0.396078149,159.0,-0.697448,-0.289797932
OPA3,7233.0,0.475004358,100.0,0.502427,-0.467768851
OSBPL2,2363.0,0.383456763,571.0,0.083954,0.105834057
OSBPL5,1099.0,0.381371042,158.0,-1.721353,-0.106673236
OVCA2,792.0,0.429983078,65.0,0.587962,-0.004685461
P2RX4,573.0,0.442596273,304.0,-0.480482,-0.564796096
PAAF1,509.0,0.376143366,341.0,-1.704133,-0.569591206
PACSIN2,1591.0,0.413490434,405.0,0.0378,-0.204899313
PARK7,451.0,0.457171775,163.0,-0.083471,-0.667171143
PARP1,769.0,0.460215809,171.0,1.145839,0.267764202
PARP10,332.0,0.422654659,200.0,-1.082583,-0.25842228
PARP12,816.0,0.416480622,874.0,0.123326,0.168588503
PARP14,2243.0,0.414355918,59.0,-1.342078,-0.275566241
PARP9,451.0,0.418102187,327.0,-1.644588,-0.311061276
PARVG,2043.0,0.383803232,484.0,0.080114,0.382140967
PBK,750.0,0.413339119,464.0,2.077184,1.074824114
PCNA,338.0,0.425000199,239.0,1.638311,0.522321053
PDAP1,2007.0,0.464659554,134.0,1.600432,-0.284249761
PDCD2,155.0,0.440448783,111.0,-0.072963,-0.019285852
PDCD2L,48.0,0.433436103,33.0,1.191315,-0.043569175
PDCD6IP,3211.0,0.388727459,158.0,-1.055717,-0.4247746
PDHA1,2054.0,0.402514578,145.0,1.177323,0.019131174
PDHB,2974.0,0.442593378,43.0,-0.234111,0.052549096
PDLIM1,357.0,0.379179626,233.0,-0.937854,-0.594490917
PDXDC1,2055.0,0.375670185,335.0,-0.867494,-0.703386069
PDXK,6244.0,0.398158884,198.0,0.613861,-0.027055628
PEBP1,796.0,0.360152166,326.0,-0.197834,-0.459528778
PEF1,769.0,0.441759403,424.0,0.066217,-0.007172573
PELO,5222.0,0.385240523,985.0,0.134354,0.241518837
PEPD,395.0,0.450896903,133.0,-0.11441,0.410762056
PEX16,585.0,0.43213601,312.0,0.350079,-0.167046272
PEX6,946.0,0.370078344,93.0,-0.75717,-0.059389645
PEX7,2294.0,0.407005497,102.0,-0.472049,-0.139376224
PFDN5,124.0,0.497062947,117.0,-0.653214,0.400224915
PFDN6,574.0,0.470152145,222.0,0.427811,0.143324996
PGM1,570.0,0.393980016,681.0,1.461878,0.747557962
PHB,988.0,0.45268542,190.0,0.41862,-0.221405591
PHF10,104.0,0.365149381,79.0,-0.249748,-0.05080645
PI4K2A,2692.0,0.385068362,57.0,-0.062983,0.235009486
PIAS1,3626.0,0.396022529,741.0,-0.212661,0.167186013
PIGH,1430.0,0.434471606,98.0,-1.141818,-0.234785281
PIK3AP1,3866.0,0.407313024,128.0,-0.112832,0.455625709
PIR,205.0,0.385796208,485.0,3.011504,1.327662717
PITPNC1,4686.0,0.369070722,874.0,0.195396,-0.017499613
PLA2G4C,585.0,0.406173977,398.0,0.065249,-0.19170767
PLA2G7,1187.0,0.402486321,269.0,0.978986,0.900563575
PLAUR,323.0,0.418467601,226.0,2.38575,0.896594127
PLCB2,818.0,0.468984469,301.0,0.16017,0.285784215
PLCG1,3987.0,0.454806205,121.0,0.456381,0.344359513
PLD4,273.0,0.377985619,192.0,-1.18468,0.109076094
PLEKHO1,5192.0,0.424698037,839.0,0.544103,0.054540718
PLEKHO2,2119.0,0.429714475,134.0,0.205546,0.109451426
PLSCR1,10376.0,0.415598704,388.0,0.133524,-0.403354262
PML,3324.0,0.431306474,140.0,0.279187,0.145170259
POLR1C,1131.0,0.439933821,86.0,0.849696,0.207292088
POLR1D,1469.0,0.427162265,456.0,-0.167359,-0.136162364
POLR2F,1600.0,0.47244007,250.0,1.876328,0.145639621
POLR2H,1065.0,0.427596015,1167.0,1.245971,0.134043016
POLR3H,3481.0,0.444306047,388.0,-0.19518,0.116686328
POLR3K,1023.0,0.473025152,46.0,-0.000883,0.097762896
PPA2,660.0,0.432735716,20.0,-0.063694,-0.284611867
PPIE,4556.0,0.446406574,56.0,0.841505,0.365284081
PPIL1,1921.0,0.453832883,252.0,1.384045,0.067748042
PPP1R14B,282.0,0.457456004,268.0,1.77399,0.194496994
PRC1,1136.0,0.367783806,234.0,2.328742,1.058790897
PRCC,357.0,0.381841119,290.0,0.40915,-0.099154518
PRDX1,303.0,0.414090753,341.0,0.988056,-0.020248525
PRDX6,944.0,0.433706552,51.0,-0.643181,-0.390274092
PREB,658.0,0.378530018,403.0,-0.16685,-0.231346497
PREP,579.0,0.425974009,233.0,0.35611,-0.282196722
PRG4,784.0,0.366727173,51.0,-0.419031,-0.072276691
PRIM2,1166.0,0.350864643,125.0,0.4366,0.846710984
PRKAB1,1305.0,0.365943644,289.0,-0.644879,0.17092664
PRKAR2A,5019.0,0.427443141,254.0,-0.851919,-0.180676557
PRKCB,5795.0,0.38010529,197.0,0.929318,0.153042879
PRKCD,451.0,0.404392693,469.0,-0.37471,-0.319256927
PRKRA,683.0,0.420894136,659.0,-0.011037,0.011038308
PRKRIP1,3224.0,0.453589322,55.0,1.577698,0.173124785
PRMT5,393.0,0.386451423,508.0,0.907508,0.160777205
PRMT7,3655.0,0.450088803,850.0,0.856838,0.183494106
PRPS1,3908.0,0.466551451,409.0,1.041229,0.314318146
PRPSAP1,2056.0,0.390811115,688.0,0.006954,0.776361211
PRRC1,3173.0,0.409170839,188.0,-0.430557,-0.249002454
PSMA5,2997.0,0.446573967,225.0,0.732991,-0.21533758
PSMA6,187.0,0.423632682,445.0,0.656157,-0.166344452
PSMB10,58.0,0.455018511,128.0,0.10905,-0.36106487
PSMB2,3775.0,0.389848815,412.0,0.470862,0.009497739
PSMB8,242.0,0.411206622,522.0,-0.816492,-0.274888161
PSMB9,5497.0,0.431095699,69.0,0.393681,-0.148909371
PSMC3,66.0,0.485654947,194.0,1.276047,0.015993259
PSMD11,2567.0,0.390095635,61.0,0.545546,0.022997934
PSMD13,384.0,0.437236365,242.0,0.254558,-0.020619789
PSMD8,450.0,0.458928351,52.0,0.577399,0.03657494
PSME2,53.0,0.443656162,65.0,0.699769,-0.181823279
PSMG1,5308.0,0.427553471,578.0,1.087841,0.317277881
PSTPIP2,1923.0,0.429639796,96.0,1.460464,0.504605318
PTBP1,1504.0,0.473818895,106.0,0.240686,-0.072755952
PTDSS1,3765.0,0.367954205,423.0,0.77426,0.138058698
PTGS1,3346.0,0.37260918,633.0,-0.431236,0.153939782
PTP4A1,3419.0,0.421202001,1153.0,0.802553,0.50273067
PTPMT1,1899.0,0.450492628,193.0,0.50706,0.281606352
PTPN18,2185.0,0.381656528,101.0,-0.069454,0.018210342
PTPN7,1593.0,0.440747449,781.0,0.682324,0.107879813
PTPRE,2994.0,0.426620112,1843.0,-1.094079,0.410477401
PTPRF,4571.0,0.452810321,356.0,0.70141,0.154882844
PTRH2,3186.0,0.370743372,1544.0,0.362592,-0.491431118
PWWP2B,819.0,0.424412275,29.0,-0.210879,-0.753168105
PYCR2,578.0,0.474148407,230.0,-0.143722,-0.422361132
PYGL,175.0,0.392036998,127.0,-2.490792,-0.554375555
QARS,97.0,0.458996209,396.0,0.487322,0.143836604
RAB11FIP1,4277.0,0.380614122,56.0,-0.759152,-0.189070775
RAB12,1120.0,0.38483812,283.0,0.643195,0.610241139
RAB21,5246.0,0.435367738,267.0,-0.919898,-0.140652628
RAB31,3231.0,0.437498832,175.0,-1.049028,-0.193712753
RAB35,2172.0,0.408841719,189.0,0.134649,0.041960507
RAB7A,1376.0,0.419395127,232.0,-0.432929,-0.077302643
RAB8B,4163.0,0.425956778,96.0,-0.322091,-0.269460788
RAB9A,1716.0,0.417525007,283.0,0.585393,0.425569073
RABGGTA,77.0,0.387342734,512.0,0.273168,0.061951981
RABGGTB,440.0,0.409412379,78.0,0.907942,0.296805695
RABIF,4760.0,0.447399225,159.0,-0.581994,-0.268525105
RACGAP1,1895.0,0.366370127,354.0,0.901683,0.716562112
RAD9A,924.0,0.444046557,185.0,0.699336,0.177570773
RAE1,1112.0,0.432613552,365.0,0.960264,0.417443718
RAI1,1472.0,0.455620822,469.0,-0.403023,-0.104328842
RAN,2043.0,0.442855294,361.0,0.679926,-0.085109071
RANBP10,3359.0,0.379453562,1256.0,0.314489,0.126456464
RANGAP1,3145.0,0.481547647,765.0,1.060463,0.011428553
RAPGEF1,2727.0,0.425793135,159.0,0.388322,0.296064026
RARS,114.0,0.423508657,41.0,-0.019006,0.086931047
RBBP4,6506.0,0.404056961,164.0,-0.006453,0.274595323
RBBP5,3098.0,0.421849625,474.0,0.44853,0.466430718
RBKS,251.0,0.392307233,1371.0,-2.504814,-0.999342711
RBM12,3599.0,0.375183789,304.0,-0.14328,0.037515842
RBM14,3443.0,0.468008211,139.0,-0.051861,-0.150072829
RBM4B,5277.0,0.396841232,170.0,0.498452,-0.059025258
RBMX,1201.0,0.353737079,210.0,0.582008,0.182006919
RBPJ,4223.0,0.4178224,518.0,-0.069367,0.294818693
RBX1,821.0,0.46562919,52.0,0.257465,0.483324743
RC3H1,7637.0,0.410085914,87.0,-0.810512,0.050877122
RCCD1,1773.0,0.374130224,280.0,0.28592,-0.293711791
RCOR1,4070.0,0.439565312,228.0,-0.280011,-0.099540288
REEP4,591.0,0.460338979,469.0,0.592747,0.023114924
REEP5,2962.0,0.457536941,144.0,-1.385997,-0.576536767
RELB,408.0,0.418226182,131.0,1.951799,0.280854259
REPIN1,2683.0,0.45080531,489.0,0.914372,0.273610459
RFC4,89.0,0.411167541,282.0,2.1523,0.231798688
RFK,1882.0,0.429285662,357.0,-0.179152,0.178415134
RFX5,1546.0,0.386685917,221.0,0.408894,-0.276332085
RFXAP,1850.0,0.421314391,156.0,1.253427,0.217484624
RHBDF2,740.0,0.423256567,294.0,1.06429,-0.11062671
RHOT2,568.0,0.454546166,881.0,-0.514371,-0.370514694
RNASE2,179.0,0.384567964,71.0,1.57067,-0.054732376
RNASEH1,4369.0,0.404567903,700.0,0.520788,0.213282274
RNASEH2B,3930.0,0.37625722,399.0,-0.092541,0.002918758
RNASET2,1070.0,0.374792559,407.0,-1.440417,-0.58070921
RNF114,1751.0,0.459950313,36.0,0.534624,0.493242484
RNF167,289.0,0.375291206,776.0,-0.760751,-0.808354355
RNF20,5226.0,0.396317502,92.0,-0.060974,-0.166167709
RNF213,5288.0,0.417718743,150.0,-0.932028,-0.429208165
RNF216,2819.0,0.430061571,259.0,-0.405374,-0.262538649
RNF25,102.0,0.375620157,88.0,-0.351528,0.10036221
RNF31,88.0,0.389352607,358.0,0.287338,-0.110023821
RNLS,1252.0,0.416402283,135.0,-0.908398,-0.341018135
RNMT,4581.0,0.415128602,241.0,0.40704,0.370629812
RNPEP,463.0,0.447181346,896.0,-0.970014,-0.501103409
RP9,437.0,0.42869019,18.0,0.430005,0.295167617
RPA1,2907.0,0.381710028,170.0,0.445251,0.111980009
RPA2,639.0,0.400070522,793.0,0.039059,0.074122498
RPAIN,471.0,0.394698889,570.0,0.147026,-0.658437481
RPL11,461.0,0.442317923,45.0,-0.028559,-0.34272533
RPL14,5208.0,0.496792394,133.0,-0.053075,-0.407230402
RPL23,3146.0,0.464880603,90.0,-0.551905,0.120741818
RPL26,53.0,0.427802183,389.0,-0.117046,-0.195989978
RPL31,1260.0,0.451994935,87.0,-0.396283,-0.07656257
RPL34,1350.0,0.436455219,198.0,-0.485689,-0.794956406
RPL5,1058.0,0.451564158,75.0,0.908553,0.143759348
RPL7,1077.0,0.460258279,707.0,0.399829,-0.247082355
RPS11,373.0,0.483080585,92.0,1.036415,0.142332616
RPS24,4247.0,0.430653047,142.0,-0.061906,-0.095206102
RPS25,109.0,0.467193878,63.0,0.796813,-0.065981479
RPS27A,743.0,0.450449292,321.0,0.135544,-0.225794762
RPS3A,306.0,0.426765211,80.0,0.066393,0.064472438
RPS4X,629.0,0.442998752,96.0,0.735904,0.080596341
RPS6,2723.0,0.413925579,42.0,-0.058171,-0.552884825
RPS6KA1,828.0,0.389798854,163.0,0.491585,-0.10885416
RPS6KA4,735.0,0.38455359,226.0,-0.576948,-0.09988285
RPS7,66.0,0.428822459,109.0,0.502527,-0.1059213
RPTOR,2341.0,0.385169267,805.0,-0.080861,-0.186743576
RREB1,3012.0,0.456825357,492.0,-1.164926,-0.025588162
RRM1,2304.0,0.437568848,689.0,0.886102,0.883417708
RRP8,5071.0,0.446233376,148.0,-0.506031,0.06228848
RRS1,978.0,0.468289248,104.0,0.488551,0.162321978
RTN3,1690.0,0.358048129,187.0,0.440906,0.086321406
RTN4IP1,1108.0,0.372133716,477.0,0.924397,-0.318459796
RUNX1,4334.0,0.416076551,1578.0,-1.08195,-0.040609758
RUNX3,2611.0,0.405217602,439.0,0.225087,0.291987926
RWDD1,6365.0,0.401367905,746.0,0.742411,0.106062262
S100A8,71.0,0.444112716,170.0,1.483829,-1.790723932
S100A9,189.0,0.439508357,43.0,1.225892,-2.128625319
SAMD9,1815.0,0.395660052,270.0,-1.100863,-0.207140147
SAMD9L,1162.0,0.396305952,1248.0,-0.893371,0.088337068
SAMM50,150.0,0.345249646,197.0,-0.749191,-0.235870477
SAMSN1,684.0,0.407246581,430.0,0.5913,0.074173836
SAP18,1754.0,0.427429047,39.0,-0.336289,-0.203324564
SAP30BP,1541.0,0.449617255,257.0,0.207723,0.022833339
SAR1A,5213.0,0.411769389,203.0,-0.293537,-0.06042737
SAR1B,5806.0,0.392367964,253.0,-0.773596,-0.520844165
SARS,1054.0,0.40098191,100.0,0.743341,0.114998661
SASH3,1369.0,0.387406112,182.0,0.362768,0.127407682
SCAMP4,1741.0,0.472519575,351.0,0.014271,0.133331031
SCO1,8645.0,0.407339367,61.0,-0.62781,-0.222499527
SDCCAG8,307.0,0.360606297,1542.0,-0.59461,-0.237247297
SEC11C,205.0,0.423646802,92.0,0.803205,-0.264201445
SEC13,332.0,0.457264526,210.0,0.577877,-0.224127968
SEC14L1,2986.0,0.420320088,665.0,0.340674,-0.569262367
SEC22A,2559.0,0.422343815,79.0,-0.364397,-0.117919236
SEC24B,1221.0,0.400931805,155.0,-0.741093,0.148349853
